"date, price"
"2020-07-30","16.459999"
"2020-07-31","16.000000"
"2020-08-03","16.360001"
"2020-08-04","16.690001"
"2020-08-05","16.750000"
"2020-08-06","18.500000"
"2020-08-07","16.889999"
"2020-08-10","16.420000"
"2020-08-11","16.000000"
"2020-08-12","15.660000"
"2020-08-13","15.160000"
"2020-08-14","14.600000"
"2020-08-17","15.420000"
"2020-08-18","15.960000"
"2020-08-19","15.040000"
"2020-08-20","14.750000"
"2020-08-21","15.020000"
"2020-08-24","17.090000"
"2020-08-25","18.230000"
"2020-08-26","23.379999"
"2020-08-27","19.379999"
"2020-08-28","17.600000"
"2020-08-31","16.299999"
"2020-09-01","18.290001"
"2020-09-02","17.870001"
"2020-09-03","16.910000"
"2020-09-04","16.830000"
"2020-09-08","15.790000"
"2020-09-09","15.800000"
"2020-09-10","16.049999"
"2020-09-11","16.209999"
"2020-09-14","17.469999"
"2020-09-15","18.190001"
"2020-09-16","17.520000"
"2020-09-17","17.260000"
"2020-09-18","17.030001"
"2020-09-21","16.430000"
"2020-09-22","16.740000"
"2020-09-23","15.680000"
"2020-09-24","15.090000"
"2020-09-25","15.800000"
"2020-09-28","16.080000"
"2020-09-29","17.030001"
"2020-09-30","17.389999"
"2020-10-01","16.799999"
"2020-10-02","16.920000"
"2020-10-05","17.520000"
"2020-10-06","17.350000"
"2020-10-07","17.770000"
"2020-10-08","17.930000"
"2020-10-09","17.600000"
"2020-10-12","19.160000"
"2020-10-13","19.430000"
"2020-10-14","20.780001"
"2020-10-15","20.500000"
"2020-10-16","19.770000"
"2020-10-19","19.180000"
"2020-10-20","20.490000"
"2020-10-21","19.389999"
"2020-10-22","18.980000"
"2020-10-23","18.400000"
"2020-10-26","19.080000"
"2020-10-27","19.209999"
"2020-10-28","18.690001"
"2020-10-29","20.620001"
"2020-10-30","20.170000"
"2020-11-02","22.879999"
"2020-11-03","24.049999"
"2020-11-04","25.309999"
"2020-11-05","28.090000"
"2020-11-06","26.459999"
"2020-11-09","26.299999"
"2020-11-10","25.240000"
"2020-11-11","24.969999"
"2020-11-12","31.780001"
"2020-11-13","31.200001"
"2020-11-16","35.549999"
"2020-11-17","35.049999"
"2020-11-18","35.490002"
"2020-11-19","36.740002"
"2020-11-20","38.119999"
"2020-11-23","43.639999"
"2020-11-24","43.959999"
"2020-11-25","40.720001"
"2020-11-27","39.480000"
"2020-11-30","35.990002"
"2020-12-01","34.860001"
"2020-12-02","34.750000"
"2020-12-03","32.310001"
"2020-12-04","30.530001"
"2020-12-07","31.490000"
"2020-12-08","33.310001"
"2020-12-09","32.029999"
"2020-12-10","32.490002"
"2020-12-11","31.360001"
"2020-12-14","31.330000"
"2020-12-15","32.150002"
"2020-12-16","31.360001"
"2020-12-17","30.690001"
"2020-12-18","31.770000"
"2020-12-21","32.860001"
"2020-12-22","31.290001"
"2020-12-23","30.559999"
"2020-12-24","29.320000"
"2020-12-28","27.010000"
"2020-12-29","28.670000"
"2020-12-30","29.059999"
"2020-12-31","28.830000"
"2021-01-04","32.459999"
"2021-01-05","30.990000"
"2021-01-06","31.760000"
"2021-01-07","35.090000"
