"date, price"
"2014-12-04","28.980000"
"2014-12-05","29.250000"
"2014-12-08","28.959999"
"2014-12-09","29.430000"
"2014-12-10","28.889999"
"2014-12-11","28.559999"
"2014-12-12","27.809999"
"2014-12-15","27.510000"
"2014-12-16","26.920000"
"2014-12-17","27.400000"
"2014-12-18","27.510000"
"2014-12-19","27.610001"
"2014-12-22","27.700001"
"2014-12-23","27.950001"
"2014-12-24","27.930000"
"2014-12-26","28.110001"
"2014-12-29","28.219999"
"2014-12-30","28.240000"
"2014-12-31","28.120001"
"2015-01-02","27.780001"
"2015-01-05","27.440001"
"2015-01-06","26.950001"
"2015-01-07","27.330000"
"2015-01-08","27.620001"
"2015-01-09","27.389999"
"2015-01-12","26.900000"
"2015-01-13","26.629999"
"2015-01-14","26.209999"
"2015-01-15","25.280001"
"2015-01-16","25.629999"
"2015-01-20","25.650000"
"2015-01-21","26.290001"
"2015-01-22","26.889999"
"2015-01-23","26.980000"
"2015-01-26","27.280001"
"2015-01-27","26.840000"
"2015-01-28","25.930000"
"2015-01-29","26.209999"
"2015-01-30","25.809999"
"2015-02-02","26.290001"
"2015-02-03","26.850000"
"2015-02-04","26.580000"
"2015-02-05","26.670000"
"2015-02-06","27.020000"
"2015-02-09","27.049999"
"2015-02-10","27.350000"
"2015-02-11","27.150000"
"2015-02-12","27.120001"
"2015-02-13","27.219999"
"2015-02-17","27.430000"
"2015-02-18","27.250000"
"2015-02-19","27.309999"
"2015-02-20","27.379999"
"2015-02-23","27.240000"
"2015-02-24","27.360001"
"2015-02-25","27.850000"
"2015-02-26","24.780001"
"2015-02-27","24.580000"
"2015-03-02","24.820000"
"2015-03-03","24.930000"
"2015-03-04","24.030001"
"2015-03-05","24.150000"
"2015-03-06","23.830000"
"2015-03-09","23.980000"
"2015-03-10","23.820000"
"2015-03-11","24.150000"
"2015-03-12","24.469999"
"2015-03-13","24.420000"
"2015-03-16","24.700001"
"2015-03-17","24.620001"
"2015-03-18","24.309999"
"2015-03-19","24.230000"
"2015-03-20","24.430000"
"2015-03-23","24.320000"
"2015-03-24","24.190001"
"2015-03-25","23.639999"
"2015-03-26","24.129999"
"2015-03-27","24.770000"
"2015-03-30","24.990000"
"2015-03-31","25.559999"
"2015-04-01","25.400000"
"2015-04-02","25.580000"
"2015-04-06","25.850000"
"2015-04-07","25.670000"
"2015-04-08","25.950001"
"2015-04-09","25.830000"
"2015-04-10","25.850000"
"2015-04-13","25.570000"
"2015-04-14","25.500000"
"2015-04-15","25.590000"
"2015-04-16","25.620001"
"2015-04-17","25.219999"
"2015-04-20","25.490000"
"2015-04-21","25.459999"
"2015-04-22","25.520000"
"2015-04-23","25.580000"
"2015-04-24","25.580000"
"2015-04-27","25.250000"
"2015-04-28","25.010000"
"2015-04-29","25.260000"
"2015-04-30","27.070000"
"2015-05-01","27.809999"
"2015-05-04","27.840000"
"2015-05-05","27.660000"
"2015-05-06","27.540001"
"2015-05-07","27.629999"
"2015-05-08","27.510000"
"2015-05-11","27.570000"
"2015-05-12","27.760000"
"2015-05-13","27.850000"
"2015-05-14","27.820000"
"2015-05-15","28.059999"
"2015-05-18","28.420000"
"2015-05-19","28.520000"
"2015-05-20","28.690001"
"2015-05-21","28.719999"
"2015-05-22","28.750000"
"2015-05-26","28.340000"
"2015-05-27","28.860001"
"2015-05-28","28.809999"
"2015-05-29","28.570000"
"2015-06-01","28.809999"
"2015-06-02","28.850000"
"2015-06-03","29.240000"
"2015-06-04","29.020000"
"2015-06-05","29.510000"
"2015-06-08","29.040001"
"2015-06-09","29.120001"
"2015-06-10","29.290001"
"2015-06-11","29.420000"
"2015-06-12","29.400000"
"2015-06-15","29.290001"
"2015-06-16","29.290001"
"2015-06-17","29.350000"
"2015-06-18","29.580000"
"2015-06-19","29.690001"
"2015-06-22","29.780001"
"2015-06-23","30.030001"
"2015-06-24","30.030001"
"2015-06-25","30.330000"
"2015-06-26","30.790001"
"2015-06-29","30.209999"
"2015-06-30","30.250000"
"2015-07-01","30.600000"
"2015-07-02","30.410000"
"2015-07-06","30.250000"
"2015-07-07","30.600000"
"2015-07-08","30.360001"
"2015-07-09","30.080000"
"2015-07-10","30.330000"
"2015-07-13","30.760000"
"2015-07-14","30.920000"
"2015-07-15","31.049999"
"2015-07-16","31.170000"
"2015-07-17","31.120001"
"2015-07-20","31.260000"
"2015-07-21","31.209999"
"2015-07-22","31.190001"
"2015-07-23","31.400000"
"2015-07-24","30.900000"
"2015-07-27","30.730000"
"2015-07-28","30.870001"
"2015-07-29","31.370001"
"2015-07-30","31.340000"
"2015-07-31","31.459999"
"2015-08-03","31.360001"
"2015-08-04","31.719999"
"2015-08-05","31.750000"
"2015-08-06","31.490000"
"2015-08-07","31.410000"
"2015-08-10","31.639999"
"2015-08-11","31.450001"
"2015-08-12","31.110001"
"2015-08-13","31.360001"
"2015-08-14","31.530001"
"2015-08-17","31.440001"
"2015-08-18","31.200001"
"2015-08-19","30.840000"
"2015-08-20","30.420000"
"2015-08-21","29.469999"
"2015-08-24","28.690001"
"2015-08-25","28.480000"
"2015-08-26","29.070000"
"2015-08-27","29.850000"
"2015-08-28","29.930000"
"2015-08-31","29.990000"
"2015-09-01","29.450001"
"2015-09-02","30.120001"
"2015-09-03","30.370001"
"2015-09-04","29.809999"
"2015-09-08","30.490000"
"2015-09-09","30.250000"
"2015-09-10","30.350000"
"2015-09-11","30.309999"
"2015-09-14","30.360001"
"2015-09-15","30.500000"
"2015-09-16","30.670000"
"2015-09-17","30.660000"
"2015-09-18","29.940001"
"2015-09-21","30.590000"
"2015-09-22","29.840000"
"2015-09-23","29.490000"
"2015-09-24","29.170000"
"2015-09-25","29.129999"
"2015-09-28","28.260000"
"2015-09-29","27.940001"
"2015-09-30","28.360001"
"2015-10-01","28.440001"
"2015-10-02","28.620001"
"2015-10-05","29.080000"
"2015-10-06","28.950001"
"2015-10-07","28.830000"
"2015-10-08","28.889999"
"2015-10-09","28.559999"
"2015-10-12","28.459999"
"2015-10-13","28.219999"
"2015-10-14","27.790001"
"2015-10-15","28.070000"
"2015-10-16","27.799999"
"2015-10-19","27.959999"
"2015-10-20","27.850000"
"2015-10-21","27.629999"
"2015-10-22","28.100000"
"2015-10-23","28.280001"
"2015-10-26","28.549999"
"2015-10-27","28.190001"
"2015-10-28","29.469999"
"2015-10-29","29.940001"
"2015-10-30","29.610001"
"2015-11-02","29.860001"
"2015-11-03","29.940001"
"2015-11-04","30.040001"
"2015-11-05","30.090000"
"2015-11-06","30.080000"
"2015-11-09","30.110001"
"2015-11-10","30.400000"
"2015-11-11","30.200001"
"2015-11-12","29.620001"
"2015-11-13","28.799999"
"2015-11-16","29.400000"
"2015-11-17","29.510000"
"2015-11-18","29.450001"
"2015-11-19","29.480000"
"2015-11-20","29.570000"
"2015-11-23","29.790001"
"2015-11-24","29.790001"
"2015-11-25","29.760000"
"2015-11-27","30.070000"
"2015-11-30","29.490000"
"2015-12-01","29.700001"
"2015-12-02","29.080000"
"2015-12-03","28.559999"
"2015-12-04","29.030001"
"2015-12-07","29.129999"
"2015-12-08","29.360001"
"2015-12-09","28.670000"
"2015-12-10","28.650000"
"2015-12-11","28.139999"
"2015-12-14","28.450001"
"2015-12-15","28.540001"
"2015-12-16","28.730000"
"2015-12-17","27.990000"
"2015-12-18","27.309999"
"2015-12-21","27.350000"
"2015-12-22","28.840000"
"2015-12-23","29.459999"
"2015-12-24","29.490000"
"2015-12-28","29.690001"
"2015-12-29","30.030001"
"2015-12-30","29.760000"
"2015-12-31","29.629999"
"2016-01-04","28.840000"
"2016-01-05","28.620001"
"2016-01-06","28.410000"
"2016-01-07","28.190001"
"2016-01-08","27.110001"
"2016-01-11","26.730000"
"2016-01-12","27.020000"
"2016-01-13","25.379999"
"2016-01-14","25.820000"
"2016-01-15","25.959999"
"2016-01-19","25.740000"
"2016-01-20","26.059999"
"2016-01-21","26.340000"
"2016-01-22","26.770000"
"2016-01-25","26.059999"
"2016-01-26","26.790001"
"2016-01-27","26.150000"
"2016-01-28","26.459999"
"2016-01-29","27.400000"
"2016-02-01","27.340000"
"2016-02-02","26.780001"
"2016-02-03","26.559999"
"2016-02-04","26.400000"
"2016-02-05","25.219999"
"2016-02-08","24.920000"
"2016-02-09","24.190001"
"2016-02-10","24.540001"
"2016-02-11","24.410000"
"2016-02-12","25.030001"
"2016-02-16","25.670000"
"2016-02-17","26.020000"
"2016-02-18","25.940001"
"2016-02-19","26.309999"
"2016-02-22","26.000000"
"2016-02-23","26.170000"
"2016-02-24","25.940001"
"2016-02-25","27.750000"
"2016-02-26","28.160000"
"2016-02-29","27.600000"
"2016-03-01","28.540001"
"2016-03-02","28.959999"
"2016-03-03","29.410000"
"2016-03-04","30.030001"
"2016-03-07","30.440001"
"2016-03-08","30.410000"
"2016-03-09","30.420000"
"2016-03-10","30.500000"
"2016-03-11","31.150000"
"2016-03-14","30.830000"
"2016-03-15","30.490000"
"2016-03-16","30.809999"
"2016-03-17","30.950001"
"2016-03-18","30.830000"
"2016-03-21","30.870001"
"2016-03-22","30.809999"
"2016-03-23","30.209999"
"2016-03-24","30.120001"
"2016-03-28","30.610001"
"2016-03-29","30.900000"
"2016-03-30","31.120001"
"2016-03-31","31.930000"
"2016-04-01","32.160000"
"2016-04-04","32.290001"
"2016-04-05","31.500000"
"2016-04-06","31.639999"
"2016-04-07","31.370001"
"2016-04-08","31.639999"
"2016-04-11","31.360001"
"2016-04-12","32.290001"
"2016-04-13","33.200001"
"2016-04-14","33.070000"
"2016-04-15","33.200001"
"2016-04-18","33.209999"
"2016-04-19","33.349998"
"2016-04-20","33.549999"
"2016-04-21","33.509998"
"2016-04-22","33.259998"
"2016-04-25","33.080002"
"2016-04-26","33.950001"
"2016-04-27","34.160000"
"2016-04-28","32.889999"
"2016-04-29","32.049999"
"2016-05-02","32.459999"
"2016-05-03","32.500000"
"2016-05-04","32.439999"
"2016-05-05","32.340000"
"2016-05-06","32.509998"
"2016-05-09","32.610001"
"2016-05-10","33.000000"
"2016-05-11","32.570000"
"2016-05-12","33.000000"
"2016-05-13","32.299999"
"2016-05-16","32.709999"
"2016-05-17","32.180000"
"2016-05-18","31.990000"
"2016-05-19","31.459999"
"2016-05-20","31.420000"
"2016-05-23","31.900000"
"2016-05-24","32.259998"
"2016-05-25","32.930000"
"2016-05-26","32.740002"
"2016-05-27","33.189999"
"2016-05-31","33.070000"
"2016-06-01","32.689999"
"2016-06-02","33.090000"
"2016-06-03","32.930000"
"2016-06-06","32.500000"
"2016-06-07","33.049999"
"2016-06-08","33.209999"
"2016-06-09","33.110001"
"2016-06-10","32.230000"
"2016-06-13","32.139999"
"2016-06-14","32.119999"
"2016-06-15","32.439999"
"2016-06-16","32.520000"
"2016-06-17","32.580002"
"2016-06-20","32.889999"
"2016-06-21","32.770000"
"2016-06-22","32.840000"
"2016-06-23","33.610001"
"2016-06-24","31.040001"
"2016-06-27","29.520000"
"2016-06-28","30.420000"
"2016-06-29","31.350000"
"2016-06-30","31.700001"
"2016-07-01","32.119999"
"2016-07-05","31.590000"
"2016-07-06","31.760000"
"2016-07-07","31.969999"
"2016-07-08","33.090000"
"2016-07-11","33.669998"
"2016-07-12","33.389999"
"2016-07-13","33.160000"
"2016-07-14","33.400002"
"2016-07-15","33.080002"
"2016-07-18","32.669998"
"2016-07-19","32.529999"
"2016-07-20","32.889999"
"2016-07-21","32.980000"
"2016-07-22","33.340000"
"2016-07-25","33.619999"
"2016-07-26","33.840000"
"2016-07-27","34.139999"
"2016-07-28","33.619999"
"2016-07-29","34.389999"
"2016-08-01","34.480000"
"2016-08-02","34.500000"
"2016-08-03","34.860001"
"2016-08-04","34.669998"
"2016-08-05","35.189999"
"2016-08-08","34.919998"
"2016-08-09","34.709999"
"2016-08-10","34.950001"
"2016-08-11","34.689999"
"2016-08-12","34.650002"
"2016-08-15","35.349998"
"2016-08-16","35.169998"
"2016-08-17","35.400002"
"2016-08-18","35.459999"
"2016-08-19","35.669998"
"2016-08-22","35.599998"
"2016-08-23","35.790001"
"2016-08-24","35.880001"
"2016-08-25","35.860001"
"2016-08-26","35.689999"
"2016-08-29","35.980000"
"2016-08-30","36.230000"
"2016-08-31","36.090000"
"2016-09-01","35.560001"
"2016-09-02","35.790001"
"2016-09-06","36.040001"
"2016-09-07","36.220001"
"2016-09-08","35.730000"
"2016-09-09","34.910000"
"2016-09-12","35.430000"
"2016-09-13","35.180000"
"2016-09-14","35.430000"
"2016-09-15","35.689999"
"2016-09-16","35.459999"
"2016-09-19","35.619999"
"2016-09-20","35.290001"
"2016-09-21","35.400002"
"2016-09-22","35.740002"
"2016-09-23","35.680000"
"2016-09-26","35.299999"
"2016-09-27","35.410000"
"2016-09-28","35.520000"
"2016-09-29","35.240002"
"2016-09-30","35.459999"
"2016-10-03","35.209999"
"2016-10-04","34.189999"
"2016-10-05","33.619999"
"2016-10-06","33.240002"
"2016-10-07","33.200001"
"2016-10-10","33.549999"
"2016-10-11","33.110001"
"2016-10-12","33.310001"
"2016-10-13","32.959999"
"2016-10-14","32.840000"
"2016-10-17","33.029999"
"2016-10-18","32.930000"
"2016-10-19","32.939999"
"2016-10-20","32.980000"
"2016-10-21","32.869999"
"2016-10-24","33.049999"
"2016-10-25","32.970001"
"2016-10-26","33.259998"
"2016-10-27","31.820000"
"2016-10-28","32.119999"
"2016-10-31","32.279999"
"2016-11-01","31.969999"
"2016-11-02","31.799999"
"2016-11-03","31.190001"
"2016-11-04","31.389999"
"2016-11-07","31.790001"
"2016-11-08","31.940001"
"2016-11-09","32.090000"
"2016-11-10","31.870001"
"2016-11-11","32.200001"
"2016-11-14","32.520000"
"2016-11-15","32.900002"
"2016-11-16","33.040001"
"2016-11-17","32.669998"
"2016-11-18","32.250000"
"2016-11-21","32.680000"
"2016-11-22","33.220001"
"2016-11-23","33.290001"
"2016-11-25","33.439999"
"2016-11-28","33.270000"
"2016-11-29","33.009998"
"2016-11-30","32.830002"
"2016-12-01","32.590000"
"2016-12-02","32.240002"
"2016-12-05","32.669998"
"2016-12-06","33.049999"
"2016-12-07","33.599998"
"2016-12-08","33.660000"
"2016-12-09","34.290001"
"2016-12-12","33.270000"
"2016-12-13","33.360001"
"2016-12-14","32.400002"
"2016-12-15","32.570000"
