"date, price"
"2014-12-04","32.115002"
"2014-12-05","31.875000"
"2014-12-08","32.240002"
"2014-12-09","32.314999"
"2014-12-10","31.879999"
"2014-12-11","32.154999"
"2014-12-12","31.700001"
"2014-12-15","31.330000"
"2014-12-16","31.379999"
"2014-12-17","32.080002"
"2014-12-18","32.724998"
"2014-12-19","32.735001"
"2014-12-22","33.049999"
"2014-12-23","33.154999"
"2014-12-24","33.705002"
"2014-12-26","34.075001"
"2014-12-29","34.660000"
"2014-12-30","33.855000"
"2014-12-31","33.209999"
"2015-01-02","33.250000"
"2015-01-05","32.845001"
"2015-01-06","32.740002"
"2015-01-07","33.279999"
"2015-01-08","33.805000"
"2015-01-09","33.325001"
"2015-01-12","33.235001"
"2015-01-13","33.465000"
"2015-01-14","34.080002"
"2015-01-15","34.160000"
"2015-01-16","34.799999"
"2015-01-20","34.785000"
"2015-01-21","35.035000"
"2015-01-22","35.025002"
"2015-01-23","35.099998"
"2015-01-26","35.084999"
"2015-01-27","35.009998"
"2015-01-28","34.599998"
"2015-01-29","35.160000"
"2015-01-30","34.305000"
"2015-02-02","34.465000"
"2015-02-03","34.555000"
"2015-02-04","34.055000"
"2015-02-05","34.404999"
"2015-02-06","32.889999"
"2015-02-09","32.320000"
"2015-02-10","33.040001"
"2015-02-11","32.330002"
"2015-02-12","32.230000"
"2015-02-13","31.785000"
"2015-02-17","31.709999"
"2015-02-18","32.520000"
"2015-02-19","32.275002"
"2015-02-20","32.305000"
"2015-02-23","32.544998"
"2015-02-24","32.755001"
"2015-02-25","32.185001"
"2015-02-26","31.855000"
"2015-02-27","31.799999"
"2015-03-02","31.205000"
"2015-03-03","31.320000"
"2015-03-04","31.045000"
"2015-03-05","31.100000"
"2015-03-06","30.125000"
"2015-03-09","30.350000"
"2015-03-10","30.334999"
"2015-03-11","30.155001"
"2015-03-12","30.575001"
"2015-03-13","30.260000"
"2015-03-16","30.895000"
"2015-03-17","30.844999"
"2015-03-18","31.510000"
"2015-03-19","31.360001"
"2015-03-20","31.790001"
"2015-03-23","31.715000"
"2015-03-24","31.270000"
"2015-03-25","31.010000"
"2015-03-26","30.650000"
"2015-03-27","30.820000"
"2015-03-30","31.290001"
"2015-03-31","31.500000"
"2015-04-01","31.424999"
"2015-04-02","31.455000"
"2015-04-06","31.825001"
"2015-04-07","31.299999"
"2015-04-08","31.260000"
"2015-04-09","31.254999"
"2015-04-10","31.570000"
"2015-04-13","31.370001"
"2015-04-14","31.504999"
"2015-04-15","31.405001"
"2015-04-16","31.184999"
"2015-04-17","31.075001"
"2015-04-20","31.540001"
"2015-04-21","31.299999"
"2015-04-22","31.375000"
"2015-04-23","31.440001"
"2015-04-24","31.665001"
"2015-04-27","31.155001"
"2015-04-28","31.110001"
"2015-04-29","30.879999"
"2015-04-30","30.235001"
"2015-05-01","30.504999"
"2015-05-04","30.934999"
"2015-05-05","30.219999"
"2015-05-06","30.094999"
"2015-05-07","30.145000"
"2015-05-08","30.129999"
"2015-05-11","30.045000"
"2015-05-12","29.950001"
"2015-05-13","29.735001"
"2015-05-14","30.135000"
"2015-05-15","30.500000"
"2015-05-18","30.615000"
"2015-05-19","30.629999"
"2015-05-20","30.700001"
"2015-05-21","30.665001"
"2015-05-22","30.605000"
"2015-05-26","30.340000"
"2015-05-27","30.629999"
"2015-05-28","30.730000"
"2015-05-29","30.650000"
"2015-06-01","30.695000"
"2015-06-02","30.260000"
"2015-06-03","29.805000"
"2015-06-04","29.530001"
"2015-06-05","29.145000"
"2015-06-08","29.020000"
"2015-06-09","28.905001"
"2015-06-10","29.020000"
"2015-06-11","29.395000"
"2015-06-12","29.059999"
"2015-06-15","28.934999"
"2015-06-16","29.139999"
"2015-06-17","29.295000"
"2015-06-18","29.715000"
"2015-06-19","29.570000"
"2015-06-22","29.525000"
"2015-06-23","29.059999"
"2015-06-24","28.840000"
"2015-06-25","28.684999"
"2015-06-26","28.920000"
"2015-06-29","28.770000"
"2015-06-30","28.860001"
"2015-07-01","29.065001"
"2015-07-02","29.504999"
"2015-07-06","29.549999"
"2015-07-07","30.389999"
"2015-07-08","30.205000"
"2015-07-09","29.795000"
"2015-07-10","30.045000"
"2015-07-13","30.135000"
"2015-07-14","30.150000"
"2015-07-15","30.200001"
"2015-07-16","30.670000"
"2015-07-17","30.235001"
"2015-07-20","30.125000"
"2015-07-21","29.815001"
"2015-07-22","30.035000"
"2015-07-23","29.584999"
"2015-07-24","29.629999"
"2015-07-27","30.125000"
"2015-07-28","30.270000"
"2015-07-29","30.209999"
"2015-07-30","30.485001"
"2015-07-31","30.754999"
"2015-08-03","30.795000"
"2015-08-04","30.400000"
"2015-08-05","30.540001"
"2015-08-06","30.315001"
"2015-08-07","30.360001"
"2015-08-10","30.315001"
"2015-08-11","30.325001"
"2015-08-12","30.660000"
"2015-08-13","30.760000"
"2015-08-14","30.870001"
"2015-08-17","31.459999"
"2015-08-18","31.165001"
"2015-08-19","31.245001"
"2015-08-20","30.920000"
"2015-08-21","30.365000"
"2015-08-24","29.020000"
"2015-08-25","28.049999"
"2015-08-26","28.330000"
"2015-08-27","28.865000"
"2015-08-28","28.900000"
"2015-08-31","28.334999"
"2015-09-01","27.559999"
"2015-09-02","27.565001"
"2015-09-03","27.690001"
"2015-09-04","27.275000"
"2015-09-08","27.799999"
"2015-09-09","27.504999"
"2015-09-10","27.420000"
"2015-09-11","27.625000"
"2015-09-14","27.700001"
"2015-09-15","27.799999"
"2015-09-16","28.105000"
"2015-09-17","28.540001"
"2015-09-18","28.375000"
"2015-09-21","28.575001"
"2015-09-22","28.350000"
"2015-09-23","28.389999"
"2015-09-24","28.680000"
"2015-09-25","28.990000"
"2015-09-28","29.020000"
"2015-09-29","28.870001"
"2015-09-30","29.245001"
"2015-10-01","28.795000"
"2015-10-02","29.184999"
"2015-10-05","29.480000"
"2015-10-06","29.235001"
"2015-10-07","29.110001"
"2015-10-08","29.469999"
"2015-10-09","29.360001"
"2015-10-12","29.684999"
"2015-10-13","29.700001"
"2015-10-14","29.764999"
"2015-10-15","30.264999"
"2015-10-16","30.360001"
"2015-10-19","30.495001"
"2015-10-20","30.600000"
"2015-10-21","30.410000"
"2015-10-22","30.770000"
"2015-10-23","30.180000"
"2015-10-26","30.295000"
"2015-10-27","30.190001"
"2015-10-28","29.650000"
"2015-10-29","29.334999"
"2015-10-30","29.510000"
"2015-11-02","29.770000"
"2015-11-03","29.860001"
"2015-11-04","30.055000"
"2015-11-05","30.014999"
"2015-11-06","28.495001"
"2015-11-09","28.405001"
"2015-11-10","29.075001"
"2015-11-11","29.415001"
"2015-11-12","29.215000"
"2015-11-13","29.245001"
"2015-11-16","29.990000"
"2015-11-17","29.490000"
"2015-11-18","29.650000"
"2015-11-19","30.225000"
"2015-11-20","30.540001"
"2015-11-23","30.125000"
"2015-11-24","30.045000"
"2015-11-25","29.855000"
"2015-11-27","29.940001"
"2015-11-30","30.094999"
"2015-12-01","30.700001"
"2015-12-02","30.309999"
"2015-12-03","29.695000"
"2015-12-04","30.174999"
"2015-12-07","30.165001"
"2015-12-08","30.344999"
"2015-12-09","30.139999"
"2015-12-10","29.405001"
"2015-12-11","29.295000"
"2015-12-14","29.395000"
"2015-12-15","29.655001"
"2015-12-16","30.379999"
"2015-12-17","31.855000"
"2015-12-18","31.230000"
"2015-12-21","30.965000"
"2015-12-22","31.145000"
"2015-12-23","31.440001"
"2015-12-24","31.344999"
"2015-12-28","31.615000"
"2015-12-29","31.690001"
"2015-12-30","31.725000"
"2015-12-31","31.225000"
"2016-01-04","31.139999"
"2016-01-05","31.280001"
"2016-01-06","31.320000"
"2016-01-07","30.990000"
"2016-01-08","30.980000"
"2016-01-11","31.080000"
"2016-01-12","30.830000"
"2016-01-13","30.850000"
"2016-01-14","31.315001"
"2016-01-15","31.209999"
"2016-01-19","31.540001"
"2016-01-20","30.879999"
"2016-01-21","30.785000"
"2016-01-22","31.559999"
"2016-01-25","31.180000"
"2016-01-26","31.450001"
"2016-01-27","31.139999"
"2016-01-28","31.815001"
"2016-01-29","32.669998"
"2016-02-01","32.980000"
"2016-02-02","33.230000"
"2016-02-03","33.900002"
"2016-02-04","33.735001"
"2016-02-05","33.884998"
"2016-02-08","33.974998"
"2016-02-09","34.174999"
"2016-02-10","34.145000"
"2016-02-11","33.590000"
"2016-02-12","33.480000"
"2016-02-16","33.485001"
"2016-02-17","33.209999"
"2016-02-18","33.700001"
"2016-02-19","33.560001"
"2016-02-22","33.900002"
"2016-02-23","34.380001"
"2016-02-24","34.584999"
"2016-02-25","35.014999"
"2016-02-26","34.055000"
"2016-02-29","33.974998"
"2016-03-01","33.974998"
"2016-03-02","34.250000"
"2016-03-03","34.340000"
"2016-03-04","34.680000"
"2016-03-07","34.779999"
"2016-03-08","35.209999"
"2016-03-09","35.415001"
"2016-03-10","35.360001"
"2016-03-11","35.424999"
"2016-03-14","35.389999"
"2016-03-15","35.709999"
"2016-03-16","36.025002"
"2016-03-17","36.320000"
"2016-03-18","36.209999"
"2016-03-21","35.994999"
"2016-03-22","35.965000"
"2016-03-23","36.299999"
"2016-03-24","36.494999"
"2016-03-28","36.410000"
"2016-03-29","37.075001"
"2016-03-30","36.945000"
"2016-03-31","37.139999"
"2016-04-01","37.514999"
"2016-04-04","37.455002"
"2016-04-05","36.755001"
"2016-04-06","36.735001"
"2016-04-07","36.709999"
"2016-04-08","36.884998"
"2016-04-11","36.570000"
"2016-04-12","36.825001"
"2016-04-13","36.459999"
"2016-04-14","36.310001"
"2016-04-15","36.654999"
"2016-04-18","36.709999"
"2016-04-19","36.605000"
"2016-04-20","35.450001"
"2016-04-21","34.389999"
"2016-04-22","34.549999"
"2016-04-25","34.480000"
"2016-04-26","34.525002"
"2016-04-27","34.654999"
"2016-04-28","34.764999"
"2016-04-29","35.259998"
"2016-05-02","35.639999"
"2016-05-03","35.654999"
"2016-05-04","36.075001"
"2016-05-05","36.250000"
"2016-05-06","36.215000"
"2016-05-09","36.470001"
"2016-05-10","36.599998"
"2016-05-11","36.700001"
"2016-05-12","37.049999"
"2016-05-13","36.884998"
"2016-05-16","36.985001"
"2016-05-17","35.990002"
"2016-05-18","35.349998"
"2016-05-19","35.740002"
"2016-05-20","35.910000"
"2016-05-23","35.750000"
"2016-05-24","36.389999"
"2016-05-25","36.430000"
"2016-05-26","36.730000"
"2016-05-27","36.840000"
"2016-05-31","37.049999"
"2016-06-01","37.299999"
"2016-06-02","37.400002"
"2016-06-03","38.310001"
"2016-06-06","38.279999"
"2016-06-07","38.520000"
"2016-06-08","38.880001"
"2016-06-09","39.419998"
"2016-06-10","38.990002"
"2016-06-13","38.820000"
"2016-06-14","39.110001"
"2016-06-15","38.680000"
"2016-06-16","38.820000"
"2016-06-17","38.910000"
"2016-06-20","38.889999"
"2016-06-21","39.049999"
"2016-06-22","38.639999"
"2016-06-23","38.799999"
"2016-06-24","39.279999"
"2016-06-27","39.849998"
"2016-06-28","39.810001"
"2016-06-29","39.820000"
"2016-06-30","39.700001"
"2016-07-01","40.389999"
"2016-07-05","40.869999"
"2016-07-06","40.779999"
"2016-07-07","39.849998"
"2016-07-08","40.549999"
"2016-07-11","40.459999"
"2016-07-12","39.340000"
"2016-07-13","39.709999"
"2016-07-14","39.340000"
"2016-07-15","39.410000"
"2016-07-18","39.570000"
"2016-07-19","39.610001"
"2016-07-20","39.549999"
"2016-07-21","39.730000"
"2016-07-22","40.349998"
"2016-07-25","40.400002"
"2016-07-26","40.090000"
"2016-07-27","39.450001"
"2016-07-28","39.959999"
"2016-07-29","40.250000"
"2016-08-01","40.270000"
"2016-08-02","40.419998"
"2016-08-03","40.119999"
"2016-08-04","40.130001"
"2016-08-05","39.389999"
"2016-08-08","39.279999"
"2016-08-09","39.240002"
"2016-08-10","39.259998"
"2016-08-11","39.400002"
"2016-08-12","39.540001"
"2016-08-15","38.939999"
"2016-08-16","38.200001"
"2016-08-17","38.919998"
"2016-08-18","39.509998"
"2016-08-19","38.840000"
"2016-08-22","39.080002"
"2016-08-23","38.580002"
"2016-08-24","38.820000"
"2016-08-25","38.869999"
"2016-08-26","37.919998"
"2016-08-29","38.250000"
"2016-08-30","37.840000"
"2016-08-31","37.950001"
"2016-09-01","37.669998"
"2016-09-02","38.209999"
"2016-09-06","38.810001"
"2016-09-07","38.980000"
"2016-09-08","38.860001"
"2016-09-09","37.150002"
"2016-09-12","37.720001"
"2016-09-13","37.369999"
"2016-09-14","37.560001"
"2016-09-15","37.959999"
"2016-09-16","38.430000"
"2016-09-19","38.770000"
"2016-09-20","38.849998"
"2016-09-21","39.700001"
"2016-09-22","39.980000"
"2016-09-23","40.110001"
"2016-09-26","40.259998"
"2016-09-27","39.680000"
"2016-09-28","39.389999"
"2016-09-29","38.860001"
"2016-09-30","38.310001"
"2016-10-03","37.799999"
"2016-10-04","36.930000"
"2016-10-05","36.779999"
"2016-10-06","36.689999"
"2016-10-07","36.540001"
"2016-10-10","36.880001"
"2016-10-11","36.369999"
"2016-10-12","36.919998"
"2016-10-13","37.230000"
"2016-10-14","36.970001"
"2016-10-17","37.209999"
"2016-10-18","37.380001"
"2016-10-19","37.290001"
"2016-10-20","37.320000"
"2016-10-21","37.070000"
"2016-10-24","37.320000"
"2016-10-25","37.389999"
"2016-10-26","37.480000"
"2016-10-27","37.020000"
"2016-10-28","37.230000"
"2016-10-31","38.049999"
"2016-11-01","37.419998"
"2016-11-02","36.980000"
"2016-11-03","37.090000"
"2016-11-04","36.830002"
"2016-11-07","37.930000"
"2016-11-08","38.500000"
"2016-11-09","36.810001"
"2016-11-10","35.490002"
"2016-11-11","35.360001"
"2016-11-14","35.509998"
"2016-11-15","36.020000"
"2016-11-16","35.779999"
"2016-11-17","35.810001"
"2016-11-18","35.639999"
"2016-11-21","35.830002"
"2016-11-22","36.130001"
"2016-11-23","35.750000"
"2016-11-25","36.349998"
"2016-11-28","37.090000"
"2016-11-29","37.250000"
"2016-11-30","35.919998"
"2016-12-01","35.509998"
"2016-12-02","35.990002"
"2016-12-05","36.070000"
"2016-12-06","36.080002"
"2016-12-07","36.470001"
"2016-12-08","36.439999"
"2016-12-09","36.830002"
"2016-12-12","37.209999"
"2016-12-13","37.509998"
"2016-12-14","36.619999"
"2016-12-15","37.009998"
"2016-12-16","37.610001"
"2016-12-19","37.770000"
"2016-12-20","37.799999"
"2016-12-21","37.689999"
"2016-12-22","37.810001"
"2016-12-23","37.860001"
"2016-12-27","38.000000"
"2016-12-28","37.540001"
"2016-12-29","38.189999"
"2016-12-30","37.889999"
"2017-01-03","37.930000"
"2017-01-04","38.160000"
"2017-01-05","38.110001"
"2017-01-06","37.799999"
"2017-01-09","37.279999"
"2017-01-10","37.240002"
"2017-01-11","37.750000"
"2017-01-12","37.650002"
"2017-01-13","37.490002"
"2017-01-17","37.750000"
"2017-01-18","37.700001"
"2017-01-19","37.279999"
"2017-01-20","37.360001"
"2017-01-23","37.029999"
"2017-01-24","36.950001"
"2017-01-25","36.889999"
"2017-01-26","36.950001"
"2017-01-27","36.889999"
"2017-01-30","36.860001"
