"date, price"
"2016-04-18","30.678467"
"2016-04-19","31.986235"
"2016-04-20","32.035397"
"2016-04-21","32.241886"
"2016-04-22","32.133728"
"2016-04-25","32.497543"
"2016-04-26","32.743362"
"2016-04-27","32.812195"
"2016-04-28","32.173058"
"2016-04-29","32.222221"
"2016-05-02","32.409046"
"2016-05-03","32.320553"
"2016-05-04","31.710915"
"2016-05-05","31.760078"
"2016-05-06","32.153393"
"2016-05-09","31.868240"
"2016-05-10","32.143559"
"2016-05-11","31.730579"
"2016-05-12","31.642084"
"2016-05-13","31.209440"
"2016-05-16","31.415930"
"2016-05-17","30.786627"
"2016-05-18","30.973452"
"2016-05-19","30.688299"
"2016-05-20","30.983284"
"2016-05-23","30.747295"
"2016-05-24","31.307768"
"2016-05-25","31.366764"
"2016-05-26","31.189774"
"2016-05-27","31.455261"
"2016-05-31","31.356932"
"2016-06-01","31.878073"
"2016-06-02","31.642084"
"2016-06-03","31.612585"
"2016-06-06","31.268436"
"2016-06-07","31.160275"
"2016-06-08","31.376598"
"2016-06-09","31.769913"
"2016-06-10","31.347099"
"2016-06-13","30.609636"
"2016-06-14","30.481810"
"2016-06-15","30.560472"
"2016-06-16","30.737463"
"2016-06-17","30.334316"
"2016-06-20","30.353983"
"2016-06-21","29.734512"
"2016-06-22","29.744347"
"2016-06-23","30.904621"
"2016-06-24","30.049164"
"2016-06-27","28.997049"
"2016-06-28","29.616520"
"2016-06-29","30.206490"
"2016-06-30","30.835793"
"2016-07-01","31.091446"
"2016-07-05","31.130777"
"2016-07-06","31.209440"
"2016-07-07","31.376598"
"2016-07-08","31.897738"
"2016-07-11","32.114059"
"2016-07-12","31.858406"
"2016-07-13","32.114059"
"2016-07-14","32.605701"
"2016-07-15","32.645035"
"2016-07-18","32.841690"
"2016-07-19","33.205505"
"2016-07-20","33.421829"
"2016-07-21","33.608654"
"2016-07-22","34.139626"
"2016-07-25","33.382500"
"2016-07-26","34.709930"
"2016-07-27","35.172073"
"2016-07-28","34.641102"
"2016-07-29","35.152409"
"2016-08-01","34.631268"
"2016-08-02","33.972469"
"2016-08-03","33.726646"
"2016-08-04","33.579155"
"2016-08-05","33.697147"
"2016-08-08","33.077679"
"2016-08-09","32.920353"
"2016-08-10","33.126842"
"2016-08-11","33.520157"
"2016-08-12","33.343166"
"2016-08-15","33.264503"
"2016-08-16","33.372665"
"2016-08-17","33.235004"
"2016-08-18","32.605701"
"2016-08-19","32.468044"
"2016-08-22","32.359882"
"2016-08-23","32.497543"
"2016-08-24","32.045231"
"2016-08-25","32.527039"
"2016-08-26","32.753197"
"2016-08-29","32.900688"
"2016-08-30","32.959686"
"2016-08-31","32.949852"
"2016-09-01","32.979351"
"2016-09-02","33.254669"
"2016-09-06","33.235004"
"2016-09-07","33.677483"
"2016-09-08","33.677483"
"2016-09-09","33.048180"
"2016-09-12","33.431664"
"2016-09-13","32.949852"
"2016-09-14","33.028515"
"2016-09-15","33.205505"
"2016-09-16","32.640118"
"2016-09-19","32.851524"
"2016-09-20","32.851524"
"2016-09-21","33.205505"
"2016-09-22","33.382500"
"2016-09-23","33.431664"
"2016-09-26","33.038349"
"2016-09-27","33.117012"
"2016-09-28","32.989185"
"2016-09-29","33.018681"
"2016-09-30","33.411995"
"2016-10-03","33.765980"
"2016-10-04","33.490658"
"2016-10-05","33.077679"
"2016-10-06","33.097343"
"2016-10-07","32.969517"
"2016-10-10","32.772861"
"2016-10-11","32.163223"
"2016-10-12","32.074730"
"2016-10-13","32.045231"
"2016-10-14","32.025566"
"2016-10-17","32.074730"
"2016-10-18","32.399212"
"2016-10-19","32.822025"
"2016-10-20","32.841690"
"2016-10-21","33.008850"
"2016-10-24","33.185841"
"2016-10-25","33.470993"
"2016-10-26","33.441494"
"2016-10-27","32.517208"
"2016-10-28","32.546707"
"2016-10-31","32.713863"
"2016-11-01","32.428711"
"2016-11-02","32.084560"
"2016-11-03","31.828909"
"2016-11-04","31.927237"
"2016-11-07","32.586037"
"2016-11-08","32.979351"
"2016-11-09","33.343166"
"2016-11-10","33.667648"
"2016-11-11","34.021633"
"2016-11-14","34.818092"
"2016-11-15","35.417896"
"2016-11-16","35.240906"
"2016-11-17","35.457226"
"2016-11-18","35.821041"
"2016-11-21","35.860374"
"2016-11-22","36.017700"
"2016-11-23","35.880039"
"2016-11-25","35.899704"
"2016-11-28","35.299904"
"2016-11-29","35.634216"
"2016-11-30","35.693214"
"2016-12-01","35.801376"
"2016-12-02","33.844643"
"2016-12-05","34.001968"
"2016-12-06","34.473942"
"2016-12-07","35.152409"
"2016-12-08","35.290070"
"2016-12-09","35.201572"
"2016-12-12","34.208454"
"2016-12-13","34.641102"
"2016-12-14","34.877090"
"2016-12-15","34.346115"
"2016-12-16","34.090462"
"2016-12-19","34.110126"
"2016-12-20","34.542774"
"2016-12-21","34.591938"
"2016-12-22","34.414948"
"2016-12-23","34.326450"
"2016-12-27","34.346115"
"2016-12-28","33.962635"
"2016-12-29","33.913471"
"2016-12-30","33.942970"
