"date, price"
"2014-12-04","25.000000"
"2014-12-05","25.110001"
"2014-12-08","24.209999"
"2014-12-09","24.139999"
"2014-12-10","22.990000"
"2014-12-11","23.780001"
"2014-12-12","23.389999"
"2014-12-15","23.150000"
"2014-12-16","22.209999"
"2014-12-17","22.100000"
"2014-12-18","23.000000"
"2014-12-19","23.930000"
"2014-12-22","23.879999"
"2014-12-23","24.610001"
"2014-12-24","24.809999"
"2014-12-26","25.049999"
"2014-12-29","25.670000"
"2014-12-30","25.530001"
"2014-12-31","25.400000"
"2015-01-02","24.160000"
"2015-01-05","23.760000"
"2015-01-06","23.030001"
"2015-01-07","23.780001"
"2015-01-08","24.350000"
"2015-01-09","24.420000"
"2015-01-12","24.139999"
"2015-01-13","23.889999"
"2015-01-14","23.650000"
"2015-01-15","23.299999"
"2015-01-16","22.510000"
"2015-01-20","21.840000"
"2015-01-21","21.990000"
"2015-01-22","22.969999"
"2015-01-23","22.959999"
"2015-01-26","24.400000"
"2015-01-27","24.930000"
"2015-01-28","24.809999"
"2015-01-29","24.530001"
"2015-01-30","24.000000"
"2015-02-02","24.639999"
"2015-02-03","25.600000"
"2015-02-04","24.940001"
"2015-02-05","25.629999"
"2015-02-06","25.110001"
"2015-02-09","25.129999"
"2015-02-10","26.070000"
"2015-02-11","25.860001"
"2015-02-12","26.760000"
"2015-02-13","27.540001"
"2015-02-17","27.700001"
"2015-02-18","27.980000"
"2015-02-19","28.010000"
"2015-02-20","27.459999"
"2015-02-23","27.110001"
"2015-02-24","25.129999"
"2015-02-25","24.360001"
"2015-02-26","24.250000"
"2015-02-27","24.020000"
"2015-03-02","24.170000"
"2015-03-03","24.930000"
"2015-03-04","24.940001"
"2015-03-05","24.170000"
"2015-03-06","23.070000"
"2015-03-09","22.110001"
"2015-03-10","21.250000"
"2015-03-11","20.830000"
"2015-03-12","21.340000"
"2015-03-13","21.400000"
"2015-03-16","21.030001"
"2015-03-17","21.330000"
"2015-03-18","21.879999"
"2015-03-19","22.879999"
"2015-03-20","23.000000"
"2015-03-23","22.740000"
"2015-03-24","22.940001"
"2015-03-25","22.670000"
"2015-03-26","22.190001"
"2015-03-27","21.700001"
"2015-03-30","21.730000"
"2015-03-31","21.459999"
"2015-04-01","21.959999"
"2015-04-02","23.100000"
"2015-04-06","23.540001"
"2015-04-07","23.020000"
"2015-04-08","23.580000"
"2015-04-09","25.080000"
"2015-04-10","24.650000"
"2015-04-13","23.820000"
"2015-04-14","22.680000"
"2015-04-15","22.879999"
"2015-04-16","22.530001"
"2015-04-17","22.030001"
"2015-04-20","22.250000"
"2015-04-21","22.020000"
"2015-04-22","22.139999"
"2015-04-23","21.920000"
"2015-04-24","21.990000"
"2015-04-27","21.760000"
"2015-04-28","21.959999"
"2015-04-29","20.750000"
"2015-04-30","20.420000"
"2015-05-01","20.760000"
"2015-05-04","20.790001"
"2015-05-05","20.360001"
"2015-05-06","19.750000"
"2015-05-07","20.020000"
"2015-05-08","20.570000"
"2015-05-11","19.760000"
"2015-05-12","19.780001"
"2015-05-13","19.010000"
"2015-05-14","19.010000"
"2015-05-15","19.040001"
"2015-05-18","18.770000"
"2015-05-19","18.700001"
"2015-05-20","19.020000"
"2015-05-21","19.320000"
"2015-05-22","19.209999"
"2015-05-26","18.930000"
"2015-05-27","19.299999"
"2015-05-28","19.440001"
"2015-05-29","19.340000"
"2015-06-01","19.280001"
"2015-06-02","19.410000"
"2015-06-03","19.700001"
"2015-06-04","20.959999"
"2015-06-05","20.950001"
"2015-06-08","19.990000"
"2015-06-09","19.690001"
"2015-06-10","19.920000"
"2015-06-11","19.969999"
"2015-06-12","19.690001"
"2015-06-15","19.870001"
"2015-06-16","19.750000"
"2015-06-17","19.799999"
"2015-06-18","19.950001"
"2015-06-19","19.480000"
"2015-06-22","19.360001"
"2015-06-23","19.549999"
"2015-06-24","19.209999"
"2015-06-25","19.170000"
"2015-06-26","18.600000"
"2015-06-29","17.900000"
"2015-06-30","19.629999"
"2015-07-01","20.450001"
"2015-07-02","20.629999"
"2015-07-06","19.969999"
"2015-07-07","21.459999"
"2015-07-08","20.150000"
"2015-07-09","20.910000"
"2015-07-10","20.969999"
"2015-07-13","21.910000"
"2015-07-14","22.000000"
"2015-07-15","21.250000"
"2015-07-16","21.299999"
"2015-07-17","20.770000"
"2015-07-20","20.379999"
"2015-07-21","20.490000"
"2015-07-22","20.719999"
"2015-07-23","21.190001"
"2015-07-24","20.469999"
"2015-07-27","19.889999"
"2015-07-28","19.799999"
"2015-07-29","19.950001"
"2015-07-30","20.930000"
"2015-07-31","20.629999"
"2015-08-03","20.170000"
"2015-08-04","20.680000"
"2015-08-05","21.490000"
"2015-08-06","22.309999"
"2015-08-07","23.350000"
"2015-08-10","23.639999"
"2015-08-11","22.980000"
"2015-08-12","21.809999"
"2015-08-13","21.660000"
"2015-08-14","21.940001"
"2015-08-17","21.750000"
"2015-08-18","21.100000"
"2015-08-19","20.620001"
"2015-08-20","19.520000"
"2015-08-21","18.969999"
"2015-08-24","17.809999"
"2015-08-25","17.980000"
"2015-08-26","17.400000"
"2015-08-27","18.430000"
"2015-08-28","18.219999"
"2015-08-31","17.620001"
"2015-09-01","16.920000"
"2015-09-02","16.940001"
"2015-09-03","17.160000"
"2015-09-04","16.910000"
"2015-09-08","17.260000"
"2015-09-09","17.280001"
"2015-09-10","16.459999"
"2015-09-11","16.879999"
"2015-09-14","16.969999"
"2015-09-15","17.330000"
"2015-09-16","18.230000"
"2015-09-17","18.400000"
"2015-09-18","17.750000"
"2015-09-21","17.400000"
"2015-09-22","16.680000"
"2015-09-23","15.940000"
"2015-09-24","15.580000"
"2015-09-25","15.120000"
"2015-09-28","14.300000"
"2015-09-29","13.580000"
"2015-09-30","13.760000"
"2015-10-01","13.620000"
"2015-10-02","15.510000"
"2015-10-05","16.920000"
"2015-10-06","17.240000"
"2015-10-07","18.490000"
"2015-10-08","18.020000"
"2015-10-09","17.459999"
"2015-10-12","17.469999"
"2015-10-13","18.070000"
"2015-10-14","17.950001"
"2015-10-15","18.150000"
"2015-10-16","18.400000"
"2015-10-19","17.440001"
"2015-10-20","17.299999"
"2015-10-21","17.139999"
"2015-10-22","17.110001"
"2015-10-23","18.389999"
"2015-10-26","17.830000"
"2015-10-27","17.510000"
"2015-10-28","17.959999"
"2015-10-29","18.400000"
"2015-10-30","18.730000"
"2015-11-02","19.299999"
"2015-11-03","19.990000"
"2015-11-04","19.370001"
"2015-11-05","19.010000"
"2015-11-06","18.950001"
"2015-11-09","17.660000"
"2015-11-10","18.080000"
"2015-11-11","17.740000"
"2015-11-12","17.389999"
"2015-11-13","17.150000"
"2015-11-16","17.240000"
"2015-11-17","16.450001"
"2015-11-18","16.650000"
"2015-11-19","16.379999"
"2015-11-20","16.100000"
"2015-11-23","16.389999"
"2015-11-24","16.190001"
"2015-11-25","16.290001"
"2015-11-27","15.750000"
"2015-11-30","16.250000"
"2015-12-01","16.340000"
"2015-12-02","16.570000"
"2015-12-03","15.990000"
"2015-12-04","15.720000"
"2015-12-07","15.690000"
"2015-12-08","15.650000"
"2015-12-09","16.049999"
"2015-12-10","15.640000"
"2015-12-11","15.140000"
"2015-12-14","15.200000"
"2015-12-15","15.570000"
"2015-12-16","16.480000"
"2015-12-17","15.830000"
"2015-12-18","16.320000"
"2015-12-21","16.500000"
"2015-12-22","16.559999"
"2015-12-23","17.459999"
"2015-12-24","17.450001"
"2015-12-28","16.870001"
"2015-12-29","17.100000"
"2015-12-30","16.850000"
"2015-12-31","16.799999"
"2016-01-04","16.670000"
"2016-01-05","16.930000"
"2016-01-06","15.960000"
"2016-01-07","14.370000"
"2016-01-08","14.150000"
"2016-01-11","14.490000"
"2016-01-12","14.650000"
"2016-01-13","14.030000"
"2016-01-14","14.240000"
"2016-01-15","14.230000"
"2016-01-19","14.310000"
"2016-01-20","13.460000"
"2016-01-21","13.470000"
"2016-01-22","13.920000"
"2016-01-25","13.400000"
"2016-01-26","13.670000"
"2016-01-27","14.500000"
"2016-01-28","14.790000"
"2016-01-29","15.240000"
"2016-02-01","14.840000"
"2016-02-02","13.770000"
"2016-02-03","13.990000"
"2016-02-04","14.080000"
"2016-02-05","13.460000"
"2016-02-08","12.720000"
"2016-02-09","12.320000"
"2016-02-10","12.690000"
"2016-02-11","12.800000"
"2016-02-12","14.180000"
"2016-02-16","15.160000"
"2016-02-17","15.750000"
"2016-02-18","15.390000"
"2016-02-19","15.600000"
"2016-02-22","16.320000"
"2016-02-23","15.890000"
"2016-02-24","15.900000"
"2016-02-25","15.990000"
"2016-02-26","15.940000"
"2016-02-29","15.790000"
"2016-03-01","16.690001"
"2016-03-02","16.350000"
"2016-03-03","16.629999"
"2016-03-04","16.100000"
"2016-03-07","15.530000"
"2016-03-08","14.670000"
"2016-03-09","15.180000"
"2016-03-10","15.080000"
"2016-03-11","15.560000"
"2016-03-14","15.820000"
"2016-03-15","15.480000"
"2016-03-16","16.000000"
"2016-03-17","16.549999"
"2016-03-18","17.270000"
"2016-03-21","17.080000"
"2016-03-22","16.850000"
"2016-03-23","16.530001"
"2016-03-24","16.590000"
"2016-03-28","16.370001"
"2016-03-29","16.690001"
"2016-03-30","16.950001"
"2016-03-31","16.510000"
"2016-04-01","16.330000"
"2016-04-04","15.940000"
"2016-04-05","15.620000"
"2016-04-06","15.590000"
"2016-04-07","15.870000"
"2016-04-08","15.680000"
"2016-04-11","15.560000"
"2016-04-12","15.910000"
"2016-04-13","16.990000"
"2016-04-14","16.670000"
"2016-04-15","16.600000"
"2016-04-18","16.400000"
"2016-04-19","16.690001"
"2016-04-20","16.730000"
"2016-04-21","15.530000"
"2016-04-22","15.480000"
"2016-04-25","14.670000"
"2016-04-26","15.030000"
"2016-04-27","15.200000"
"2016-04-28","15.270000"
"2016-04-29","14.800000"
"2016-05-02","15.360000"
"2016-05-03","15.250000"
"2016-05-04","15.120000"
"2016-05-05","14.790000"
"2016-05-06","14.890000"
"2016-05-09","14.420000"
"2016-05-10","15.170000"
"2016-05-11","14.640000"
"2016-05-12","14.590000"
"2016-05-13","14.620000"
"2016-05-16","14.830000"
"2016-05-17","14.690000"
"2016-05-18","14.270000"
"2016-05-19","14.230000"
"2016-05-20","14.300000"
"2016-05-23","14.250000"
"2016-05-24","14.620000"
"2016-05-25","14.750000"
"2016-05-26","14.470000"
"2016-05-27","14.730000"
"2016-05-31","14.470000"
"2016-06-01","14.330000"
"2016-06-02","14.010000"
"2016-06-03","14.060000"
"2016-06-06","14.000000"
"2016-06-07","14.030000"
"2016-06-08","14.000000"
"2016-06-09","13.920000"
