"date, price"
"2014-12-04","35.536667"
"2014-12-05","35.563332"
"2014-12-08","35.506668"
"2014-12-09","35.470001"
"2014-12-10","35.503334"
"2014-12-11","36.130001"
"2014-12-12","35.036667"
"2014-12-15","35.003334"
"2014-12-16","35.413334"
"2014-12-17","36.186668"
"2014-12-18","37.376667"
"2014-12-19","37.209999"
"2014-12-22","37.376667"
"2014-12-23","37.346668"
"2014-12-24","37.520000"
"2014-12-26","37.169998"
"2014-12-29","37.073334"
"2014-12-30","36.526669"
"2014-12-31","36.116669"
"2015-01-02","36.053333"
"2015-01-05","36.476665"
"2015-01-06","37.426666"
"2015-01-07","38.653332"
"2015-01-08","39.236668"
"2015-01-09","39.013332"
"2015-01-12","37.320000"
"2015-01-13","37.703335"
"2015-01-14","39.246666"
"2015-01-15","38.753334"
"2015-01-16","39.630001"
"2015-01-20","39.146667"
"2015-01-21","39.513332"
"2015-01-22","39.996666"
"2015-01-23","39.770000"
"2015-01-26","39.983334"
"2015-01-27","39.603333"
"2015-01-28","39.736668"
"2015-01-29","40.256668"
"2015-01-30","38.983334"
"2015-02-02","39.183334"
"2015-02-03","38.889999"
"2015-02-04","39.576668"
"2015-02-05","39.456669"
"2015-02-06","39.049999"
"2015-02-09","38.646667"
"2015-02-10","39.496666"
"2015-02-11","39.663334"
"2015-02-12","39.836666"
"2015-02-13","39.246666"
"2015-02-17","39.570000"
"2015-02-18","40.093334"
"2015-02-19","40.376667"
"2015-02-20","40.419998"
"2015-02-23","40.706669"
"2015-02-24","41.603333"
"2015-02-25","41.263332"
"2015-02-26","41.580002"
"2015-02-27","47.040001"
"2015-03-02","47.076668"
"2015-03-03","46.896667"
"2015-03-04","46.513332"
"2015-03-05","46.676666"
"2015-03-06","45.540001"
"2015-03-09","45.736668"
"2015-03-10","45.306667"
"2015-03-11","45.320000"
"2015-03-12","45.950001"
"2015-03-13","45.160000"
"2015-03-16","46.013332"
"2015-03-17","45.430000"
"2015-03-18","45.570000"
"2015-03-19","46.093334"
"2015-03-20","45.840000"
"2015-03-23","45.980000"
"2015-03-24","46.233334"
"2015-03-25","45.343334"
"2015-03-26","45.523335"
"2015-03-27","45.996666"
"2015-03-30","46.813332"
"2015-03-31","46.133331"
"2015-04-01","45.549999"
"2015-04-02","45.220001"
"2015-04-06","45.906666"
"2015-04-07","45.840000"
"2015-04-08","45.930000"
"2015-04-09","45.866669"
"2015-04-10","46.113335"
"2015-04-13","45.926666"
"2015-04-14","45.266666"
"2015-04-15","45.896667"
"2015-04-16","46.000000"
"2015-04-17","45.636665"
"2015-04-20","46.526669"
"2015-04-21","46.616669"
"2015-04-22","46.636665"
"2015-04-23","46.786667"
"2015-04-24","47.259998"
"2015-04-27","47.813332"
"2015-04-28","46.913334"
"2015-04-29","46.386665"
"2015-04-30","45.703335"
"2015-05-01","47.043331"
"2015-05-04","47.283333"
"2015-05-05","46.876667"
"2015-05-06","46.826668"
"2015-05-07","47.830002"
"2015-05-08","42.823334"
"2015-05-11","44.669998"
"2015-05-12","43.973331"
"2015-05-13","43.313332"
"2015-05-14","44.213333"
"2015-05-15","44.106667"
"2015-05-18","43.753334"
"2015-05-19","43.433334"
"2015-05-20","43.080002"
"2015-05-21","43.403332"
"2015-05-22","43.136665"
"2015-05-26","42.553333"
"2015-05-27","43.346668"
"2015-05-28","43.066666"
"2015-05-29","42.426666"
"2015-06-01","42.389999"
"2015-06-02","42.040001"
"2015-06-03","41.990002"
"2015-06-04","42.393333"
"2015-06-05","41.849998"
"2015-06-08","41.830002"
"2015-06-09","41.626667"
"2015-06-10","42.343334"
"2015-06-11","42.389999"
"2015-06-12","42.796665"
"2015-06-15","42.303333"
"2015-06-16","44.060001"
"2015-06-17","44.083332"
"2015-06-18","44.619999"
"2015-06-19","44.573334"
"2015-06-22","44.500000"
"2015-06-23","44.466667"
"2015-06-24","44.320000"
"2015-06-25","45.590000"
"2015-06-26","46.470001"
"2015-06-29","44.796665"
"2015-06-30","44.673332"
"2015-07-01","44.833332"
"2015-07-02","44.533333"
"2015-07-06","44.939999"
"2015-07-07","45.446667"
"2015-07-08","44.599998"
"2015-07-09","44.480000"
"2015-07-10","45.369999"
"2015-07-13","46.463333"
"2015-07-14","46.959999"
"2015-07-15","46.706669"
"2015-07-16","46.560001"
"2015-07-17","46.686668"
"2015-07-20","47.583332"
"2015-07-21","48.016666"
"2015-07-22","49.283333"
"2015-07-23","49.509998"
"2015-07-24","49.630001"
"2015-07-27","49.586666"
"2015-07-28","49.996666"
"2015-07-29","50.439999"
"2015-07-30","50.726665"
"2015-07-31","51.183334"
"2015-08-03","51.936668"
"2015-08-04","50.573334"
"2015-08-05","51.333332"
"2015-08-06","48.290001"
"2015-08-07","49.723331"
"2015-08-10","48.243332"
"2015-08-11","47.599998"
"2015-08-12","47.383331"
"2015-08-13","49.686668"
"2015-08-14","50.133331"
"2015-08-17","50.236668"
"2015-08-18","50.173332"
"2015-08-19","49.083332"
"2015-08-20","48.200001"
"2015-08-21","46.303333"
"2015-08-24","45.153332"
"2015-08-25","44.786667"
"2015-08-26","46.196667"
"2015-08-27","46.669998"
"2015-08-28","46.810001"
"2015-08-31","46.153332"
"2015-09-01","45.009998"
"2015-09-02","45.466667"
"2015-09-03","45.213333"
"2015-09-04","44.746666"
"2015-09-08","45.633331"
"2015-09-09","44.133331"
"2015-09-10","44.080002"
"2015-09-11","44.256668"
"2015-09-14","44.053333"
"2015-09-15","44.160000"
"2015-09-16","44.643333"
"2015-09-17","44.900002"
"2015-09-18","44.866669"
"2015-09-21","45.080002"
"2015-09-22","44.846668"
"2015-09-23","44.786667"
"2015-09-24","45.713333"
"2015-09-25","45.410000"
"2015-09-28","44.693333"
"2015-09-29","44.849998"
"2015-09-30","45.046665"
"2015-10-01","44.733334"
"2015-10-02","44.643333"
"2015-10-05","45.040001"
"2015-10-06","44.633331"
"2015-10-07","44.886665"
"2015-10-08","45.386665"
"2015-10-09","45.810001"
"2015-10-12","45.820000"
"2015-10-13","43.893333"
"2015-10-14","42.856667"
"2015-10-15","43.520000"
"2015-10-16","44.083332"
"2015-10-19","44.233334"
"2015-10-20","46.536667"
"2015-10-21","46.296665"
"2015-10-22","47.490002"
"2015-10-23","47.193333"
"2015-10-26","47.153332"
"2015-10-27","46.869999"
"2015-10-28","47.113335"
"2015-10-29","45.546665"
"2015-10-30","45.439999"
"2015-11-02","44.993332"
"2015-11-03","44.900002"
"2015-11-04","44.273335"
"2015-11-05","44.080002"
"2015-11-06","50.080002"
"2015-11-09","49.683334"
"2015-11-10","50.630001"
"2015-11-11","50.683334"
"2015-11-12","49.486668"
"2015-11-13","48.910000"
"2015-11-16","49.156666"
"2015-11-17","48.536667"
"2015-11-18","49.709999"
"2015-11-19","49.786667"
"2015-11-20","49.363335"
"2015-11-23","50.136665"
"2015-11-24","50.753334"
"2015-11-25","52.136665"
"2015-11-27","52.180000"
"2015-11-30","51.536667"
"2015-12-01","52.406666"
"2015-12-02","51.603333"
"2015-12-03","51.023335"
"2015-12-04","52.233334"
"2015-12-07","51.860001"
"2015-12-08","52.166668"
"2015-12-09","50.666668"
"2015-12-10","50.610001"
"2015-12-11","49.913334"
"2015-12-14","50.636665"
"2015-12-15","50.860001"
"2015-12-16","51.103333"
"2015-12-17","50.096668"
"2015-12-18","48.613335"
"2015-12-21","49.160000"
"2015-12-22","49.166668"
"2015-12-23","49.156666"
"2015-12-24","49.606667"
"2015-12-28","49.386665"
"2015-12-29","50.056667"
"2015-12-30","50.080002"
"2015-12-31","49.653332"
"2016-01-04","48.113335"
"2016-01-05","48.689999"
"2016-01-06","48.766666"
"2016-01-07","48.400002"
"2016-01-08","48.083332"
"2016-01-11","48.680000"
"2016-01-12","49.099998"
"2016-01-13","47.889999"
"2016-01-14","47.473331"
"2016-01-15","47.043331"
"2016-01-19","48.253334"
"2016-01-20","46.673332"
"2016-01-21","46.006668"
"2016-01-22","48.053333"
"2016-01-25","46.696667"
"2016-01-26","46.349998"
"2016-01-27","45.990002"
"2016-01-28","45.733334"
"2016-01-29","45.009998"
"2016-02-01","45.810001"
"2016-02-02","45.373333"
"2016-02-03","44.973331"
"2016-02-04","42.820000"
"2016-02-05","41.243332"
"2016-02-08","39.240002"
"2016-02-09","39.636665"
"2016-02-10","38.939999"
"2016-02-11","39.633331"
"2016-02-12","40.790001"
"2016-02-16","41.436668"
"2016-02-17","41.813332"
"2016-02-18","42.023335"
"2016-02-19","42.526669"
"2016-02-22","43.270000"
"2016-02-23","42.930000"
"2016-02-24","44.133331"
"2016-02-25","44.369999"
"2016-02-26","43.596668"
"2016-02-29","41.833332"
"2016-03-01","43.243332"
"2016-03-02","42.583332"
"2016-03-03","42.823334"
"2016-03-04","42.963333"
"2016-03-07","42.663334"
"2016-03-08","43.110001"
"2016-03-09","43.356667"
"2016-03-10","43.883331"
"2016-03-11","44.619999"
"2016-03-14","43.986668"
"2016-03-15","43.993332"
"2016-03-16","45.393333"
"2016-03-17","45.393333"
"2016-03-18","45.509998"
"2016-03-21","44.840000"
"2016-03-22","44.866669"
"2016-03-23","44.276669"
"2016-03-24","43.750000"
"2016-03-28","44.413334"
"2016-03-29","44.536667"
"2016-03-30","44.966667"
"2016-03-31","44.459999"
"2016-04-01","44.930000"
"2016-04-04","44.923332"
"2016-04-05","44.873333"
"2016-04-06","44.723331"
"2016-04-07","43.986668"
"2016-04-08","44.193333"
"2016-04-11","43.546665"
"2016-04-12","43.396667"
"2016-04-13","42.959999"
"2016-04-14","42.813332"
"2016-04-15","42.776669"
"2016-04-18","42.549999"
"2016-04-19","43.103333"
"2016-04-20","42.230000"
"2016-04-21","41.513332"
"2016-04-22","40.996666"
"2016-04-25","41.639999"
"2016-04-26","41.259998"
"2016-04-27","41.143333"
"2016-04-28","42.613335"
"2016-04-29","48.073334"
"2016-05-02","49.310001"
"2016-05-03","48.773335"
"2016-05-04","48.783333"
"2016-05-05","48.650002"
"2016-05-06","49.376667"
"2016-05-09","49.596668"
"2016-05-10","51.033333"
"2016-05-11","50.143333"
"2016-05-12","50.056667"
"2016-05-13","49.536667"
"2016-05-16","50.240002"
"2016-05-17","49.766666"
"2016-05-18","49.606667"
"2016-05-19","49.486668"
"2016-05-20","49.299999"
"2016-05-23","49.443333"
"2016-05-24","50.036667"
"2016-05-25","49.843334"
"2016-05-26","50.003334"
"2016-05-27","50.169998"
"2016-05-31","50.000000"
"2016-06-01","50.466667"
"2016-06-02","50.820000"
"2016-06-03","50.953335"
"2016-06-06","51.453335"
"2016-06-07","51.273335"
"2016-06-08","51.726665"
"2016-06-09","51.669998"
"2016-06-10","51.180000"
"2016-06-13","50.259998"
"2016-06-14","50.993332"
"2016-06-15","51.209999"
"2016-06-16","51.939999"
"2016-06-17","51.993332"
"2016-06-20","52.056667"
"2016-06-21","52.610001"
"2016-06-22","52.310001"
"2016-06-23","52.473331"
