"date, price"
"2014-12-04","49.160000"
"2014-12-05","49.669998"
"2014-12-08","48.500000"
"2014-12-09","49.709999"
"2014-12-10","49.000000"
"2014-12-11","49.139999"
"2014-12-12","48.560001"
"2014-12-15","48.029999"
"2014-12-16","47.459999"
"2014-12-17","47.770000"
"2014-12-18","48.810001"
"2014-12-19","48.730000"
"2014-12-22","49.500000"
"2014-12-23","49.130001"
"2014-12-24","50.000000"
"2014-12-26","50.439999"
"2014-12-29","50.060001"
"2014-12-30","49.810001"
"2014-12-31","49.740002"
"2015-01-02","48.619999"
"2015-01-05","47.669998"
"2015-01-06","46.090000"
"2015-01-07","46.759998"
"2015-01-08","48.380001"
"2015-01-09","48.090000"
"2015-01-12","47.130001"
"2015-01-13","46.939999"
"2015-01-14","46.790001"
"2015-01-15","45.799999"
"2015-01-16","46.810001"
"2015-01-20","46.650002"
"2015-01-21","46.459999"
"2015-01-22","47.009998"
"2015-01-23","48.000000"
"2015-01-26","47.840000"
"2015-01-27","47.730000"
"2015-01-28","47.840000"
"2015-01-29","48.880001"
"2015-01-30","47.490002"
"2015-02-02","47.430000"
"2015-02-03","48.529999"
"2015-02-04","47.799999"
"2015-02-05","47.529999"
"2015-02-06","48.209999"
"2015-02-09","47.369999"
"2015-02-10","49.099998"
"2015-02-11","49.509998"
"2015-02-12","50.160000"
"2015-02-13","50.320000"
"2015-02-17","50.610001"
"2015-02-18","50.450001"
"2015-02-19","51.040001"
"2015-02-20","51.990002"
"2015-02-23","52.220001"
"2015-02-24","52.720001"
"2015-02-25","52.750000"
"2015-02-26","53.080002"
"2015-02-27","52.730000"
"2015-03-02","54.160000"
"2015-03-03","53.560001"
"2015-03-04","53.150002"
"2015-03-05","52.689999"
"2015-03-06","51.720001"
"2015-03-09","52.299999"
"2015-03-10","52.279999"
"2015-03-11","53.189999"
"2015-03-12","53.029999"
"2015-03-13","52.619999"
"2015-03-16","53.730000"
"2015-03-17","54.040001"
"2015-03-18","54.169998"
"2015-03-19","54.709999"
"2015-03-20","56.119999"
"2015-03-23","55.490002"
"2015-03-24","54.500000"
"2015-03-25","52.040001"
"2015-03-26","51.369999"
"2015-03-27","52.799999"
"2015-03-30","53.340000"
"2015-03-31","52.650002"
"2015-04-01","51.990002"
"2015-04-02","51.700001"
"2015-04-06","51.900002"
"2015-04-07","51.509998"
"2015-04-08","51.750000"
"2015-04-09","51.810001"
"2015-04-10","52.209999"
"2015-04-13","51.740002"
"2015-04-14","51.639999"
"2015-04-15","52.959999"
"2015-04-16","53.470001"
"2015-04-17","52.790001"
"2015-04-20","53.400002"
"2015-04-21","53.959999"
"2015-04-22","53.919998"
"2015-04-23","53.509998"
"2015-04-24","49.959999"
"2015-04-27","50.419998"
"2015-04-28","50.980000"
"2015-04-29","52.009998"
"2015-04-30","51.830002"
"2015-05-01","52.919998"
"2015-05-04","52.790001"
"2015-05-05","51.700001"
"2015-05-06","51.560001"
"2015-05-07","51.910000"
"2015-05-08","52.549999"
"2015-05-11","52.209999"
"2015-05-12","52.160000"
"2015-05-13","52.330002"
"2015-05-14","53.169998"
"2015-05-15","52.900002"
"2015-05-18","54.299999"
"2015-05-19","53.860001"
"2015-05-20","53.619999"
"2015-05-21","54.099998"
"2015-05-22","54.130001"
"2015-05-26","53.340000"
"2015-05-27","54.730000"
"2015-05-28","54.950001"
"2015-05-29","54.599998"
"2015-06-01","54.529999"
"2015-06-02","54.380001"
"2015-06-03","54.590000"
"2015-06-04","54.099998"
"2015-06-05","53.639999"
"2015-06-08","52.459999"
