"date, price"
"2018-12-07","18.600000"
"2018-12-10","18.799999"
"2018-12-11","18.010000"
"2018-12-12","18.680000"
"2018-12-13","18.760000"
"2018-12-14","18.320000"
"2018-12-17","17.000000"
"2018-12-18","17.000000"
"2018-12-19","16.180000"
"2018-12-20","15.500000"
"2018-12-21","14.470000"
"2018-12-24","14.030000"
"2018-12-26","13.520000"
"2018-12-27","14.650000"
"2018-12-28","14.150000"
"2018-12-31","15.270000"
"2019-01-02","15.330000"
"2019-01-03","15.500000"
"2019-01-04","16.959999"
"2019-01-07","16.270000"
"2019-01-08","16.950001"
"2019-01-09","16.330000"
"2019-01-10","16.480000"
"2019-01-11","17.000000"
"2019-01-14","16.740000"
"2019-01-15","16.590000"
"2019-01-16","16.260000"
"2019-01-17","16.309999"
"2019-01-18","16.690001"
"2019-01-22","15.560000"
"2019-01-23","14.790000"
"2019-01-24","14.640000"
"2019-01-25","14.910000"
"2019-01-28","14.450000"
"2019-01-29","14.630000"
"2019-01-30","15.130000"
"2019-01-31","16.600000"
"2019-02-01","16.219999"
"2019-02-04","16.270000"
"2019-02-05","17.180000"
"2019-02-06","18.139999"
"2019-02-07","17.049999"
"2019-02-08","17.990000"
"2019-02-11","18.170000"
"2019-02-12","18.690001"
"2019-02-13","18.530001"
"2019-02-14","19.660000"
"2019-02-15","21.440001"
"2019-02-19","20.830000"
"2019-02-20","19.920000"
"2019-02-21","19.340000"
"2019-02-22","19.879999"
"2019-02-25","21.650000"
"2019-02-26","23.700001"
"2019-02-27","22.100000"
"2019-02-28","22.600000"
"2019-03-01","22.270000"
"2019-03-04","21.120001"
"2019-03-05","21.370001"
"2019-03-06","20.650000"
"2019-03-07","20.590000"
"2019-03-08","20.930000"
"2019-03-11","20.430000"
"2019-03-12","19.260000"
"2019-03-13","19.969999"
"2019-03-14","20.820000"
"2019-03-15","21.820000"
"2019-03-18","22.180000"
"2019-03-19","20.350000"
"2019-03-20","20.000000"
"2019-03-21","19.340000"
"2019-03-22","19.000000"
"2019-03-25","19.400000"
"2019-03-26","19.900000"
"2019-03-27","19.270000"
"2019-03-28","19.660000"
"2019-03-29","20.350000"
"2019-04-01","20.590000"
"2019-04-02","19.700001"
"2019-04-03","21.330000"
"2019-04-04","23.080000"
"2019-04-05","25.959999"
"2019-04-08","27.230000"
"2019-04-09","26.820000"
"2019-04-10","26.799999"
"2019-04-11","25.730000"
"2019-04-12","24.610001"
"2019-04-15","25.840000"
"2019-04-16","23.780001"
"2019-04-17","23.500000"
"2019-04-18","22.510000"
"2019-04-22","23.629999"
"2019-04-23","24.700001"
"2019-04-24","25.760000"
"2019-04-25","25.740000"
"2019-04-26","26.260000"
"2019-04-29","25.139999"
"2019-04-30","26.030001"
"2019-05-01","26.400000"
"2019-05-02","28.340000"
"2019-05-03","27.200001"
"2019-05-06","27.100000"
"2019-05-07","24.549999"
"2019-05-08","23.540001"
"2019-05-09","23.260000"
"2019-05-10","24.920000"
"2019-05-13","24.430000"
"2019-05-14","23.590000"
"2019-05-15","23.120001"
"2019-05-16","23.459999"
"2019-05-17","23.080000"
"2019-05-20","22.600000"
"2019-05-21","22.700001"
"2019-05-22","22.000000"
"2019-05-23","21.379999"
"2019-05-24","21.830000"
"2019-05-28","21.540001"
"2019-05-29","21.700001"
"2019-05-30","21.490000"
"2019-05-31","20.780001"
"2019-06-03","19.850000"
"2019-06-04","19.469999"
"2019-06-05","17.700001"
"2019-06-06","17.940001"
"2019-06-07","17.520000"
"2019-06-10","15.670000"
"2019-06-11","16.000000"
"2019-06-12","16.299999"
"2019-06-13","16.160000"
"2019-06-14","15.400000"
"2019-06-17","15.770000"
"2019-06-18","15.740000"
"2019-06-19","15.500000"
"2019-06-20","15.180000"
"2019-06-21","14.700000"
"2019-06-24","14.040000"
"2019-06-25","13.770000"
"2019-06-26","13.700000"
"2019-06-27","14.340000"
"2019-06-28","14.640000"
"2019-07-01","14.730000"
"2019-07-02","14.400000"
"2019-07-03","15.310000"
"2019-07-05","14.960000"
"2019-07-08","14.290000"
"2019-07-09","14.850000"
"2019-07-10","14.480000"
"2019-07-11","14.440000"
"2019-07-12","14.200000"
"2019-07-15","14.320000"
"2019-07-16","14.140000"
"2019-07-17","14.030000"
"2019-07-18","14.260000"
"2019-07-19","14.110000"
"2019-07-22","14.050000"
"2019-07-23","13.600000"
"2019-07-24","14.470000"
"2019-07-25","13.510000"
"2019-07-26","14.120000"
"2019-07-29","13.690000"
"2019-07-30","13.400000"
"2019-07-31","13.100000"
"2019-08-01","13.010000"
"2019-08-02","12.730000"
"2019-08-05","12.260000"
"2019-08-06","12.290000"
"2019-08-07","12.850000"
"2019-08-08","13.190000"
"2019-08-09","13.330000"
"2019-08-12","13.020000"
"2019-08-13","13.300000"
"2019-08-14","12.740000"
"2019-08-15","12.670000"
"2019-08-16","13.160000"
"2019-08-19","13.400000"
"2019-08-20","14.150000"
"2019-08-21","14.290000"
"2019-08-22","14.160000"
"2019-08-23","13.880000"
"2019-08-26","14.970000"
"2019-08-27","14.510000"
"2019-08-28","14.820000"
"2019-08-29","15.180000"
"2019-08-30","15.730000"
"2019-09-03","14.880000"
"2019-09-04","15.420000"
"2019-09-05","15.530000"
"2019-09-06","15.880000"
"2019-09-09","16.030001"
"2019-09-10","17.090000"
"2019-09-11","15.920000"
"2019-09-12","16.400000"
"2019-09-13","16.709999"
"2019-09-16","17.049999"
"2019-09-17","17.660000"
"2019-09-18","17.780001"
"2019-09-19","17.900000"
"2019-09-20","18.070000"
"2019-09-23","17.830000"
"2019-09-24","17.820000"
"2019-09-25","17.180000"
"2019-09-26","16.340000"
"2019-09-27","15.900000"
"2019-09-30","15.920000"
"2019-10-01","14.810000"
"2019-10-02","14.860000"
"2019-10-03","15.070000"
"2019-10-04","15.510000"
"2019-10-07","15.470000"
"2019-10-08","15.310000"
"2019-10-09","14.200000"
"2019-10-10","14.160000"
"2019-10-11","14.055000"
"2019-10-14","13.930000"
"2019-10-15","14.330000"
"2019-10-16","14.150000"
"2019-10-17","14.540000"
"2019-10-18","14.810000"
"2019-10-21","15.500000"
"2019-10-22","15.920000"
"2019-10-23","16.900000"
"2019-10-24","16.590000"
"2019-10-25","17.010000"
"2019-10-28","17.030001"
"2019-10-29","16.990000"
"2019-10-30","17.139999"
"2019-10-31","16.750000"
"2019-11-01","15.660000"
"2019-11-04","16.799999"
"2019-11-05","16.889999"
"2019-11-06","16.129999"
"2019-11-07","17.500000"
"2019-11-08","17.490000"
"2019-11-11","17.400000"
"2019-11-12","17.990000"
"2019-11-13","18.250000"
"2019-11-14","18.340000"
"2019-11-15","19.370001"
"2019-11-18","19.450001"
"2019-11-19","19.360001"
"2019-11-20","20.180000"
"2019-11-21","20.200001"
"2019-11-22","20.690001"
"2019-11-25","20.000000"
"2019-11-26","20.330000"
"2019-11-27","20.370001"
"2019-11-29","20.360001"
"2019-12-02","19.760000"
"2019-12-03","21.280001"
"2019-12-04","21.270000"
"2019-12-05","20.639999"
"2019-12-06","18.940001"
"2019-12-09","18.780001"
"2019-12-10","18.870001"
"2019-12-11","18.650000"
"2019-12-12","18.450001"
"2019-12-13","18.620001"
"2019-12-16","18.520000"
"2019-12-17","18.440001"
"2019-12-18","18.639999"
"2019-12-19","19.410000"
"2019-12-20","19.830000"
"2019-12-23","19.700001"
"2019-12-24","19.750000"
"2019-12-26","19.860001"
"2019-12-27","19.520000"
"2019-12-30","19.049999"
"2019-12-31","19.559999"
"2020-01-02","19.230000"
"2020-01-03","18.889999"
"2020-01-06","18.129999"
"2020-01-07","17.780001"
"2020-01-08","17.980000"
"2020-01-09","18.400000"
"2020-01-10","19.139999"
"2020-01-13","20.260000"
"2020-01-14","20.000000"
"2020-01-15","20.240000"
"2020-01-16","21.010000"
"2020-01-17","20.620001"
"2020-01-21","20.940001"
"2020-01-22","21.969999"
"2020-01-23","21.469999"
"2020-01-24","21.120001"
"2020-01-27","22.740000"
"2020-01-28","22.360001"
"2020-01-29","20.549999"
"2020-01-30","20.990000"
"2020-01-31","20.510000"
"2020-02-03","20.379999"
"2020-02-04","20.870001"
"2020-02-05","20.049999"
"2020-02-06","19.879999"
"2020-02-07","23.240000"
"2020-02-10","23.650000"
"2020-02-11","21.350000"
"2020-02-12","19.010000"
"2020-02-13","19.045000"
"2020-02-14","19.000000"
"2020-02-18","18.910000"
"2020-02-19","18.920000"
"2020-02-20","18.540001"
"2020-02-21","18.230000"
"2020-02-24","18.590000"
"2020-02-25","23.760000"
"2020-02-26","29.160000"
"2020-02-27","26.160000"
"2020-02-28","25.930000"
"2020-03-02","29.879999"
"2020-03-03","27.910000"
"2020-03-04","27.490000"
"2020-03-05","28.010000"
"2020-03-06","29.610001"
"2020-03-09","24.290001"
"2020-03-10","22.340000"
"2020-03-11","23.610001"
"2020-03-12","22.299999"
"2020-03-13","21.299999"
"2020-03-16","26.490000"
"2020-03-17","28.180000"
"2020-03-18","31.580000"
"2020-03-19","28.270000"
"2020-03-20","28.200001"
"2020-03-23","26.570000"
"2020-03-24","25.820000"
"2020-03-25","27.129999"
"2020-03-26","27.940001"
"2020-03-27","30.049999"
"2020-03-30","30.480000"
"2020-03-31","29.950001"
"2020-04-01","29.670000"
"2020-04-02","33.200001"
"2020-04-03","34.840000"
"2020-04-06","34.639999"
"2020-04-07","32.020000"
"2020-04-08","32.419998"
"2020-04-09","31.860001"
"2020-04-13","32.900002"
"2020-04-14","34.660000"
"2020-04-15","37.250000"
"2020-04-16","40.599998"
"2020-04-17","46.849998"
"2020-04-20","51.689999"
"2020-04-21","49.259998"
"2020-04-22","51.200001"
"2020-04-23","47.439999"
"2020-04-24","50.500000"
"2020-04-27","48.049999"
"2020-04-28","47.880001"
"2020-04-29","46.369999"
"2020-04-30","45.990002"
"2020-05-01","47.930000"
"2020-05-04","50.500000"
"2020-05-05","49.340000"
"2020-05-06","48.950001"
"2020-05-07","53.189999"
"2020-05-08","59.250000"
"2020-05-11","66.900002"
"2020-05-12","62.349998"
"2020-05-13","65.180000"
"2020-05-14","64.559998"
"2020-05-15","66.690002"
"2020-05-18","80.000000"
"2020-05-19","71.669998"
"2020-05-20","73.470001"
"2020-05-21","67.050003"
"2020-05-22","69.000000"
"2020-05-26","57.709999"
"2020-05-27","52.180000"
"2020-05-28","55.540001"
"2020-05-29","61.500000"
"2020-06-01","62.180000"
"2020-06-02","59.869999"
"2020-06-03","59.889999"
"2020-06-04","60.590000"
"2020-06-05","58.189999"
"2020-06-08","59.099998"
"2020-06-09","58.230000"
"2020-06-10","60.070000"
"2020-06-11","60.200001"
"2020-06-12","62.000000"
"2020-06-15","66.570000"
"2020-06-16","64.339996"
"2020-06-17","63.310001"
"2020-06-18","64.949997"
