"date, price"
"2014-12-04","15.010000"
"2014-12-05","15.100000"
"2014-12-08","15.230000"
"2014-12-09","14.750000"
"2014-12-10","14.290000"
"2014-12-11","14.400000"
"2014-12-12","14.190000"
"2014-12-15","14.080000"
"2014-12-16","13.790000"
"2014-12-17","14.200000"
"2014-12-18","14.190000"
"2014-12-19","14.180000"
"2014-12-22","14.420000"
"2014-12-23","14.330000"
"2014-12-24","14.330000"
"2014-12-26","14.370000"
"2014-12-29","14.330000"
"2014-12-30","14.470000"
"2014-12-31","14.500000"
"2015-01-02","14.520000"
"2015-01-05","14.280000"
"2015-01-06","14.830000"
"2015-01-07","15.040000"
"2015-01-08","16.020000"
"2015-01-09","16.030001"
"2015-01-12","15.920000"
"2015-01-13","15.710000"
"2015-01-14","15.510000"
"2015-01-15","15.350000"
"2015-01-16","15.540000"
"2015-01-20","15.690000"
"2015-01-21","15.760000"
"2015-01-22","15.690000"
"2015-01-23","15.520000"
"2015-01-26","15.630000"
"2015-01-27","15.480000"
"2015-01-28","15.300000"
"2015-01-29","15.270000"
"2015-01-30","15.490000"
"2015-02-02","15.400000"
"2015-02-03","15.940000"
"2015-02-04","16.129999"
"2015-02-05","16.180000"
"2015-02-06","16.230000"
"2015-02-09","16.070000"
"2015-02-10","16.350000"
"2015-02-11","16.360001"
"2015-02-12","16.510000"
"2015-02-13","16.590000"
"2015-02-17","16.340000"
"2015-02-18","16.230000"
"2015-02-19","16.400000"
"2015-02-20","16.290001"
"2015-02-23","16.090000"
"2015-02-24","16.180000"
"2015-02-25","16.340000"
"2015-02-26","16.100000"
"2015-02-27","16.120001"
"2015-03-02","16.410000"
"2015-03-03","16.000000"
"2015-03-04","16.209999"
"2015-03-05","16.510000"
"2015-03-06","16.559999"
"2015-03-09","16.500000"
"2015-03-10","16.320000"
"2015-03-11","16.190001"
"2015-03-12","16.070000"
"2015-03-13","16.059999"
"2015-03-16","15.990000"
"2015-03-17","15.730000"
"2015-03-18","15.830000"
"2015-03-19","15.800000"
"2015-03-20","15.720000"
"2015-03-23","15.580000"
"2015-03-24","15.470000"
"2015-03-25","14.870000"
"2015-03-26","14.960000"
"2015-03-27","15.240000"
"2015-03-30","15.180000"
"2015-03-31","14.700000"
"2015-04-01","14.970000"
"2015-04-02","14.770000"
"2015-04-06","14.930000"
"2015-04-07","15.060000"
"2015-04-08","15.000000"
"2015-04-09","15.380000"
"2015-04-10","15.270000"
"2015-04-13","15.260000"
"2015-04-14","15.150000"
"2015-04-15","15.360000"
"2015-04-16","15.330000"
"2015-04-17","15.010000"
"2015-04-20","15.020000"
"2015-04-21","14.940000"
"2015-04-22","14.760000"
"2015-04-23","14.540000"
"2015-04-24","14.310000"
"2015-04-27","14.070000"
"2015-04-28","14.120000"
"2015-04-29","14.060000"
"2015-04-30","14.010000"
"2015-05-01","14.300000"
"2015-05-04","14.170000"
"2015-05-05","13.900000"
"2015-05-06","14.060000"
"2015-05-07","14.090000"
"2015-05-08","14.190000"
"2015-05-11","14.080000"
"2015-05-12","14.090000"
"2015-05-13","14.110000"
"2015-05-14","14.240000"
"2015-05-15","14.290000"
"2015-05-18","14.390000"
"2015-05-19","14.160000"
"2015-05-20","14.140000"
"2015-05-21","14.370000"
"2015-05-22","13.140000"
"2015-05-26","13.440000"
"2015-05-27","13.900000"
"2015-05-28","14.200000"
"2015-05-29","13.990000"
"2015-06-01","14.090000"
"2015-06-02","14.010000"
"2015-06-03","14.100000"
"2015-06-04","14.120000"
"2015-06-05","14.200000"
"2015-06-08","13.890000"
"2015-06-09","14.130000"
"2015-06-10","14.170000"
"2015-06-11","14.470000"
"2015-06-12","14.290000"
"2015-06-15","14.090000"
"2015-06-16","14.130000"
"2015-06-17","14.100000"
"2015-06-18","14.460000"
"2015-06-19","14.600000"
"2015-06-22","14.590000"
"2015-06-23","14.490000"
"2015-06-24","14.350000"
"2015-06-25","14.320000"
"2015-06-26","13.930000"
"2015-06-29","13.280000"
"2015-06-30","13.190000"
"2015-07-01","13.300000"
"2015-07-02","13.420000"
"2015-07-06","13.260000"
"2015-07-07","13.160000"
"2015-07-08","12.820000"
"2015-07-09","12.400000"
"2015-07-10","12.510000"
"2015-07-13","13.190000"
"2015-07-14","12.920000"
"2015-07-15","12.710000"
"2015-07-16","12.780000"
"2015-07-17","12.850000"
"2015-07-20","12.580000"
"2015-07-21","12.580000"
"2015-07-22","12.400000"
"2015-07-23","12.420000"
"2015-07-24","12.190000"
"2015-07-27","12.290000"
"2015-07-28","12.440000"
"2015-07-29","12.580000"
"2015-07-30","12.650000"
"2015-07-31","12.440000"
"2015-08-03","12.480000"
"2015-08-04","12.260000"
"2015-08-05","12.860000"
"2015-08-06","12.440000"
"2015-08-07","12.510000"
"2015-08-10","12.640000"
"2015-08-11","12.550000"
"2015-08-12","12.400000"
"2015-08-13","12.260000"
"2015-08-14","12.430000"
"2015-08-17","12.420000"
"2015-08-18","12.160000"
"2015-08-19","11.910000"
"2015-08-20","11.420000"
"2015-08-21","11.170000"
"2015-08-24","10.610000"
"2015-08-25","10.380000"
"2015-08-26","10.480000"
"2015-08-27","11.120000"
"2015-08-28","11.320000"
"2015-08-31","11.270000"
"2015-09-01","10.890000"
"2015-09-02","11.020000"
"2015-09-03","11.120000"
"2015-09-04","10.850000"
"2015-09-08","10.910000"
"2015-09-09","10.540000"
"2015-09-10","10.550000"
"2015-09-11","8.840000"
"2015-09-14","8.620000"
"2015-09-15","8.640000"
"2015-09-16","9.040000"
"2015-09-17","8.900000"
"2015-09-18","8.650000"
"2015-09-21","8.650000"
"2015-09-22","8.840000"
"2015-09-23","8.720000"
"2015-09-24","9.030000"
"2015-09-25","9.330000"
"2015-09-28","9.050000"
"2015-09-29","9.050000"
"2015-09-30","9.050000"
"2015-10-01","8.850000"
"2015-10-02","9.070000"
"2015-10-05","9.130000"
"2015-10-06","9.480000"
"2015-10-07","9.490000"
"2015-10-08","9.430000"
"2015-10-09","9.410000"
"2015-10-12","9.250000"
"2015-10-13","9.290000"
"2015-10-14","9.530000"
"2015-10-15","9.420000"
"2015-10-16","9.350000"
"2015-10-19","9.450000"
"2015-10-20","9.220000"
"2015-10-21","9.090000"
"2015-10-22","9.140000"
"2015-10-23","9.560000"
"2015-10-26","9.450000"
"2015-10-27","8.050000"
"2015-10-28","8.280000"
"2015-10-29","8.220000"
"2015-10-30","8.210000"
"2015-11-02","8.400000"
"2015-11-03","8.550000"
"2015-11-04","8.620000"
"2015-11-05","8.700000"
"2015-11-06","8.900000"
"2015-11-09","8.900000"
"2015-11-10","8.730000"
"2015-11-11","8.810000"
"2015-11-12","8.600000"
"2015-11-13","8.520000"
"2015-11-16","8.620000"
"2015-11-17","8.500000"
"2015-11-18","8.480000"
"2015-11-19","8.770000"
"2015-11-20","8.710000"
"2015-11-23","8.660000"
"2015-11-24","8.550000"
"2015-11-25","8.500000"
"2015-11-27","8.740000"
"2015-11-30","8.860000"
"2015-12-01","9.380000"
"2015-12-02","9.550000"
"2015-12-03","9.100000"
"2015-12-04","9.240000"
"2015-12-07","9.090000"
"2015-12-08","8.420000"
"2015-12-09","8.270000"
"2015-12-10","8.420000"
"2015-12-11","8.230000"
"2015-12-14","8.040000"
"2015-12-15","8.240000"
"2015-12-16","8.560000"
"2015-12-17","8.470000"
"2015-12-18","8.570000"
"2015-12-21","8.550000"
"2015-12-22","8.680000"
"2015-12-23","8.940000"
"2015-12-24","9.020000"
"2015-12-28","8.890000"
"2015-12-29","8.960000"
"2015-12-30","8.760000"
"2015-12-31","8.820000"
"2016-01-04","8.800000"
"2016-01-05","8.520000"
"2016-01-06","8.050000"
"2016-01-07","8.130000"
"2016-01-08","8.220000"
"2016-01-11","8.320000"
"2016-01-12","8.480000"
"2016-01-13","8.290000"
"2016-01-14","8.340000"
"2016-01-15","8.110000"
"2016-01-19","7.770000"
"2016-01-20","7.910000"
"2016-01-21","8.110000"
"2016-01-22","8.180000"
"2016-01-25","8.180000"
"2016-01-26","8.320000"
"2016-01-27","8.190000"
"2016-01-28","8.380000"
"2016-01-29","8.850000"
"2016-02-01","8.930000"
"2016-02-02","8.670000"
"2016-02-03","9.270000"
"2016-02-04","9.300000"
