"date, price"
"2014-12-04","48.840000"
"2014-12-05","48.419998"
"2014-12-08","47.700001"
"2014-12-09","47.590000"
"2014-12-10","46.900002"
"2014-12-11","47.169998"
"2014-12-12","46.950001"
"2014-12-15","46.669998"
"2014-12-16","45.160000"
"2014-12-17","45.740002"
"2014-12-18","47.520000"
"2014-12-19","47.660000"
"2014-12-22","47.980000"
"2014-12-23","48.450001"
"2014-12-24","48.139999"
"2014-12-26","47.880001"
"2014-12-29","47.450001"
"2014-12-30","47.020000"
"2014-12-31","46.450001"
"2015-01-02","46.759998"
"2015-01-05","46.330002"
"2015-01-06","45.650002"
"2015-01-07","46.230000"
"2015-01-08","47.590000"
"2015-01-09","47.189999"
"2015-01-12","46.599998"
"2015-01-13","46.360001"
"2015-01-14","45.959999"
"2015-01-15","45.480000"
"2015-01-16","46.240002"
"2015-01-20","46.389999"
"2015-01-21","45.919998"
"2015-01-22","47.130001"
"2015-01-23","47.180000"
"2015-01-26","47.009998"
"2015-01-27","42.660000"
"2015-01-28","41.189999"
"2015-01-29","42.009998"
"2015-01-30","40.400002"
"2015-02-02","41.279999"
"2015-02-03","41.599998"
"2015-02-04","41.840000"
"2015-02-05","42.450001"
"2015-02-06","42.410000"
"2015-02-09","42.360001"
"2015-02-10","42.599998"
"2015-02-11","42.380001"
"2015-02-12","43.090000"
"2015-02-13","43.869999"
"2015-02-17","43.580002"
"2015-02-18","43.529999"
"2015-02-19","43.500000"
"2015-02-20","43.860001"
"2015-02-23","44.150002"
"2015-02-24","44.090000"
"2015-02-25","43.990002"
"2015-02-26","44.060001"
"2015-02-27","43.849998"
"2015-03-02","43.880001"
"2015-03-03","43.279999"
"2015-03-04","43.060001"
"2015-03-05","43.110001"
"2015-03-06","42.360001"
"2015-03-09","42.849998"
"2015-03-10","42.029999"
"2015-03-11","41.980000"
"2015-03-12","41.020000"
"2015-03-13","41.380001"
"2015-03-16","41.560001"
"2015-03-17","41.700001"
"2015-03-18","42.500000"
"2015-03-19","42.290001"
"2015-03-20","42.880001"
"2015-03-23","42.860001"
"2015-03-24","42.900002"
"2015-03-25","41.459999"
"2015-03-26","41.209999"
"2015-03-27","40.970001"
"2015-03-30","40.959999"
"2015-03-31","40.660000"
"2015-04-01","40.720001"
"2015-04-02","40.290001"
"2015-04-06","41.549999"
"2015-04-07","41.529999"
"2015-04-08","41.419998"
"2015-04-09","41.480000"
"2015-04-10","41.720001"
"2015-04-13","41.759998"
"2015-04-14","41.650002"
"2015-04-15","42.259998"
"2015-04-16","42.160000"
"2015-04-17","41.619999"
"2015-04-20","42.910000"
"2015-04-21","42.639999"
"2015-04-22","42.990002"
"2015-04-23","43.340000"
"2015-04-24","47.869999"
"2015-04-27","48.029999"
"2015-04-28","49.160000"
"2015-04-29","49.060001"
"2015-04-30","48.639999"
"2015-05-01","48.660000"
"2015-05-04","48.240002"
"2015-05-05","47.599998"
"2015-05-06","46.279999"
"2015-05-07","46.700001"
"2015-05-08","47.750000"
"2015-05-11","47.369999"
"2015-05-12","47.349998"
"2015-05-13","47.630001"
"2015-05-14","48.720001"
"2015-05-15","48.299999"
"2015-05-18","48.009998"
"2015-05-19","47.580002"
"2015-05-20","47.580002"
"2015-05-21","47.419998"
"2015-05-22","46.900002"
"2015-05-26","46.590000"
"2015-05-27","47.610001"
"2015-05-28","47.450001"
"2015-05-29","46.860001"
"2015-06-01","47.230000"
"2015-06-02","46.919998"
"2015-06-03","46.849998"
"2015-06-04","46.360001"
"2015-06-05","46.139999"
"2015-06-08","45.730000"
"2015-06-09","45.650002"
"2015-06-10","46.610001"
"2015-06-11","46.439999"
"2015-06-12","45.970001"
"2015-06-15","45.480000"
"2015-06-16","45.830002"
"2015-06-17","45.970001"
"2015-06-18","46.720001"
"2015-06-19","46.099998"
"2015-06-22","46.230000"
"2015-06-23","45.910000"
"2015-06-24","45.639999"
"2015-06-25","45.650002"
"2015-06-26","45.259998"
"2015-06-29","44.369999"
"2015-06-30","44.150002"
"2015-07-01","44.450001"
"2015-07-02","44.400002"
"2015-07-06","44.389999"
"2015-07-07","44.299999"
"2015-07-08","44.240002"
"2015-07-09","44.520000"
"2015-07-10","44.610001"
"2015-07-13","45.540001"
"2015-07-14","45.619999"
"2015-07-15","45.759998"
"2015-07-16","46.660000"
"2015-07-17","46.619999"
"2015-07-20","46.919998"
"2015-07-21","47.279999"
"2015-07-22","45.540001"
"2015-07-23","46.110001"
"2015-07-24","45.939999"
"2015-07-27","45.349998"
"2015-07-28","45.340000"
"2015-07-29","46.290001"
"2015-07-30","46.880001"
"2015-07-31","46.700001"
"2015-08-03","46.810001"
"2015-08-04","47.540001"
"2015-08-05","47.580002"
"2015-08-06","46.619999"
"2015-08-07","46.740002"
"2015-08-10","47.330002"
"2015-08-11","46.410000"
"2015-08-12","46.740002"
"2015-08-13","46.730000"
"2015-08-14","47.000000"
"2015-08-17","47.320000"
"2015-08-18","47.270000"
"2015-08-19","46.610001"
"2015-08-20","45.660000"
"2015-08-21","43.070000"
"2015-08-24","41.680000"
"2015-08-25","40.470001"
"2015-08-26","42.709999"
"2015-08-27","43.900002"
"2015-08-28","43.930000"
"2015-08-31","43.520000"
"2015-09-01","41.820000"
"2015-09-02","43.360001"
"2015-09-03","43.500000"
"2015-09-04","42.610001"
"2015-09-08","43.889999"
"2015-09-09","43.070000"
"2015-09-10","43.290001"
"2015-09-11","43.480000"
"2015-09-14","43.040001"
"2015-09-15","43.980000"
"2015-09-16","44.299999"
"2015-09-17","44.250000"
"2015-09-18","43.480000"
"2015-09-21","44.110001"
"2015-09-22","43.900002"
"2015-09-23","43.869999"
"2015-09-24","43.910000"
"2015-09-25","43.939999"
"2015-09-28","43.290001"
"2015-09-29","43.439999"
"2015-09-30","44.259998"
"2015-10-01","44.610001"
"2015-10-02","45.570000"
"2015-10-05","46.630001"
"2015-10-06","46.750000"
"2015-10-07","46.799999"
"2015-10-08","47.450001"
"2015-10-09","47.110001"
"2015-10-12","47.000000"
"2015-10-13","46.889999"
"2015-10-14","46.680000"
"2015-10-15","47.009998"
"2015-10-16","47.509998"
"2015-10-19","47.619999"
"2015-10-20","47.770000"
"2015-10-21","47.200001"
"2015-10-22","48.029999"
"2015-10-23","52.869999"
