"date, price"
"2014-12-04","78.529999"
"2014-12-05","78.879997"
"2014-12-08","77.290001"
"2014-12-09","76.970001"
"2014-12-10","75.260002"
"2014-12-11","76.449997"
"2014-12-12","76.989998"
"2014-12-15","75.190002"
"2014-12-16","74.580002"
"2014-12-17","75.889999"
"2014-12-18","77.879997"
"2014-12-19","77.739998"
"2014-12-22","78.449997"
"2014-12-23","78.800003"
"2014-12-24","79.250000"
"2014-12-26","79.489998"
"2014-12-29","79.720001"
"2014-12-30","78.959999"
"2014-12-31","77.959999"
"2015-01-02","78.250000"
"2015-01-05","75.699997"
"2015-01-06","74.709999"
"2015-01-07","73.930000"
"2015-01-08","75.330002"
"2015-01-09","74.169998"
"2015-01-12","73.360001"
"2015-01-13","73.529999"
"2015-01-14","73.250000"
"2015-01-15","72.190002"
"2015-01-16","72.529999"
"2015-01-20","72.209999"
"2015-01-21","72.760002"
"2015-01-22","73.010002"
"2015-01-23","72.500000"
"2015-01-26","73.529999"
"2015-01-27","73.389999"
"2015-01-28","72.510002"
"2015-01-29","73.680000"
"2015-01-30","72.860001"
"2015-02-02","73.459999"
"2015-02-03","75.309998"
"2015-02-04","74.430000"
"2015-02-05","75.360001"
"2015-02-06","75.750000"
"2015-02-09","75.699997"
"2015-02-10","75.720001"
"2015-02-11","76.099998"
"2015-02-12","76.669998"
"2015-02-13","78.040001"
"2015-02-17","77.680000"
"2015-02-18","78.260002"
"2015-02-19","78.290001"
"2015-02-20","78.459999"
"2015-02-23","78.599998"
"2015-02-24","78.410004"
"2015-02-25","78.599998"
"2015-02-26","77.550003"
"2015-02-27","76.930000"
"2015-03-02","77.919998"
"2015-03-03","77.449997"
"2015-03-04","76.430000"
"2015-03-05","76.500000"
"2015-03-06","75.410004"
"2015-03-09","75.320000"
"2015-03-10","73.699997"
"2015-03-11","73.800003"
"2015-03-12","75.580002"
"2015-03-13","75.279999"
"2015-03-16","76.800003"
"2015-03-17","77.769997"
"2015-03-18","79.010002"
"2015-03-19","78.129997"
"2015-03-20","78.260002"
"2015-03-23","77.879997"
"2015-03-24","77.169998"
"2015-03-25","76.449997"
"2015-03-26","76.430000"
"2015-03-27","77.419998"
"2015-03-30","78.519997"
"2015-03-31","78.339996"
"2015-04-01","76.720001"
"2015-04-02","77.239998"
"2015-04-06","78.779999"
"2015-04-07","78.430000"
"2015-04-08","78.650002"
"2015-04-09","78.680000"
"2015-04-10","78.800003"
"2015-04-13","78.300003"
"2015-04-14","78.830002"
"2015-04-15","79.260002"
"2015-04-16","79.010002"
"2015-04-17","79.000000"
"2015-04-20","79.839996"
"2015-04-21","79.589996"
"2015-04-22","80.389999"
"2015-04-23","80.080002"
"2015-04-24","79.680000"
"2015-04-27","79.940002"
"2015-04-28","80.010002"
"2015-04-29","80.459999"
"2015-04-30","79.650002"
"2015-05-01","80.680000"
"2015-05-04","81.629997"
"2015-05-05","80.839996"
"2015-05-06","80.860001"
"2015-05-07","81.150002"
"2015-05-08","81.690002"
"2015-05-11","81.910004"
"2015-05-12","82.000000"
"2015-05-13","81.910004"
"2015-05-14","83.059998"
"2015-05-15","83.120003"
"2015-05-18","83.970001"
"2015-05-19","83.550003"
"2015-05-20","82.790001"
"2015-05-21","82.900002"
"2015-05-22","82.989998"
"2015-05-26","82.099998"
"2015-05-27","82.510002"
"2015-05-28","82.680000"
"2015-05-29","80.910004"
"2015-06-01","81.000000"
"2015-06-02","81.180000"
"2015-06-03","81.970001"
"2015-06-04","81.589996"
"2015-06-05","82.110001"
"2015-06-08","81.099998"
"2015-06-09","81.279999"
"2015-06-10","82.150002"
"2015-06-11","82.230003"
"2015-06-12","81.389999"
"2015-06-15","80.540001"
"2015-06-16","80.470001"
"2015-06-17","80.360001"
"2015-06-18","80.370003"
"2015-06-19","80.260002"
"2015-06-22","80.699997"
"2015-06-23","80.089996"
"2015-06-24","79.699997"
"2015-06-25","79.529999"
"2015-06-26","80.089996"
"2015-06-29","78.129997"
"2015-06-30","77.889999"
"2015-07-01","78.080002"
"2015-07-02","77.720001"
"2015-07-06","77.410004"
"2015-07-07","77.430000"
"2015-07-08","76.250000"
"2015-07-09","75.639999"
"2015-07-10","75.900002"
"2015-07-13","76.849998"
"2015-07-14","77.339996"
"2015-07-15","76.040001"
"2015-07-16","75.300003"
"2015-07-17","75.139999"
"2015-07-20","74.760002"
"2015-07-21","74.300003"
"2015-07-22","73.389999"
"2015-07-23","73.709999"
"2015-07-24","72.620003"
"2015-07-27","72.290001"
"2015-07-28","73.290001"
"2015-07-29","74.419998"
"2015-07-30","74.470001"
"2015-07-31","74.110001"
"2015-08-03","73.830002"
"2015-08-04","73.519997"
"2015-08-05","74.089996"
"2015-08-06","74.050003"
"2015-08-07","74.129997"
"2015-08-10","75.599998"
"2015-08-11","74.300003"
"2015-08-12","74.360001"
"2015-08-13","74.099998"
"2015-08-14","74.110001"
"2015-08-17","74.320000"
"2015-08-18","73.910004"
"2015-08-19","73.269997"
"2015-08-20","71.150002"
"2015-08-21","62.439999"
"2015-08-24","63.040001"
"2015-08-25","63.009998"
"2015-08-26","64.040001"
"2015-08-27","66.269997"
"2015-08-28","66.739998"
"2015-08-31","66.519997"
"2015-09-01","63.820000"
"2015-09-02","64.570000"
"2015-09-03","65.120003"
"2015-09-04","64.440002"
"2015-09-08","65.889999"
"2015-09-09","65.349998"
"2015-09-10","66.110001"
