"date, price"
"2014-12-04","20.386000"
"2014-12-05","20.268000"
"2014-12-08","19.722000"
"2014-12-09","19.980000"
"2014-12-10","19.312000"
"2014-12-11","20.156000"
"2014-12-12","19.889999"
"2014-12-15","19.950001"
"2014-12-16","19.785999"
"2014-12-17","19.548000"
"2014-12-18","20.464001"
"2014-12-19","20.388000"
"2014-12-22","20.532000"
"2014-12-23","20.082001"
"2014-12-24","20.261999"
"2014-12-26","20.320000"
"2014-12-29","19.888000"
"2014-12-30","19.798000"
"2014-12-31","19.827999"
"2015-01-02","19.761999"
"2015-01-05","19.879999"
"2015-01-06","20.219999"
"2015-01-07","20.524000"
"2015-01-08","20.625999"
"2015-01-09","20.716000"
"2015-01-12","20.802000"
"2015-01-13","20.974001"
"2015-01-14","20.972000"
"2015-01-15","21.340000"
"2015-01-16","21.740000"
"2015-01-20","22.214001"
"2015-01-21","22.478001"
"2015-01-22","22.374001"
"2015-01-23","22.580000"
"2015-01-26","22.212000"
"2015-01-27","22.032000"
"2015-01-28","21.719999"
"2015-01-29","21.834000"
"2015-01-30","21.850000"
"2015-02-02","22.577999"
"2015-02-03","22.962000"
"2015-02-04","23.306000"
"2015-02-05","23.176001"
"2015-02-06","22.327999"
"2015-02-09","21.388000"
"2015-02-10","22.969999"
"2015-02-11","23.214001"
"2015-02-12","22.695999"
"2015-02-13","22.598000"
"2015-02-17","23.002001"
"2015-02-18","22.997999"
"2015-02-19","22.120001"
"2015-02-20","22.016001"
"2015-02-23","22.330000"
"2015-02-24","21.910000"
"2015-02-25","20.396000"
"2015-02-26","20.948000"
"2015-02-27","20.007999"
"2015-03-02","19.420000"
"2015-03-03","19.256001"
"2015-03-04","19.408001"
"2015-03-05","20.219999"
"2015-03-06","20.152000"
"2015-03-09","20.002001"
"2015-03-10","19.898001"
"2015-03-11","19.493999"
"2015-03-12","18.966000"
"2015-03-13","19.146000"
"2015-03-16","19.860001"
"2015-03-17","19.903999"
"2015-03-18","20.020000"
"2015-03-19","19.636000"
"2015-03-20","20.134001"
"2015-03-23","20.774000"
"2015-03-24","20.530001"
"2015-03-25","19.990000"
"2015-03-26","20.292000"
"2015-03-27","20.766001"
"2015-03-30","21.004000"
"2015-03-31","21.059999"
"2015-04-01","21.412001"
"2015-04-02","22.302000"
"2015-04-06","22.214001"
"2015-04-07","22.400000"
"2015-04-08","23.408001"
"2015-04-09","24.030001"
"2015-04-10","23.760000"
"2015-04-13","23.563999"
"2015-04-14","23.299999"
"2015-04-15","23.148001"
"2015-04-16","23.247999"
"2015-04-17","22.535999"
"2015-04-20","22.784000"
"2015-04-21","23.046000"
"2015-04-22","22.927999"
"2015-04-23","23.785999"
"2015-04-24","24.438000"
"2015-04-27","24.652000"
"2015-04-28","24.746000"
"2015-04-29","25.000000"
"2015-04-30","25.638000"
"2015-05-01","25.278000"
"2015-05-04","25.596001"
"2015-05-05","25.059999"
"2015-05-06","24.660000"
"2015-05-07","25.500000"
"2015-05-08","25.846001"
"2015-05-11","25.778000"
"2015-05-12","25.549999"
"2015-05-13","26.000000"
"2015-05-14","28.166000"
"2015-05-15","28.224001"
"2015-05-18","28.264000"
"2015-05-19","28.063999"
"2015-05-20","28.826000"
"2015-05-21","29.893999"
"2015-05-22","29.240000"
"2015-05-26","28.878000"
"2015-05-27","28.774000"
"2015-05-28","28.351999"
"2015-05-29","28.282000"
"2015-06-01","28.834000"
"2015-06-02","28.886000"
"2015-06-03","28.827999"
"2015-06-04","28.636000"
"2015-06-05","29.118000"
"2015-06-08","28.813999"
"2015-06-09","28.841999"
"2015-06-10","29.420000"
"2015-06-11","29.705999"
"2015-06-12","30.002001"
"2015-06-15","29.638000"
"2015-06-16","29.972000"
"2015-06-17","30.254000"
"2015-06-18","30.148001"
"2015-06-19","29.875999"
"2015-06-22","28.978001"
"2015-06-23","30.077999"
"2015-06-24","29.636000"
"2015-06-25","29.403999"
"2015-06-26","28.896000"
"2015-06-29","28.122000"
"2015-06-30","28.974001"
"2015-07-01","28.826000"
"2015-07-02","28.986000"
"2015-07-06","26.798000"
"2015-07-07","25.955999"
"2015-07-08","26.469999"
"2015-07-09","28.191999"
"2015-07-10","27.990000"
"2015-07-13","28.208000"
"2015-07-14","29.042000"
"2015-07-15","28.375999"
"2015-07-16","30.152000"
"2015-07-17","30.188000"
"2015-07-20","30.034000"
"2015-07-21","30.209999"
"2015-07-22","30.034000"
"2015-07-23","30.115999"
"2015-07-24","29.730000"
"2015-07-27","27.716000"
"2015-07-28","28.090000"
"2015-07-29","28.294001"
"2015-07-30","28.205999"
"2015-07-31","27.726000"
"2015-08-03","27.768000"
"2015-08-04","28.684000"
"2015-08-05","29.110001"
"2015-08-06","29.205999"
"2015-08-07","29.558001"
"2015-08-10","29.844000"
"2015-08-11","28.313999"
"2015-08-12","28.240000"
"2015-08-13","26.780001"
"2015-08-14","25.208000"
"2015-08-17","24.799999"
"2015-08-18","24.497999"
"2015-08-19","24.416000"
"2015-08-20","23.945999"
"2015-08-21","22.837999"
"2015-08-24","21.427999"
"2015-08-25","22.504000"
"2015-08-26","22.285999"
"2015-08-27","24.172001"
"2015-08-28","23.582001"
"2015-08-31","22.236000"
"2015-09-01","22.046000"
"2015-09-02","21.902000"
"2015-09-03","21.848000"
"2015-09-04","21.534000"
"2015-09-08","22.474001"
"2015-09-09","22.841999"
"2015-09-10","23.864000"
"2015-09-11","23.490000"
"2015-09-14","22.959999"
"2015-09-15","22.974001"
"2015-09-16","23.770000"
"2015-09-17","23.274000"
"2015-09-18","23.004000"
"2015-09-21","23.016001"
