"date, price"
"2015-07-01","18.000000"
"2015-07-02","18.000000"
"2015-07-06","22.000000"
"2015-07-07","22.000000"
"2015-07-08","21.469999"
"2015-07-09","21.250000"
"2015-07-10","21.750000"
"2015-07-13","21.090000"
"2015-07-14","20.680000"
"2015-07-15","20.530001"
"2015-07-16","21.879999"
"2015-07-17","20.879999"
"2015-07-20","21.430000"
"2015-07-21","20.600000"
"2015-07-22","20.770000"
"2015-07-23","20.420000"
"2015-07-24","19.219999"
"2015-07-27","18.000000"
"2015-07-28","18.040001"
"2015-07-29","18.209999"
"2015-07-30","18.129999"
"2015-07-31","18.090000"
"2015-08-03","16.860001"
"2015-08-04","17.200001"
"2015-08-05","17.490000"
"2015-08-06","17.830000"
"2015-08-07","17.059999"
"2015-08-10","17.160000"
"2015-08-11","16.670000"
"2015-08-12","16.350000"
"2015-08-13","15.560000"
"2015-08-14","15.760000"
"2015-08-17","15.230000"
"2015-08-18","15.580000"
"2015-08-19","14.720000"
"2015-08-20","14.340000"
"2015-08-21","14.220000"
"2015-08-24","14.270000"
"2015-08-25","14.350000"
"2015-08-26","15.160000"
"2015-08-27","15.340000"
"2015-08-28","15.990000"
"2015-08-31","15.820000"
"2015-09-01","15.760000"
"2015-09-02","15.310000"
"2015-09-03","15.300000"
"2015-09-04","15.260000"
"2015-09-08","15.850000"
"2015-09-09","15.720000"
"2015-09-10","15.950000"
"2015-09-11","16.260000"
"2015-09-14","16.010000"
"2015-09-15","16.520000"
"2015-09-16","15.770000"
"2015-09-17","15.800000"
"2015-09-18","15.130000"
"2015-09-21","14.440000"
"2015-09-22","13.150000"
"2015-09-23","12.940000"
"2015-09-24","13.820000"
"2015-09-25","12.940000"
"2015-09-28","12.210000"
"2015-09-29","11.100000"
"2015-09-30","10.850000"
"2015-10-01","10.360000"
"2015-10-02","9.740000"
"2015-10-05","9.440000"
"2015-10-06","9.330000"
"2015-10-07","9.240000"
"2015-10-08","9.400000"
"2015-10-09","9.480000"
"2015-10-12","9.200000"
"2015-10-13","9.140000"
"2015-10-14","8.920000"
