"date, price"
"2014-12-04","107.000000"
"2014-12-05","109.400002"
"2014-12-08","109.800003"
"2014-12-09","111.000000"
"2014-12-10","114.800003"
"2014-12-11","118.599998"
"2014-12-12","115.199997"
"2014-12-15","112.599998"
"2014-12-16","112.000000"
"2014-12-17","118.199997"
"2014-12-18","118.400002"
"2014-12-19","119.400002"
"2014-12-22","118.800003"
"2014-12-23","112.599998"
"2014-12-24","116.199997"
"2014-12-26","118.400002"
"2014-12-29","119.599998"
"2014-12-30","116.400002"
"2014-12-31","118.599998"
"2015-01-02","115.199997"
"2015-01-05","117.199997"
"2015-01-06","114.800003"
"2015-01-07","118.000000"
"2015-01-08","119.000000"
"2015-01-09","126.199997"
"2015-01-12","128.199997"
"2015-01-13","124.000000"
"2015-01-14","116.599998"
"2015-01-15","124.000000"
"2015-01-16","136.199997"
"2015-01-20","145.800003"
"2015-01-21","142.199997"
"2015-01-22","147.199997"
"2015-01-23","147.399994"
"2015-01-26","152.000000"
"2015-01-27","156.399994"
"2015-01-28","153.000000"
"2015-01-29","157.199997"
"2015-01-30","156.199997"
"2015-02-02","154.399994"
"2015-02-03","149.399994"
"2015-02-04","154.399994"
"2015-02-05","159.600006"
"2015-02-06","159.399994"
"2015-02-09","160.600006"
"2015-02-10","165.600006"
"2015-02-11","164.800003"
"2015-02-12","168.000000"
"2015-02-13","176.000000"
"2015-02-17","176.399994"
"2015-02-18","181.399994"
"2015-02-19","185.000000"
"2015-02-20","190.199997"
"2015-02-23","189.800003"
"2015-02-24","186.199997"
"2015-02-25","186.600006"
"2015-02-26","186.199997"
"2015-02-27","183.000000"
"2015-03-02","178.399994"
"2015-03-03","171.399994"
"2015-03-04","176.600006"
"2015-03-05","178.800003"
"2015-03-06","176.000000"
"2015-03-09","175.800003"
"2015-03-10","180.399994"
"2015-03-11","180.399994"
"2015-03-12","185.800003"
"2015-03-13","185.800003"
"2015-03-16","188.199997"
"2015-03-17","188.600006"
"2015-03-18","189.399994"
"2015-03-19","194.199997"
"2015-03-20","191.600006"
"2015-03-23","191.000000"
"2015-03-24","185.000000"
"2015-03-25","159.600006"
"2015-03-26","151.600006"
"2015-03-27","164.399994"
"2015-03-30","172.800003"
"2015-03-31","165.399994"
"2015-04-01","166.000000"
"2015-04-02","158.800003"
"2015-04-06","156.199997"
"2015-04-07","160.199997"
"2015-04-08","163.399994"
"2015-04-09","163.800003"
"2015-04-10","167.000000"
"2015-04-13","166.399994"
"2015-04-14","163.800003"
"2015-04-15","165.399994"
"2015-04-16","164.600006"
"2015-04-17","161.399994"
"2015-04-20","165.800003"
"2015-04-21","168.399994"
"2015-04-22","170.199997"
"2015-04-23","173.000000"
"2015-04-24","171.600006"
"2015-04-27","164.600006"
"2015-04-28","163.600006"
"2015-04-29","160.600006"
"2015-04-30","154.600006"
"2015-05-01","159.000000"
"2015-05-04","160.800003"
"2015-05-05","153.199997"
"2015-05-06","157.600006"
"2015-05-07","157.800003"
"2015-05-08","164.600006"
"2015-05-11","170.399994"
"2015-05-12","170.199997"
"2015-05-13","169.399994"
"2015-05-14","172.600006"
"2015-05-15","170.800003"
"2015-05-18","174.399994"
"2015-05-19","174.800003"
"2015-05-20","176.800003"
"2015-05-21","177.199997"
"2015-05-22","177.399994"
"2015-05-26","177.800003"
"2015-05-27","179.800003"
"2015-05-28","176.800003"
"2015-05-29","180.000000"
"2015-06-01","178.800003"
"2015-06-02","177.800003"
"2015-06-03","178.199997"
"2015-06-04","175.199997"
