"date, price"
"2014-12-04","51.209999"
"2014-12-05","51.480000"
"2014-12-08","51.990002"
"2014-12-09","52.779999"
"2014-12-10","51.759998"
"2014-12-11","51.330002"
"2014-12-12","50.759998"
"2014-12-15","50.980000"
"2014-12-16","50.189999"
"2014-12-17","50.880001"
"2014-12-18","51.450001"
"2014-12-19","51.419998"
"2014-12-22","51.709999"
"2014-12-23","52.490002"
"2014-12-24","52.490002"
"2014-12-26","52.560001"
"2014-12-29","53.080002"
"2014-12-30","52.209999"
"2014-12-31","51.790001"
"2015-01-02","49.770000"
"2015-01-05","48.689999"
"2015-01-06","47.180000"
"2015-01-07","47.580002"
"2015-01-08","47.790001"
"2015-01-09","47.080002"
"2015-01-12","47.040001"
"2015-01-13","48.500000"
"2015-01-14","47.110001"
"2015-01-15","46.849998"
"2015-01-16","47.160000"
"2015-01-20","48.549999"
"2015-01-21","49.860001"
"2015-01-22","52.119999"
"2015-01-23","52.220001"
"2015-01-26","52.349998"
"2015-01-27","52.990002"
"2015-01-28","50.970001"
"2015-01-29","51.220001"
"2015-01-30","49.900002"
"2015-02-02","49.930000"
"2015-02-03","51.389999"
"2015-02-04","52.169998"
"2015-02-05","50.910000"
"2015-02-06","51.990002"
"2015-02-09","51.970001"
"2015-02-10","52.150002"
"2015-02-11","52.310001"
"2015-02-12","53.599998"
"2015-02-13","53.619999"
"2015-02-17","53.660000"
"2015-02-18","54.689999"
"2015-02-19","53.490002"
"2015-02-20","54.209999"
"2015-02-23","54.560001"
"2015-02-24","54.349998"
"2015-02-25","54.270000"
"2015-02-26","55.020000"
"2015-02-27","54.529999"
"2015-03-02","54.799999"
"2015-03-03","55.500000"
"2015-03-04","55.200001"
"2015-03-05","55.980000"
"2015-03-06","56.419998"
"2015-03-09","56.520000"
"2015-03-10","55.150002"
"2015-03-11","54.950001"
"2015-03-12","56.340000"
"2015-03-13","56.820000"
"2015-03-16","57.980000"
"2015-03-17","57.900002"
"2015-03-18","57.639999"
"2015-03-19","57.320000"
"2015-03-20","57.169998"
"2015-03-23","56.790001"
"2015-03-24","56.759998"
"2015-03-25","56.259998"
"2015-03-26","55.700001"
"2015-03-27","57.000000"
"2015-03-30","58.040001"
"2015-03-31","57.220001"
"2015-04-01","57.720001"
"2015-04-02","57.770000"
"2015-04-06","58.500000"
"2015-04-07","57.900002"
"2015-04-08","58.270000"
"2015-04-09","58.279999"
"2015-04-10","58.380001"
"2015-04-13","58.009998"
"2015-04-14","58.020000"
"2015-04-15","58.810001"
"2015-04-16","58.689999"
"2015-04-17","57.009998"
"2015-04-20","57.869999"
"2015-04-21","57.330002"
"2015-04-22","57.990002"
"2015-04-23","58.630001"
"2015-04-24","58.830002"
"2015-04-27","59.590000"
"2015-04-28","59.169998"
"2015-04-29","58.590000"
"2015-04-30","58.459999"
"2015-05-01","58.259998"
"2015-05-04","59.000000"
"2015-05-05","58.520000"
"2015-05-06","57.389999"
"2015-05-07","56.730000"
"2015-05-08","56.200001"
"2015-05-11","55.509998"
"2015-05-12","54.950001"
"2015-05-13","54.290001"
"2015-05-14","54.459999"
"2015-05-15","54.720001"
"2015-05-18","55.820000"
"2015-05-19","55.180000"
"2015-05-20","56.240002"
"2015-05-21","57.310001"
"2015-05-22","57.360001"
