"date, price"
"2014-12-04","9.840000"
"2014-12-05","10.220000"
"2014-12-08","10.010000"
"2014-12-09","10.010000"
"2014-12-10","9.730000"
"2014-12-11","9.770000"
"2014-12-12","9.650000"
"2014-12-15","9.640000"
"2014-12-16","9.570000"
"2014-12-17","9.660000"
"2014-12-18","10.040000"
"2014-12-19","10.080000"
"2014-12-22","10.210000"
"2014-12-23","10.170000"
"2014-12-24","10.220000"
"2014-12-26","10.210000"
"2014-12-29","10.200000"
"2014-12-30","10.100000"
"2014-12-31","10.130000"
"2015-01-02","10.200000"
"2015-01-05","9.930000"
"2015-01-06","9.960000"
"2015-01-07","10.120000"
"2015-01-08","10.370000"
"2015-01-09","10.360000"
"2015-01-12","10.390000"
"2015-01-13","10.080000"
"2015-01-14","9.970000"
"2015-01-15","9.680000"
"2015-01-16","9.840000"
"2015-01-20","9.960000"
"2015-01-21","9.930000"
"2015-01-22","10.130000"
"2015-01-23","10.070000"
"2015-01-26","10.160000"
"2015-01-27","10.030000"
"2015-01-28","10.100000"
"2015-01-29","10.030000"
"2015-01-30","10.010000"
"2015-02-02","9.940000"
"2015-02-03","10.250000"
"2015-02-04","10.390000"
"2015-02-05","10.270000"
"2015-02-06","11.390000"
"2015-02-09","11.540000"
"2015-02-10","11.600000"
"2015-02-11","11.550000"
"2015-02-12","11.610000"
"2015-02-13","11.950000"
"2015-02-17","11.990000"
"2015-02-18","12.160000"
"2015-02-19","11.910000"
"2015-02-20","12.020000"
"2015-02-23","12.020000"
"2015-02-24","12.240000"
"2015-02-25","12.020000"
"2015-02-26","12.860000"
"2015-02-27","12.750000"
"2015-03-02","13.160000"
"2015-03-03","12.870000"
"2015-03-04","13.020000"
"2015-03-05","13.040000"
"2015-03-06","12.900000"
"2015-03-09","12.900000"
"2015-03-10","12.740000"
"2015-03-11","12.680000"
"2015-03-12","12.660000"
"2015-03-13","12.550000"
"2015-03-16","12.840000"
"2015-03-17","12.660000"
"2015-03-18","12.760000"
"2015-03-19","12.730000"
"2015-03-20","12.930000"
"2015-03-23","12.700000"
"2015-03-24","12.380000"
"2015-03-25","11.910000"
"2015-03-26","11.630000"
"2015-03-27","11.800000"
"2015-03-30","12.130000"
"2015-03-31","12.110000"
"2015-04-01","11.490000"
"2015-04-02","11.700000"
"2015-04-06","11.540000"
"2015-04-07","11.540000"
"2015-04-08","11.520000"
"2015-04-09","11.570000"
"2015-04-10","11.580000"
"2015-04-13","11.640000"
"2015-04-14","11.460000"
"2015-04-15","11.940000"
"2015-04-16","12.370000"
"2015-04-17","11.840000"
"2015-04-20","11.810000"
"2015-04-21","12.170000"
"2015-04-22","12.360000"
"2015-04-23","12.250000"
"2015-04-24","11.620000"
"2015-04-27","11.590000"
"2015-04-28","11.560000"
"2015-04-29","11.670000"
"2015-04-30","11.520000"
"2015-05-01","11.810000"
"2015-05-04","12.500000"
"2015-05-05","12.060000"
"2015-05-06","12.100000"
"2015-05-07","12.090000"
"2015-05-08","12.300000"
"2015-05-11","12.430000"
"2015-05-12","12.410000"
"2015-05-13","12.370000"
"2015-05-14","12.440000"
"2015-05-15","12.610000"
"2015-05-18","12.810000"
"2015-05-19","12.770000"
"2015-05-20","12.610000"
"2015-05-21","12.570000"
"2015-05-22","12.660000"
"2015-05-26","12.470000"
"2015-05-27","13.010000"
"2015-05-28","12.990000"
"2015-05-29","13.260000"
"2015-06-01","13.090000"
"2015-06-02","12.980000"
"2015-06-03","13.260000"
"2015-06-04","12.880000"
"2015-06-05","12.930000"
"2015-06-08","12.480000"
"2015-06-09","12.470000"
"2015-06-10","12.640000"
"2015-06-11","12.780000"
"2015-06-12","12.390000"
"2015-06-15","12.410000"
"2015-06-16","12.510000"
"2015-06-17","12.370000"
"2015-06-18","12.590000"
"2015-06-19","12.510000"
"2015-06-22","12.550000"
"2015-06-23","12.580000"
"2015-06-24","12.520000"
"2015-06-25","12.510000"
"2015-06-26","12.000000"
"2015-06-29","11.720000"
"2015-06-30","11.690000"
"2015-07-01","11.570000"
"2015-07-02","11.460000"
"2015-07-06","11.260000"
"2015-07-07","11.350000"
"2015-07-08","11.060000"
"2015-07-09","10.900000"
"2015-07-10","11.340000"
"2015-07-13","11.170000"
"2015-07-14","11.220000"
"2015-07-15","11.080000"
"2015-07-16","10.860000"
"2015-07-17","10.870000"
"2015-07-20","10.740000"
"2015-07-21","10.840000"
"2015-07-22","10.300000"
"2015-07-23","10.530000"
"2015-07-24","10.310000"
"2015-07-27","10.140000"
"2015-07-28","10.540000"
"2015-07-29","10.730000"
"2015-07-30","10.720000"
"2015-07-31","10.620000"
"2015-08-03","10.340000"
"2015-08-04","10.210000"
"2015-08-05","10.310000"
"2015-08-06","10.160000"
"2015-08-07","10.250000"
"2015-08-10","10.430000"
"2015-08-11","10.010000"
"2015-08-12","10.100000"
"2015-08-13","9.870000"
"2015-08-14","9.910000"
"2015-08-17","10.100000"
"2015-08-18","9.850000"
"2015-08-19","9.670000"
"2015-08-20","9.270000"
"2015-08-21","9.180000"
"2015-08-24","8.950000"
"2015-08-25","8.890000"
"2015-08-26","9.440000"
"2015-08-27","9.790000"
"2015-08-28","9.880000"
"2015-08-31","9.560000"
"2015-09-01","9.220000"
"2015-09-02","9.370000"
"2015-09-03","9.860000"
"2015-09-04","9.660000"
"2015-09-08","10.470000"
"2015-09-09","10.230000"
"2015-09-10","10.140000"
"2015-09-11","10.220000"
"2015-09-14","10.080000"
"2015-09-15","10.230000"
"2015-09-16","10.250000"
"2015-09-17","10.170000"
"2015-09-18","9.920000"
"2015-09-21","9.780000"
"2015-09-22","9.500000"
"2015-09-23","9.380000"
"2015-09-24","9.260000"
"2015-09-25","9.330000"
"2015-09-28","8.970000"
"2015-09-29","9.080000"
"2015-09-30","9.400000"
"2015-10-01","9.290000"
"2015-10-02","9.530000"
"2015-10-05","9.830000"
"2015-10-06","9.890000"
"2015-10-07","10.280000"
"2015-10-08","10.300000"
"2015-10-09","10.000000"
"2015-10-12","9.890000"
"2015-10-13","10.030000"
"2015-10-14","10.740000"
"2015-10-15","10.600000"
"2015-10-16","10.490000"
"2015-10-19","10.390000"
"2015-10-20","10.560000"
"2015-10-21","10.300000"
"2015-10-22","10.880000"
"2015-10-23","11.480000"
"2015-10-26","10.990000"
"2015-10-27","10.810000"
"2015-10-28","11.030000"
"2015-10-29","10.280000"
"2015-10-30","11.000000"
"2015-11-02","11.180000"
"2015-11-03","11.210000"
"2015-11-04","11.540000"
"2015-11-05","11.280000"
"2015-11-06","11.600000"
"2015-11-09","11.510000"
"2015-11-10","11.220000"
"2015-11-11","11.230000"
"2015-11-12","10.850000"
"2015-11-13","10.720000"
"2015-11-16","10.670000"
"2015-11-17","10.740000"
"2015-11-18","9.890000"
"2015-11-19","10.100000"
"2015-11-20","10.160000"
"2015-11-23","10.150000"
"2015-11-24","10.350000"
"2015-11-25","10.460000"
"2015-11-27","10.730000"
"2015-11-30","10.960000"
"2015-12-01","11.270000"
"2015-12-02","11.330000"
"2015-12-03","11.080000"
"2015-12-04","11.370000"
"2015-12-07","11.240000"
"2015-12-08","10.460000"
"2015-12-09","10.130000"
"2015-12-10","10.150000"
"2015-12-11","9.900000"
"2015-12-14","10.110000"
