"date, price"
"2014-12-04","30.870001"
"2014-12-05","30.629999"
"2014-12-08","28.350000"
"2014-12-09","35.090000"
"2014-12-10","35.529999"
"2014-12-11","34.020000"
"2014-12-12","33.130001"
"2014-12-15","31.940001"
"2014-12-16","34.040001"
"2014-12-17","40.000000"
"2014-12-18","40.169998"
"2014-12-19","43.580002"
"2014-12-22","42.939999"
"2014-12-23","44.849998"
"2014-12-24","43.459999"
"2014-12-26","43.630001"
"2014-12-29","43.639999"
"2014-12-30","41.410000"
"2014-12-31","41.270000"
"2015-01-02","41.259998"
"2015-01-05","39.849998"
"2015-01-06","38.779999"
"2015-01-07","38.250000"
"2015-01-08","39.400002"
"2015-01-09","40.599998"
"2015-01-12","38.340000"
"2015-01-13","39.630001"
"2015-01-14","42.410000"
"2015-01-15","41.869999"
"2015-01-16","44.200001"
"2015-01-20","43.939999"
"2015-01-21","47.599998"
"2015-01-22","44.720001"
"2015-01-23","44.020000"
"2015-01-26","45.750000"
"2015-01-27","46.869999"
"2015-01-28","44.220001"
"2015-01-29","45.730000"
"2015-01-30","45.939999"
"2015-02-02","47.250000"
"2015-02-03","49.799999"
"2015-02-04","49.419998"
"2015-02-05","48.590000"
"2015-02-06","48.380001"
"2015-02-09","46.770000"
"2015-02-10","45.990002"
"2015-02-11","46.150002"
"2015-02-12","48.570000"
"2015-02-13","49.169998"
"2015-02-17","49.939999"
"2015-02-18","47.840000"
"2015-02-19","49.709999"
"2015-02-20","51.369999"
"2015-02-23","52.509998"
"2015-02-24","53.990002"
"2015-02-25","54.750000"
"2015-02-26","53.669998"
"2015-02-27","51.680000"
"2015-03-02","53.279999"
"2015-03-03","54.040001"
"2015-03-04","54.310001"
"2015-03-05","53.619999"
"2015-03-06","52.090000"
"2015-03-09","51.310001"
"2015-03-10","50.759998"
"2015-03-11","52.009998"
"2015-03-12","51.230000"
"2015-03-13","51.880001"
"2015-03-16","51.720001"
"2015-03-17","50.439999"
"2015-03-18","53.340000"
"2015-03-19","51.860001"
"2015-03-20","52.320000"
"2015-03-23","51.070000"
"2015-03-24","51.389999"
"2015-03-25","52.360001"
"2015-03-26","54.490002"
"2015-03-27","54.450001"
"2015-03-30","54.560001"
"2015-03-31","54.040001"
"2015-04-01","54.029999"
"2015-04-02","53.930000"
"2015-04-06","54.570000"
"2015-04-07","53.740002"
"2015-04-08","52.630001"
"2015-04-09","55.759998"
"2015-04-10","56.290001"
"2015-04-13","56.279999"
"2015-04-14","57.990002"
"2015-04-15","61.270000"
"2015-04-16","58.799999"
"2015-04-17","56.930000"
"2015-04-20","57.560001"
"2015-04-21","55.049999"
"2015-04-22","55.020000"
"2015-04-23","55.970001"
"2015-04-24","55.500000"
"2015-04-27","55.889999"
"2015-04-28","54.689999"
"2015-04-29","56.860001"
"2015-04-30","56.740002"
"2015-05-01","56.689999"
"2015-05-04","57.459999"
"2015-05-05","55.160000"
"2015-05-06","53.880001"
"2015-05-07","53.070000"
"2015-05-08","55.599998"
"2015-05-11","55.689999"
"2015-05-12","56.759998"
"2015-05-13","55.480000"
"2015-05-14","54.840000"
"2015-05-15","55.060001"
"2015-05-18","56.980000"
"2015-05-19","57.450001"
"2015-05-20","57.500000"
"2015-05-21","59.369999"
"2015-05-22","58.680000"
"2015-05-26","57.939999"
"2015-05-27","58.889999"
"2015-05-28","58.869999"
"2015-05-29","59.639999"
"2015-06-01","59.160000"
"2015-06-02","58.820000"
"2015-06-03","57.660000"
"2015-06-04","56.740002"
"2015-06-05","57.209999"
"2015-06-08","56.180000"
"2015-06-09","57.849998"
"2015-06-10","60.110001"
"2015-06-11","58.669998"
"2015-06-12","58.360001"
"2015-06-15","57.450001"
"2015-06-16","57.950001"
