"date, price"
"2014-12-04","20.930000"
"2014-12-05","21.750000"
"2014-12-08","21.139999"
"2014-12-09","21.160000"
"2014-12-10","20.700001"
"2014-12-11","20.719999"
"2014-12-12","20.200001"
"2014-12-15","20.000000"
"2014-12-16","19.840000"
"2014-12-17","20.690001"
"2014-12-18","21.400000"
"2014-12-19","21.139999"
"2014-12-22","21.070000"
"2014-12-23","21.320000"
"2014-12-24","21.549999"
"2014-12-26","21.459999"
"2014-12-29","21.209999"
"2014-12-30","20.969999"
"2014-12-31","20.770000"
"2015-01-02","20.350000"
"2015-01-05","20.059999"
"2015-01-06","19.730000"
"2015-01-07","19.820000"
"2015-01-08","20.190001"
"2015-01-09","19.879999"
"2015-01-12","19.670000"
"2015-01-13","19.709999"
"2015-01-14","19.719999"
"2015-01-15","19.420000"
"2015-01-16","19.790001"
"2015-01-20","19.799999"
"2015-01-21","19.770000"
"2015-01-22","20.230000"
"2015-01-23","20.040001"
"2015-01-26","20.360001"
"2015-01-27","20.280001"
"2015-01-28","20.020000"
"2015-01-29","19.860001"
"2015-01-30","19.570000"
"2015-02-02","19.629999"
"2015-02-03","20.480000"
"2015-02-04","20.440001"
"2015-02-05","20.639999"
"2015-02-06","20.629999"
"2015-02-09","20.490000"
"2015-02-10","20.549999"
"2015-02-11","20.450001"
"2015-02-12","20.900000"
"2015-02-13","20.879999"
"2015-02-17","20.910000"
"2015-02-18","20.840000"
"2015-02-19","22.129999"
"2015-02-20","22.559999"
"2015-02-23","22.510000"
"2015-02-24","22.910000"
"2015-02-25","23.000000"
"2015-02-26","23.150000"
"2015-02-27","19.790001"
"2015-03-02","20.490000"
"2015-03-03","20.650000"
"2015-03-04","20.330000"
"2015-03-05","20.040001"
"2015-03-06","19.940001"
"2015-03-09","19.940001"
"2015-03-10","19.740000"
"2015-03-11","19.830000"
"2015-03-12","20.350000"
"2015-03-13","20.510000"
"2015-03-16","20.719999"
"2015-03-17","20.750000"
"2015-03-18","21.520000"
"2015-03-19","21.580000"
"2015-03-20","21.650000"
"2015-03-23","21.670000"
"2015-03-24","21.570000"
"2015-03-25","21.139999"
"2015-03-26","21.350000"
"2015-03-27","21.620001"
"2015-03-30","21.830000"
"2015-03-31","21.750000"
"2015-04-01","21.600000"
"2015-04-02","21.590000"
"2015-04-06","21.750000"
"2015-04-07","21.590000"
"2015-04-08","21.730000"
"2015-04-09","21.740000"
"2015-04-10","21.719999"
"2015-04-13","21.520000"
"2015-04-14","21.450001"
"2015-04-15","21.730000"
"2015-04-16","21.480000"
"2015-04-17","20.940001"
"2015-04-20","21.420000"
"2015-04-21","21.530001"
"2015-04-22","21.770000"
"2015-04-23","22.219999"
"2015-04-24","22.350000"
"2015-04-27","22.340000"
"2015-04-28","22.459999"
"2015-04-29","22.230000"
"2015-04-30","21.540001"
"2015-05-01","21.480000"
"2015-05-04","21.400000"
"2015-05-05","21.090000"
"2015-05-06","21.059999"
"2015-05-07","21.540001"
"2015-05-08","21.440001"
"2015-05-11","21.379999"
"2015-05-12","21.459999"
"2015-05-13","21.440001"
"2015-05-14","21.440001"
"2015-05-15","21.400000"
"2015-05-18","21.459999"
"2015-05-19","21.230000"
"2015-05-20","21.940001"
"2015-05-21","22.400000"
"2015-05-22","22.450001"
"2015-05-26","22.459999"
"2015-05-27","22.469999"
"2015-05-28","22.129999"
"2015-05-29","21.860001"
"2015-06-01","21.820000"
"2015-06-02","21.830000"
"2015-06-03","22.270000"
"2015-06-04","22.110001"
"2015-06-05","22.330000"
"2015-06-08","22.200001"
"2015-06-09","22.219999"
"2015-06-10","22.790001"
"2015-06-11","22.870001"
"2015-06-12","22.670000"
"2015-06-15","22.430000"
"2015-06-16","22.750000"
"2015-06-17","22.780001"
"2015-06-18","23.240000"
"2015-06-19","23.530001"
"2015-06-22","23.580000"
"2015-06-23","24.010000"
"2015-06-24","23.540001"
"2015-06-25","23.540001"
"2015-06-26","23.549999"
"2015-06-29","22.780001"
"2015-06-30","22.889999"
"2015-07-01","22.840000"
"2015-07-02","22.900000"
"2015-07-06","22.690001"
"2015-07-07","22.690001"
"2015-07-08","22.600000"
"2015-07-09","22.920000"
"2015-07-10","23.379999"
"2015-07-13","23.459999"
"2015-07-14","23.969999"
"2015-07-15","23.629999"
"2015-07-16","24.209999"
"2015-07-17","24.260000"
"2015-07-20","24.030001"
"2015-07-21","23.860001"
"2015-07-22","23.959999"
"2015-07-23","23.860001"
"2015-07-24","23.549999"
"2015-07-27","23.629999"
"2015-07-28","23.670000"
"2015-07-29","23.290001"
"2015-07-30","26.830000"
"2015-07-31","27.090000"
"2015-08-03","26.850000"
"2015-08-04","26.490000"
"2015-08-05","26.629999"
"2015-08-06","26.650000"
"2015-08-07","26.760000"
"2015-08-10","26.900000"
"2015-08-11","26.450001"
"2015-08-12","26.530001"
"2015-08-13","26.530001"
"2015-08-14","26.799999"
"2015-08-17","26.930000"
"2015-08-18","26.629999"
"2015-08-19","26.280001"
"2015-08-20","25.570000"
"2015-08-21","25.020000"
"2015-08-24","24.040001"
"2015-08-25","23.889999"
"2015-08-26","24.690001"
"2015-08-27","24.639999"
"2015-08-28","24.549999"
"2015-08-31","24.510000"
"2015-09-01","23.900000"
"2015-09-02","24.440001"
"2015-09-03","24.160000"
"2015-09-04","24.000000"
"2015-09-08","24.469999"
"2015-09-09","24.190001"
"2015-09-10","24.540001"
"2015-09-11","24.930000"
"2015-09-14","24.520000"
"2015-09-15","25.059999"
"2015-09-16","25.230000"
"2015-09-17","25.260000"
"2015-09-18","24.680000"
"2015-09-21","24.959999"
"2015-09-22","24.760000"
"2015-09-23","25.309999"
"2015-09-24","25.120001"
"2015-09-25","24.559999"
"2015-09-28","24.080000"
"2015-09-29","24.219999"
"2015-09-30","24.610001"
"2015-10-01","24.549999"
"2015-10-02","24.799999"
"2015-10-05","25.480000"
"2015-10-06","25.180000"
"2015-10-07","25.709999"
"2015-10-08","25.750000"
"2015-10-09","26.139999"
"2015-10-12","26.049999"
