"date, price"
"2019-10-25","15.940000"
"2019-10-28","17.209999"
"2019-10-29","16.430000"
"2019-10-30","16.209999"
"2019-10-31","16.430000"
"2019-11-01","18.379999"
"2019-11-04","19.049999"
"2019-11-05","19.790001"
"2019-11-06","19.900000"
"2019-11-07","20.920000"
"2019-11-08","21.750000"
"2019-11-11","21.990000"
"2019-11-12","20.809999"
"2019-11-13","20.500000"
"2019-11-14","20.559999"
"2019-11-15","23.760000"
"2019-11-18","24.920000"
"2019-11-19","26.820000"
"2019-11-20","26.559999"
"2019-11-21","27.000000"
"2019-11-22","25.680000"
"2019-11-25","25.719999"
"2019-11-26","25.760000"
"2019-11-27","26.990000"
"2019-11-29","26.639999"
"2019-12-02","28.540001"
"2019-12-03","27.719999"
"2019-12-04","26.340000"
"2019-12-05","27.860001"
"2019-12-06","30.490000"
"2019-12-09","27.809999"
"2019-12-10","27.330000"
"2019-12-11","26.459999"
"2019-12-12","25.160000"
"2019-12-13","25.990000"
"2019-12-16","24.910000"
"2019-12-17","25.490000"
"2019-12-18","24.459999"
"2019-12-19","23.840000"
"2019-12-20","23.540001"
"2019-12-23","25.700001"
"2019-12-24","25.650000"
"2019-12-26","26.270000"
"2019-12-27","27.950001"
"2019-12-30","28.205000"
"2019-12-31","27.450001"
"2020-01-02","25.959999"
"2020-01-03","25.910000"
"2020-01-06","27.969999"
"2020-01-07","29.320000"
"2020-01-08","29.389999"
"2020-01-09","28.600000"
"2020-01-10","29.260000"
"2020-01-13","31.809999"
"2020-01-14","33.340000"
"2020-01-15","31.030001"
"2020-01-16","31.610001"
"2020-01-17","30.490000"
"2020-01-21","32.369999"
"2020-01-22","32.020000"
"2020-01-23","32.500000"
"2020-01-24","32.099998"
"2020-01-27","31.620001"
"2020-01-28","31.850000"
"2020-01-29","30.510000"
"2020-01-30","28.690001"
"2020-01-31","27.799999"
"2020-02-03","26.650000"
"2020-02-04","28.705000"
"2020-02-05","30.049999"
"2020-02-06","29.900000"
"2020-02-07","28.950001"
"2020-02-10","29.969999"
"2020-02-11","30.959999"
"2020-02-12","34.279999"
"2020-02-13","33.080002"
"2020-02-14","33.009998"
"2020-02-18","35.599998"
"2020-02-19","34.759998"
"2020-02-20","33.669998"
"2020-02-21","29.990000"
"2020-02-24","29.059999"
"2020-02-25","27.590000"
"2020-02-26","26.940001"
"2020-02-27","26.639999"
"2020-02-28","27.530001"
"2020-03-02","27.410000"
"2020-03-03","26.580000"
"2020-03-04","28.730000"
"2020-03-05","27.430000"
"2020-03-06","25.219999"
"2020-03-09","23.160000"
"2020-03-10","24.290001"
"2020-03-11","22.309999"
"2020-03-12","20.070000"
"2020-03-13","21.700001"
"2020-03-16","19.590000"
"2020-03-17","23.950001"
"2020-03-18","20.990000"
"2020-03-19","20.250000"
"2020-03-20","19.500000"
"2020-03-23","16.469999"
"2020-03-24","18.120001"
"2020-03-25","18.969999"
"2020-03-26","22.600000"
"2020-03-27","21.280001"
"2020-03-30","22.570000"
"2020-03-31","21.190001"
"2020-04-01","17.530001"
"2020-04-02","16.500000"
"2020-04-03","17.530001"
"2020-04-06","18.959999"
"2020-04-07","18.690001"
"2020-04-08","19.180000"
"2020-04-09","21.230000"
"2020-04-13","19.070000"
"2020-04-14","21.160000"
"2020-04-15","20.400000"
"2020-04-16","20.400000"
"2020-04-17","22.990000"
"2020-04-20","22.120001"
"2020-04-21","21.379999"
"2020-04-22","23.379999"
"2020-04-23","21.459999"
"2020-04-24","20.730000"
"2020-04-27","21.200001"
"2020-04-28","21.820000"
"2020-04-29","24.049999"
"2020-04-30","23.430000"
"2020-05-01","22.620001"
"2020-05-04","21.870001"
"2020-05-05","23.000000"
"2020-05-06","21.750000"
"2020-05-07","23.000000"
"2020-05-08","22.020000"
"2020-05-11","21.450001"
"2020-05-12","20.490000"
"2020-05-13","26.129999"
"2020-05-14","24.549999"
"2020-05-15","25.490000"
"2020-05-18","27.650000"
"2020-05-19","27.389999"
"2020-05-20","25.510000"
"2020-05-21","24.930000"
"2020-05-22","25.100000"
"2020-05-26","24.059999"
"2020-05-27","24.010000"
"2020-05-28","24.809999"
"2020-05-29","24.959999"
"2020-06-01","24.000000"
"2020-06-02","24.389999"
