"date, price"
"2014-12-04","38.970001"
"2014-12-05","38.919998"
"2014-12-08","38.000000"
"2014-12-09","37.930000"
"2014-12-10","36.900002"
"2014-12-11","36.599998"
"2014-12-12","36.180000"
"2014-12-15","35.799999"
"2014-12-16","35.349998"
"2014-12-17","35.240002"
"2014-12-18","36.470001"
"2014-12-19","36.389999"
"2014-12-22","36.560001"
"2014-12-23","37.180000"
"2014-12-24","37.439999"
"2014-12-26","37.740002"
"2014-12-29","37.320000"
"2014-12-30","36.810001"
"2014-12-31","36.650002"
"2015-01-02","36.349998"
"2015-01-05","35.360001"
"2015-01-06","35.080002"
"2015-01-07","35.220001"
"2015-01-08","35.750000"
"2015-01-09","35.619999"
"2015-01-12","34.709999"
"2015-01-13","34.259998"
"2015-01-14","33.790001"
"2015-01-15","33.540001"
"2015-01-16","34.070000"
"2015-01-20","34.180000"
"2015-01-21","34.169998"
"2015-01-22","34.959999"
"2015-01-23","34.869999"
"2015-01-26","34.919998"
"2015-01-27","34.290001"
"2015-01-28","32.900002"
"2015-01-29","33.990002"
"2015-01-30","33.410000"
"2015-02-02","33.459999"
"2015-02-03","34.599998"
"2015-02-04","34.250000"
"2015-02-05","34.220001"
"2015-02-06","33.950001"
"2015-02-09","33.669998"
"2015-02-10","34.060001"
"2015-02-11","33.730000"
"2015-02-12","33.650002"
"2015-02-13","34.020000"
"2015-02-17","34.610001"
"2015-02-18","34.770000"
"2015-02-19","34.790001"
"2015-02-20","34.930000"
"2015-02-23","34.320000"
"2015-02-24","34.450001"
"2015-02-25","34.169998"
"2015-02-26","34.650002"
"2015-02-27","34.660000"
"2015-03-02","34.500000"
"2015-03-03","33.840000"
"2015-03-04","33.630001"
"2015-03-05","34.000000"
"2015-03-06","33.520000"
"2015-03-09","33.669998"
"2015-03-10","32.880001"
"2015-03-11","32.840000"
"2015-03-12","32.869999"
"2015-03-13","33.009998"
"2015-03-16","34.040001"
"2015-03-17","34.380001"
"2015-03-18","36.160000"
"2015-03-19","36.099998"
"2015-03-20","37.009998"
"2015-03-23","35.880001"
"2015-03-24","35.790001"
"2015-03-25","35.349998"
"2015-03-26","35.759998"
"2015-03-27","36.049999"
"2015-03-30","36.090000"
"2015-03-31","36.169998"
"2015-04-01","36.150002"
"2015-04-02","36.509998"
"2015-04-06","37.169998"
"2015-04-07","37.049999"
"2015-04-08","37.570000"
"2015-04-09","37.939999"
"2015-04-10","37.939999"
"2015-04-13","37.139999"
"2015-04-14","37.049999"
"2015-04-15","37.160000"
"2015-04-16","37.230000"
"2015-04-17","36.840000"
"2015-04-20","36.759998"
"2015-04-21","36.869999"
"2015-04-22","37.189999"
"2015-04-23","37.360001"
"2015-04-24","37.180000"
"2015-04-27","36.730000"
"2015-04-28","36.740002"
"2015-04-29","36.680000"
"2015-04-30","38.340000"
"2015-05-01","38.730000"
"2015-05-04","38.599998"
"2015-05-05","38.209999"
"2015-05-06","38.070000"
"2015-05-07","38.080002"
"2015-05-08","38.689999"
"2015-05-11","38.740002"
"2015-05-12","38.740002"
"2015-05-13","38.990002"
"2015-05-14","39.700001"
"2015-05-15","39.400002"
"2015-05-18","39.790001"
"2015-05-19","39.450001"
"2015-05-20","40.560001"
"2015-05-21","41.459999"
"2015-05-22","41.049999"
"2015-05-26","40.910000"
"2015-05-27","41.660000"
"2015-05-28","41.790001"
"2015-05-29","41.270000"
"2015-06-01","41.529999"
"2015-06-02","41.770000"
"2015-06-03","41.700001"
"2015-06-04","41.410000"
"2015-06-05","41.759998"
"2015-06-08","41.360001"
"2015-06-09","41.450001"
"2015-06-10","41.980000"
"2015-06-11","41.820000"
"2015-06-12","41.459999"
"2015-06-15","41.230000"
"2015-06-16","41.490002"
"2015-06-17","41.540001"
"2015-06-18","42.099998"
"2015-06-19","42.250000"
"2015-06-22","42.529999"
"2015-06-23","42.299999"
"2015-06-24","41.880001"
"2015-06-25","41.900002"
"2015-06-26","41.669998"
"2015-06-29","41.009998"
"2015-06-30","41.020000"
"2015-07-01","41.250000"
"2015-07-02","41.180000"
"2015-07-06","41.040001"
"2015-07-07","41.320000"
"2015-07-08","40.660000"
"2015-07-09","40.779999"
"2015-07-10","38.779999"
"2015-07-13","38.639999"
"2015-07-14","38.650002"
"2015-07-15","39.360001"
"2015-07-16","39.400002"
"2015-07-17","39.060001"
"2015-07-20","39.049999"
"2015-07-21","38.770000"
"2015-07-22","39.119999"
"2015-07-23","38.630001"
"2015-07-24","38.380001"
"2015-07-27","38.270000"
"2015-07-28","38.720001"
"2015-07-29","37.799999"
"2015-07-30","36.230000"
"2015-07-31","36.349998"
"2015-08-03","36.580002"
"2015-08-04","36.500000"
"2015-08-05","36.500000"
"2015-08-06","36.070000"
"2015-08-07","35.910000"
"2015-08-10","36.549999"
"2015-08-11","36.340000"
"2015-08-12","35.700001"
"2015-08-13","35.529999"
"2015-08-14","35.930000"
"2015-08-17","36.360001"
"2015-08-18","36.400002"
"2015-08-19","36.119999"
"2015-08-20","35.290001"
"2015-08-21","34.439999"
"2015-08-24","33.889999"
"2015-08-25","33.459999"
"2015-08-26","33.880001"
"2015-08-27","34.310001"
"2015-08-28","34.150002"
"2015-08-31","33.119999"
"2015-09-01","32.290001"
"2015-09-02","32.279999"
"2015-09-03","32.680000"
"2015-09-04","31.990000"
"2015-09-08","32.980000"
"2015-09-09","31.910000"
"2015-09-10","32.330002"
"2015-09-11","32.549999"
"2015-09-14","32.770000"
