"date, price"
"2014-12-04","24.010000"
"2014-12-05","24.950001"
"2014-12-08","24.670000"
"2014-12-09","25.500000"
"2014-12-10","25.030001"
"2014-12-11","25.410000"
"2014-12-12","25.410000"
"2014-12-15","25.110001"
"2014-12-16","25.330000"
"2014-12-17","26.580000"
"2014-12-18","27.490000"
"2014-12-19","27.629999"
"2014-12-22","28.520000"
"2014-12-23","28.030001"
"2014-12-24","27.860001"
"2014-12-26","27.780001"
"2014-12-29","28.080000"
"2014-12-30","28.400000"
"2014-12-31","28.920000"
"2015-01-02","28.000000"
"2015-01-05","28.100000"
"2015-01-06","28.030001"
"2015-01-07","28.600000"
"2015-01-08","28.209999"
"2015-01-09","28.049999"
"2015-01-12","26.969999"
"2015-01-13","26.480000"
"2015-01-14","26.180000"
"2015-01-15","24.840000"
"2015-01-16","24.680000"
"2015-01-20","24.250000"
"2015-01-21","23.820000"
"2015-01-22","24.299999"
"2015-01-23","24.320000"
"2015-01-26","24.690001"
"2015-01-27","24.959999"
"2015-01-28","24.360001"
"2015-01-29","24.469999"
"2015-01-30","23.540001"
"2015-02-02","23.530001"
"2015-02-03","23.610001"
"2015-02-04","23.360001"
"2015-02-05","23.410000"
"2015-02-06","22.629999"
"2015-02-09","22.480000"
"2015-02-10","23.299999"
"2015-02-11","23.330000"
"2015-02-12","24.830000"
"2015-02-13","25.180000"
"2015-02-17","25.709999"
"2015-02-18","25.830000"
"2015-02-19","25.820000"
"2015-02-20","25.600000"
"2015-02-23","25.010000"
"2015-02-24","24.940001"
"2015-02-25","25.680000"
"2015-02-26","26.010000"
"2015-02-27","25.680000"
"2015-03-02","26.410000"
"2015-03-03","25.809999"
"2015-03-04","25.950001"
"2015-03-05","26.040001"
"2015-03-06","25.680000"
"2015-03-09","25.100000"
"2015-03-10","25.100000"
"2015-03-11","24.870001"
"2015-03-12","25.570000"
"2015-03-13","25.709999"
"2015-03-16","26.010000"
"2015-03-17","26.430000"
"2015-03-18","25.639999"
"2015-03-19","25.990000"
"2015-03-20","25.629999"
"2015-03-23","26.219999"
"2015-03-24","26.580000"
"2015-03-25","26.900000"
"2015-03-26","26.520000"
"2015-03-27","27.150000"
"2015-03-30","27.500000"
"2015-03-31","26.980000"
"2015-04-01","26.150000"
"2015-04-02","25.840000"
"2015-04-06","25.549999"
"2015-04-07","24.900000"
"2015-04-08","25.180000"
"2015-04-09","25.180000"
"2015-04-10","25.540001"
"2015-04-13","24.799999"
"2015-04-14","24.639999"
"2015-04-15","24.490000"
"2015-04-16","24.600000"
"2015-04-17","23.700001"
"2015-04-20","23.549999"
"2015-04-21","23.160000"
"2015-04-22","23.799999"
"2015-04-23","23.809999"
"2015-04-24","23.379999"
"2015-04-27","23.410000"
"2015-04-28","23.740000"
"2015-04-29","23.780001"
"2015-04-30","23.299999"
"2015-05-01","23.180000"
"2015-05-04","23.080000"
"2015-05-05","22.860001"
"2015-05-06","22.820000"
"2015-05-07","22.600000"
"2015-05-08","22.610001"
"2015-05-11","22.590000"
"2015-05-12","22.600000"
"2015-05-13","22.690001"
"2015-05-14","23.020000"
"2015-05-15","23.049999"
"2015-05-18","23.020000"
"2015-05-19","23.719999"
"2015-05-20","22.980000"
"2015-05-21","22.730000"
"2015-05-22","21.840000"
"2015-05-26","22.110001"
"2015-05-27","22.410000"
"2015-05-28","22.240000"
"2015-05-29","21.670000"
"2015-06-01","21.969999"
"2015-06-02","22.160000"
"2015-06-03","22.760000"
"2015-06-04","22.540001"
"2015-06-05","22.850000"
"2015-06-08","22.629999"
"2015-06-09","22.469999"
"2015-06-10","22.629999"
"2015-06-11","23.000000"
"2015-06-12","22.900000"
"2015-06-15","22.690001"
"2015-06-16","22.240000"
"2015-06-17","22.510000"
