"date, price"
"2014-12-04","423.209991"
"2014-12-05","423.230011"
"2014-12-08","434.950012"
"2014-12-09","432.670013"
"2014-12-10","422.929993"
"2014-12-11","424.350006"
"2014-12-12","416.440002"
"2014-12-15","401.010010"
"2014-12-16","396.130005"
"2014-12-17","410.989990"
"2014-12-18","423.790009"
"2014-12-19","427.640015"
"2014-12-22","412.970001"
"2014-12-23","394.049988"
"2014-12-24","400.119995"
"2014-12-26","413.480011"
"2014-12-29","413.869995"
"2014-12-30","408.339996"
"2014-12-31","410.250000"
"2015-01-02","410.160004"
"2015-01-05","412.470001"
"2015-01-06","396.890015"
"2015-01-07","407.720001"
"2015-01-08","403.250000"
"2015-01-09","411.040009"
"2015-01-12","413.329987"
"2015-01-13","406.489990"
"2015-01-14","404.309998"
"2015-01-15","397.119995"
"2015-01-16","408.690002"
"2015-01-20","421.109985"
"2015-01-21","418.109985"
"2015-01-22","420.809998"
"2015-01-23","420.209991"
"2015-01-26","423.769989"
"2015-01-27","415.739990"
"2015-01-28","408.000000"
"2015-01-29","414.640015"
"2015-01-30","416.660004"
"2015-02-02","413.089996"
"2015-02-03","409.200012"
"2015-02-04","401.359985"
"2015-02-05","413.869995"
"2015-02-06","406.859985"
"2015-02-09","399.720001"
"2015-02-10","400.709991"
"2015-02-11","398.989990"
"2015-02-12","401.739990"
"2015-02-13","402.399994"
"2015-02-17","404.179993"
"2015-02-18","405.799988"
"2015-02-19","426.600006"
"2015-02-20","423.779999"
"2015-02-23","425.109985"
"2015-02-24","420.640015"
"2015-02-25","423.040009"
"2015-02-26","419.869995"
"2015-02-27","413.839996"
"2015-03-02","418.440002"
"2015-03-03","412.510010"
"2015-03-04","413.040009"
"2015-03-05","428.950012"
"2015-03-06","422.130005"
"2015-03-09","426.869995"
"2015-03-10","422.839996"
"2015-03-11","424.549988"
"2015-03-12","425.160004"
"2015-03-13","429.380005"
"2015-03-16","451.769989"
"2015-03-17","467.799988"
"2015-03-18","472.109985"
"2015-03-19","486.019989"
"2015-03-20","488.869995"
"2015-03-23","478.320007"
"2015-03-24","473.739990"
"2015-03-25","453.989990"
"2015-03-26","448.380005"
"2015-03-27","454.500000"
"2015-03-30","459.779999"
"2015-03-31","451.480011"
"2015-04-01","441.179993"
"2015-04-02","438.269989"
"2015-04-06","440.230011"
"2015-04-07","441.649994"
"2015-04-08","453.190002"
"2015-04-09","455.040009"
"2015-04-10","461.390015"
"2015-04-13","456.980011"
"2015-04-14","455.070007"
"2015-04-15","453.890015"
"2015-04-16","457.420013"
"2015-04-17","447.519989"
"2015-04-20","452.420013"
"2015-04-21","463.220001"
"2015-04-22","472.630005"
"2015-04-23","480.079987"
"2015-04-24","480.089996"
"2015-04-27","473.480011"
"2015-04-28","466.339996"
"2015-04-29","469.700012"
"2015-04-30","457.459991"
"2015-05-01","471.160004"
"2015-05-04","474.170013"
"2015-05-05","465.500000"
"2015-05-06","470.010010"
"2015-05-07","468.619995"
"2015-05-08","481.290009"
"2015-05-11","477.559998"
"2015-05-12","479.399994"
"2015-05-13","477.459991"
"2015-05-14","491.429993"
"2015-05-15","489.010010"
"2015-05-18","496.739990"
"2015-05-19","504.149994"
"2015-05-20","512.770020"
"2015-05-21","516.000000"
