"date, price"
"2014-12-04","65.669998"
"2014-12-05","65.330002"
"2014-12-08","64.849998"
"2014-12-09","66.519997"
"2014-12-10","64.930000"
"2014-12-11","65.389999"
"2014-12-12","64.570000"
"2014-12-15","63.720001"
"2014-12-16","61.470001"
"2014-12-17","62.799999"
"2014-12-18","63.360001"
"2014-12-19","63.410000"
"2014-12-22","63.500000"
"2014-12-23","64.199997"
"2014-12-24","64.220001"
"2014-12-26","65.129997"
"2014-12-29","65.120003"
"2014-12-30","64.930000"
"2014-12-31","64.529999"
"2015-01-02","64.129997"
"2015-01-05","63.099998"
"2015-01-06","62.290001"
"2015-01-07","62.730000"
"2015-01-08","63.130001"
"2015-01-09","62.980000"
"2015-01-12","62.700001"
"2015-01-13","62.950001"
"2015-01-14","62.889999"
"2015-01-15","62.119999"
"2015-01-16","62.099998"
"2015-01-20","61.279999"
"2015-01-21","61.840000"
"2015-01-22","63.380001"
"2015-01-23","62.150002"
"2015-01-26","62.110001"
"2015-01-27","61.110001"
"2015-01-28","59.880001"
"2015-01-29","59.580002"
"2015-01-30","58.040001"
"2015-02-02","61.259998"
"2015-02-03","61.270000"
"2015-02-04","59.270000"
"2015-02-05","60.810001"
"2015-02-06","60.799999"
"2015-02-09","60.860001"
"2015-02-10","61.490002"
"2015-02-11","61.330002"
"2015-02-12","62.169998"
"2015-02-13","61.779999"
"2015-02-17","61.459999"
"2015-02-18","61.150002"
"2015-02-19","61.259998"
"2015-02-20","60.830002"
"2015-02-23","60.830002"
"2015-02-24","61.090000"
"2015-02-25","61.250000"
"2015-02-26","61.799999"
"2015-02-27","62.049999"
"2015-03-02","63.070000"
"2015-03-03","62.810001"
"2015-03-04","62.099998"
"2015-03-05","62.580002"
"2015-03-06","62.090000"
"2015-03-09","63.259998"
"2015-03-10","61.630001"
"2015-03-11","61.560001"
"2015-03-12","63.180000"
"2015-03-13","62.919998"
"2015-03-16","63.340000"
"2015-03-17","63.259998"
"2015-03-18","64.070000"
"2015-03-19","63.639999"
"2015-03-20","64.449997"
"2015-03-23","63.910000"
"2015-03-24","64.070000"
"2015-03-25","62.750000"
"2015-03-26","62.380001"
"2015-03-27","75.580002"
"2015-03-30","75.529999"
"2015-03-31","76.540001"
"2015-04-01","76.849998"
"2015-04-02","76.410004"
"2015-04-06","77.290001"
"2015-04-07","76.160004"
"2015-04-08","76.230003"
"2015-04-09","75.919998"
"2015-04-10","76.489998"
"2015-04-13","76.959999"
"2015-04-14","76.889999"
"2015-04-15","77.239998"
"2015-04-16","76.589996"
"2015-04-17","75.430000"
"2015-04-20","76.050003"
"2015-04-21","75.220001"
"2015-04-22","75.540001"
"2015-04-23","75.930000"
"2015-04-24","75.349998"
"2015-04-27","75.150002"
"2015-04-28","76.010002"
"2015-04-29","75.320000"
"2015-04-30","72.989998"
"2015-05-01","72.589996"
"2015-05-04","72.360001"
"2015-05-05","71.589996"
"2015-05-06","72.519997"
"2015-05-07","72.330002"
"2015-05-08","72.080002"
"2015-05-11","72.269997"
"2015-05-12","72.480003"
"2015-05-13","72.489998"
"2015-05-14","73.440002"
"2015-05-15","72.760002"
"2015-05-18","73.940002"
"2015-05-19","73.269997"
"2015-05-20","73.150002"
"2015-05-21","72.660004"
"2015-05-22","72.349998"
"2015-05-26","71.199997"
"2015-05-27","71.000000"
"2015-05-28","71.070000"
"2015-05-29","70.080002"
"2015-06-01","70.720001"
"2015-06-02","70.570000"
"2015-06-03","71.129997"
"2015-06-04","70.169998"
"2015-06-05","71.620003"
"2015-06-08","71.760002"
"2015-06-09","71.570000"
"2015-06-10","72.610001"
"2015-06-11","72.570000"
"2015-06-12","72.400002"
"2015-06-15","71.820000"
"2015-06-16","72.360001"
"2015-06-17","72.760002"
"2015-06-18","73.699997"
"2015-06-19","73.220001"
"2015-06-22","73.330002"
"2015-06-23","73.199997"
"2015-06-24","72.629997"
"2015-06-25","71.889999"
"2015-06-26","72.489998"
"2015-06-29","71.379997"
"2015-06-30","71.760002"
"2015-07-01","72.830002"
"2015-07-02","72.440002"
"2015-07-06","72.400002"
"2015-07-07","72.209999"
"2015-07-08","71.459999"
"2015-07-09","71.540001"
"2015-07-10","72.459999"
"2015-07-13","73.209999"
"2015-07-14","72.120003"
"2015-07-15","71.629997"
"2015-07-16","71.820000"
"2015-07-17","71.559998"
"2015-07-20","70.589996"
"2015-07-21","68.879997"
"2015-07-22","67.889999"
"2015-07-23","67.489998"
"2015-07-24","66.059998"
"2015-07-27","66.129997"
"2015-07-28","65.400002"
"2015-07-29","66.720001"
"2015-07-30","66.690002"
"2015-07-31","67.750000"
"2015-08-03","67.360001"
"2015-08-04","65.529999"
"2015-08-05","65.129997"
"2015-08-06","68.879997"
"2015-08-07","69.300003"
"2015-08-10","70.180000"
"2015-08-11","67.660004"
"2015-08-12","66.940002"
"2015-08-13","67.250000"
"2015-08-14","67.470001"
"2015-08-17","67.160004"
"2015-08-18","66.559998"
"2015-08-19","65.919998"
"2015-08-20","64.589996"
"2015-08-21","64.160004"
"2015-08-24","62.380001"
"2015-08-25","60.389999"
"2015-08-26","61.570000"
"2015-08-27","61.720001"
"2015-08-28","62.049999"
"2015-08-31","61.860001"
"2015-09-01","60.060001"
"2015-09-02","60.090000"
"2015-09-03","59.230000"
"2015-09-04","58.459999"
"2015-09-08","59.599998"
"2015-09-09","60.270000"
"2015-09-10","60.169998"
"2015-09-11","60.410000"
"2015-09-14","58.320000"
"2015-09-15","59.279999"
"2015-09-16","60.040001"
"2015-09-17","59.770000"
"2015-09-18","57.830002"
"2015-09-21","59.279999"
"2015-09-22","58.590000"
"2015-09-23","58.009998"
"2015-09-24","58.380001"
"2015-09-25","58.500000"
"2015-09-28","58.930000"
"2015-09-29","59.139999"
"2015-09-30","59.730000"
"2015-10-01","58.759998"
"2015-10-02","59.459999"
"2015-10-05","61.189999"
"2015-10-06","61.520000"
"2015-10-07","62.889999"
"2015-10-08","65.610001"
"2015-10-09","65.370003"
"2015-10-12","65.070000"
"2015-10-13","63.750000"
"2015-10-14","62.410000"
"2015-10-15","64.019997"
"2015-10-16","63.250000"
"2015-10-19","63.020000"
"2015-10-20","63.099998"
"2015-10-21","63.150002"
"2015-10-22","65.709999"
"2015-10-23","66.830002"
"2015-10-26","66.379997"
"2015-10-27","65.589996"
"2015-10-28","68.389999"
"2015-10-29","68.800003"
"2015-10-30","68.389999"
"2015-11-02","69.800003"
"2015-11-03","69.480003"
"2015-11-04","69.199997"
"2015-11-05","70.250000"
"2015-11-06","71.779999"
"2015-11-09","70.589996"
"2015-11-10","70.540001"
"2015-11-11","70.150002"
"2015-11-12","68.709999"
"2015-11-13","67.570000"
"2015-11-16","68.269997"
"2015-11-17","67.589996"
"2015-11-18","68.650002"
"2015-11-19","68.110001"
"2015-11-20","68.820000"
"2015-11-23","68.779999"
"2015-11-24","69.540001"
"2015-11-25","69.839996"
"2015-11-27","69.879997"
"2015-11-30","70.620003"
"2015-12-01","70.300003"
"2015-12-02","69.540001"
"2015-12-03","69.669998"
"2015-12-04","70.449997"
"2015-12-07","70.480003"
"2015-12-08","69.519997"
"2015-12-09","67.339996"
"2015-12-10","66.830002"
"2015-12-11","65.540001"
"2015-12-14","66.089996"
"2015-12-15","65.199997"
"2015-12-16","66.110001"
"2015-12-17","65.129997"
"2015-12-18","63.970001"
"2015-12-21","64.099998"
"2015-12-22","64.320000"
"2015-12-23","65.970001"
"2015-12-24","66.489998"
"2015-12-28","67.019997"
"2015-12-29","67.040001"
"2015-12-30","66.050003"
"2015-12-31","64.589996"
"2016-01-04","62.130001"
