"date, price"
"2014-12-04","45.525002"
"2014-12-05","45.345001"
"2014-12-08","45.105000"
"2014-12-09","44.930000"
"2014-12-10","44.650002"
"2014-12-11","45.410000"
"2014-12-12","45.290001"
"2014-12-15","46.025002"
"2014-12-16","44.985001"
"2014-12-17","45.384998"
"2014-12-18","46.355000"
"2014-12-19","45.509998"
"2014-12-22","46.580002"
"2014-12-23","46.660000"
"2014-12-24","46.360001"
"2014-12-26","46.705002"
"2014-12-29","47.049999"
"2014-12-30","46.965000"
"2014-12-31","47.130001"
"2015-01-02","46.865002"
"2015-01-05","46.830002"
"2015-01-06","46.919998"
"2015-01-07","47.834999"
"2015-01-08","48.470001"
"2015-01-09","47.599998"
"2015-01-12","47.915001"
"2015-01-13","47.430000"
"2015-01-14","46.314999"
"2015-01-15","45.570000"
"2015-01-16","46.450001"
"2015-01-20","45.904999"
"2015-01-21","46.084999"
"2015-01-22","47.130001"
"2015-01-23","47.334999"
"2015-01-26","47.615002"
"2015-01-27","47.165001"
"2015-01-28","46.830002"
"2015-01-29","46.814999"
"2015-01-30","45.855000"
"2015-02-02","45.924999"
"2015-02-03","47.294998"
"2015-02-04","47.369999"
"2015-02-05","47.465000"
"2015-02-06","47.490002"
"2015-02-09","47.310001"
"2015-02-10","47.669998"
"2015-02-11","47.410000"
"2015-02-12","47.834999"
"2015-02-13","48.090000"
"2015-02-17","48.424999"
"2015-02-18","48.349998"
"2015-02-19","48.459999"
"2015-02-20","48.959999"
"2015-02-23","49.419998"
"2015-02-24","49.035000"
"2015-02-25","49.230000"
"2015-02-26","49.525002"
"2015-02-27","52.904999"
"2015-03-02","52.994999"
"2015-03-03","52.770000"
"2015-03-04","52.560001"
"2015-03-05","52.474998"
"2015-03-06","52.200001"
"2015-03-09","52.724998"
"2015-03-10","52.459999"
"2015-03-11","52.525002"
"2015-03-12","53.139999"
"2015-03-13","53.020000"
"2015-03-16","53.424999"
"2015-03-17","53.189999"
"2015-03-18","52.889999"
"2015-03-19","53.369999"
"2015-03-20","53.730000"
"2015-03-23","53.189999"
"2015-03-24","53.320000"
"2015-03-25","52.419998"
"2015-03-26","51.884998"
"2015-03-27","52.064999"
"2015-03-30","52.869999"
"2015-03-31","52.680000"
"2015-04-01","52.009998"
"2015-04-02","51.959999"
"2015-04-06","51.974998"
"2015-04-07","51.410000"
"2015-04-08","52.000000"
"2015-04-09","51.840000"
"2015-04-10","51.730000"
"2015-04-13","52.095001"
"2015-04-14","51.900002"
"2015-04-15","51.680000"
"2015-04-16","51.730000"
"2015-04-17","50.200001"
"2015-04-20","51.145000"
"2015-04-21","51.810001"
"2015-04-22","51.955002"
"2015-04-23","52.255001"
"2015-04-24","52.189999"
"2015-04-27","51.240002"
"2015-04-28","50.915001"
"2015-04-29","49.880001"
"2015-04-30","49.439999"
"2015-05-01","50.849998"
"2015-05-04","50.639999"
"2015-05-05","50.270000"
"2015-05-06","50.599998"
"2015-05-07","50.415001"
"2015-05-08","51.275002"
"2015-05-11","51.005001"
"2015-05-12","51.035000"
"2015-05-13","50.619999"
"2015-05-14","49.680000"
"2015-05-15","50.240002"
"2015-05-18","51.174999"
"2015-05-19","51.490002"
"2015-05-20","50.465000"
"2015-05-21","50.775002"
"2015-05-22","48.514999"
"2015-05-26","47.785000"
"2015-05-27","48.275002"
"2015-05-28","48.470001"
"2015-05-29","48.334999"
"2015-06-01","48.259998"
"2015-06-02","48.490002"
"2015-06-03","49.090000"
"2015-06-04","48.930000"
"2015-06-05","48.799999"
"2015-06-08","48.790001"
"2015-06-09","48.750000"
"2015-06-10","48.915001"
"2015-06-11","48.930000"
"2015-06-12","48.529999"
"2015-06-15","48.689999"
"2015-06-16","49.169998"
"2015-06-17","49.430000"
"2015-06-18","50.160000"
"2015-06-19","50.470001"
"2015-06-22","50.310001"
"2015-06-23","50.540001"
"2015-06-24","50.080002"
"2015-06-25","49.790001"
"2015-06-26","50.270000"
"2015-06-29","48.549999"
"2015-06-30","48.610001"
"2015-07-01","49.389999"
"2015-07-02","49.310001"
"2015-07-06","49.869999"
"2015-07-07","50.570000"
"2015-07-08","50.169998"
"2015-07-09","50.320000"
"2015-07-10","50.860001"
"2015-07-13","52.410000"
"2015-07-14","52.430000"
"2015-07-15","52.320000"
"2015-07-16","52.959999"
"2015-07-17","52.270000"
"2015-07-20","52.830002"
"2015-07-21","52.860001"
"2015-07-22","53.279999"
"2015-07-23","52.889999"
"2015-07-24","52.689999"
"2015-07-27","52.080002"
"2015-07-28","52.009998"
"2015-07-29","52.790001"
"2015-07-30","52.750000"
"2015-07-31","53.160000"
"2015-08-03","53.029999"
"2015-08-04","53.189999"
"2015-08-05","53.810001"
"2015-08-06","53.570000"
"2015-08-07","53.070000"
"2015-08-10","53.730000"
"2015-08-11","53.820000"
"2015-08-12","53.560001"
"2015-08-13","53.630001"
"2015-08-14","53.720001"
"2015-08-17","54.500000"
"2015-08-18","56.529999"
"2015-08-19","55.700001"
"2015-08-20","55.250000"
"2015-08-21","50.000000"
"2015-08-24","48.330002"
"2015-08-25","47.220001"
"2015-08-26","48.930000"
"2015-08-27","49.680000"
"2015-08-28","49.400002"
"2015-08-31","48.619999"
"2015-09-01","47.470001"
"2015-09-02","48.450001"
"2015-09-03","48.480000"
"2015-09-04","48.439999"
"2015-09-08","49.770000"
"2015-09-09","49.380001"
"2015-09-10","49.840000"
"2015-09-11","50.060001"
"2015-09-14","49.459999"
"2015-09-15","49.419998"
"2015-09-16","49.750000"
"2015-09-17","50.490002"
"2015-09-18","49.119999"
"2015-09-21","49.439999"
"2015-09-22","48.919998"
"2015-09-23","49.099998"
"2015-09-24","48.880001"
"2015-09-25","49.080002"
"2015-09-28","47.490002"
"2015-09-29","47.560001"
"2015-09-30","48.470001"
"2015-10-01","47.860001"
"2015-10-02","48.730000"
"2015-10-05","49.150002"
"2015-10-06","47.689999"
"2015-10-07","48.150002"
"2015-10-08","49.020000"
"2015-10-09","49.040001"
"2015-10-12","50.529999"
"2015-10-13","49.450001"
