"date, price"
"2014-12-04","56.529999"
"2014-12-05","56.410000"
"2014-12-08","54.730000"
"2014-12-09","54.959999"
"2014-12-10","54.209999"
"2014-12-11","55.090000"
"2014-12-12","54.189999"
"2014-12-15","54.189999"
"2014-12-16","53.310001"
"2014-12-17","53.009998"
"2014-12-18","53.630001"
"2014-12-19","53.439999"
"2014-12-22","54.730000"
"2014-12-23","54.730000"
"2014-12-24","55.040001"
"2014-12-26","55.470001"
"2014-12-29","55.099998"
"2014-12-30","55.730000"
"2014-12-31","55.360001"
"2015-01-02","55.709999"
"2015-01-05","53.349998"
"2015-01-06","51.200001"
"2015-01-07","51.180000"
"2015-01-08","52.369999"
"2015-01-09","51.209999"
"2015-01-12","51.029999"
"2015-01-13","51.430000"
"2015-01-14","49.500000"
"2015-01-15","49.279999"
"2015-01-16","49.970001"
"2015-01-20","48.330002"
"2015-01-21","44.540001"
"2015-01-22","47.029999"
"2015-01-23","46.610001"
"2015-01-26","45.270000"
"2015-01-27","45.049999"
"2015-01-28","44.680000"
"2015-01-29","43.410000"
"2015-01-30","42.110001"
"2015-02-02","41.869999"
"2015-02-03","43.009998"
"2015-02-04","42.119999"
"2015-02-05","43.490002"
"2015-02-06","44.720001"
"2015-02-09","44.119999"
"2015-02-10","44.570000"
"2015-02-11","44.310001"
"2015-02-12","44.610001"
"2015-02-13","45.590000"
"2015-02-17","45.400002"
"2015-02-18","45.580002"
"2015-02-19","46.110001"
"2015-02-20","46.139999"
"2015-02-23","46.680000"
"2015-02-24","46.700001"
"2015-02-25","46.660000"
"2015-02-26","46.810001"
"2015-02-27","46.029999"
"2015-03-02","45.799999"
"2015-03-03","44.369999"
"2015-03-04","43.930000"
"2015-03-05","44.799999"
"2015-03-06","44.650002"
"2015-03-09","44.700001"
"2015-03-10","44.389999"
"2015-03-11","44.299999"
"2015-03-12","44.160000"
"2015-03-13","44.970001"
"2015-03-16","45.450001"
"2015-03-17","45.520000"
"2015-03-18","44.970001"
"2015-03-19","45.130001"
"2015-03-20","45.880001"
"2015-03-23","45.910000"
"2015-03-24","44.509998"
"2015-03-25","43.470001"
"2015-03-26","44.400002"
"2015-03-27","43.980000"
"2015-03-30","44.020000"
"2015-03-31","44.299999"
"2015-04-01","43.759998"
"2015-04-02","41.070000"
"2015-04-06","40.070000"
"2015-04-07","39.900002"
"2015-04-08","39.680000"
"2015-04-09","40.230000"
"2015-04-10","41.950001"
"2015-04-13","42.060001"
"2015-04-14","41.490002"
"2015-04-15","42.189999"
"2015-04-16","42.299999"
"2015-04-17","42.040001"
"2015-04-20","43.110001"
"2015-04-21","43.099998"
"2015-04-22","42.939999"
"2015-04-23","43.090000"
"2015-04-24","42.990002"
"2015-04-27","42.500000"
"2015-04-28","43.070000"
"2015-04-29","40.970001"
"2015-04-30","40.750000"
"2015-05-01","41.080002"
"2015-05-04","41.000000"
"2015-05-05","40.990002"
"2015-05-06","41.119999"
"2015-05-07","41.639999"
"2015-05-08","42.000000"
"2015-05-11","41.750000"
"2015-05-12","41.610001"
"2015-05-13","41.720001"
"2015-05-14","41.500000"
"2015-05-15","40.990002"
"2015-05-18","42.160000"
"2015-05-19","41.650002"
"2015-05-20","41.900002"
"2015-05-21","42.650002"
"2015-05-22","42.369999"
"2015-05-26","41.849998"
"2015-05-27","41.810001"
"2015-05-28","41.490002"
"2015-05-29","40.939999"
"2015-06-01","41.740002"
"2015-06-02","41.139999"
"2015-06-03","41.570000"
"2015-06-04","41.720001"
"2015-06-05","42.750000"
"2015-06-08","41.540001"
"2015-06-09","41.009998"
"2015-06-10","41.500000"
"2015-06-11","41.930000"
"2015-06-12","42.119999"
"2015-06-15","41.630001"
"2015-06-16","40.150002"
"2015-06-17","39.860001"
"2015-06-18","40.549999"
"2015-06-19","40.320000"
"2015-06-22","40.189999"
"2015-06-23","39.799999"
"2015-06-24","38.299999"
"2015-06-25","38.150002"
"2015-06-26","38.610001"
"2015-06-29","38.430000"
"2015-06-30","39.290001"
"2015-07-01","39.240002"
"2015-07-02","39.200001"
"2015-07-06","39.080002"
"2015-07-07","39.680000"
"2015-07-08","38.349998"
"2015-07-09","39.250000"
"2015-07-10","39.630001"
"2015-07-13","40.880001"
"2015-07-14","39.189999"
"2015-07-15","38.860001"
"2015-07-16","39.439999"
"2015-07-17","39.840000"
"2015-07-20","39.400002"
"2015-07-21","39.970001"
"2015-07-22","38.939999"
"2015-07-23","38.349998"
"2015-07-24","37.740002"
"2015-07-27","37.439999"
"2015-07-28","37.900002"
"2015-07-29","42.380001"
"2015-07-30","42.529999"
"2015-07-31","43.419998"
"2015-08-03","45.040001"
"2015-08-04","44.130001"
"2015-08-05","44.139999"
"2015-08-06","43.299999"
"2015-08-07","41.619999"
"2015-08-10","42.480000"
"2015-08-11","41.930000"
"2015-08-12","41.389999"
"2015-08-13","41.310001"
"2015-08-14","41.570000"
"2015-08-17","41.200001"
"2015-08-18","41.500000"
"2015-08-19","40.500000"
"2015-08-20","38.900002"
"2015-08-21","37.869999"
"2015-08-24","37.020000"
"2015-08-25","35.779999"
"2015-08-26","36.689999"
"2015-08-27","37.599998"
"2015-08-28","37.610001"
"2015-08-31","37.549999"
"2015-09-01","36.110001"
"2015-09-02","35.750000"
"2015-09-03","35.750000"
"2015-09-04","35.669998"
"2015-09-08","36.380001"
"2015-09-09","36.360001"
"2015-09-10","36.740002"
"2015-09-11","36.240002"
"2015-09-14","35.630001"
"2015-09-15","36.439999"
"2015-09-16","36.419998"
"2015-09-17","35.480000"
"2015-09-18","34.259998"
"2015-09-21","34.040001"
"2015-09-22","32.910000"
"2015-09-23","32.349998"
"2015-09-24","31.209999"
"2015-09-25","31.680000"
"2015-09-28","31.080000"
"2015-09-29","30.990000"
"2015-09-30","30.950001"
"2015-10-01","30.740000"
"2015-10-02","31.000000"
"2015-10-05","31.700001"
"2015-10-06","31.760000"
"2015-10-07","32.099998"
"2015-10-08","32.849998"
"2015-10-09","33.189999"
"2015-10-12","32.750000"
"2015-10-13","31.940001"
"2015-10-14","32.520000"
"2015-10-15","32.889999"
"2015-10-16","32.599998"
"2015-10-19","32.950001"
"2015-10-20","33.049999"
"2015-10-21","33.430000"
"2015-10-22","33.520000"
"2015-10-23","32.930000"
"2015-10-26","32.599998"
"2015-10-27","30.010000"
"2015-10-28","23.719999"
"2015-10-29","22.900000"
"2015-10-30","23.610001"
"2015-11-02","23.670000"
"2015-11-03","24.370001"
"2015-11-04","24.129999"
"2015-11-05","24.000000"
"2015-11-06","24.500000"
"2015-11-09","23.559999"
"2015-11-10","24.129999"
"2015-11-11","23.940001"
"2015-11-12","23.370001"
"2015-11-13","23.320000"
"2015-11-16","23.459999"
"2015-11-17","23.469999"
"2015-11-18","23.700001"
"2015-11-19","23.540001"
"2015-11-20","23.400000"
"2015-11-23","23.950001"
"2015-11-24","24.240000"
"2015-11-25","24.610001"
"2015-11-27","24.840000"
"2015-11-30","24.510000"
"2015-12-01","24.580000"
"2015-12-02","23.860001"
"2015-12-03","23.350000"
"2015-12-04","22.059999"
"2015-12-07","21.430000"
"2015-12-08","21.190001"
"2015-12-09","21.209999"
"2015-12-10","21.750000"
"2015-12-11","21.360001"
"2015-12-14","21.420000"
"2015-12-15","22.090000"
"2015-12-16","23.290001"
"2015-12-17","23.469999"
"2015-12-18","22.600000"
"2015-12-21","21.980000"
"2015-12-22","22.000000"
"2015-12-23","21.879999"
"2015-12-24","22.290001"
"2015-12-28","21.990000"
"2015-12-29","22.040001"
"2015-12-30","21.590000"
"2015-12-31","22.250000"
"2016-01-04","21.790001"
"2016-01-05","22.430000"
"2016-01-06","21.639999"
"2016-01-07","20.049999"
"2016-01-08","19.920000"
"2016-01-11","19.950001"
"2016-01-12","19.799999"
"2016-01-13","19.799999"
"2016-01-14","19.510000"
"2016-01-15","19.670000"
"2016-01-19","19.320000"
"2016-01-20","19.360001"
"2016-01-21","20.200001"
"2016-01-22","20.920000"
"2016-01-25","20.440001"
"2016-01-26","21.820000"
"2016-01-27","21.590000"
"2016-01-28","20.850000"
"2016-01-29","21.389999"
"2016-02-01","21.809999"
"2016-02-02","20.920000"
