"date, price"
"2014-12-04","122.209999"
"2014-12-05","126.000000"
"2014-12-08","125.559998"
"2014-12-09","125.279999"
"2014-12-10","121.040001"
"2014-12-11","120.709999"
"2014-12-12","118.889999"
"2014-12-15","118.250000"
"2014-12-16","119.589996"
"2014-12-17","121.150002"
"2014-12-18","123.589996"
"2014-12-19","123.660004"
"2014-12-22","124.639999"
"2014-12-23","126.730003"
"2014-12-24","126.180000"
"2014-12-26","126.480003"
"2014-12-29","126.849998"
"2014-12-30","126.830002"
"2014-12-31","125.959999"
"2015-01-02","125.250000"
"2015-01-05","121.809998"
"2015-01-06","120.360001"
"2015-01-07","120.970001"
"2015-01-08","124.080002"
"2015-01-09","120.339996"
"2015-01-12","119.739998"
"2015-01-13","119.480003"
"2015-01-14","116.910004"
"2015-01-15","114.980003"
"2015-01-16","116.669998"
"2015-01-20","116.959999"
"2015-01-21","117.750000"
"2015-01-22","124.449997"
"2015-01-23","121.720001"
"2015-01-26","122.720001"
"2015-01-27","120.410004"
"2015-01-28","117.370003"
"2015-01-29","118.970001"
"2015-01-30","117.129997"
"2015-02-02","120.320000"
"2015-02-03","122.870003"
"2015-02-04","121.029999"
"2015-02-05","123.440002"
"2015-02-06","125.589996"
"2015-02-09","123.440002"
"2015-02-10","124.910004"
"2015-02-11","124.180000"
"2015-02-12","125.580002"
"2015-02-13","125.699997"
"2015-02-17","126.730003"
"2015-02-18","124.470001"
"2015-02-19","123.889999"
"2015-02-20","125.699997"
"2015-02-23","126.029999"
"2015-02-24","125.639999"
"2015-02-25","124.279999"
"2015-02-26","123.830002"
"2015-02-27","123.349998"
"2015-03-02","124.620003"
"2015-03-03","124.400002"
"2015-03-04","124.750000"
"2015-03-05","124.879997"
"2015-03-06","126.269997"
"2015-03-09","126.510002"
"2015-03-10","123.320000"
"2015-03-11","125.430000"
"2015-03-12","129.229996"
"2015-03-13","131.320007"
"2015-03-16","132.509995"
"2015-03-17","131.600006"
"2015-03-18","131.529999"
"2015-03-19","130.960007"
"2015-03-20","131.899994"
"2015-03-23","129.860001"
"2015-03-24","129.139999"
"2015-03-25","126.099998"
"2015-03-26","127.580002"
"2015-03-27","127.260002"
"2015-03-30","129.289993"
"2015-03-31","129.580002"
"2015-04-01","130.389999"
"2015-04-02","131.289993"
"2015-04-06","131.460007"
"2015-04-07","131.899994"
"2015-04-08","130.979996"
"2015-04-09","130.750000"
"2015-04-10","130.539993"
"2015-04-13","131.479996"
"2015-04-14","130.339996"
"2015-04-15","131.250000"
"2015-04-16","131.240005"
"2015-04-17","128.910004"
"2015-04-20","128.960007"
"2015-04-21","136.350006"
"2015-04-22","135.169998"
"2015-04-23","134.630005"
"2015-04-24","132.500000"
"2015-04-27","131.070007"
"2015-04-28","133.029999"
"2015-04-29","134.149994"
"2015-04-30","134.089996"
"2015-05-01","134.009995"
"2015-05-04","137.139999"
"2015-05-05","136.779999"
"2015-05-06","138.119995"
"2015-05-07","137.259995"
"2015-05-08","138.039993"
"2015-05-11","138.860001"
"2015-05-12","139.449997"
"2015-05-13","140.089996"
"2015-05-14","141.169998"
"2015-05-15","138.729996"
"2015-05-18","140.889999"
"2015-05-19","142.210007"
"2015-05-20","141.639999"
"2015-05-21","142.089996"
"2015-05-22","141.820007"
"2015-05-26","140.320007"
"2015-05-27","141.199997"
"2015-05-28","141.369995"
"2015-05-29","139.649994"
"2015-06-01","138.580002"
"2015-06-02","139.179993"
"2015-06-03","139.619995"
"2015-06-04","139.529999"
"2015-06-05","140.360001"
"2015-06-08","142.279999"
"2015-06-09","144.410004"
"2015-06-10","146.589996"
"2015-06-11","146.869995"
"2015-06-12","146.729996"
"2015-06-15","146.419998"
"2015-06-16","148.309998"
"2015-06-17","145.500000"
"2015-06-18","146.300003"
"2015-06-19","146.490005"
"2015-06-22","148.000000"
"2015-06-23","148.460007"
"2015-06-24","147.110001"
"2015-06-25","147.029999"
"2015-06-26","148.919998"
"2015-06-29","145.559998"
