"date, price"
"2014-12-04","9.910000"
"2014-12-05","9.970000"
"2014-12-08","10.060000"
"2014-12-09","10.140000"
"2014-12-10","9.970000"
"2014-12-11","10.110000"
"2014-12-12","9.820000"
"2014-12-15","9.710000"
"2014-12-16","9.710000"
"2014-12-17","9.910000"
"2014-12-18","9.980000"
"2014-12-19","9.890000"
"2014-12-22","10.130000"
"2014-12-23","10.240000"
"2014-12-24","10.300000"
"2014-12-26","10.250000"
"2014-12-29","10.320000"
"2014-12-30","10.340000"
"2014-12-31","10.190000"
"2015-01-02","10.320000"
"2015-01-05","9.970000"
"2015-01-06","9.800000"
"2015-01-07","9.900000"
"2015-01-08","10.010000"
"2015-01-09","9.740000"
"2015-01-12","9.680000"
"2015-01-13","9.700000"
"2015-01-14","9.700000"
"2015-01-15","9.660000"
"2015-01-16","9.710000"
"2015-01-20","9.630000"
"2015-01-21","9.690000"
"2015-01-22","9.050000"
"2015-01-23","9.210000"
"2015-01-26","9.280000"
"2015-01-27","9.150000"
"2015-01-28","9.190000"
"2015-01-29","9.110000"
"2015-01-30","9.110000"
"2015-02-02","9.260000"
"2015-02-03","9.330000"
"2015-02-04","9.560000"
"2015-02-05","9.540000"
"2015-02-06","9.450000"
"2015-02-09","9.510000"
"2015-02-10","9.450000"
"2015-02-11","9.280000"
"2015-02-12","9.270000"
"2015-02-13","9.260000"
"2015-02-17","9.180000"
"2015-02-18","9.230000"
"2015-02-19","9.210000"
"2015-02-20","9.360000"
"2015-02-23","9.300000"
"2015-02-24","9.370000"
"2015-02-25","9.470000"
"2015-02-26","9.490000"
"2015-02-27","9.470000"
"2015-03-02","9.460000"
"2015-03-03","9.550000"
"2015-03-04","9.460000"
"2015-03-05","9.510000"
"2015-03-06","9.480000"
"2015-03-09","9.380000"
"2015-03-10","9.190000"
"2015-03-11","9.180000"
"2015-03-12","9.110000"
"2015-03-13","9.100000"
"2015-03-16","9.140000"
"2015-03-17","9.240000"
"2015-03-18","9.290000"
"2015-03-19","9.280000"
"2015-03-20","9.270000"
"2015-03-23","9.310000"
"2015-03-24","9.280000"
"2015-03-25","9.050000"
"2015-03-26","8.990000"
"2015-03-27","8.970000"
"2015-03-30","9.030000"
"2015-03-31","9.280000"
"2015-04-01","9.380000"
"2015-04-02","9.440000"
"2015-04-06","9.550000"
"2015-04-07","9.540000"
"2015-04-08","9.480000"
"2015-04-09","9.390000"
"2015-04-10","9.420000"
"2015-04-13","9.490000"
"2015-04-14","9.590000"
"2015-04-15","9.670000"
"2015-04-16","9.540000"
"2015-04-17","9.490000"
"2015-04-20","9.720000"
"2015-04-21","9.830000"
"2015-04-22","9.940000"
"2015-04-23","10.230000"
"2015-04-24","10.250000"
"2015-04-27","10.220000"
"2015-04-28","10.330000"
"2015-04-29","10.400000"
"2015-04-30","10.190000"
"2015-05-01","10.300000"
"2015-05-04","10.320000"
"2015-05-05","10.320000"
"2015-05-06","10.360000"
"2015-05-07","10.350000"
"2015-05-08","10.390000"
"2015-05-11","10.470000"
"2015-05-12","10.410000"
"2015-05-13","10.490000"
"2015-05-14","10.700000"
"2015-05-15","10.590000"
"2015-05-18","10.600000"
"2015-05-19","10.600000"
"2015-05-20","10.610000"
"2015-05-21","10.410000"
"2015-05-22","10.410000"
"2015-05-26","10.370000"
"2015-05-27","10.330000"
"2015-05-28","10.320000"
"2015-05-29","10.260000"
"2015-06-01","10.310000"
"2015-06-02","10.330000"
"2015-06-03","10.360000"
"2015-06-04","10.170000"
"2015-06-05","10.190000"
"2015-06-08","10.150000"
"2015-06-09","10.120000"
"2015-06-10","10.230000"
"2015-06-11","10.240000"
"2015-06-12","10.250000"
"2015-06-15","10.230000"
"2015-06-16","10.260000"
"2015-06-17","10.140000"
"2015-06-18","10.140000"
"2015-06-19","10.140000"
"2015-06-22","10.240000"
"2015-06-23","10.270000"
"2015-06-24","10.100000"
"2015-06-25","10.000000"
"2015-06-26","10.030000"
"2015-06-29","9.840000"
"2015-06-30","9.870000"
"2015-07-01","9.900000"
"2015-07-02","9.970000"
"2015-07-06","10.020000"
"2015-07-07","9.930000"
"2015-07-08","9.730000"
"2015-07-09","9.720000"
"2015-07-10","9.890000"
"2015-07-13","9.980000"
"2015-07-14","9.760000"
"2015-07-15","9.740000"
"2015-07-16","9.970000"
"2015-07-17","9.980000"
"2015-07-20","9.780000"
"2015-07-21","9.850000"
"2015-07-22","9.850000"
"2015-07-23","9.300000"
"2015-07-24","9.430000"
"2015-07-27","9.170000"
"2015-07-28","9.170000"
"2015-07-29","9.130000"
"2015-07-30","9.220000"
"2015-07-31","9.130000"
"2015-08-03","9.100000"
"2015-08-04","9.040000"
"2015-08-05","9.230000"
"2015-08-06","9.070000"
"2015-08-07","9.030000"
"2015-08-10","9.170000"
"2015-08-11","9.230000"
"2015-08-12","9.040000"
"2015-08-13","8.950000"
"2015-08-14","8.930000"
"2015-08-17","8.950000"
"2015-08-18","8.880000"
"2015-08-19","8.930000"
"2015-08-20","8.730000"
"2015-08-21","8.440000"
"2015-08-24","8.200000"
"2015-08-25","8.050000"
"2015-08-26","8.300000"
"2015-08-27","8.510000"
"2015-08-28","8.540000"
"2015-08-31","8.480000"
"2015-09-01","8.130000"
"2015-09-02","8.020000"
"2015-09-03","7.970000"
"2015-09-04","7.830000"
"2015-09-08","7.960000"
"2015-09-09","8.000000"
"2015-09-10","8.020000"
"2015-09-11","8.040000"
"2015-09-14","8.090000"
"2015-09-15","8.180000"
"2015-09-16","8.220000"
"2015-09-17","8.100000"
"2015-09-18","8.110000"
"2015-09-21","8.140000"
"2015-09-22","8.010000"
"2015-09-23","7.930000"
"2015-09-24","7.730000"
"2015-09-25","7.690000"
"2015-09-28","7.560000"
"2015-09-29","7.500000"
"2015-09-30","7.400000"
"2015-10-01","7.190000"
"2015-10-02","6.940000"
"2015-10-05","7.240000"
"2015-10-06","7.290000"
"2015-10-07","7.320000"
"2015-10-08","7.150000"
"2015-10-09","7.070000"
"2015-10-12","6.940000"
"2015-10-13","6.830000"
"2015-10-14","6.810000"
"2015-10-15","6.880000"
"2015-10-16","6.930000"
"2015-10-19","6.850000"
"2015-10-20","7.110000"
"2015-10-21","7.060000"
"2015-10-22","7.010000"
"2015-10-23","7.080000"
"2015-10-26","7.070000"
"2015-10-27","6.870000"
"2015-10-28","7.020000"
"2015-10-29","7.000000"
"2015-10-30","7.060000"
"2015-11-02","7.050000"
"2015-11-03","7.060000"
"2015-11-04","7.030000"
"2015-11-05","7.000000"
"2015-11-06","7.120000"
"2015-11-09","7.030000"
"2015-11-10","6.830000"
"2015-11-11","6.650000"
"2015-11-12","6.520000"
"2015-11-13","6.470000"
"2015-11-16","6.560000"
"2015-11-17","6.560000"
"2015-11-18","6.660000"
"2015-11-19","6.820000"
"2015-11-20","6.700000"
"2015-11-23","6.650000"
"2015-11-24","6.630000"
"2015-11-25","6.740000"
"2015-11-27","6.710000"
"2015-11-30","6.760000"
"2015-12-01","6.690000"
"2015-12-02","6.570000"
"2015-12-03","6.650000"
"2015-12-04","6.750000"
"2015-12-07","6.740000"
"2015-12-08","6.590000"
"2015-12-09","6.600000"
"2015-12-10","6.740000"
"2015-12-11","6.480000"
"2015-12-14","6.370000"
"2015-12-15","6.570000"
"2015-12-16","6.750000"
"2015-12-17","6.480000"
"2015-12-18","6.310000"
"2015-12-21","6.320000"
"2015-12-22","6.360000"
"2015-12-23","6.490000"
"2015-12-24","6.510000"
"2015-12-28","6.440000"
"2015-12-29","6.590000"
"2015-12-30","6.520000"
"2015-12-31","6.520000"
"2016-01-04","6.540000"
"2016-01-05","6.390000"
"2016-01-06","6.100000"
"2016-01-07","5.820000"
"2016-01-08","5.830000"
"2016-01-11","5.830000"
"2016-01-12","5.610000"
"2016-01-13","5.640000"
"2016-01-14","5.470000"
"2016-01-15","5.420000"
"2016-01-19","5.380000"
"2016-01-20","5.410000"
"2016-01-21","6.020000"
"2016-01-22","6.060000"
"2016-01-25","6.000000"
"2016-01-26","6.280000"
"2016-01-27","6.230000"
"2016-01-28","6.060000"
"2016-01-29","6.400000"
"2016-02-01","6.350000"
"2016-02-02","5.860000"
"2016-02-03","5.850000"
"2016-02-04","6.060000"
"2016-02-05","6.140000"
"2016-02-08","5.780000"
"2016-02-09","5.400000"
"2016-02-10","5.700000"
"2016-02-11","5.730000"
"2016-02-12","5.700000"
"2016-02-16","5.940000"
"2016-02-17","6.130000"
"2016-02-18","5.930000"
"2016-02-19","5.850000"
"2016-02-22","6.060000"
"2016-02-23","6.030000"
"2016-02-24","5.890000"
"2016-02-25","5.930000"
"2016-02-26","5.950000"
"2016-02-29","5.840000"
"2016-03-01","6.060000"
"2016-03-02","6.190000"
"2016-03-03","6.290000"
"2016-03-04","6.470000"
"2016-03-07","6.280000"
"2016-03-08","6.080000"
"2016-03-09","6.060000"
"2016-03-10","6.090000"
"2016-03-11","6.200000"
"2016-03-14","6.090000"
"2016-03-15","5.920000"
"2016-03-16","6.040000"
"2016-03-17","6.240000"
"2016-03-18","6.540000"
"2016-03-21","6.540000"
"2016-03-22","6.610000"
"2016-03-23","6.330000"
"2016-03-24","6.270000"
"2016-03-28","6.350000"
"2016-03-29","6.560000"
"2016-03-30","6.530000"
"2016-03-31","6.360000"
"2016-04-01","6.480000"
"2016-04-04","6.420000"
"2016-04-05","6.350000"
"2016-04-06","6.410000"
"2016-04-07","6.300000"
"2016-04-08","6.160000"
"2016-04-11","6.250000"
"2016-04-12","6.360000"
"2016-04-13","6.780000"
"2016-04-14","6.730000"
"2016-04-15","6.650000"
"2016-04-18","6.710000"
"2016-04-19","6.670000"
"2016-04-20","6.790000"
"2016-04-21","6.820000"
"2016-04-22","6.650000"
"2016-04-25","6.780000"
"2016-04-26","6.800000"
"2016-04-27","6.820000"
"2016-04-28","6.800000"
"2016-04-29","6.770000"
"2016-05-02","6.820000"
"2016-05-03","6.580000"
"2016-05-04","6.580000"
"2016-05-05","6.540000"
"2016-05-06","6.660000"
"2016-05-09","6.520000"
"2016-05-10","6.690000"
"2016-05-11","6.500000"
"2016-05-12","6.390000"
"2016-05-13","6.330000"
"2016-05-16","6.290000"
"2016-05-17","6.230000"
"2016-05-18","6.270000"
"2016-05-19","6.140000"
"2016-05-20","6.240000"
"2016-05-23","6.190000"
"2016-05-24","6.370000"
"2016-05-25","6.540000"
"2016-05-26","6.700000"
"2016-05-27","6.740000"
"2016-05-31","6.870000"
"2016-06-01","6.870000"
"2016-06-02","6.990000"
"2016-06-03","7.050000"
"2016-06-06","7.170000"
"2016-06-07","7.150000"
"2016-06-08","7.190000"
"2016-06-09","7.100000"
"2016-06-10","6.850000"
"2016-06-13","6.720000"
"2016-06-14","6.260000"
"2016-06-15","6.310000"
"2016-06-16","6.250000"
"2016-06-17","6.230000"
"2016-06-20","6.280000"
"2016-06-21","6.110000"
"2016-06-22","6.090000"
"2016-06-23","6.370000"
"2016-06-24","5.940000"
"2016-06-27","5.580000"
"2016-06-28","5.670000"
"2016-06-29","6.060000"
"2016-06-30","6.180000"
"2016-07-01","6.250000"
"2016-07-05","6.110000"
"2016-07-06","6.240000"
"2016-07-07","6.370000"
"2016-07-08","6.650000"
"2016-07-11","6.760000"
"2016-07-12","6.930000"
"2016-07-13","6.960000"
"2016-07-14","7.110000"
"2016-07-15","7.100000"
"2016-07-18","7.170000"
"2016-07-19","7.100000"
"2016-07-20","7.270000"
"2016-07-21","7.000000"
"2016-07-22","7.150000"
"2016-07-25","7.060000"
"2016-07-26","7.050000"
"2016-07-27","7.110000"
"2016-07-28","7.130000"
"2016-07-29","7.190000"
"2016-08-01","7.140000"
"2016-08-02","7.100000"
"2016-08-03","7.140000"
"2016-08-04","7.160000"
"2016-08-05","7.240000"
"2016-08-08","7.150000"
"2016-08-09","7.090000"
"2016-08-10","7.180000"
"2016-08-11","7.220000"
"2016-08-12","7.260000"
"2016-08-15","7.360000"
"2016-08-16","7.340000"
"2016-08-17","7.320000"
"2016-08-18","7.360000"
"2016-08-19","7.340000"
"2016-08-22","7.270000"
"2016-08-23","7.260000"
"2016-08-24","7.190000"
"2016-08-25","7.190000"
"2016-08-26","7.260000"
"2016-08-29","7.340000"
"2016-08-30","7.430000"
"2016-08-31","7.420000"
"2016-09-01","7.360000"
"2016-09-02","7.390000"
"2016-09-06","7.280000"
"2016-09-07","7.500000"
"2016-09-08","7.520000"
"2016-09-09","7.410000"
"2016-09-12","7.580000"
"2016-09-13","7.380000"
"2016-09-14","7.230000"
"2016-09-15","7.490000"
"2016-09-16","7.390000"
"2016-09-19","7.300000"
"2016-09-20","7.300000"
"2016-09-21","7.330000"
"2016-09-22","7.450000"
"2016-09-23","7.430000"
"2016-09-26","7.280000"
"2016-09-27","7.440000"
"2016-09-28","7.490000"
"2016-09-29","7.340000"
"2016-09-30","7.470000"
"2016-10-03","7.390000"
"2016-10-04","7.440000"
"2016-10-05","7.480000"
"2016-10-06","7.370000"
"2016-10-07","7.360000"
"2016-10-10","7.360000"
"2016-10-11","7.220000"
"2016-10-12","7.200000"
"2016-10-13","7.080000"
"2016-10-14","7.200000"
"2016-10-17","7.180000"
"2016-10-18","7.250000"
"2016-10-19","7.230000"
"2016-10-20","7.120000"
"2016-10-21","7.140000"
"2016-10-24","7.190000"
"2016-10-25","7.110000"
"2016-10-26","7.200000"
"2016-10-27","7.140000"
"2016-10-28","7.120000"
"2016-10-31","7.050000"
"2016-11-01","7.080000"
"2016-11-02","7.030000"
"2016-11-03","7.010000"
"2016-11-04","6.980000"
"2016-11-07","7.110000"
"2016-11-08","7.100000"
"2016-11-09","8.390000"
"2016-11-10","8.880000"
"2016-11-11","8.990000"
"2016-11-14","9.300000"
"2016-11-15","9.440000"
"2016-11-16","9.480000"
"2016-11-17","9.810000"
"2016-11-18","9.480000"
"2016-11-21","9.510000"
"2016-11-22","9.680000"
"2016-11-23","9.800000"
"2016-11-25","9.750000"
"2016-11-28","9.670000"
"2016-11-29","9.750000"
"2016-11-30","10.070000"
"2016-12-01","10.340000"
"2016-12-02","10.390000"
"2016-12-05","10.550000"
"2016-12-06","10.780000"
"2016-12-07","11.370000"
"2016-12-08","11.520000"
"2016-12-09","11.240000"
"2016-12-12","10.830000"
"2016-12-13","10.750000"
"2016-12-14","10.700000"
"2016-12-15","10.900000"
"2016-12-16","10.860000"
"2016-12-19","10.790000"
"2016-12-20","11.180000"
"2016-12-21","11.060000"
"2016-12-22","10.950000"
"2016-12-23","11.020000"
"2016-12-27","11.110000"
"2016-12-28","10.950000"
"2016-12-29","10.980000"
"2016-12-30","11.020000"
"2017-01-03","11.350000"
"2017-01-04","11.500000"
"2017-01-05","11.360000"
"2017-01-06","11.280000"
"2017-01-09","11.260000"
"2017-01-10","11.350000"
"2017-01-11","11.350000"
"2017-01-12","11.180000"
"2017-01-13","11.360000"
"2017-01-17","10.960000"
"2017-01-18","11.040000"
"2017-01-19","11.350000"
"2017-01-20","11.470000"
"2017-01-23","11.360000"
"2017-01-24","11.720000"
"2017-01-25","11.820000"
"2017-01-26","11.830000"
"2017-01-27","11.790000"
"2017-01-30","11.730000"
"2017-01-31","11.880000"
"2017-02-01","11.840000"
"2017-02-02","11.860000"
"2017-02-03","12.040000"
"2017-02-06","12.010000"
"2017-02-07","11.930000"
"2017-02-08","12.030000"
"2017-02-09","12.400000"
"2017-02-10","12.430000"
"2017-02-13","12.440000"
"2017-02-14","12.450000"
"2017-02-15","12.470000"
"2017-02-16","12.350000"
"2017-02-17","12.230000"
"2017-02-21","12.140000"
"2017-02-22","12.060000"
"2017-02-23","11.920000"
"2017-02-24","11.960000"
"2017-02-27","12.210000"
"2017-02-28","11.990000"
"2017-03-01","12.140000"
"2017-03-02","11.910000"
"2017-03-03","11.960000"
"2017-03-06","11.760000"
"2017-03-07","11.680000"
"2017-03-08","11.580000"
"2017-03-09","11.550000"
"2017-03-10","11.840000"
"2017-03-13","11.920000"
"2017-03-14","12.070000"
"2017-03-15","12.220000"
"2017-03-16","12.350000"
"2017-03-17","12.280000"
"2017-03-20","12.230000"
"2017-03-21","11.600000"
"2017-03-22","11.530000"
"2017-03-23","11.740000"
"2017-03-24","11.690000"
"2017-03-27","11.850000"
"2017-03-28","12.210000"
"2017-03-29","12.150000"
"2017-03-30","12.310000"
"2017-03-31","12.100000"
"2017-04-03","11.980000"
"2017-04-04","11.900000"
"2017-04-05","11.570000"
"2017-04-06","11.900000"
"2017-04-07","12.030000"
"2017-04-10","11.950000"
"2017-04-11","12.090000"
"2017-04-12","11.840000"
"2017-04-13","11.560000"
"2017-04-17","11.730000"
"2017-04-18","11.490000"
"2017-04-19","11.530000"
"2017-04-20","12.700000"
