"date, price"
"2014-12-04","46.750000"
"2014-12-05","46.750000"
"2014-12-08","46.689999"
"2014-12-09","46.240002"
"2014-12-10","45.860001"
"2014-12-11","46.209999"
"2014-12-12","45.160000"
"2014-12-15","44.400002"
"2014-12-16","45.380001"
"2014-12-17","45.980000"
"2014-12-18","46.810001"
"2014-12-19","46.389999"
"2014-12-22","45.959999"
"2014-12-23","45.849998"
"2014-12-24","46.349998"
"2014-12-26","46.150002"
"2014-12-29","46.340000"
"2014-12-30","45.610001"
"2014-12-31","45.610001"
"2015-01-02","45.520000"
"2015-01-05","44.000000"
"2015-01-06","45.110001"
"2015-01-07","44.680000"
"2015-01-08","45.400002"
"2015-01-09","44.549999"
"2015-01-12","44.919998"
"2015-01-13","45.090000"
"2015-01-14","44.799999"
"2015-01-15","45.000000"
"2015-01-16","46.360001"
"2015-01-20","46.660000"
"2015-01-21","46.759998"
"2015-01-22","46.730000"
"2015-01-23","46.880001"
"2015-01-26","46.730000"
"2015-01-27","46.599998"
"2015-01-28","46.049999"
"2015-01-29","47.000000"
"2015-01-30","46.090000"
"2015-02-02","46.689999"
"2015-02-03","46.930000"
"2015-02-04","47.000000"
"2015-02-05","48.419998"
"2015-02-06","48.049999"
"2015-02-09","47.799999"
"2015-02-10","48.250000"
"2015-02-11","48.160000"
"2015-02-12","48.599998"
"2015-02-13","49.419998"
"2015-02-17","49.189999"
"2015-02-18","49.250000"
"2015-02-19","50.099998"
"2015-02-20","50.099998"
"2015-02-23","50.220001"
"2015-02-24","50.389999"
"2015-02-25","50.410000"
"2015-02-26","48.869999"
"2015-02-27","48.860001"
"2015-03-02","48.290001"
"2015-03-03","48.080002"
"2015-03-04","48.340000"
"2015-03-05","48.360001"
"2015-03-06","47.419998"
"2015-03-09","47.570000"
"2015-03-10","46.340000"
"2015-03-11","46.930000"
"2015-03-12","47.560001"
"2015-03-13","47.070000"
"2015-03-16","48.619999"
"2015-03-17","48.970001"
"2015-03-18","50.200001"
"2015-03-19","49.470001"
"2015-03-20","50.639999"
"2015-03-23","50.980000"
"2015-03-24","51.119999"
"2015-03-25","50.299999"
"2015-03-26","48.799999"
"2015-03-27","49.970001"
"2015-03-30","50.240002"
"2015-03-31","49.439999"
"2015-04-01","49.930000"
"2015-04-02","51.049999"
"2015-04-06","51.169998"
"2015-04-07","51.590000"
"2015-04-08","51.480000"
"2015-04-09","51.869999"
"2015-04-10","52.349998"
"2015-04-13","51.869999"
"2015-04-14","52.099998"
"2015-04-15","52.160000"
"2015-04-16","52.139999"
"2015-04-17","51.680000"
"2015-04-20","51.369999"
"2015-04-21","51.560001"
"2015-04-22","51.590000"
"2015-04-23","51.759998"
"2015-04-24","51.750000"
"2015-04-27","52.279999"
"2015-04-28","51.560001"
"2015-04-29","51.209999"
"2015-04-30","50.549999"
"2015-05-01","51.290001"
"2015-05-04","51.450001"
"2015-05-05","50.150002"
"2015-05-06","49.450001"
"2015-05-07","48.990002"
"2015-05-08","49.990002"
"2015-05-11","49.349998"
"2015-05-12","49.740002"
"2015-05-13","49.889999"
"2015-05-14","50.790001"
"2015-05-15","50.520000"
"2015-05-18","50.400002"
"2015-05-19","50.919998"
"2015-05-20","50.750000"
"2015-05-21","51.250000"
"2015-05-22","50.730000"
