"date, price"
"2014-12-04","29.004999"
"2014-12-05","29.055000"
"2014-12-08","28.344999"
"2014-12-09","29.559999"
"2014-12-10","28.514999"
"2014-12-11","28.875000"
"2014-12-12","28.445000"
"2014-12-15","28.620001"
"2014-12-16","28.455000"
"2014-12-17","28.745001"
"2014-12-18","28.825001"
"2014-12-19","28.815001"
"2014-12-22","28.490000"
"2014-12-23","28.334999"
"2014-12-24","28.495001"
"2014-12-26","28.650000"
"2014-12-29","28.610001"
"2014-12-30","28.035000"
"2014-12-31","28.315001"
"2015-01-02","27.805000"
"2015-01-05","27.264999"
"2015-01-06","27.100000"
"2015-01-07","27.275000"
"2015-01-08","27.750000"
"2015-01-09","27.145000"
"2015-01-12","26.940001"
"2015-01-13","27.055000"
"2015-01-14","27.280001"
"2015-01-15","27.424999"
"2015-01-16","28.870001"
"2015-01-20","29.145000"
"2015-01-21","28.885000"
"2015-01-22","28.905001"
"2015-01-23","29.165001"
"2015-01-26","29.375000"
"2015-01-27","29.020000"
"2015-01-28","29.870001"
"2015-01-29","30.355000"
"2015-01-30","29.650000"
"2015-02-02","29.815001"
"2015-02-03","30.309999"
"2015-02-04","31.305000"
"2015-02-05","31.495001"
"2015-02-06","34.330002"
"2015-02-09","33.549999"
"2015-02-10","34.115002"
"2015-02-11","33.465000"
"2015-02-12","33.500000"
"2015-02-13","34.195000"
"2015-02-17","34.070000"
"2015-02-18","34.009998"
"2015-02-19","33.965000"
"2015-02-20","33.700001"
"2015-02-23","33.410000"
"2015-02-24","33.189999"
"2015-02-25","34.325001"
"2015-02-26","35.000000"
"2015-02-27","34.349998"
"2015-03-02","34.900002"
"2015-03-03","34.805000"
"2015-03-04","34.185001"
"2015-03-05","34.084999"
"2015-03-06","33.770000"
"2015-03-09","33.384998"
"2015-03-10","33.369999"
"2015-03-11","33.450001"
"2015-03-12","34.445000"
"2015-03-13","34.270000"
"2015-03-16","34.055000"
"2015-03-17","34.125000"
"2015-03-18","34.009998"
"2015-03-19","34.369999"
"2015-03-20","34.419998"
"2015-03-23","34.395000"
"2015-03-24","33.840000"
"2015-03-25","33.195000"
"2015-03-26","33.035000"
"2015-03-27","33.250000"
"2015-03-30","33.730000"
"2015-03-31","33.549999"
"2015-04-01","33.270000"
"2015-04-02","34.384998"
"2015-04-06","34.380001"
"2015-04-07","34.020000"
"2015-04-08","34.180000"
"2015-04-09","33.615002"
"2015-04-10","33.634998"
"2015-04-13","33.955002"
"2015-04-14","33.945000"
"2015-04-15","34.959999"
"2015-04-16","34.950001"
"2015-04-17","33.349998"
"2015-04-20","33.650002"
"2015-04-21","33.730000"
"2015-04-22","33.709999"
"2015-04-23","33.779999"
"2015-04-24","34.090000"
"2015-04-27","34.474998"
"2015-04-28","34.575001"
"2015-04-29","34.049999"
"2015-04-30","32.630001"
"2015-05-01","32.750000"
"2015-05-04","32.779999"
"2015-05-05","32.700001"
"2015-05-06","32.869999"
"2015-05-07","32.970001"
"2015-05-08","32.779999"
"2015-05-11","33.084999"
"2015-05-12","33.009998"
"2015-05-13","33.250000"
"2015-05-14","33.685001"
"2015-05-15","33.474998"
"2015-05-18","33.950001"
"2015-05-19","34.535000"
"2015-05-20","34.150002"
"2015-05-21","33.650002"
"2015-05-22","33.005001"
"2015-05-26","32.770000"
"2015-05-27","33.029999"
"2015-05-28","33.119999"
"2015-05-29","32.509998"
"2015-06-01","32.740002"
"2015-06-02","32.595001"
"2015-06-03","33.215000"
"2015-06-04","32.744999"
"2015-06-05","33.180000"
"2015-06-08","33.035000"
"2015-06-09","32.849998"
"2015-06-10","34.439999"
"2015-06-11","34.005001"
"2015-06-12","33.439999"
"2015-06-15","32.840000"
