"date, price"
"2014-12-04","15.220000"
"2014-12-05","15.220000"
"2014-12-08","14.870000"
"2014-12-09","15.830000"
"2014-12-10","15.590000"
"2014-12-11","14.300000"
"2014-12-12","13.970000"
"2014-12-15","13.000000"
"2014-12-16","12.600000"
"2014-12-17","13.500000"
"2014-12-18","13.800000"
"2014-12-19","13.210000"
"2014-12-22","13.420000"
"2014-12-23","13.420000"
"2014-12-24","13.880000"
"2014-12-26","13.920000"
"2014-12-29","14.480000"
"2014-12-30","14.520000"
"2014-12-31","14.470000"
"2015-01-02","14.940000"
"2015-01-05","15.000000"
"2015-01-06","14.110000"
"2015-01-07","14.930000"
"2015-01-08","14.560000"
"2015-01-09","13.950000"
"2015-01-12","11.910000"
"2015-01-13","11.610000"
"2015-01-14","12.230000"
"2015-01-15","11.870000"
"2015-01-16","12.110000"
"2015-01-20","11.770000"
"2015-01-21","11.850000"
"2015-01-22","12.220000"
"2015-01-23","12.180000"
"2015-01-26","12.440000"
"2015-01-27","12.320000"
"2015-01-28","12.000000"
"2015-01-29","12.300000"
"2015-01-30","12.000000"
"2015-02-02","11.890000"
"2015-02-03","12.240000"
"2015-02-04","12.400000"
"2015-02-05","12.860000"
"2015-02-06","12.390000"
"2015-02-09","12.330000"
"2015-02-10","12.580000"
"2015-02-11","12.370000"
"2015-02-12","12.650000"
"2015-02-13","12.760000"
"2015-02-17","14.690000"
"2015-02-18","14.700000"
"2015-02-19","15.180000"
"2015-02-20","15.210000"
"2015-02-23","15.490000"
"2015-02-24","14.810000"
"2015-02-25","14.990000"
"2015-02-26","13.820000"
"2015-02-27","13.900000"
"2015-03-02","13.490000"
"2015-03-03","13.360000"
"2015-03-04","14.060000"
"2015-03-05","14.080000"
"2015-03-06","13.630000"
"2015-03-09","13.590000"
"2015-03-10","13.560000"
"2015-03-11","13.960000"
"2015-03-12","14.040000"
"2015-03-13","14.110000"
"2015-03-16","13.790000"
"2015-03-17","13.590000"
"2015-03-18","13.660000"
"2015-03-19","13.920000"
"2015-03-20","13.160000"
"2015-03-23","13.220000"
"2015-03-24","13.490000"
"2015-03-25","13.000000"
"2015-03-26","13.070000"
"2015-03-27","13.570000"
"2015-03-30","13.870000"
"2015-03-31","13.280000"
"2015-04-01","14.290000"
"2015-04-02","14.250000"
"2015-04-06","14.730000"
"2015-04-07","14.470000"
"2015-04-08","14.230000"
"2015-04-09","14.070000"
"2015-04-10","13.850000"
"2015-04-13","13.680000"
"2015-04-14","13.560000"
"2015-04-15","13.810000"
"2015-04-16","13.470000"
"2015-04-17","13.240000"
"2015-04-20","13.540000"
"2015-04-21","13.480000"
"2015-04-22","13.520000"
"2015-04-23","13.660000"
"2015-04-24","13.420000"
"2015-04-27","13.210000"
"2015-04-28","13.060000"
"2015-04-29","12.990000"
"2015-04-30","12.200000"
"2015-05-01","12.730000"
"2015-05-04","13.270000"
"2015-05-05","13.250000"
"2015-05-06","14.760000"
"2015-05-07","15.040000"
"2015-05-08","14.710000"
"2015-05-11","15.040000"
"2015-05-12","15.210000"
"2015-05-13","14.870000"
"2015-05-14","15.320000"
"2015-05-15","15.210000"
"2015-05-18","15.930000"
"2015-05-19","16.379999"
"2015-05-20","26.240000"
"2015-05-21","24.260000"
"2015-05-22","26.219999"
"2015-05-26","26.709999"
"2015-05-27","26.139999"
"2015-05-28","25.510000"
"2015-05-29","25.620001"
"2015-06-01","24.950001"
"2015-06-02","25.180000"
"2015-06-03","25.490000"
"2015-06-04","25.420000"
"2015-06-05","26.709999"
"2015-06-08","26.200001"
"2015-06-09","27.010000"
"2015-06-10","28.120001"
"2015-06-11","28.299999"
"2015-06-12","27.690001"
"2015-06-15","28.540001"
"2015-06-16","28.299999"
"2015-06-17","29.100000"
"2015-06-18","29.740000"
"2015-06-19","30.350000"
"2015-06-22","30.760000"
"2015-06-23","32.680000"
"2015-06-24","32.049999"
"2015-06-25","32.660000"
"2015-06-26","31.260000"
"2015-06-29","28.180000"
"2015-06-30","30.430000"
"2015-07-01","29.750000"
"2015-07-02","30.139999"
"2015-07-06","29.910000"
"2015-07-07","29.490000"
"2015-07-08","28.290001"
"2015-07-09","29.360001"
"2015-07-10","30.020000"
"2015-07-13","30.900000"
"2015-07-14","32.000000"
"2015-07-15","30.730000"
"2015-07-16","31.459999"
"2015-07-17","32.130001"
"2015-07-20","33.480000"
"2015-07-21","33.700001"
"2015-07-22","33.660000"
"2015-07-23","33.349998"
"2015-07-24","32.630001"
"2015-07-27","32.000000"
"2015-07-28","32.029999"
"2015-07-29","31.600000"
