"date, price"
"2014-12-04","8.860000"
"2014-12-05","9.320000"
"2014-12-08","9.090000"
"2014-12-09","9.310000"
"2014-12-10","8.930000"
"2014-12-11","9.140000"
"2014-12-12","9.120000"
"2014-12-15","8.960000"
"2014-12-16","9.210000"
"2014-12-17","9.300000"
"2014-12-18","9.220000"
"2014-12-19","9.100000"
"2014-12-22","9.320000"
"2014-12-23","9.190000"
"2014-12-24","9.110000"
"2014-12-26","9.180000"
"2014-12-29","9.150000"
"2014-12-30","8.930000"
"2014-12-31","9.110000"
"2015-01-02","9.030000"
"2015-01-05","9.090000"
"2015-01-06","8.680000"
"2015-01-07","9.000000"
"2015-01-08","8.930000"
"2015-01-09","8.880000"
"2015-01-12","8.530000"
"2015-01-13","8.500000"
"2015-01-14","8.510000"
"2015-01-15","7.880000"
"2015-01-16","7.340000"
"2015-01-20","7.000000"
"2015-01-21","7.130000"
"2015-01-22","7.170000"
"2015-01-23","7.170000"
"2015-01-26","7.360000"
"2015-01-27","5.780000"
"2015-01-28","5.710000"
"2015-01-29","5.860000"
"2015-01-30","6.000000"
"2015-02-02","6.450000"
"2015-02-03","6.680000"
"2015-02-04","6.840000"
"2015-02-05","6.810000"
"2015-02-06","7.600000"
"2015-02-09","7.440000"
"2015-02-10","7.410000"
"2015-02-11","6.880000"
"2015-02-12","6.780000"
"2015-02-13","6.760000"
"2015-02-17","6.660000"
"2015-02-18","6.800000"
"2015-02-19","6.750000"
"2015-02-20","6.630000"
"2015-02-23","6.380000"
"2015-02-24","7.200000"
"2015-02-25","7.270000"
"2015-02-26","7.930000"
"2015-02-27","6.860000"
"2015-03-02","6.820000"
"2015-03-03","7.760000"
"2015-03-04","7.310000"
"2015-03-05","7.140000"
"2015-03-06","7.280000"
"2015-03-09","7.220000"
"2015-03-10","7.560000"
"2015-03-11","7.150000"
"2015-03-12","7.220000"
"2015-03-13","7.080000"
"2015-03-16","7.210000"
"2015-03-17","7.200000"
"2015-03-18","7.160000"
"2015-03-19","7.340000"
"2015-03-20","7.390000"
"2015-03-23","7.460000"
"2015-03-24","7.290000"
"2015-03-25","7.260000"
"2015-03-26","7.250000"
"2015-03-27","7.380000"
"2015-03-30","7.510000"
"2015-03-31","7.430000"
"2015-04-01","7.320000"
"2015-04-02","7.250000"
"2015-04-06","7.290000"
"2015-04-07","7.350000"
"2015-04-08","7.350000"
"2015-04-09","8.680000"
"2015-04-10","8.360000"
"2015-04-13","8.730000"
"2015-04-14","8.640000"
"2015-04-15","9.000000"
"2015-04-16","9.370000"
"2015-04-17","9.100000"
"2015-04-20","9.250000"
"2015-04-21","9.010000"
"2015-04-22","9.010000"
"2015-04-23","9.120000"
"2015-04-24","9.140000"
"2015-04-27","9.300000"
"2015-04-28","9.410000"
"2015-04-29","9.250000"
"2015-04-30","8.850000"
"2015-05-01","8.730000"
"2015-05-04","8.950000"
"2015-05-05","8.980000"
"2015-05-06","8.700000"
"2015-05-07","8.640000"
"2015-05-08","8.730000"
"2015-05-11","8.660000"
"2015-05-12","8.840000"
"2015-05-13","9.100000"
"2015-05-14","9.490000"
"2015-05-15","9.560000"
"2015-05-18","9.520000"
"2015-05-19","9.260000"
"2015-05-20","9.140000"
"2015-05-21","9.080000"
"2015-05-22","9.020000"
"2015-05-26","9.150000"
"2015-05-27","9.420000"
"2015-05-28","9.200000"
"2015-05-29","9.340000"
"2015-06-01","9.330000"
"2015-06-02","9.130000"
"2015-06-03","9.540000"
"2015-06-04","9.530000"
"2015-06-05","9.600000"
"2015-06-08","10.040000"
"2015-06-09","9.870000"
"2015-06-10","10.590000"
"2015-06-11","10.570000"
"2015-06-12","10.630000"
"2015-06-15","10.460000"
"2015-06-16","10.410000"
"2015-06-17","10.260000"
"2015-06-18","10.300000"
"2015-06-19","10.390000"
"2015-06-22","10.590000"
"2015-06-23","10.400000"
"2015-06-24","10.270000"
"2015-06-25","10.270000"
"2015-06-26","10.340000"
"2015-06-29","9.760000"
"2015-06-30","9.660000"
"2015-07-01","9.430000"
"2015-07-02","9.360000"
"2015-07-06","9.190000"
"2015-07-07","9.110000"
"2015-07-08","9.310000"
"2015-07-09","9.220000"
"2015-07-10","9.010000"
"2015-07-13","9.080000"
"2015-07-14","9.580000"
"2015-07-15","9.450000"
"2015-07-16","9.460000"
"2015-07-17","9.610000"
"2015-07-20","9.280000"
"2015-07-21","9.300000"
"2015-07-22","9.310000"
"2015-07-23","9.230000"
"2015-07-24","8.870000"
"2015-07-27","8.640000"
"2015-07-28","8.950000"
"2015-07-29","8.890000"
"2015-07-30","9.060000"
"2015-07-31","8.770000"
"2015-08-03","8.190000"
"2015-08-04","8.090000"
"2015-08-05","8.060000"
"2015-08-06","8.120000"
"2015-08-07","7.780000"
"2015-08-10","8.190000"
"2015-08-11","7.850000"
"2015-08-12","7.870000"
"2015-08-13","7.580000"
"2015-08-14","7.750000"
"2015-08-17","7.640000"
"2015-08-18","7.460000"
"2015-08-19","7.200000"
"2015-08-20","6.930000"
"2015-08-21","7.240000"
"2015-08-24","7.260000"
"2015-08-25","7.270000"
"2015-08-26","7.780000"
"2015-08-27","8.060000"
"2015-08-28","8.090000"
"2015-08-31","7.990000"
"2015-09-01","7.450000"
"2015-09-02","7.600000"
"2015-09-03","7.450000"
"2015-09-04","7.700000"
"2015-09-08","7.960000"
"2015-09-09","7.940000"
"2015-09-10","8.020000"
"2015-09-11","8.150000"
"2015-09-14","7.940000"
"2015-09-15","7.950000"
"2015-09-16","8.150000"
"2015-09-17","8.260000"
"2015-09-18","8.110000"
"2015-09-21","7.890000"
"2015-09-22","7.720000"
"2015-09-23","7.410000"
"2015-09-24","7.360000"
"2015-09-25","7.140000"
"2015-09-28","7.140000"
"2015-09-29","7.170000"
"2015-09-30","7.760000"
"2015-10-01","7.410000"
"2015-10-02","7.850000"
"2015-10-05","8.320000"
"2015-10-06","8.120000"
"2015-10-07","8.400000"
"2015-10-08","8.630000"
