"date, price"
"2019-03-07","29.410000"
"2019-03-08","31.610001"
"2019-03-11","31.430000"
"2019-03-12","30.000000"
"2019-03-13","30.010000"
"2019-03-14","30.090000"
"2019-03-15","38.099998"
"2019-03-18","36.500000"
"2019-03-19","35.650002"
"2019-03-20","32.970001"
"2019-03-21","33.919998"
"2019-03-22","34.520000"
"2019-03-25","34.900002"
"2019-03-26","34.950001"
"2019-03-27","34.000000"
"2019-03-28","32.099998"
"2019-03-29","33.470001"
"2019-04-01","33.529999"
"2019-04-02","32.150002"
"2019-04-03","30.180000"
"2019-04-04","30.455000"
"2019-04-05","30.049999"
"2019-04-08","29.799999"
"2019-04-09","29.990000"
"2019-04-10","29.730000"
"2019-04-11","30.100000"
"2019-04-12","30.360001"
"2019-04-15","30.200001"
"2019-04-16","30.320000"
"2019-04-17","29.980000"
"2019-04-18","30.120001"
"2019-04-22","31.680000"
"2019-04-23","31.240000"
"2019-04-24","34.500000"
"2019-04-25","38.540001"
"2019-04-26","41.340000"
"2019-04-29","42.639999"
"2019-04-30","42.610001"
"2019-05-01","39.070000"
"2019-05-02","41.139999"
"2019-05-03","43.430000"
"2019-05-06","46.400002"
"2019-05-07","46.060001"
"2019-05-08","42.849998"
"2019-05-09","48.660000"
"2019-05-10","57.680000"
"2019-05-13","57.389999"
"2019-05-14","60.580002"
"2019-05-15","64.760002"
"2019-05-16","61.250000"
"2019-05-17","61.000000"
"2019-05-20","58.020000"
"2019-05-21","56.500000"
"2019-05-22","56.209999"
"2019-05-23","56.029999"
"2019-05-24","58.299999"
"2019-05-28","60.000000"
"2019-05-29","61.009998"
"2019-05-30","61.310001"
"2019-05-31","59.790001"
"2019-06-03","58.259998"
"2019-06-04","59.700001"
"2019-06-05","58.639999"
"2019-06-06","58.610001"
"2019-06-07","62.910000"
"2019-06-10","66.019997"
"2019-06-11","60.029999"
"2019-06-12","60.480000"
"2019-06-13","59.220001"
"2019-06-14","58.200001"
"2019-06-17","57.209999"
"2019-06-18","58.139999"
"2019-06-19","59.139999"
"2019-06-20","59.900002"
"2019-06-21","57.639999"
"2019-06-24","57.419998"
"2019-06-25","54.560001"
"2019-06-26","54.200001"
"2019-06-27","55.009998"
"2019-06-28","57.090000"
"2019-07-01","55.230000"
"2019-07-02","54.209999"
