"date, price"
"2018-07-26","30.250000"
"2018-07-27","30.500000"
"2018-07-30","29.719999"
"2018-07-31","29.900000"
"2018-08-01","29.850000"
"2018-08-02","30.500000"
"2018-08-03","29.930000"
"2018-08-06","29.910000"
"2018-08-07","31.350000"
"2018-08-08","33.950001"
"2018-08-09","33.950001"
"2018-08-10","33.970001"
"2018-08-13","33.689999"
"2018-08-14","33.000000"
"2018-08-15","30.930000"
"2018-08-16","31.240000"
"2018-08-17","31.330000"
"2018-08-20","31.990000"
"2018-08-21","32.450001"
"2018-08-22","33.549999"
"2018-08-23","33.880001"
"2018-08-24","33.529999"
"2018-08-27","31.709999"
"2018-08-28","32.470001"
"2018-08-29","33.750000"
"2018-08-30","32.720001"
"2018-08-31","33.160000"
"2018-09-04","33.340000"
"2018-09-05","32.250000"
"2018-09-06","30.770000"
"2018-09-07","31.219999"
"2018-09-10","32.650002"
"2018-09-11","33.860001"
"2018-09-12","35.459999"
"2018-09-13","34.560001"
"2018-09-14","34.049999"
"2018-09-17","35.009998"
"2018-09-18","35.860001"
"2018-09-19","33.759998"
"2018-09-20","36.279999"
"2018-09-21","37.150002"
"2018-09-24","37.169998"
"2018-09-25","37.680000"
"2018-09-26","38.040001"
"2018-09-27","38.389999"
"2018-09-28","38.880001"
"2018-10-01","38.520000"
"2018-10-02","37.759998"
"2018-10-03","37.990002"
"2018-10-04","37.410000"
"2018-10-05","36.380001"
"2018-10-08","34.790001"
"2018-10-09","33.950001"
"2018-10-10","30.030001"
"2018-10-11","27.360001"
"2018-10-12","27.889999"
"2018-10-15","27.990000"
"2018-10-16","29.660000"
"2018-10-17","30.139999"
"2018-10-18","29.580000"
"2018-10-19","28.889999"
"2018-10-22","28.459999"
"2018-10-23","29.350000"
"2018-10-24","28.139999"
"2018-10-25","29.389999"
"2018-10-26","27.889999"
"2018-10-29","28.299999"
"2018-10-30","27.900000"
"2018-10-31","28.480000"
"2018-11-01","28.950001"
"2018-11-02","28.639999"
"2018-11-05","28.129999"
"2018-11-06","28.910000"
"2018-11-07","31.820000"
"2018-11-08","31.780001"
"2018-11-09","29.209999"
"2018-11-12","28.469999"
"2018-11-13","28.790001"
"2018-11-14","28.080000"
"2018-11-15","28.719999"
"2018-11-16","30.549999"
