"date, price"
"2014-12-04","15.000000"
"2014-12-05","15.100000"
"2014-12-08","15.010000"
"2014-12-09","15.120000"
"2014-12-10","15.000000"
"2014-12-11","15.080000"
"2014-12-12","14.940000"
"2014-12-15","14.810000"
"2014-12-16","14.890000"
"2014-12-17","14.790000"
"2014-12-18","14.850000"
"2014-12-19","14.800000"
"2014-12-22","14.790000"
"2014-12-23","14.890000"
"2014-12-24","14.950000"
"2014-12-26","14.950000"
"2014-12-29","14.960000"
"2014-12-30","14.990000"
"2014-12-31","14.890000"
"2015-01-02","14.700000"
"2015-01-05","14.550000"
"2015-01-06","14.240000"
"2015-01-07","14.280000"
"2015-01-08","14.410000"
"2015-01-09","14.250000"
"2015-01-12","14.210000"
"2015-01-13","14.250000"
"2015-01-14","14.090000"
"2015-01-15","14.040000"
"2015-01-16","14.120000"
"2015-01-20","14.170000"
"2015-01-21","14.160000"
"2015-01-22","14.270000"
"2015-01-23","14.220000"
"2015-01-26","14.370000"
"2015-01-27","14.270000"
"2015-01-28","14.060000"
"2015-01-29","14.170000"
"2015-01-30","14.020000"
"2015-02-02","14.050000"
"2015-02-03","14.230000"
"2015-02-04","14.050000"
"2015-02-05","14.210000"
"2015-02-06","14.290000"
"2015-02-09","14.200000"
"2015-02-10","14.300000"
"2015-02-11","14.210000"
"2015-02-12","14.290000"
"2015-02-13","14.470000"
"2015-02-17","14.340000"
"2015-02-18","14.120000"
"2015-02-19","14.140000"
"2015-02-20","14.180000"
"2015-02-23","14.110000"
"2015-02-24","14.080000"
"2015-02-25","14.090000"
"2015-02-26","14.040000"
"2015-02-27","14.100000"
"2015-03-02","14.270000"
"2015-03-03","14.270000"
"2015-03-04","14.240000"
"2015-03-05","14.330000"
"2015-03-06","14.390000"
"2015-03-09","14.530000"
"2015-03-10","14.360000"
"2015-03-11","14.440000"
"2015-03-12","14.590000"
"2015-03-13","14.530000"
"2015-03-16","14.550000"
"2015-03-17","14.570000"
"2015-03-18","14.580000"
"2015-03-19","14.670000"
"2015-03-20","14.670000"
"2015-03-23","14.730000"
"2015-03-24","14.710000"
"2015-03-25","14.550000"
"2015-03-26","14.560000"
"2015-03-27","14.660000"
"2015-03-30","14.690000"
"2015-03-31","14.680000"
"2015-04-01","14.690000"
"2015-04-02","14.730000"
"2015-04-06","14.650000"
"2015-04-07","14.630000"
"2015-04-08","14.620000"
"2015-04-09","14.600000"
"2015-04-10","14.680000"
"2015-04-13","14.720000"
"2015-04-14","14.750000"
"2015-04-15","14.740000"
"2015-04-16","14.710000"
"2015-04-17","14.530000"
"2015-04-20","14.670000"
"2015-04-21","14.700000"
"2015-04-22","14.740000"
"2015-04-23","14.750000"
"2015-04-24","14.670000"
"2015-04-27","14.650000"
"2015-04-28","14.780000"
"2015-04-29","14.740000"
"2015-04-30","14.620000"
"2015-05-01","14.390000"
"2015-05-04","14.570000"
"2015-05-05","14.550000"
"2015-05-06","14.540000"
"2015-05-07","14.660000"
"2015-05-08","14.660000"
"2015-05-11","14.680000"
"2015-05-12","14.740000"
"2015-05-13","14.750000"
"2015-05-14","14.750000"
"2015-05-15","14.740000"
"2015-05-18","14.780000"
"2015-05-19","14.810000"
"2015-05-20","14.730000"
"2015-05-21","14.700000"
"2015-05-22","14.750000"
"2015-05-26","14.640000"
"2015-05-27","14.690000"
"2015-05-28","14.810000"
"2015-05-29","14.850000"
"2015-06-01","14.780000"
"2015-06-02","14.860000"
"2015-06-03","15.030000"
"2015-06-04","14.960000"
"2015-06-05","15.140000"
"2015-06-08","15.230000"
"2015-06-09","15.190000"
"2015-06-10","15.280000"
"2015-06-11","15.460000"
"2015-06-12","15.560000"
"2015-06-15","15.570000"
"2015-06-16","15.610000"
"2015-06-17","15.490000"
"2015-06-18","15.510000"
"2015-06-19","15.750000"
"2015-06-22","15.890000"
"2015-06-23","16.110001"
"2015-06-24","16.370001"
"2015-06-25","16.660000"
"2015-06-26","16.980000"
"2015-06-29","16.830000"
"2015-06-30","16.820000"
"2015-07-01","16.950001"
"2015-07-02","16.879999"
"2015-07-06","16.910000"
"2015-07-07","16.709999"
"2015-07-08","16.400000"
"2015-07-09","16.670000"
"2015-07-10","16.480000"
"2015-07-13","16.510000"
"2015-07-14","16.639999"
"2015-07-15","16.620001"
"2015-07-16","16.530001"
"2015-07-17","16.450001"
"2015-07-20","16.660000"
"2015-07-21","16.610001"
"2015-07-22","16.830000"
"2015-07-23","16.650000"
"2015-07-24","16.590000"
"2015-07-27","16.500000"
"2015-07-28","16.559999"
"2015-07-29","16.680000"
"2015-07-30","16.900000"
"2015-07-31","16.860001"
"2015-08-03","16.959999"
"2015-08-04","16.990000"
"2015-08-05","17.250000"
"2015-08-06","17.070000"
"2015-08-07","17.260000"
"2015-08-10","17.500000"
"2015-08-11","17.459999"
"2015-08-12","17.280001"
"2015-08-13","17.480000"
"2015-08-14","17.570000"
"2015-08-17","17.680000"
"2015-08-18","17.600000"
"2015-08-19","17.480000"
"2015-08-20","17.129999"
"2015-08-21","17.180000"
"2015-08-24","16.570000"
"2015-08-25","16.090000"
"2015-08-26","16.639999"
"2015-08-27","16.850000"
"2015-08-28","17.000000"
"2015-08-31","17.170000"
"2015-09-01","16.629999"
"2015-09-02","16.709999"
"2015-09-03","16.719999"
"2015-09-04","16.620001"
"2015-09-08","16.940001"
"2015-09-09","16.889999"
"2015-09-10","16.879999"
"2015-09-11","16.910000"
"2015-09-14","17.100000"
"2015-09-15","17.120001"
"2015-09-16","17.260000"
"2015-09-17","16.959999"
"2015-09-18","16.950001"
"2015-09-21","17.260000"
"2015-09-22","17.139999"
"2015-09-23","17.299999"
"2015-09-24","17.260000"
"2015-09-25","17.340000"
"2015-09-28","17.090000"
"2015-09-29","16.980000"
"2015-09-30","17.250000"
"2015-10-01","17.170000"
"2015-10-02","17.049999"
"2015-10-05","17.299999"
"2015-10-06","17.260000"
"2015-10-07","17.520000"
"2015-10-08","17.680000"
"2015-10-09","17.530001"
"2015-10-12","17.770000"
"2015-10-13","17.760000"
"2015-10-14","17.219999"
"2015-10-15","17.559999"
"2015-10-16","17.660000"
"2015-10-19","17.740000"
"2015-10-20","17.860001"
"2015-10-21","17.790001"
"2015-10-22","18.000000"
"2015-10-23","18.280001"
"2015-10-26","18.219999"
"2015-10-27","18.030001"
"2015-10-28","18.180000"
"2015-10-29","18.020000"
"2015-10-30","17.559999"
"2015-11-02","17.990000"
"2015-11-03","18.020000"
"2015-11-04","18.010000"
"2015-11-05","18.080000"
"2015-11-06","18.309999"
"2015-11-09","18.410000"
"2015-11-10","18.600000"
"2015-11-11","18.580000"
"2015-11-12","18.290001"
"2015-11-13","18.209999"
"2015-11-16","18.360001"
"2015-11-17","18.530001"
"2015-11-18","18.639999"
"2015-11-19","18.680000"
"2015-11-20","18.830000"
"2015-11-23","18.840000"
"2015-11-24","18.780001"
"2015-11-25","18.799999"
"2015-11-27","18.870001"
"2015-11-30","18.770000"
"2015-12-01","19.010000"
"2015-12-02","18.750000"
"2015-12-03","18.750000"
"2015-12-04","18.930000"
"2015-12-07","18.850000"
"2015-12-08","18.760000"
"2015-12-09","18.570000"
"2015-12-10","18.650000"
"2015-12-11","18.540001"
"2015-12-14","18.740000"
"2015-12-15","19.020000"
"2015-12-16","19.230000"
"2015-12-17","19.059999"
"2015-12-18","18.580000"
"2015-12-21","18.639999"
"2015-12-22","18.690001"
"2015-12-23","18.780001"
"2015-12-24","18.809999"
"2015-12-28","18.940001"
"2015-12-29","19.219999"
"2015-12-30","19.020000"
"2015-12-31","18.830000"
"2016-01-04","18.410000"
"2016-01-05","18.530001"
"2016-01-06","18.389999"
"2016-01-07","18.160000"
"2016-01-08","17.860001"
"2016-01-11","17.760000"
"2016-01-12","17.850000"
"2016-01-13","17.190001"
"2016-01-14","17.430000"
"2016-01-15","17.170000"
"2016-01-19","16.950001"
"2016-01-20","17.090000"
"2016-01-21","16.900000"
"2016-01-22","16.950001"
"2016-01-25","16.790001"
"2016-01-26","16.910000"
"2016-01-27","17.270000"
"2016-01-28","17.420000"
"2016-01-29","17.450001"
"2016-02-01","17.600000"
"2016-02-02","16.799999"
"2016-02-03","16.600000"
"2016-02-04","16.549999"
"2016-02-05","16.330000"
"2016-02-08","15.840000"
"2016-02-09","15.600000"
"2016-02-10","15.920000"
"2016-02-11","15.660000"
"2016-02-12","16.290001"
"2016-02-16","16.459999"
"2016-02-17","16.670000"
"2016-02-18","16.660000"
"2016-02-19","16.820000"
"2016-02-22","16.870001"
"2016-02-23","16.670000"
"2016-02-24","16.850000"
"2016-02-25","16.940001"
"2016-02-26","17.110001"
"2016-02-29","16.900000"
"2016-03-01","17.219999"
"2016-03-02","17.070000"
"2016-03-03","17.040001"
"2016-03-04","17.049999"
"2016-03-07","16.950001"
"2016-03-08","16.900000"
"2016-03-09","16.680000"
"2016-03-10","16.969999"
"2016-03-11","17.170000"
"2016-03-14","17.100000"
"2016-03-15","17.250000"
