"date, price"
"2014-12-04","136.600006"
"2014-12-05","134.800003"
"2014-12-08","128.000000"
"2014-12-09","127.099998"
"2014-12-10","125.500000"
"2014-12-11","118.300003"
"2014-12-12","115.599998"
"2014-12-15","112.000000"
"2014-12-16","112.900002"
"2014-12-17","116.300003"
"2014-12-18","111.000000"
"2014-12-19","112.099998"
"2014-12-22","129.199997"
"2014-12-23","130.000000"
"2014-12-24","129.800003"
"2014-12-26","128.300003"
"2014-12-29","124.800003"
"2014-12-30","122.800003"
"2014-12-31","127.000000"
"2015-01-02","126.500000"
"2015-01-05","125.800003"
"2015-01-06","128.899994"
"2015-01-07","135.100006"
"2015-01-08","132.100006"
"2015-01-09","134.899994"
"2015-01-12","137.800003"
"2015-01-13","137.000000"
"2015-01-14","136.699997"
"2015-01-15","136.100006"
"2015-01-16","131.899994"
"2015-01-20","130.500000"
"2015-01-21","128.800003"
"2015-01-22","129.500000"
"2015-01-23","129.500000"
"2015-01-26","124.900002"
"2015-01-27","125.400002"
"2015-01-28","124.000000"
"2015-01-29","124.800003"
"2015-01-30","122.900002"
"2015-02-02","117.900002"
"2015-02-03","121.500000"
"2015-02-04","123.800003"
"2015-02-05","132.899994"
"2015-02-06","131.500000"
"2015-02-09","130.800003"
"2015-02-10","129.899994"
"2015-02-11","129.199997"
"2015-02-12","129.100006"
"2015-02-13","131.600006"
"2015-02-17","135.199997"
"2015-02-18","133.500000"
"2015-02-19","135.199997"
"2015-02-20","135.399994"
"2015-02-23","132.300003"
"2015-02-24","131.000000"
"2015-02-25","128.199997"
"2015-02-26","122.400002"
"2015-02-27","117.000000"
"2015-03-02","123.500000"
"2015-03-03","124.099998"
"2015-03-04","126.500000"
"2015-03-05","134.300003"
"2015-03-06","132.100006"
"2015-03-09","136.399994"
"2015-03-10","133.100006"
"2015-03-11","132.600006"
"2015-03-12","135.800003"
"2015-03-13","134.699997"
"2015-03-16","134.899994"
"2015-03-17","135.600006"
"2015-03-18","138.899994"
"2015-03-19","135.100006"
"2015-03-20","133.399994"
"2015-03-23","130.699997"
"2015-03-24","129.100006"
"2015-03-25","124.400002"
"2015-03-26","126.199997"
"2015-03-27","127.099998"
"2015-03-30","126.599998"
"2015-03-31","126.199997"
"2015-04-01","124.800003"
"2015-04-02","127.900002"
"2015-04-06","128.600006"
"2015-04-07","129.100006"
"2015-04-08","133.300003"
"2015-04-09","132.000000"
"2015-04-10","129.000000"
"2015-04-13","129.000000"
"2015-04-14","128.800003"
"2015-04-15","131.300003"
"2015-04-16","133.699997"
"2015-04-17","134.300003"
"2015-04-20","137.600006"
"2015-04-21","137.699997"
"2015-04-22","138.399994"
"2015-04-23","139.399994"
"2015-04-24","136.800003"
"2015-04-27","132.100006"
"2015-04-28","138.199997"
"2015-04-29","134.800003"
"2015-04-30","133.500000"
"2015-05-01","137.100006"
"2015-05-04","137.300003"
"2015-05-05","135.500000"
"2015-05-06","131.699997"
"2015-05-07","126.699997"
"2015-05-08","124.300003"
"2015-05-11","126.099998"
"2015-05-12","128.600006"
"2015-05-13","129.199997"
"2015-05-14","126.500000"
"2015-05-15","124.000000"
"2015-05-18","120.599998"
"2015-05-19","121.699997"
"2015-05-20","119.500000"
"2015-05-21","119.199997"
"2015-05-22","118.300003"
"2015-05-26","117.099998"
"2015-05-27","117.699997"
"2015-05-28","119.099998"
"2015-05-29","120.699997"
"2015-06-01","123.199997"
"2015-06-02","123.699997"
"2015-06-03","122.400002"
"2015-06-04","115.900002"
"2015-06-05","113.400002"
"2015-06-08","111.500000"
"2015-06-09","110.500000"
"2015-06-10","109.800003"
"2015-06-11","109.800003"
"2015-06-12","110.000000"
"2015-06-15","111.400002"
"2015-06-16","117.900002"
"2015-06-17","118.099998"
"2015-06-18","120.500000"
"2015-06-19","124.599998"
"2015-06-22","121.699997"
"2015-06-23","119.599998"
"2015-06-24","116.500000"
"2015-06-25","115.300003"
"2015-06-26","110.900002"
"2015-06-29","108.500000"
"2015-06-30","108.400002"
"2015-07-01","106.199997"
"2015-07-02","105.000000"
"2015-07-06","105.300003"
"2015-07-07","104.099998"
"2015-07-08","109.800003"
"2015-07-09","111.900002"
"2015-07-10","114.699997"
"2015-07-13","115.900002"
"2015-07-14","117.400002"
"2015-07-15","115.099998"
"2015-07-16","116.199997"
"2015-07-17","117.599998"
"2015-07-20","115.199997"
"2015-07-21","115.699997"
"2015-07-22","116.800003"
"2015-07-23","114.099998"
"2015-07-24","114.099998"
"2015-07-27","114.599998"
"2015-07-28","117.099998"
"2015-07-29","115.199997"
"2015-07-30","115.400002"
"2015-07-31","125.500000"
"2015-08-03","130.899994"
"2015-08-04","131.899994"
"2015-08-05","125.599998"
"2015-08-06","121.000000"
"2015-08-07","121.900002"
"2015-08-10","118.699997"
"2015-08-11","119.500000"
"2015-08-12","121.400002"
"2015-08-13","123.000000"
"2015-08-14","124.699997"
"2015-08-17","125.699997"
"2015-08-18","121.400002"
"2015-08-19","119.199997"
"2015-08-20","115.599998"
"2015-08-21","119.400002"
"2015-08-24","114.400002"
"2015-08-25","115.000000"
"2015-08-26","113.699997"
"2015-08-27","110.400002"
"2015-08-28","117.000000"
"2015-08-31","114.800003"
"2015-09-01","113.199997"
"2015-09-02","118.500000"
"2015-09-03","116.099998"
"2015-09-04","118.599998"
"2015-09-08","118.500000"
"2015-09-09","130.000000"
"2015-09-10","128.899994"
"2015-09-11","126.500000"
"2015-09-14","124.099998"
"2015-09-15","127.099998"
"2015-09-16","126.500000"
"2015-09-17","122.000000"
"2015-09-18","125.000000"
"2015-09-21","119.800003"
"2015-09-22","113.900002"
"2015-09-23","107.400002"
"2015-09-24","112.800003"
"2015-09-25","102.099998"
"2015-09-28","93.000000"
"2015-09-29","89.800003"
"2015-09-30","88.099998"
"2015-10-01","85.099998"
"2015-10-02","85.000000"
"2015-10-05","85.000000"
"2015-10-06","84.199997"
