"date, price"
"2014-12-04","28.400000"
"2014-12-05","27.860001"
"2014-12-08","27.830000"
"2014-12-09","28.030001"
"2014-12-10","27.000000"
"2014-12-11","27.250000"
"2014-12-12","27.190001"
"2014-12-15","26.570000"
"2014-12-16","26.510000"
"2014-12-17","26.840000"
"2014-12-18","27.170000"
"2014-12-19","27.430000"
"2014-12-22","27.530001"
"2014-12-23","27.270000"
"2014-12-24","27.340000"
"2014-12-26","27.290001"
"2014-12-29","27.090000"
"2014-12-30","27.010000"
"2014-12-31","26.540001"
"2015-01-02","26.910000"
"2015-01-05","26.030001"
"2015-01-06","25.660000"
"2015-01-07","25.340000"
"2015-01-08","25.670000"
"2015-01-09","25.620001"
"2015-01-12","25.660000"
"2015-01-13","25.870001"
"2015-01-14","25.320000"
"2015-01-15","24.760000"
"2015-01-16","24.740000"
"2015-01-20","24.590000"
"2015-01-21","24.690001"
"2015-01-22","25.469999"
"2015-01-23","25.559999"
"2015-01-26","25.740000"
"2015-01-27","25.049999"
"2015-01-28","24.580000"
"2015-01-29","24.590000"
"2015-01-30","23.840000"
"2015-02-02","23.870001"
"2015-02-03","24.490000"
"2015-02-04","25.410000"
"2015-02-05","26.350000"
"2015-02-06","26.440001"
"2015-02-09","26.490000"
"2015-02-10","26.350000"
"2015-02-11","26.420000"
"2015-02-12","27.260000"
"2015-02-13","26.870001"
"2015-02-17","26.350000"
"2015-02-18","26.290001"
"2015-02-19","26.400000"
"2015-02-20","26.530001"
"2015-02-23","26.270000"
"2015-02-24","26.320000"
"2015-02-25","26.420000"
"2015-02-26","26.219999"
"2015-02-27","26.139999"
"2015-03-02","26.260000"
"2015-03-03","26.209999"
"2015-03-04","26.190001"
"2015-03-05","26.360001"
"2015-03-06","26.100000"
"2015-03-09","25.969999"
"2015-03-10","25.440001"
"2015-03-11","26.170000"
"2015-03-12","26.090000"
"2015-03-13","25.379999"
"2015-03-16","25.480000"
"2015-03-17","25.370001"
"2015-03-18","25.400000"
"2015-03-19","25.190001"
"2015-03-20","25.920000"
"2015-03-23","25.770000"
"2015-03-24","25.610001"
"2015-03-25","24.719999"
"2015-03-26","24.420000"
"2015-03-27","24.250000"
"2015-03-30","24.450001"
"2015-03-31","25.200001"
"2015-04-01","24.709999"
"2015-04-02","24.680000"
"2015-04-06","24.760000"
"2015-04-07","24.700001"
"2015-04-08","24.510000"
"2015-04-09","25.389999"
"2015-04-10","25.760000"
"2015-04-13","25.480000"
"2015-04-14","25.200001"
"2015-04-15","25.920000"
"2015-04-16","25.639999"
"2015-04-17","25.020000"
"2015-04-20","25.520000"
"2015-04-21","25.580000"
"2015-04-22","25.730000"
"2015-04-23","25.719999"
"2015-04-24","25.379999"
"2015-04-27","25.799999"
"2015-04-28","25.110001"
"2015-04-29","25.580000"
"2015-04-30","25.430000"
"2015-05-01","26.260000"
"2015-05-04","25.620001"
"2015-05-05","25.389999"
"2015-05-06","25.340000"
"2015-05-07","25.290001"
"2015-05-08","25.490000"
"2015-05-11","25.500000"
"2015-05-12","25.040001"
"2015-05-13","24.790001"
"2015-05-14","25.180000"
"2015-05-15","24.910000"
"2015-05-18","24.790001"
"2015-05-19","24.420000"
"2015-05-20","24.260000"
"2015-05-21","24.100000"
"2015-05-22","24.250000"
"2015-05-26","23.820000"
"2015-05-27","23.850000"
"2015-05-28","23.830000"
"2015-05-29","23.440001"
"2015-06-01","23.450001"
"2015-06-02","23.600000"
"2015-06-03","23.840000"
"2015-06-04","23.190001"
"2015-06-05","23.240000"
"2015-06-08","23.170000"
"2015-06-09","23.010000"
"2015-06-10","23.170000"
"2015-06-11","23.100000"
"2015-06-12","22.959999"
"2015-06-15","22.790001"
"2015-06-16","23.010000"
"2015-06-17","22.920000"
"2015-06-18","23.490000"
"2015-06-19","23.580000"
"2015-06-22","23.639999"
"2015-06-23","23.660000"
"2015-06-24","23.430000"
