"date, price"
"2014-12-04","83.650002"
"2014-12-05","84.489998"
"2014-12-08","84.800003"
"2014-12-09","84.730003"
"2014-12-10","83.949997"
"2014-12-11","84.209999"
"2014-12-12","82.000000"
"2014-12-15","82.419998"
"2014-12-16","81.599998"
"2014-12-17","84.000000"
"2014-12-18","86.389999"
"2014-12-19","86.720001"
"2014-12-22","87.220001"
"2014-12-23","87.589996"
"2014-12-24","87.339996"
"2014-12-26","87.190002"
"2014-12-29","87.260002"
"2014-12-30","86.910004"
"2014-12-31","85.860001"
"2015-01-02","85.760002"
"2015-01-05","83.790001"
"2015-01-06","82.309998"
"2015-01-07","83.519997"
"2015-01-08","84.510002"
"2015-01-09","83.870003"
"2015-01-12","82.930000"
"2015-01-13","83.059998"
"2015-01-14","81.769997"
"2015-01-15","81.029999"
"2015-01-16","81.500000"
"2015-01-20","81.360001"
"2015-01-21","81.209999"
"2015-01-22","83.160004"
"2015-01-23","82.169998"
"2015-01-26","82.919998"
"2015-01-27","81.970001"
"2015-01-28","79.230003"
"2015-01-29","79.190002"
"2015-01-30","78.720001"
"2015-02-02","80.010002"
"2015-02-03","81.250000"
"2015-02-04","81.059998"
"2015-02-05","81.750000"
"2015-02-06","82.309998"
"2015-02-09","81.449997"
"2015-02-10","82.220001"
"2015-02-11","82.099998"
"2015-02-12","82.279999"
"2015-02-13","82.449997"
"2015-02-17","82.500000"
"2015-02-18","81.709999"
"2015-02-19","82.970001"
"2015-02-20","83.529999"
"2015-02-23","83.089996"
"2015-02-24","84.019997"
"2015-02-25","83.519997"
"2015-02-26","83.320000"
"2015-02-27","82.599998"
"2015-03-02","83.389999"
"2015-03-03","82.849998"
"2015-03-04","82.430000"
"2015-03-05","83.000000"
"2015-03-06","82.129997"
"2015-03-09","82.709999"
"2015-03-10","81.160004"
"2015-03-11","81.680000"
"2015-03-12","82.930000"
"2015-03-13","82.190002"
"2015-03-16","83.529999"
"2015-03-17","83.559998"
"2015-03-18","83.879997"
"2015-03-19","82.830002"
"2015-03-20","83.989998"
"2015-03-23","83.300003"
"2015-03-24","83.190002"
"2015-03-25","81.580002"
"2015-03-26","81.160004"
"2015-03-27","81.209999"
"2015-03-30","81.739998"
"2015-03-31","80.980003"
"2015-04-01","81.599998"
"2015-04-02","81.959999"
"2015-04-06","82.120003"
"2015-04-07","79.050003"
"2015-04-08","80.610001"
"2015-04-09","81.440002"
"2015-04-10","80.980003"
"2015-04-13","81.400002"
"2015-04-14","82.070000"
"2015-04-15","82.790001"
"2015-04-16","83.059998"
"2015-04-17","82.419998"
"2015-04-20","83.000000"
"2015-04-21","82.800003"
"2015-04-22","82.589996"
"2015-04-23","82.070000"
"2015-04-24","82.570000"
"2015-04-27","82.400002"
"2015-04-28","82.779999"
"2015-04-29","81.940002"
"2015-04-30","81.180000"
"2015-05-01","81.489998"
"2015-05-04","81.919998"
"2015-05-05","81.389999"
"2015-05-06","80.620003"
"2015-05-07","80.750000"
"2015-05-08","81.680000"
"2015-05-11","81.650002"
"2015-05-12","81.129997"
"2015-05-13","81.180000"
"2015-05-14","81.980003"
"2015-05-15","81.550003"
"2015-05-18","82.129997"
"2015-05-19","81.949997"
"2015-05-20","81.790001"
"2015-05-21","81.690002"
"2015-05-22","81.570000"
"2015-05-26","80.669998"
"2015-05-27","81.269997"
"2015-05-28","81.279999"
"2015-05-29","80.690002"
"2015-06-01","80.809998"
"2015-06-02","80.279999"
"2015-06-03","79.970001"
"2015-06-04","79.199997"
"2015-06-05","79.220001"
"2015-06-08","78.610001"
"2015-06-09","78.099998"
"2015-06-10","78.870003"
"2015-06-11","78.970001"
"2015-06-12","78.330002"
"2015-06-15","78.029999"
"2015-06-16","78.779999"
"2015-06-17","78.750000"
"2015-06-18","79.650002"
"2015-06-19","78.849998"
"2015-06-22","79.070000"
"2015-06-23","78.949997"
"2015-06-24","78.730003"
"2015-06-25","78.059998"
"2015-06-26","79.400002"
"2015-06-29","77.470001"
"2015-06-30","77.730003"
"2015-07-01","77.680000"
"2015-07-02","77.339996"
"2015-07-06","76.930000"
"2015-07-07","77.220001"
"2015-07-08","75.769997"
"2015-07-09","76.610001"
"2015-07-10","77.430000"
"2015-07-13","78.309998"
"2015-07-14","78.089996"
"2015-07-15","78.190002"
"2015-07-16","79.510002"
"2015-07-17","79.419998"
"2015-07-20","79.349998"
"2015-07-21","79.070000"
"2015-07-22","78.739998"
"2015-07-23","77.279999"
"2015-07-24","76.839996"
"2015-07-27","76.629997"
"2015-07-28","77.160004"
"2015-07-29","77.559998"
"2015-07-30","77.500000"
"2015-07-31","77.129997"
"2015-08-03","77.239998"
"2015-08-04","77.050003"
"2015-08-05","76.480003"
"2015-08-06","75.889999"
"2015-08-07","75.839996"
"2015-08-10","76.889999"
"2015-08-11","76.180000"
"2015-08-12","75.470001"
"2015-08-13","75.830002"
"2015-08-14","76.070000"
"2015-08-17","76.230003"
"2015-08-18","76.339996"
"2015-08-19","75.470001"
"2015-08-20","73.930000"
"2015-08-21","72.089996"
"2015-08-24","69.650002"
"2015-08-25","68.330002"
"2015-08-26","70.809998"
"2015-08-27","72.900002"
"2015-08-28","72.400002"
"2015-08-31","71.879997"
"2015-09-01","69.379997"
"2015-09-02","69.910004"
"2015-09-03","70.360001"
"2015-09-04","69.440002"
"2015-09-08","71.150002"
"2015-09-09","70.449997"
"2015-09-10","70.919998"
"2015-09-11","71.000000"
"2015-09-14","70.580002"
"2015-09-15","70.949997"
"2015-09-16","71.680000"
"2015-09-17","71.059998"
"2015-09-18","69.570000"
"2015-09-21","70.220001"
"2015-09-22","69.059998"
"2015-09-23","68.870003"
"2015-09-24","68.360001"
"2015-09-25","69.120003"
"2015-09-28","69.099998"
"2015-09-29","68.269997"
"2015-09-30","69.500000"
"2015-10-01","68.589996"
"2015-10-02","68.739998"
