"date, price"
"2014-12-04","5.830000"
"2014-12-05","5.840000"
"2014-12-08","5.660000"
"2014-12-09","5.650000"
"2014-12-10","5.510000"
"2014-12-11","5.520000"
"2014-12-12","5.370000"
"2014-12-15","5.360000"
"2014-12-16","5.350000"
"2014-12-17","5.560000"
"2014-12-18","5.790000"
"2014-12-19","6.230000"
"2014-12-22","6.510000"
"2014-12-23","6.800000"
"2014-12-24","6.790000"
"2014-12-26","6.860000"
"2014-12-29","6.980000"
"2014-12-30","6.830000"
"2014-12-31","6.930000"
"2015-01-02","7.180000"
"2015-01-05","6.860000"
"2015-01-06","6.760000"
"2015-01-07","6.960000"
"2015-01-08","7.070000"
"2015-01-09","7.240000"
"2015-01-12","7.440000"
"2015-01-13","7.550000"
"2015-01-14","7.390000"
"2015-01-15","7.470000"
"2015-01-16","7.390000"
"2015-01-20","7.570000"
"2015-01-21","7.490000"
"2015-01-22","7.590000"
"2015-01-23","7.520000"
"2015-01-26","7.360000"
"2015-01-27","7.230000"
"2015-01-28","7.220000"
"2015-01-29","7.250000"
"2015-01-30","7.100000"
"2015-02-02","6.940000"
"2015-02-03","6.780000"
"2015-02-04","6.940000"
"2015-02-05","7.260000"
"2015-02-06","7.070000"
"2015-02-09","6.700000"
"2015-02-10","6.910000"
"2015-02-11","7.090000"
"2015-02-12","7.210000"
"2015-02-13","7.170000"
"2015-02-17","7.260000"
"2015-02-18","7.730000"
"2015-02-19","7.890000"
"2015-02-20","7.990000"
"2015-02-23","7.910000"
"2015-02-24","7.880000"
"2015-02-25","7.790000"
"2015-02-26","7.720000"
"2015-02-27","7.610000"
"2015-03-02","8.070000"
"2015-03-03","8.140000"
"2015-03-04","8.120000"
"2015-03-05","8.000000"
"2015-03-06","7.990000"
"2015-03-09","8.010000"
"2015-03-10","7.980000"
"2015-03-11","7.990000"
"2015-03-12","8.020000"
"2015-03-13","7.870000"
"2015-03-16","7.990000"
"2015-03-17","7.950000"
"2015-03-18","7.950000"
"2015-03-19","7.820000"
"2015-03-20","8.250000"
"2015-03-23","8.410000"
"2015-03-24","8.470000"
"2015-03-25","8.330000"
"2015-03-26","8.280000"
"2015-03-27","8.310000"
"2015-03-30","8.120000"
"2015-03-31","8.000000"
"2015-04-01","8.050000"
"2015-04-02","7.980000"
"2015-04-06","8.130000"
"2015-04-07","8.200000"
"2015-04-08","8.220000"
"2015-04-09","8.220000"
"2015-04-10","8.340000"
"2015-04-13","8.400000"
"2015-04-14","8.240000"
"2015-04-15","8.370000"
"2015-04-16","8.370000"
"2015-04-17","8.200000"
"2015-04-20","8.120000"
"2015-04-21","8.100000"
"2015-04-22","8.180000"
"2015-04-23","8.300000"
"2015-04-24","8.090000"
"2015-04-27","8.090000"
"2015-04-28","8.120000"
"2015-04-29","7.850000"
"2015-04-30","7.410000"
"2015-05-01","7.740000"
"2015-05-04","7.910000"
"2015-05-05","7.980000"
"2015-05-06","8.040000"
"2015-05-07","8.040000"
"2015-05-08","8.230000"
"2015-05-11","8.080000"
"2015-05-12","8.040000"
"2015-05-13","7.980000"
"2015-05-14","8.240000"
"2015-05-15","8.180000"
"2015-05-18","8.180000"
"2015-05-19","8.330000"
"2015-05-20","8.260000"
"2015-05-21","8.290000"
"2015-05-22","8.330000"
"2015-05-26","8.300000"
"2015-05-27","8.380000"
"2015-05-28","8.440000"
"2015-05-29","8.380000"
"2015-06-01","8.370000"
"2015-06-02","8.300000"
"2015-06-03","8.300000"
"2015-06-04","8.010000"
"2015-06-05","8.040000"
"2015-06-08","8.000000"
"2015-06-09","8.040000"
"2015-06-10","8.150000"
"2015-06-11","8.140000"
"2015-06-12","8.120000"
"2015-06-15","8.300000"
"2015-06-16","8.490000"
"2015-06-17","8.460000"
"2015-06-18","8.430000"
"2015-06-19","8.320000"
"2015-06-22","8.450000"
"2015-06-23","8.500000"
"2015-06-24","8.470000"
"2015-06-25","8.470000"
"2015-06-26","8.360000"
"2015-06-29","8.190000"
"2015-06-30","8.240000"
"2015-07-01","8.340000"
"2015-07-02","8.250000"
"2015-07-06","8.000000"
"2015-07-07","8.000000"
"2015-07-08","8.030000"
"2015-07-09","8.170000"
"2015-07-10","8.130000"
"2015-07-13","8.360000"
"2015-07-14","8.430000"
"2015-07-15","8.420000"
"2015-07-16","8.440000"
"2015-07-17","8.630000"
"2015-07-20","8.400000"
"2015-07-21","8.490000"
"2015-07-22","8.470000"
"2015-07-23","8.460000"
"2015-07-24","7.780000"
"2015-07-27","7.650000"
"2015-07-28","7.550000"
"2015-07-29","7.570000"
"2015-07-30","7.650000"
"2015-07-31","7.720000"
"2015-08-03","7.780000"
"2015-08-04","7.590000"
"2015-08-05","8.410000"
"2015-08-06","8.150000"
"2015-08-07","8.020000"
"2015-08-10","8.200000"
"2015-08-11","8.320000"
"2015-08-12","8.570000"
"2015-08-13","8.480000"
"2015-08-14","8.440000"
"2015-08-17","8.410000"
"2015-08-18","8.030000"
"2015-08-19","7.770000"
"2015-08-20","7.010000"
"2015-08-21","7.210000"
"2015-08-24","7.030000"
"2015-08-25","7.000000"
"2015-08-26","7.290000"
"2015-08-27","7.210000"
"2015-08-28","7.150000"
