"date, price"
"2014-12-04","78.180000"
"2014-12-05","78.570000"
"2014-12-08","78.529999"
"2014-12-09","78.269997"
"2014-12-10","77.129997"
"2014-12-11","77.610001"
"2014-12-12","77.720001"
"2014-12-15","77.620003"
"2014-12-16","76.320000"
"2014-12-17","76.900002"
"2014-12-18","77.500000"
"2014-12-19","76.379997"
"2014-12-22","77.260002"
"2014-12-23","78.459999"
"2014-12-24","77.800003"
"2014-12-26","77.919998"
"2014-12-29","78.690002"
"2014-12-30","77.500000"
"2014-12-31","78.820000"
"2015-01-02","78.070000"
"2015-01-05","76.470001"
"2015-01-06","75.300003"
"2015-01-07","77.739998"
"2015-01-08","80.919998"
"2015-01-09","79.919998"
"2015-01-12","79.260002"
"2015-01-13","78.570000"
"2015-01-14","77.360001"
"2015-01-15","75.199997"
"2015-01-16","76.519997"
"2015-01-20","75.690002"
"2015-01-21","77.089996"
"2015-01-22","79.730003"
"2015-01-23","79.720001"
"2015-01-26","81.779999"
"2015-01-27","80.559998"
"2015-01-28","79.860001"
"2015-01-29","83.290001"
"2015-01-30","81.169998"
"2015-02-02","81.360001"
"2015-02-03","83.110001"
"2015-02-04","83.360001"
"2015-02-05","83.500000"
"2015-02-06","82.930000"
"2015-02-09","82.430000"
"2015-02-10","83.250000"
"2015-02-11","82.440002"
"2015-02-12","83.269997"
"2015-02-13","84.260002"
"2015-02-17","84.570000"
"2015-02-18","84.879997"
"2015-02-19","85.570000"
"2015-02-20","88.120003"
"2015-02-23","88.379997"
"2015-02-24","89.059998"
"2015-02-25","89.980003"
"2015-02-26","88.879997"
"2015-02-27","88.120003"
"2015-03-02","89.309998"
"2015-03-03","86.580002"
"2015-03-04","85.129997"
"2015-03-05","85.349998"
"2015-03-06","84.680000"
"2015-03-09","85.379997"
"2015-03-10","84.059998"
"2015-03-11","84.730003"
"2015-03-12","87.250000"
"2015-03-13","86.260002"
"2015-03-16","88.320000"
"2015-03-17","87.720001"
"2015-03-18","88.199997"
"2015-03-19","88.010002"
"2015-03-20","88.949997"
"2015-03-23","88.190002"
"2015-03-24","87.589996"
"2015-03-25","85.910004"
"2015-03-26","85.230003"
"2015-03-27","86.169998"
"2015-03-30","86.580002"
"2015-03-31","85.059998"
"2015-04-01","84.709999"
"2015-04-02","85.620003"
"2015-04-06","86.239998"
"2015-04-07","85.379997"
"2015-04-08","85.570000"
"2015-04-09","86.000000"
"2015-04-10","87.279999"
"2015-04-13","87.500000"
"2015-04-14","87.330002"
"2015-04-15","86.449997"
"2015-04-16","86.470001"
"2015-04-17","87.000000"
"2015-04-20","88.529999"
"2015-04-21","90.820000"
"2015-04-22","90.830002"
"2015-04-23","91.260002"
"2015-04-24","90.980003"
"2015-04-27","90.650002"
"2015-04-28","89.599998"
"2015-04-29","88.449997"
"2015-04-30","86.059998"
"2015-05-01","87.160004"
"2015-05-04","87.330002"
"2015-05-05","85.889999"
"2015-05-06","84.650002"
"2015-05-07","85.690002"
"2015-05-08","86.919998"
"2015-05-11","87.120003"
"2015-05-12","86.820000"
"2015-05-13","86.430000"
"2015-05-14","87.660004"
"2015-05-15","88.480003"
"2015-05-18","90.129997"
"2015-05-19","90.070000"
"2015-05-20","89.910004"
"2015-05-21","90.589996"
"2015-05-22","90.519997"
"2015-05-26","88.330002"
"2015-05-27","89.000000"
"2015-05-28","88.370003"
"2015-05-29","87.139999"
"2015-06-01","87.750000"
"2015-06-02","88.580002"
"2015-06-03","90.250000"
"2015-06-04","88.190002"
"2015-06-05","87.980003"
"2015-06-08","87.589996"
"2015-06-09","87.300003"
"2015-06-10","88.940002"
"2015-06-11","90.110001"
"2015-06-12","90.190002"
"2015-06-15","90.309998"
"2015-06-16","91.129997"
"2015-06-17","91.730003"
"2015-06-18","92.949997"
"2015-06-19","92.440002"
"2015-06-22","93.050003"
"2015-06-23","92.889999"
"2015-06-24","91.879997"
"2015-06-25","92.699997"
"2015-06-26","92.750000"
"2015-06-29","90.099998"
"2015-06-30","89.940002"
"2015-07-01","90.779999"
"2015-07-02","90.320000"
"2015-07-06","91.040001"
"2015-07-07","90.730003"
"2015-07-08","87.610001"
"2015-07-09","88.720001"
"2015-07-10","91.150002"
"2015-07-13","92.519997"
"2015-07-14","93.300003"
"2015-07-15","93.419998"
"2015-07-16","93.919998"
"2015-07-17","94.500000"
"2015-07-20","93.129997"
"2015-07-21","93.529999"
"2015-07-22","94.779999"
"2015-07-23","95.459999"
"2015-07-24","93.570000"
"2015-07-27","92.080002"
"2015-07-28","91.720001"
"2015-07-29","92.279999"
"2015-07-30","91.989998"
"2015-07-31","92.519997"
"2015-08-03","91.339996"
"2015-08-04","92.269997"
"2015-08-05","93.349998"
"2015-08-06","91.169998"
"2015-08-07","91.699997"
"2015-08-10","93.110001"
"2015-08-11","93.470001"
"2015-08-12","92.760002"
"2015-08-13","93.199997"
"2015-08-14","93.099998"
"2015-08-17","93.940002"
"2015-08-18","94.089996"
"2015-08-19","93.349998"
"2015-08-20","89.650002"
"2015-08-21","85.589996"
"2015-08-24","83.580002"
"2015-08-25","83.040001"
"2015-08-26","85.040001"
"2015-08-27","87.120003"
"2015-08-28","85.389999"
"2015-08-31","85.309998"
"2015-09-01","82.230003"
"2015-09-02","83.690002"
"2015-09-03","83.949997"
"2015-09-04","83.190002"
"2015-09-08","86.360001"
"2015-09-09","85.800003"
"2015-09-10","86.690002"
"2015-09-11","87.959999"
"2015-09-14","86.110001"
"2015-09-15","86.500000"
"2015-09-16","87.959999"
"2015-09-17","86.989998"
"2015-09-18","86.269997"
"2015-09-21","84.889999"
"2015-09-22","82.809998"
"2015-09-23","83.040001"
"2015-09-24","82.349998"
"2015-09-25","83.970001"
"2015-09-28","81.680000"
"2015-09-29","82.309998"
"2015-09-30","84.320000"
"2015-10-01","85.949997"
"2015-10-02","86.820000"
"2015-10-05","88.410004"
"2015-10-06","86.570000"
"2015-10-07","88.610001"
"2015-10-08","89.199997"
"2015-10-09","89.639999"
"2015-10-12","85.739998"
"2015-10-13","84.459999"
"2015-10-14","84.150002"
"2015-10-15","84.690002"
"2015-10-16","85.209999"
"2015-10-19","86.970001"
"2015-10-20","86.449997"
"2015-10-21","86.250000"
"2015-10-22","91.019997"
"2015-10-23","90.430000"
"2015-10-26","91.720001"
"2015-10-27","90.669998"
"2015-10-28","91.580002"
"2015-10-29","91.139999"
"2015-10-30","92.389999"
"2015-11-02","92.080002"
"2015-11-03","92.500000"
"2015-11-04","92.730003"
"2015-11-05","93.650002"
"2015-11-06","93.379997"
"2015-11-09","92.029999"
"2015-11-10","91.970001"
"2015-11-11","91.379997"
"2015-11-12","89.769997"
"2015-11-13","85.199997"
"2015-11-16","86.949997"
"2015-11-17","86.150002"
"2015-11-18","88.150002"
"2015-11-19","89.239998"
"2015-11-20","90.809998"
"2015-11-23","91.459999"
"2015-11-24","91.000000"
"2015-11-25","91.139999"
"2015-11-27","91.410004"
"2015-11-30","89.349998"
"2015-12-01","89.660004"
"2015-12-02","89.400002"
"2015-12-03","85.660004"
"2015-12-04","88.040001"
"2015-12-07","87.930000"
"2015-12-08","90.029999"
"2015-12-09","88.900002"
"2015-12-10","88.849998"
"2015-12-11","87.900002"
"2015-12-14","88.220001"
"2015-12-15","87.180000"
"2015-12-16","88.089996"
"2015-12-17","85.870003"
"2015-12-18","85.709999"
"2015-12-21","84.760002"
"2015-12-22","85.400002"
"2015-12-23","86.059998"
"2015-12-24","85.669998"
"2015-12-28","85.989998"
"2015-12-29","87.190002"
"2015-12-30","86.290001"
"2015-12-31","85.500000"
"2016-01-04","83.750000"
"2016-01-05","83.690002"
"2016-01-06","82.540001"
"2016-01-07","82.480003"
"2016-01-08","81.860001"
"2016-01-11","82.650002"
"2016-01-12","84.660004"
"2016-01-13","81.550003"
"2016-01-14","83.000000"
"2016-01-15","81.489998"
"2016-01-19","83.459999"
"2016-01-20","81.489998"
"2016-01-21","83.300003"
"2016-01-22","84.839996"
"2016-01-25","83.519997"
"2016-01-26","85.690002"
"2016-01-27","84.220001"
"2016-01-28","84.980003"
"2016-01-29","88.309998"
"2016-02-01","86.720001"
"2016-02-02","86.080002"
"2016-02-03","84.669998"
"2016-02-04","83.769997"
"2016-02-05","80.779999"
"2016-02-08","79.820000"
"2016-02-09","81.449997"
"2016-02-10","81.930000"
"2016-02-11","81.690002"
"2016-02-12","83.480003"
"2016-02-16","85.540001"
"2016-02-17","86.010002"
"2016-02-18","84.519997"
"2016-02-19","84.620003"
"2016-02-22","86.389999"
"2016-02-23","84.870003"
"2016-02-24","85.589996"
"2016-02-25","85.500000"
"2016-02-26","84.779999"
"2016-02-29","84.570000"
"2016-03-01","87.629997"
"2016-03-02","87.190002"
"2016-03-03","86.379997"
"2016-03-04","87.300003"
"2016-03-07","85.809998"
"2016-03-08","85.919998"
"2016-03-09","86.830002"
"2016-03-10","88.839996"
"2016-03-11","90.309998"
"2016-03-14","90.080002"
"2016-03-15","90.089996"
"2016-03-16","89.559998"
"2016-03-17","88.739998"
"2016-03-18","89.309998"
"2016-03-21","89.550003"
"2016-03-22","89.059998"
"2016-03-23","89.059998"
"2016-03-24","88.699997"
"2016-03-28","89.330002"
"2016-03-29","89.949997"
"2016-03-30","90.699997"
"2016-03-31","90.459999"
"2016-04-01","91.809998"
"2016-04-04","90.510002"
"2016-04-05","88.809998"
"2016-04-06","89.190002"
"2016-04-07","87.309998"
"2016-04-08","86.900002"
"2016-04-11","86.980003"
"2016-04-12","88.860001"
"2016-04-13","89.669998"
"2016-04-14","91.209999"
"2016-04-15","89.459999"
"2016-04-18","90.139999"
"2016-04-19","89.629997"
"2016-04-20","90.070000"
"2016-04-21","94.339996"
"2016-04-22","94.449997"
"2016-04-25","95.139999"
"2016-04-26","95.110001"
"2016-04-27","95.980003"
"2016-04-28","94.970001"
"2016-04-29","94.660004"
"2016-05-02","95.589996"
"2016-05-03","95.099998"
"2016-05-04","94.650002"
"2016-05-05","93.360001"
"2016-05-06","93.570000"
"2016-05-09","94.059998"
"2016-05-10","95.019997"
"2016-05-11","92.449997"
"2016-05-12","93.570000"
"2016-05-13","92.000000"
"2016-05-16","93.570000"
"2016-05-17","91.910004"
"2016-05-18","91.559998"
"2016-05-19","92.690002"
"2016-05-20","93.900002"
"2016-05-23","93.250000"
"2016-05-24","94.970001"
"2016-05-25","95.120003"
"2016-05-26","95.739998"
"2016-05-27","96.750000"
"2016-05-31","96.099998"
"2016-06-01","96.570000"
"2016-06-02","96.650002"
"2016-06-03","95.139999"
"2016-06-06","95.309998"
"2016-06-07","96.309998"
"2016-06-08","94.389999"
"2016-06-09","93.830002"
"2016-06-10","92.870003"
"2016-06-13","91.269997"
"2016-06-14","92.639999"
"2016-06-15","92.410004"
"2016-06-16","92.089996"
"2016-06-17","91.610001"
"2016-06-20","92.529999"
"2016-06-21","92.190002"
"2016-06-22","92.190002"
"2016-06-23","93.540001"
"2016-06-24","91.809998"
"2016-06-27","92.900002"
"2016-06-28","94.169998"
"2016-06-29","95.169998"
"2016-06-30","91.180000"
"2016-07-01","92.470001"
"2016-07-05","92.019997"
"2016-07-06","92.400002"
"2016-07-07","92.290001"
"2016-07-08","93.690002"
"2016-07-11","93.320000"
"2016-07-12","93.820000"
"2016-07-13","93.330002"
"2016-07-14","92.849998"
"2016-07-15","91.989998"
"2016-07-18","92.980003"
"2016-07-19","92.980003"
"2016-07-20","93.129997"
"2016-07-21","89.739998"
"2016-07-22","91.519997"
"2016-07-25","91.220001"
"2016-07-26","90.470001"
"2016-07-27","89.940002"
"2016-07-28","91.379997"
"2016-07-29","91.650002"
"2016-08-01","91.199997"
"2016-08-02","90.300003"
"2016-08-03","90.910004"
"2016-08-04","86.349998"
"2016-08-05","87.070000"
"2016-08-08","85.120003"
"2016-08-09","85.739998"
"2016-08-10","85.360001"
"2016-08-11","86.230003"
"2016-08-12","86.449997"
"2016-08-15","86.029999"
"2016-08-16","85.250000"
"2016-08-17","84.669998"
"2016-08-18","85.260002"
"2016-08-19","85.730003"
"2016-08-22","85.699997"
"2016-08-23","85.169998"
"2016-08-24","84.330002"
"2016-08-25","84.760002"
"2016-08-26","84.599998"
"2016-08-29","85.269997"
"2016-08-30","84.250000"
"2016-08-31","83.949997"
"2016-09-01","84.080002"
"2016-09-02","85.059998"
"2016-09-06","83.550003"
"2016-09-07","83.529999"
"2016-09-08","69.379997"
"2016-09-09","68.419998"
"2016-09-12","69.110001"
"2016-09-13","69.290001"
"2016-09-14","68.900002"
"2016-09-15","69.059998"
"2016-09-16","68.150002"
"2016-09-19","67.540001"
"2016-09-20","67.580002"
"2016-09-21","67.769997"
"2016-09-22","68.250000"
"2016-09-23","68.360001"
"2016-09-26","68.769997"
"2016-09-27","68.989998"
"2016-09-28","68.750000"
"2016-09-29","68.239998"
"2016-09-30","67.349998"
"2016-10-03","67.029999"
"2016-10-04","66.949997"
"2016-10-05","67.239998"
"2016-10-06","68.160004"
"2016-10-07","67.879997"
"2016-10-10","68.510002"
"2016-10-11","68.260002"
"2016-10-12","68.269997"
"2016-10-13","67.379997"
"2016-10-14","67.260002"
"2016-10-17","65.540001"
"2016-10-18","65.269997"
"2016-10-19","67.370003"
