"date, price"
"2014-12-04","26.559999"
"2014-12-05","26.969999"
"2014-12-08","26.730000"
"2014-12-09","27.010000"
"2014-12-10","26.170000"
"2014-12-11","26.170000"
"2014-12-12","25.620001"
"2014-12-15","25.219999"
"2014-12-16","24.990000"
"2014-12-17","25.530001"
"2014-12-18","26.139999"
"2014-12-19","26.110001"
"2014-12-22","26.510000"
"2014-12-23","26.850000"
"2014-12-24","26.860001"
"2014-12-26","26.900000"
"2014-12-29","27.010000"
"2014-12-30","27.059999"
"2014-12-31","26.700001"
"2015-01-02","26.690001"
"2015-01-05","25.570000"
"2015-01-06","25.290001"
"2015-01-07","25.320000"
"2015-01-08","25.490000"
"2015-01-09","25.090000"
"2015-01-12","25.020000"
"2015-01-13","25.150000"
"2015-01-14","24.750000"
"2015-01-15","24.260000"
"2015-01-16","24.200001"
"2015-01-20","23.990000"
"2015-01-21","24.110001"
"2015-01-22","24.500000"
"2015-01-23","24.410000"
"2015-01-26","24.450001"
"2015-01-27","24.379999"
"2015-01-28","23.809999"
"2015-01-29","23.440001"
"2015-01-30","23.030001"
"2015-02-02","23.780001"
"2015-02-03","24.240000"
"2015-02-04","23.969999"
"2015-02-05","24.510000"
"2015-02-06","24.490000"
"2015-02-09","24.520000"
"2015-02-10","24.400000"
"2015-02-11","24.340000"
"2015-02-12","24.500000"
"2015-02-13","24.580000"
"2015-02-17","24.879999"
"2015-02-18","24.990000"
"2015-02-19","24.840000"
"2015-02-20","24.990000"
"2015-02-23","24.990000"
"2015-02-24","25.389999"
"2015-02-25","25.209999"
"2015-02-26","25.379999"
"2015-02-27","25.430000"
"2015-03-02","25.639999"
"2015-03-03","25.600000"
"2015-03-04","25.520000"
"2015-03-05","25.809999"
"2015-03-06","25.290001"
"2015-03-09","25.360001"
"2015-03-10","24.780001"
"2015-03-11","24.610001"
"2015-03-12","24.950001"
"2015-03-13","24.490000"
"2015-03-16","24.540001"
"2015-03-17","24.660000"
"2015-03-18","24.790001"
"2015-03-19","24.469999"
"2015-03-20","24.680000"
"2015-03-23","24.780001"
"2015-03-24","24.840000"
"2015-03-25","24.330000"
"2015-03-26","24.190001"
"2015-03-27","24.049999"
"2015-03-30","24.150000"
"2015-03-31","24.020000"
"2015-04-01","24.000000"
"2015-04-02","24.090000"
"2015-04-06","24.330000"
"2015-04-07","24.290001"
"2015-04-08","24.309999"
"2015-04-09","24.230000"
"2015-04-10","24.290001"
"2015-04-13","24.270000"
"2015-04-14","24.360001"
"2015-04-15","24.610001"
"2015-04-16","25.000000"
"2015-04-17","24.730000"
"2015-04-20","24.950001"
"2015-04-21","24.990000"
"2015-04-22","24.980000"
"2015-04-23","25.049999"
"2015-04-24","25.139999"
"2015-04-27","25.090000"
"2015-04-28","25.000000"
"2015-04-29","24.330000"
"2015-04-30","27.110001"
"2015-05-01","26.809999"
"2015-05-04","26.719999"
"2015-05-05","26.379999"
"2015-05-06","26.350000"
"2015-05-07","26.350000"
"2015-05-08","26.379999"
"2015-05-11","26.309999"
"2015-05-12","26.160000"
"2015-05-13","26.360001"
"2015-05-14","26.510000"
"2015-05-15","26.250000"
"2015-05-18","26.450001"
"2015-05-19","26.400000"
"2015-05-20","26.420000"
"2015-05-21","26.570000"
"2015-05-22","26.170000"
"2015-05-26","25.879999"
"2015-05-27","26.160000"
"2015-05-28","26.129999"
"2015-05-29","26.160000"
"2015-06-01","26.160000"
"2015-06-02","26.030001"
"2015-06-03","26.230000"
"2015-06-04","25.840000"
"2015-06-05","25.870001"
"2015-06-08","25.510000"
"2015-06-09","25.690001"
"2015-06-10","26.200001"
"2015-06-11","26.020000"
"2015-06-12","25.879999"
"2015-06-15","25.350000"
"2015-06-16","25.260000"
"2015-06-17","25.080000"
"2015-06-18","25.400000"
"2015-06-19","25.820000"
"2015-06-22","26.020000"
"2015-06-23","26.290001"
"2015-06-24","26.100000"
"2015-06-25","25.830000"
"2015-06-26","26.030001"
"2015-06-29","25.459999"
"2015-06-30","25.639999"
"2015-07-01","25.490000"
"2015-07-02","25.400000"
"2015-07-06","25.440001"
"2015-07-07","25.200001"
"2015-07-08","25.290001"
"2015-07-09","25.309999"
"2015-07-10","25.370001"
"2015-07-13","25.330000"
"2015-07-14","25.580000"
"2015-07-15","25.160000"
"2015-07-16","25.230000"
"2015-07-17","25.690001"
"2015-07-20","25.250000"
"2015-07-21","25.270000"
"2015-07-22","25.320000"
"2015-07-23","25.040001"
"2015-07-24","24.410000"
"2015-07-27","24.530001"
"2015-07-28","24.910000"
"2015-07-29","24.709999"
"2015-07-30","25.370001"
"2015-07-31","26.639999"
"2015-08-03","26.400000"
"2015-08-04","26.799999"
"2015-08-05","26.540001"
"2015-08-06","26.500000"
"2015-08-07","26.299999"
"2015-08-10","26.879999"
"2015-08-11","26.719999"
"2015-08-12","27.240000"
"2015-08-13","27.170000"
"2015-08-14","27.110001"
"2015-08-17","27.129999"
"2015-08-18","27.110001"
"2015-08-19","26.980000"
"2015-08-20","26.360001"
"2015-08-21","26.090000"
"2015-08-24","25.100000"
"2015-08-25","24.799999"
"2015-08-26","25.309999"
"2015-08-27","25.639999"
"2015-08-28","25.980000"
"2015-08-31","25.980000"
"2015-09-01","25.340000"
"2015-09-02","25.600000"
"2015-09-03","25.410000"
"2015-09-04","24.870001"
"2015-09-08","25.070000"
"2015-09-09","25.139999"
"2015-09-10","25.340000"
"2015-09-11","25.270000"
"2015-09-14","25.049999"
"2015-09-15","25.660000"
"2015-09-16","25.709999"
"2015-09-17","25.680000"
"2015-09-18","24.940001"
"2015-09-21","25.379999"
"2015-09-22","24.940001"
"2015-09-23","24.740000"
"2015-09-24","24.879999"
"2015-09-25","24.920000"
"2015-09-28","24.559999"
"2015-09-29","24.240000"
"2015-09-30","24.309999"
"2015-10-01","24.320000"
"2015-10-02","24.420000"
"2015-10-05","25.570000"
"2015-10-06","25.639999"
"2015-10-07","26.139999"
"2015-10-08","26.680000"
"2015-10-09","26.540001"
"2015-10-12","27.230000"
"2015-10-13","26.830000"
"2015-10-14","26.430000"
"2015-10-15","26.660000"
"2015-10-16","26.389999"
"2015-10-19","26.420000"
"2015-10-20","26.610001"
"2015-10-21","26.370001"
"2015-10-22","26.680000"
"2015-10-23","26.790001"
"2015-10-26","26.719999"
"2015-10-27","26.510000"
"2015-10-28","26.650000"
"2015-10-29","26.690001"
"2015-10-30","26.900000"
"2015-11-02","27.000000"
"2015-11-03","27.350000"
"2015-11-04","27.410000"
"2015-11-05","27.010000"
"2015-11-06","27.170000"
"2015-11-09","26.639999"
"2015-11-10","26.660000"
"2015-11-11","26.500000"
"2015-11-12","25.600000"
"2015-11-13","26.440001"
"2015-11-16","26.850000"
"2015-11-17","26.719999"
"2015-11-18","26.950001"
"2015-11-19","27.049999"
"2015-11-20","27.160000"
"2015-11-23","27.049999"
"2015-11-24","27.469999"
"2015-11-25","27.940001"
"2015-11-27","28.020000"
"2015-11-30","27.790001"
"2015-12-01","27.879999"
"2015-12-02","27.780001"
"2015-12-03","27.670000"
"2015-12-04","27.879999"
"2015-12-07","27.370001"
"2015-12-08","27.230000"
"2015-12-09","27.150000"
"2015-12-10","26.950001"
"2015-12-11","26.410000"
"2015-12-14","26.280001"
"2015-12-15","26.520000"
"2015-12-16","27.020000"
"2015-12-17","26.290001"
"2015-12-18","25.709999"
"2015-12-21","25.850000"
"2015-12-22","26.240000"
"2015-12-23","26.469999"
"2015-12-24","26.469999"
"2015-12-28","26.540001"
"2015-12-29","26.790001"
"2015-12-30","26.520000"
"2015-12-31","26.020000"
"2016-01-04","25.600000"
"2016-01-05","25.240000"
"2016-01-06","25.040001"
"2016-01-07","24.459999"
"2016-01-08","24.059999"
"2016-01-11","23.950001"
"2016-01-12","23.930000"
"2016-01-13","23.559999"
"2016-01-14","24.209999"
"2016-01-15","23.680000"
"2016-01-19","23.690001"
"2016-01-20","23.700001"
"2016-01-21","23.209999"
"2016-01-22","23.700001"
"2016-01-25","23.340000"
"2016-01-26","24.450001"
"2016-01-27","23.910000"
"2016-01-28","25.730000"
"2016-01-29","26.490000"
"2016-02-01","26.360001"
"2016-02-02","25.889999"
"2016-02-03","26.350000"
"2016-02-04","26.330000"
"2016-02-05","26.000000"
"2016-02-08","25.920000"
"2016-02-09","25.799999"
"2016-02-10","25.709999"
"2016-02-11","25.299999"
"2016-02-12","25.730000"
"2016-02-16","26.100000"
"2016-02-17","26.660000"
"2016-02-18","26.660000"
"2016-02-19","26.420000"
"2016-02-22","27.440001"
"2016-02-23","27.280001"
"2016-02-24","27.440001"
"2016-02-25","27.370001"
"2016-02-26","27.549999"
