"date, price"
"2014-12-04","35.349998"
"2014-12-05","36.160000"
"2014-12-08","36.240002"
"2014-12-09","36.930000"
"2014-12-10","35.220001"
"2014-12-11","35.509998"
"2014-12-12","35.180000"
"2014-12-15","34.820000"
"2014-12-16","34.959999"
"2014-12-17","36.200001"
"2014-12-18","36.400002"
"2014-12-19","35.709999"
"2014-12-22","36.590000"
"2014-12-23","36.820000"
"2014-12-24","36.639999"
"2014-12-26","37.049999"
"2014-12-29","37.680000"
"2014-12-30","37.470001"
"2014-12-31","37.450001"
"2015-01-02","37.009998"
"2015-01-05","35.790001"
"2015-01-06","34.910000"
"2015-01-07","35.520000"
"2015-01-08","36.500000"
"2015-01-09","35.849998"
"2015-01-12","35.599998"
"2015-01-13","35.930000"
"2015-01-14","35.250000"
"2015-01-15","34.590000"
"2015-01-16","35.349998"
"2015-01-20","34.720001"
"2015-01-21","34.330002"
"2015-01-22","36.490002"
"2015-01-23","36.200001"
"2015-01-26","36.599998"
"2015-01-27","35.590000"
"2015-01-28","34.599998"
"2015-01-29","34.840000"
"2015-01-30","33.810001"
"2015-02-02","35.169998"
"2015-02-03","35.610001"
"2015-02-04","35.189999"
"2015-02-05","35.910000"
"2015-02-06","36.349998"
"2015-02-09","35.849998"
"2015-02-10","36.049999"
"2015-02-11","35.970001"
"2015-02-12","36.840000"
"2015-02-13","36.830002"
"2015-02-17","37.080002"
"2015-02-18","36.650002"
"2015-02-19","36.580002"
"2015-02-20","36.900002"
"2015-02-23","36.919998"
"2015-02-24","37.230000"
"2015-02-25","36.919998"
"2015-02-26","37.570000"
"2015-02-27","37.450001"
"2015-03-02","37.720001"
"2015-03-03","37.270000"
"2015-03-04","37.000000"
"2015-03-05","37.090000"
"2015-03-06","37.209999"
"2015-03-09","37.549999"
"2015-03-10","36.779999"
"2015-03-11","36.869999"
"2015-03-12","37.980000"
"2015-03-13","37.980000"
"2015-03-16","38.230000"
"2015-03-17","38.400002"
"2015-03-18","37.820000"
"2015-03-19","37.910000"
"2015-03-20","38.430000"
"2015-03-23","37.900002"
"2015-03-24","37.750000"
"2015-03-25","37.119999"
"2015-03-26","37.220001"
"2015-03-27","37.090000"
"2015-03-30","37.599998"
"2015-03-31","37.580002"
"2015-04-01","37.500000"
"2015-04-02","37.570000"
"2015-04-06","37.259998"
"2015-04-07","37.349998"
"2015-04-08","37.240002"
"2015-04-09","37.110001"
"2015-04-10","37.250000"
"2015-04-13","37.700001"
"2015-04-14","37.209999"
"2015-04-15","37.590000"
"2015-04-16","37.610001"
"2015-04-17","37.070000"
"2015-04-20","37.480000"
"2015-04-21","37.509998"
"2015-04-22","37.820000"
"2015-04-23","37.939999"
"2015-04-24","37.639999"
"2015-04-27","37.480000"
"2015-04-28","38.410000"
"2015-04-29","38.400002"
"2015-04-30","37.580002"
"2015-05-01","37.340000"
"2015-05-04","37.750000"
"2015-05-05","37.549999"
"2015-05-06","37.790001"
"2015-05-07","37.750000"
"2015-05-08","37.810001"
"2015-05-11","37.970001"
"2015-05-12","37.919998"
"2015-05-13","37.919998"
"2015-05-14","38.080002"
"2015-05-15","37.590000"
"2015-05-18","38.310001"
"2015-05-19","38.570000"
"2015-05-20","38.400002"
"2015-05-21","38.259998"
"2015-05-22","38.000000"
"2015-05-26","37.650002"
"2015-05-27","38.230000"
"2015-05-28","38.160000"
"2015-05-29","37.860001"
"2015-06-01","37.730000"
"2015-06-02","38.049999"
"2015-06-03","38.529999"
"2015-06-04","38.110001"
"2015-06-05","38.840000"
"2015-06-08","38.470001"
"2015-06-09","39.020000"
"2015-06-10","39.209999"
"2015-06-11","39.150002"
"2015-06-12","39.049999"
"2015-06-15","39.099998"
"2015-06-16","39.509998"
"2015-06-17","38.790001"
"2015-06-18","39.240002"
"2015-06-19","39.310001"
"2015-06-22","39.880001"
"2015-06-23","40.049999"
"2015-06-24","39.520000"
"2015-06-25","39.669998"
"2015-06-26","40.029999"
"2015-06-29","39.130001"
"2015-06-30","40.230000"
"2015-07-01","41.939999"
"2015-07-02","40.779999"
"2015-07-06","40.970001"
"2015-07-07","40.849998"
"2015-07-08","40.910000"
"2015-07-09","41.270000"
"2015-07-10","41.820000"
"2015-07-13","42.220001"
"2015-07-14","42.340000"
"2015-07-15","42.639999"
"2015-07-16","42.529999"
"2015-07-17","42.450001"
"2015-07-20","42.720001"
"2015-07-21","42.480000"
"2015-07-22","43.029999"
"2015-07-23","42.340000"
"2015-07-24","41.919998"
"2015-07-27","41.669998"
"2015-07-28","41.650002"
"2015-07-29","40.570000"
"2015-07-30","40.439999"
"2015-07-31","40.529999"
"2015-08-03","40.869999"
"2015-08-04","41.000000"
"2015-08-05","40.959999"
"2015-08-06","40.720001"
"2015-08-07","40.060001"
"2015-08-10","40.470001"
"2015-08-11","40.000000"
