"date, price"
"2014-12-04","125.739998"
"2014-12-05","129.750000"
"2014-12-08","126.989998"
"2014-12-09","127.529999"
"2014-12-10","125.230003"
"2014-12-11","129.440002"
"2014-12-12","128.669998"
"2014-12-15","128.339996"
"2014-12-16","127.279999"
"2014-12-17","130.860001"
"2014-12-18","129.699997"
"2014-12-19","129.220001"
"2014-12-22","128.529999"
"2014-12-23","128.559998"
"2014-12-24","128.179993"
"2014-12-26","127.830002"
"2014-12-29","128.759995"
"2014-12-30","128.770004"
"2014-12-31","127.839996"
"2015-01-02","126.839996"
"2015-01-05","127.150002"
"2015-01-06","126.949997"
"2015-01-07","130.580002"
"2015-01-08","132.240005"
"2015-01-09","131.570007"
"2015-01-12","129.839996"
"2015-01-13","128.809998"
"2015-01-14","128.750000"
"2015-01-15","127.139999"
"2015-01-16","129.720001"
"2015-01-20","127.160004"
"2015-01-21","128.350006"
"2015-01-22","132.559998"
"2015-01-23","135.339996"
"2015-01-26","136.080002"
"2015-01-27","135.839996"
"2015-01-28","133.860001"
"2015-01-29","134.399994"
"2015-01-30","131.940002"
"2015-02-02","130.960007"
"2015-02-03","133.850006"
"2015-02-04","132.000000"
"2015-02-05","133.029999"
"2015-02-06","133.259995"
"2015-02-09","134.970001"
"2015-02-10","137.000000"
"2015-02-11","135.899994"
"2015-02-12","136.070007"
"2015-02-13","136.660004"
"2015-02-17","135.910004"
"2015-02-18","136.619995"
"2015-02-19","136.919998"
"2015-02-20","138.000000"
"2015-02-23","137.250000"
"2015-02-24","138.389999"
"2015-02-25","138.759995"
"2015-02-26","140.589996"
"2015-02-27","140.759995"
"2015-03-02","143.619995"
"2015-03-03","142.029999"
"2015-03-04","139.910004"
"2015-03-05","140.860001"
"2015-03-06","138.589996"
"2015-03-09","140.960007"
"2015-03-10","140.470001"
"2015-03-11","141.960007"
"2015-03-12","144.820007"
"2015-03-13","150.100006"
"2015-03-16","150.179993"
"2015-03-17","150.460007"
"2015-03-18","150.990005"
"2015-03-19","152.289993"
"2015-03-20","152.020004"
"2015-03-23","153.179993"
"2015-03-24","153.770004"
"2015-03-25","151.580002"
"2015-03-26","150.009995"
"2015-03-27","151.199997"
"2015-03-30","151.580002"
"2015-03-31","150.850006"
"2015-04-01","150.979996"
"2015-04-02","151.330002"
"2015-04-06","153.270004"
"2015-04-07","151.449997"
"2015-04-08","152.169998"
"2015-04-09","151.800003"
"2015-04-10","151.679993"
"2015-04-13","152.000000"
"2015-04-14","153.490005"
"2015-04-15","153.559998"
"2015-04-16","154.160004"
"2015-04-17","152.050003"
"2015-04-20","151.589996"
"2015-04-21","152.970001"
"2015-04-22","153.940002"
"2015-04-23","156.990005"
"2015-04-24","157.080002"
"2015-04-27","155.910004"
"2015-04-28","154.470001"
"2015-04-29","151.830002"
"2015-04-30","151.089996"
"2015-05-01","154.270004"
"2015-05-04","153.850006"
"2015-05-05","153.470001"
"2015-05-06","152.039993"
"2015-05-07","153.839996"
"2015-05-08","154.289993"
"2015-05-11","154.270004"
"2015-05-12","153.190002"
"2015-05-13","152.130005"
"2015-05-14","149.830002"
"2015-05-15","151.000000"
"2015-05-18","151.509995"
"2015-05-19","152.139999"
"2015-05-20","150.830002"
"2015-05-21","152.250000"
"2015-05-22","151.240005"
"2015-05-26","150.160004"
"2015-05-27","154.779999"
"2015-05-28","156.270004"
"2015-05-29","152.619995"
"2015-06-01","153.869995"
"2015-06-02","154.350006"
"2015-06-03","156.259995"
"2015-06-04","155.899994"
"2015-06-05","156.279999"
"2015-06-08","153.690002"
"2015-06-09","153.770004"
"2015-06-10","154.979996"
"2015-06-11","155.369995"
"2015-06-12","155.320007"
"2015-06-15","154.570007"
"2015-06-16","155.500000"
"2015-06-17","155.619995"
"2015-06-18","156.479996"
"2015-06-19","154.729996"
"2015-06-22","155.690002"
"2015-06-23","156.360001"
"2015-06-24","155.589996"
"2015-06-25","154.839996"
"2015-06-26","157.979996"
"2015-06-29","153.679993"
"2015-06-30","154.449997"
"2015-07-01","155.419998"
"2015-07-02","156.229996"
"2015-07-06","157.229996"
"2015-07-07","159.419998"
"2015-07-08","158.550003"
"2015-07-09","159.910004"
"2015-07-10","163.110001"
"2015-07-13","166.949997"
"2015-07-14","167.000000"
"2015-07-15","168.250000"
"2015-07-16","167.320007"
"2015-07-17","166.910004"
"2015-07-20","167.940002"
"2015-07-21","166.789993"
"2015-07-22","170.520004"
"2015-07-23","169.220001"
"2015-07-24","169.539993"
"2015-07-27","166.389999"
"2015-07-28","166.009995"
"2015-07-29","166.490005"
"2015-07-30","166.820007"
"2015-07-31","166.029999"
"2015-08-03","165.270004"
"2015-08-04","165.070007"
"2015-08-05","167.009995"
"2015-08-06","164.800003"
"2015-08-07","165.610001"
"2015-08-10","168.360001"
"2015-08-11","168.509995"
"2015-08-12","166.940002"
"2015-08-13","169.279999"
"2015-08-14","171.039993"
"2015-08-17","171.389999"
"2015-08-18","173.320007"
"2015-08-19","172.619995"
"2015-08-20","171.300003"
"2015-08-21","162.570007"
"2015-08-24","158.720001"
"2015-08-25","153.259995"
"2015-08-26","158.050003"
"2015-08-27","160.240005"
"2015-08-28","159.000000"
"2015-08-31","158.089996"
"2015-09-01","153.759995"
"2015-09-02","158.509995"
"2015-09-03","158.929993"
"2015-09-04","157.699997"
"2015-09-08","164.610001"
"2015-09-09","163.399994"
"2015-09-10","164.830002"
"2015-09-11","165.059998"
"2015-09-14","163.000000"
"2015-09-15","164.059998"
"2015-09-16","164.720001"
"2015-09-17","168.139999"
"2015-09-18","167.229996"
"2015-09-21","168.690002"
"2015-09-22","165.779999"
"2015-09-23","168.100006"
"2015-09-24","168.009995"
