"date, price"
"2018-10-03","21.180000"
"2018-10-04","20.959999"
"2018-10-05","20.990000"
"2018-10-08","20.040001"
"2018-10-09","19.940001"
"2018-10-10","20.000000"
"2018-10-11","19.040001"
"2018-10-12","19.209999"
"2018-10-15","19.430000"
"2018-10-16","20.200001"
"2018-10-17","20.100000"
"2018-10-18","19.139999"
"2018-10-19","19.440001"
"2018-10-22","18.950001"
"2018-10-23","18.799999"
"2018-10-24","17.240000"
"2018-10-25","19.500000"
"2018-10-26","18.690001"
"2018-10-29","17.990000"
"2018-10-30","18.840000"
"2018-10-31","19.200001"
"2018-11-01","20.230000"
"2018-11-02","20.260000"
"2018-11-05","19.340000"
"2018-11-06","19.400000"
"2018-11-07","20.290001"
"2018-11-08","18.070000"
"2018-11-09","17.680000"
"2018-11-12","17.700001"
"2018-11-13","18.110001"
"2018-11-14","18.549999"
"2018-11-15","18.740000"
"2018-11-16","19.200001"
"2018-11-19","16.459999"
"2018-11-20","16.100000"
"2018-11-21","16.650000"
"2018-11-23","16.889999"
"2018-11-26","17.000000"
"2018-11-27","16.709999"
"2018-11-28","17.629999"
"2018-11-29","18.049999"
"2018-11-30","18.629999"
"2018-12-03","18.889999"
"2018-12-04","18.389999"
"2018-12-06","18.040001"
"2018-12-07","17.090000"
"2018-12-10","16.590000"
"2018-12-11","16.010000"
"2018-12-12","16.490000"
"2018-12-13","16.870001"
"2018-12-14","17.389999"
"2018-12-17","18.440001"
"2018-12-18","19.440001"
"2018-12-19","20.040001"
"2018-12-20","20.670000"
"2018-12-21","19.559999"
"2018-12-24","18.100000"
"2018-12-26","17.620001"
"2018-12-27","17.900000"
"2018-12-28","17.860001"
"2018-12-31","18.110001"
"2019-01-02","18.530001"
"2019-01-03","17.870001"
"2019-01-04","18.590000"
"2019-01-07","18.700001"
"2019-01-08","19.129999"
"2019-01-09","19.340000"
"2019-01-10","19.000000"
"2019-01-11","18.990000"
"2019-01-14","18.799999"
"2019-01-15","18.969999"
"2019-01-16","19.000000"
"2019-01-17","19.059999"
"2019-01-18","18.940001"
"2019-01-22","18.299999"
"2019-01-23","18.389999"
"2019-01-24","18.900000"
"2019-01-25","18.980000"
"2019-01-28","18.940001"
"2019-01-29","18.879999"
"2019-01-30","18.799999"
"2019-01-31","19.309999"
"2019-02-01","18.580000"
"2019-02-04","18.990000"
"2019-02-05","20.709999"
"2019-02-06","22.170000"
"2019-02-07","21.120001"
