"date, price"
"2014-12-04","129.050003"
"2014-12-05","128.500000"
"2014-12-08","133.800003"
"2014-12-09","134.800003"
"2014-12-10","131.419998"
"2014-12-11","131.229996"
"2014-12-12","129.369995"
"2014-12-15","128.850006"
"2014-12-16","126.040001"
"2014-12-17","127.500000"
"2014-12-18","131.110001"
"2014-12-19","133.559998"
"2014-12-22","133.820007"
"2014-12-23","127.820000"
"2014-12-24","130.220001"
"2014-12-26","131.949997"
"2014-12-29","132.050003"
"2014-12-30","130.800003"
"2014-12-31","129.490005"
"2015-01-02","127.730003"
"2015-01-05","126.830002"
"2015-01-06","124.930000"
"2015-01-07","125.800003"
"2015-01-08","128.130005"
"2015-01-09","129.000000"
"2015-01-12","132.289993"
"2015-01-13","134.710007"
"2015-01-14","135.850006"
"2015-01-15","137.839996"
"2015-01-16","141.089996"
"2015-01-20","146.479996"
"2015-01-21","146.699997"
"2015-01-22","147.410004"
"2015-01-23","145.300003"
"2015-01-26","146.460007"
"2015-01-27","147.190002"
"2015-01-28","144.110001"
"2015-01-29","142.570007"
"2015-01-30","141.130005"
"2015-02-02","141.960007"
"2015-02-03","141.990005"
"2015-02-04","140.550003"
"2015-02-05","141.919998"
"2015-02-06","141.910004"
"2015-02-09","142.600006"
"2015-02-10","146.679993"
"2015-02-11","146.820007"
"2015-02-12","147.520004"
"2015-02-13","151.110001"
"2015-02-17","155.139999"
"2015-02-18","155.600006"
"2015-02-19","155.720001"
"2015-02-20","156.009995"
"2015-02-23","154.350006"
"2015-02-24","155.160004"
"2015-02-25","157.919998"
"2015-02-26","155.580002"
"2015-02-27","155.050003"
"2015-03-02","155.419998"
"2015-03-03","157.740005"
"2015-03-04","157.330002"
"2015-03-05","161.360001"
"2015-03-06","160.649994"
"2015-03-09","160.440002"
"2015-03-10","163.839996"
"2015-03-11","162.869995"
"2015-03-12","163.300003"
"2015-03-13","163.300003"
"2015-03-16","176.479996"
"2015-03-17","177.339996"
"2015-03-18","174.339996"
"2015-03-19","175.820007"
"2015-03-20","178.490005"
"2015-03-23","178.729996"
"2015-03-24","179.509995"
"2015-03-25","167.850006"
"2015-03-26","167.520004"
"2015-03-27","172.960007"
"2015-03-30","176.809998"
"2015-03-31","172.440002"
"2015-04-01","174.410004"
"2015-04-02","174.729996"
"2015-04-06","176.889999"
"2015-04-07","179.339996"
"2015-04-08","183.490005"
"2015-04-09","184.839996"
"2015-04-10","184.440002"
"2015-04-13","186.839996"
"2015-04-14","185.820007"
"2015-04-15","184.970001"
