"date, price"
"2014-12-04","3.310000"
"2014-12-05","3.320000"
"2014-12-08","3.250000"
"2014-12-09","3.280000"
"2014-12-10","3.280000"
"2014-12-11","3.370000"
"2014-12-12","3.330000"
"2014-12-15","3.330000"
"2014-12-16","3.360000"
"2014-12-17","3.430000"
"2014-12-18","3.680000"
"2014-12-19","3.770000"
"2014-12-22","3.800000"
"2014-12-23","3.790000"
"2014-12-24","3.820000"
"2014-12-26","3.920000"
"2014-12-29","3.840000"
"2014-12-30","3.850000"
"2014-12-31","3.810000"
"2015-01-02","3.860000"
"2015-01-05","3.880000"
"2015-01-06","3.820000"
"2015-01-07","3.890000"
"2015-01-08","4.090000"
"2015-01-09","4.070000"
"2015-01-12","4.050000"
"2015-01-13","4.060000"
"2015-01-14","4.170000"
"2015-01-15","4.200000"
"2015-01-16","4.270000"
"2015-01-20","4.450000"
"2015-01-21","4.470000"
"2015-01-22","4.460000"
"2015-01-23","4.480000"
"2015-01-26","4.480000"
"2015-01-27","4.450000"
"2015-01-28","4.370000"
"2015-01-29","4.360000"
"2015-01-30","4.200000"
"2015-02-02","4.420000"
"2015-02-03","4.480000"
"2015-02-04","4.520000"
"2015-02-05","4.440000"
"2015-02-06","4.290000"
"2015-02-09","4.310000"
"2015-02-10","4.320000"
"2015-02-11","4.220000"
"2015-02-12","4.350000"
"2015-02-13","4.370000"
"2015-02-17","4.570000"
"2015-02-18","4.530000"
"2015-02-19","4.530000"
"2015-02-20","4.560000"
"2015-02-23","4.460000"
"2015-02-24","4.570000"
"2015-02-25","4.660000"
"2015-02-26","4.590000"
"2015-02-27","4.540000"
"2015-03-02","4.580000"
"2015-03-03","4.560000"
"2015-03-04","4.540000"
"2015-03-05","4.550000"
"2015-03-06","4.670000"
"2015-03-09","4.610000"
"2015-03-10","4.550000"
"2015-03-11","4.500000"
"2015-03-12","4.530000"
"2015-03-13","4.450000"
"2015-03-16","4.530000"
"2015-03-17","4.510000"
"2015-03-18","4.790000"
"2015-03-19","4.790000"
"2015-03-20","4.870000"
"2015-03-23","5.030000"
"2015-03-24","5.100000"
"2015-03-25","4.820000"
"2015-03-26","4.850000"
"2015-03-27","4.980000"
"2015-03-30","4.930000"
"2015-03-31","4.910000"
"2015-04-01","5.020000"
"2015-04-02","5.170000"
"2015-04-06","5.090000"
"2015-04-07","4.990000"
"2015-04-08","5.000000"
"2015-04-09","4.940000"
"2015-04-10","4.940000"
"2015-04-13","4.870000"
"2015-04-14","4.860000"
"2015-04-15","4.910000"
"2015-04-16","4.910000"
"2015-04-17","4.770000"
"2015-04-20","4.920000"
"2015-04-21","4.960000"
"2015-04-22","4.910000"
"2015-04-23","4.940000"
"2015-04-24","4.900000"
"2015-04-27","4.750000"
"2015-04-28","4.930000"
"2015-04-29","4.800000"
"2015-04-30","4.630000"
"2015-05-01","4.710000"
"2015-05-04","4.650000"
"2015-05-05","4.730000"
"2015-05-06","4.770000"
"2015-05-07","4.580000"
"2015-05-08","4.570000"
"2015-05-11","4.540000"
"2015-05-12","4.580000"
"2015-05-13","4.560000"
"2015-05-14","4.620000"
"2015-05-15","4.640000"
"2015-05-18","4.800000"
"2015-05-19","4.570000"
"2015-05-20","4.580000"
"2015-05-21","4.570000"
"2015-05-22","4.570000"
"2015-05-26","4.520000"
"2015-05-27","4.630000"
"2015-05-28","4.730000"
"2015-05-29","4.660000"
"2015-06-01","4.600000"
"2015-06-02","4.830000"
"2015-06-03","4.910000"
"2015-06-04","4.890000"
"2015-06-05","4.930000"
"2015-06-08","4.800000"
"2015-06-09","4.720000"
"2015-06-10","4.910000"
"2015-06-11","4.920000"
"2015-06-12","4.890000"
"2015-06-15","4.790000"
"2015-06-16","4.850000"
"2015-06-17","4.730000"
"2015-06-18","4.810000"
"2015-06-19","4.860000"
"2015-06-22","4.870000"
"2015-06-23","4.930000"
"2015-06-24","4.970000"
"2015-06-25","5.010000"
"2015-06-26","5.010000"
"2015-06-29","4.860000"
"2015-06-30","4.910000"
"2015-07-01","4.910000"
"2015-07-02","4.820000"
"2015-07-06","4.740000"
"2015-07-07","4.700000"
"2015-07-08","4.680000"
"2015-07-09","4.730000"
"2015-07-10","4.920000"
"2015-07-13","5.010000"
"2015-07-14","4.810000"
"2015-07-15","4.850000"
"2015-07-16","5.030000"
"2015-07-17","5.020000"
"2015-07-20","5.010000"
"2015-07-21","5.140000"
"2015-07-22","5.150000"
"2015-07-23","5.150000"
"2015-07-24","5.110000"
"2015-07-27","5.170000"
"2015-07-28","5.150000"
"2015-07-29","5.170000"
"2015-07-30","6.230000"
"2015-07-31","6.390000"
"2015-08-03","6.240000"
"2015-08-04","6.260000"
"2015-08-05","6.410000"
"2015-08-06","6.220000"
"2015-08-07","6.240000"
"2015-08-10","6.410000"
"2015-08-11","6.250000"
"2015-08-12","6.200000"
"2015-08-13","6.200000"
"2015-08-14","6.240000"
"2015-08-17","6.290000"
