"date, price"
"2014-12-04","35.119999"
"2014-12-05","35.790001"
"2014-12-08","35.799999"
"2014-12-09","35.080002"
"2014-12-10","34.639999"
"2014-12-11","34.860001"
"2014-12-12","33.560001"
"2014-12-15","33.299999"
"2014-12-16","33.950001"
"2014-12-17","34.430000"
"2014-12-18","35.340000"
"2014-12-19","35.090000"
"2014-12-22","35.049999"
"2014-12-23","34.700001"
"2014-12-24","34.650002"
"2014-12-26","34.849998"
"2014-12-29","34.669998"
"2014-12-30","34.389999"
"2014-12-31","34.169998"
"2015-01-02","34.029999"
"2015-01-05","32.830002"
"2015-01-06","32.619999"
"2015-01-07","32.840000"
"2015-01-08","33.990002"
"2015-01-09","34.009998"
"2015-01-12","34.320000"
"2015-01-13","34.490002"
"2015-01-14","34.410000"
"2015-01-15","34.320000"
"2015-01-16","34.590000"
"2015-01-20","35.020000"
"2015-01-21","36.029999"
"2015-01-22","36.009998"
"2015-01-23","35.930000"
"2015-01-26","36.009998"
"2015-01-27","35.910000"
"2015-01-28","35.540001"
"2015-01-29","35.939999"
"2015-01-30","35.130001"
"2015-02-02","35.180000"
"2015-02-03","35.910000"
"2015-02-04","35.750000"
"2015-02-05","35.180000"
"2015-02-06","35.090000"
"2015-02-09","34.700001"
"2015-02-10","35.240002"
"2015-02-11","35.029999"
"2015-02-12","35.709999"
"2015-02-13","35.849998"
"2015-02-17","35.470001"
"2015-02-18","34.849998"
"2015-02-19","35.220001"
"2015-02-20","35.910000"
"2015-02-23","35.980000"
"2015-02-24","34.810001"
"2015-02-25","34.599998"
"2015-02-26","34.580002"
"2015-02-27","34.560001"
"2015-03-02","34.580002"
"2015-03-03","34.619999"
"2015-03-04","34.599998"
"2015-03-05","34.369999"
"2015-03-06","32.970001"
"2015-03-09","33.020000"
"2015-03-10","32.450001"
"2015-03-11","32.299999"
"2015-03-12","32.400002"
"2015-03-13","32.369999"
"2015-03-16","32.900002"
"2015-03-17","32.700001"
"2015-03-18","33.529999"
"2015-03-19","33.150002"
"2015-03-20","33.959999"
"2015-03-23","33.880001"
"2015-03-24","33.549999"
"2015-03-25","33.240002"
"2015-03-26","33.200001"
"2015-03-27","33.459999"
"2015-03-30","33.220001"
"2015-03-31","32.680000"
"2015-04-01","32.709999"
"2015-04-02","32.889999"
"2015-04-06","33.029999"
"2015-04-07","33.169998"
"2015-04-08","33.200001"
"2015-04-09","33.220001"
"2015-04-10","33.529999"
"2015-04-13","33.349998"
"2015-04-14","33.939999"
"2015-04-15","33.820000"
"2015-04-16","33.959999"
"2015-04-17","33.889999"
"2015-04-20","33.990002"
"2015-04-21","33.950001"
"2015-04-22","34.200001"
"2015-04-23","34.680000"
"2015-04-24","35.200001"
"2015-04-27","35.169998"
"2015-04-28","35.250000"
"2015-04-29","35.619999"
"2015-04-30","35.200001"
"2015-05-01","34.930000"
"2015-05-04","35.029999"
"2015-05-05","34.750000"
"2015-05-06","35.270000"
"2015-05-07","35.220001"
"2015-05-08","35.849998"
"2015-05-11","36.380001"
"2015-05-12","36.470001"
"2015-05-13","36.900002"
"2015-05-14","36.930000"
"2015-05-15","37.040001"
"2015-05-18","36.509998"
"2015-05-19","36.200001"
"2015-05-20","37.139999"
"2015-05-21","38.680000"
"2015-05-22","39.209999"
"2015-05-26","38.650002"
"2015-05-27","38.650002"
"2015-05-28","39.180000"
"2015-05-29","39.029999"
"2015-06-01","38.810001"
"2015-06-02","38.650002"
"2015-06-03","38.250000"
"2015-06-04","37.709999"
"2015-06-05","37.049999"
"2015-06-08","37.220001"
"2015-06-09","37.180000"
"2015-06-10","36.540001"
"2015-06-11","36.619999"
"2015-06-12","36.369999"
"2015-06-15","36.029999"
"2015-06-16","36.520000"
"2015-06-17","36.270000"
"2015-06-18","37.070000"
"2015-06-19","36.950001"
"2015-06-22","37.590000"
"2015-06-23","37.799999"
"2015-06-24","37.470001"
"2015-06-25","37.480000"
"2015-06-26","37.200001"
"2015-06-29","36.509998"
"2015-06-30","36.450001"
"2015-07-01","36.529999"
"2015-07-02","36.680000"
"2015-07-06","35.980000"
"2015-07-07","35.639999"
"2015-07-08","35.119999"
"2015-07-09","35.389999"
"2015-07-10","36.459999"
"2015-07-13","36.580002"
"2015-07-14","36.990002"
"2015-07-15","36.779999"
"2015-07-16","37.040001"
"2015-07-17","37.020000"
"2015-07-20","37.209999"
"2015-07-21","36.610001"
"2015-07-22","36.439999"
"2015-07-23","36.189999"
"2015-07-24","36.910000"
"2015-07-27","36.610001"
"2015-07-28","36.869999"
"2015-07-29","37.610001"
"2015-07-30","37.770000"
"2015-07-31","37.779999"
"2015-08-03","37.560001"
"2015-08-04","37.630001"
"2015-08-05","38.250000"
"2015-08-06","37.939999"
"2015-08-07","37.709999"
"2015-08-10","37.970001"
"2015-08-11","37.560001"
"2015-08-12","37.419998"
"2015-08-13","37.299999"
"2015-08-14","37.529999"
"2015-08-17","37.450001"
"2015-08-18","37.549999"
"2015-08-19","36.970001"
"2015-08-20","36.180000"
"2015-08-21","34.820000"
"2015-08-24","33.400002"
"2015-08-25","33.340000"
"2015-08-26","34.240002"
"2015-08-27","34.820000"
"2015-08-28","34.849998"
"2015-08-31","34.480000"
"2015-09-01","33.660000"
"2015-09-02","34.349998"
"2015-09-03","34.419998"
"2015-09-04","33.889999"
"2015-09-08","35.119999"
"2015-09-09","34.869999"
"2015-09-10","35.209999"
"2015-09-11","34.689999"
"2015-09-14","34.290001"
"2015-09-15","33.740002"
"2015-09-16","34.200001"
"2015-09-17","33.849998"
"2015-09-18","33.669998"
"2015-09-21","33.770000"
"2015-09-22","32.959999"
"2015-09-23","33.009998"
"2015-09-24","32.720001"
"2015-09-25","32.820000"
"2015-09-28","31.120001"
"2015-09-29","30.900000"
"2015-09-30","31.740000"
"2015-10-01","31.000000"
"2015-10-02","31.889999"
"2015-10-05","32.380001"
"2015-10-06","32.389999"
"2015-10-07","32.090000"
"2015-10-08","32.410000"
"2015-10-09","32.320000"
"2015-10-12","32.310001"
"2015-10-13","31.790001"
"2015-10-14","31.760000"
"2015-10-15","32.029999"
"2015-10-16","32.240002"
"2015-10-19","32.139999"
"2015-10-20","32.200001"
"2015-10-21","31.930000"
"2015-10-22","33.209999"
"2015-10-23","33.380001"
"2015-10-26","33.270000"
"2015-10-27","32.959999"
"2015-10-28","33.400002"
