"date, price"
"2014-12-04","67.900002"
"2014-12-05","68.599998"
"2014-12-08","67.730003"
"2014-12-09","68.589996"
"2014-12-10","68.150002"
"2014-12-11","73.010002"
"2014-12-12","74.500000"
"2014-12-15","73.440002"
"2014-12-16","72.389999"
"2014-12-17","71.989998"
"2014-12-18","74.379997"
"2014-12-19","73.230003"
"2014-12-22","74.269997"
"2014-12-23","76.510002"
"2014-12-24","76.669998"
"2014-12-26","76.459999"
"2014-12-29","76.790001"
"2014-12-30","76.050003"
"2014-12-31","76.199997"
"2015-01-02","76.000000"
"2015-01-05","74.500000"
"2015-01-06","74.690002"
"2015-01-07","76.599998"
"2015-01-08","77.550003"
"2015-01-09","75.669998"
"2015-01-12","75.699997"
"2015-01-13","75.260002"
"2015-01-14","74.989998"
"2015-01-15","74.779999"
"2015-01-16","76.029999"
"2015-01-20","76.050003"
"2015-01-21","75.589996"
"2015-01-22","76.019997"
"2015-01-23","75.589996"
"2015-01-26","75.839996"
"2015-01-27","74.930000"
"2015-01-28","73.769997"
"2015-01-29","74.570000"
"2015-01-30","73.750000"
"2015-02-02","74.889999"
"2015-02-03","74.790001"
"2015-02-04","74.669998"
"2015-02-05","74.790001"
"2015-02-06","76.150002"
"2015-02-09","76.400002"
"2015-02-10","76.690002"
"2015-02-11","79.529999"
"2015-02-12","79.959999"
"2015-02-13","78.730003"
"2015-02-17","78.000000"
"2015-02-18","77.790001"
"2015-02-19","77.099998"
"2015-02-20","77.129997"
"2015-02-23","78.589996"
"2015-02-24","80.389999"
"2015-02-25","80.010002"
"2015-02-26","81.650002"
"2015-02-27","83.080002"
"2015-03-02","83.620003"
"2015-03-03","83.209999"
"2015-03-04","83.019997"
"2015-03-05","83.199997"
"2015-03-06","82.349998"
"2015-03-09","83.500000"
"2015-03-10","82.720001"
"2015-03-11","82.510002"
"2015-03-12","84.250000"
"2015-03-13","83.720001"
"2015-03-16","86.769997"
"2015-03-17","86.260002"
"2015-03-18","87.180000"
"2015-03-19","87.360001"
"2015-03-20","88.230003"
"2015-03-23","87.919998"
"2015-03-24","88.000000"
"2015-03-25","85.879997"
"2015-03-26","84.440002"
"2015-03-27","85.290001"
"2015-03-30","85.989998"
"2015-03-31","84.680000"
"2015-04-01","84.260002"
"2015-04-02","85.970001"
"2015-04-06","88.010002"
"2015-04-07","87.279999"
"2015-04-08","87.680000"
"2015-04-09","92.620003"
"2015-04-10","92.019997"
"2015-04-13","91.709999"
"2015-04-14","91.980003"
"2015-04-15","91.540001"
"2015-04-16","89.519997"
"2015-04-17","86.959999"
"2015-04-20","87.120003"
"2015-04-21","87.089996"
"2015-04-22","87.019997"
"2015-04-23","86.690002"
"2015-04-24","85.980003"
"2015-04-27","86.120003"
"2015-04-28","86.080002"
"2015-04-29","84.570000"
"2015-04-30","82.930000"
"2015-05-01","83.459999"
"2015-05-04","84.129997"
"2015-05-05","83.139999"
"2015-05-06","83.099998"
"2015-05-07","84.230003"
"2015-05-08","85.019997"
"2015-05-11","84.250000"
"2015-05-12","84.180000"
"2015-05-13","84.070000"
"2015-05-14","85.349998"
"2015-05-15","86.470001"
"2015-05-18","86.360001"
"2015-05-19","85.839996"
"2015-05-20","84.889999"
"2015-05-21","87.139999"
"2015-05-22","86.449997"
"2015-05-26","85.550003"
"2015-05-27","86.180000"
"2015-05-28","86.050003"
"2015-05-29","85.839996"
"2015-06-01","85.980003"
"2015-06-02","86.330002"
"2015-06-03","85.820000"
"2015-06-04","85.250000"
"2015-06-05","83.889999"
"2015-06-08","83.260002"
"2015-06-09","84.169998"
"2015-06-10","85.489998"
"2015-06-11","85.790001"
"2015-06-12","85.059998"
"2015-06-15","84.419998"
"2015-06-16","85.879997"
"2015-06-17","85.620003"
"2015-06-18","87.800003"
"2015-06-19","88.519997"
"2015-06-22","87.750000"
"2015-06-23","87.089996"
"2015-06-24","86.150002"
"2015-06-25","86.360001"
"2015-06-26","86.769997"
"2015-06-29","84.279999"
"2015-06-30","84.440002"
"2015-07-01","85.769997"
"2015-07-02","85.809998"
"2015-07-06","85.389999"
"2015-07-07","87.250000"
