"date, price"
"2014-12-04","8.680000"
"2014-12-05","8.780000"
"2014-12-08","8.820000"
"2014-12-09","8.800000"
"2014-12-10","8.660000"
"2014-12-11","8.680000"
"2014-12-12","8.710000"
"2014-12-15","8.620000"
"2014-12-16","8.510000"
"2014-12-17","8.630000"
"2014-12-18","8.810000"
"2014-12-19","8.640000"
"2014-12-22","8.750000"
"2014-12-23","8.850000"
"2014-12-24","8.990000"
"2014-12-26","8.920000"
"2014-12-29","9.070000"
"2014-12-30","9.150000"
"2014-12-31","9.030000"
"2015-01-02","9.060000"
"2015-01-05","8.970000"
"2015-01-06","8.960000"
"2015-01-07","9.460000"
"2015-01-08","9.680000"
"2015-01-09","9.930000"
"2015-01-12","9.930000"
"2015-01-13","9.970000"
"2015-01-14","10.040000"
"2015-01-15","9.930000"
"2015-01-16","10.040000"
"2015-01-20","10.230000"
"2015-01-21","10.230000"
"2015-01-22","10.460000"
"2015-01-23","10.530000"
"2015-01-26","10.530000"
"2015-01-27","10.560000"
"2015-01-28","10.470000"
"2015-01-29","10.590000"
"2015-01-30","10.540000"
"2015-02-02","10.410000"
"2015-02-03","11.310000"
"2015-02-04","10.910000"
"2015-02-05","11.020000"
"2015-02-06","11.030000"
"2015-02-09","10.830000"
"2015-02-10","10.930000"
"2015-02-11","10.900000"
"2015-02-12","11.110000"
"2015-02-13","10.950000"
"2015-02-17","11.040000"
"2015-02-18","11.270000"
"2015-02-19","11.270000"
"2015-02-20","11.260000"
"2015-02-23","11.290000"
"2015-02-24","11.350000"
"2015-02-25","11.390000"
"2015-02-26","11.310000"
"2015-02-27","11.090000"
"2015-03-02","11.250000"
"2015-03-03","11.000000"
"2015-03-04","11.020000"
"2015-03-05","11.040000"
"2015-03-06","10.840000"
"2015-03-09","10.930000"
"2015-03-10","10.750000"
"2015-03-11","10.820000"
"2015-03-12","11.040000"
"2015-03-13","10.860000"
"2015-03-16","10.830000"
"2015-03-17","11.050000"
"2015-03-18","11.050000"
