"date, price"
"2014-12-04","21.150000"
"2014-12-05","21.770000"
"2014-12-08","21.469999"
"2014-12-09","21.870001"
"2014-12-10","21.879999"
"2014-12-11","21.910000"
"2014-12-12","21.590000"
"2014-12-15","20.940001"
"2014-12-16","19.540001"
"2014-12-17","19.900000"
"2014-12-18","20.600000"
"2014-12-19","20.709999"
"2014-12-22","20.690001"
"2014-12-23","21.120001"
"2014-12-24","20.860001"
"2014-12-26","21.260000"
"2014-12-29","20.799999"
"2014-12-30","20.830000"
"2014-12-31","21.000000"
"2015-01-02","21.049999"
"2015-01-05","20.490000"
"2015-01-06","20.540001"
"2015-01-07","21.330000"
"2015-01-08","21.330000"
"2015-01-09","20.080000"
"2015-01-12","19.670000"
"2015-01-13","18.740000"
"2015-01-14","18.700001"
"2015-01-15","18.350000"
"2015-01-16","18.270000"
"2015-01-20","19.100000"
"2015-01-21","18.670000"
"2015-01-22","19.450001"
"2015-01-23","20.170000"
"2015-01-26","20.320000"
"2015-01-27","20.549999"
"2015-01-28","19.940001"
"2015-01-29","20.110001"
"2015-01-30","19.780001"
"2015-02-02","18.629999"
"2015-02-03","18.820000"
"2015-02-04","19.160000"
"2015-02-05","19.260000"
"2015-02-06","19.459999"
"2015-02-09","18.590000"
"2015-02-10","18.600000"
"2015-02-11","19.209999"
"2015-02-12","19.100000"
"2015-02-13","18.840000"
"2015-02-17","18.709999"
"2015-02-18","18.860001"
"2015-02-19","19.219999"
"2015-02-20","19.650000"
"2015-02-23","19.209999"
"2015-02-24","19.020000"
"2015-02-25","18.910000"
"2015-02-26","18.629999"
"2015-02-27","18.330000"
"2015-03-02","18.230000"
"2015-03-03","17.670000"
"2015-03-04","17.469999"
"2015-03-05","18.299999"
"2015-03-06","17.799999"
"2015-03-09","17.750000"
"2015-03-10","17.670000"
"2015-03-11","17.639999"
"2015-03-12","17.959999"
"2015-03-13","17.770000"
"2015-03-16","17.410000"
"2015-03-17","17.709999"
"2015-03-18","19.000000"
"2015-03-19","19.000000"
"2015-03-20","18.959999"
"2015-03-23","18.940001"
"2015-03-24","18.670000"
"2015-03-25","18.340000"
"2015-03-26","18.240000"
"2015-03-27","18.379999"
"2015-03-30","18.790001"
"2015-03-31","19.160000"
"2015-04-01","18.969999"
"2015-04-02","19.100000"
"2015-04-06","19.340000"
"2015-04-07","19.450001"
"2015-04-08","19.760000"
"2015-04-09","20.040001"
"2015-04-10","20.480000"
"2015-04-13","20.100000"
"2015-04-14","20.820000"
"2015-04-15","20.750000"
"2015-04-16","20.459999"
"2015-04-17","20.459999"
"2015-04-20","20.639999"
"2015-04-21","20.660000"
"2015-04-22","21.020000"
"2015-04-23","20.879999"
"2015-04-24","20.580000"
"2015-04-27","20.430000"
"2015-04-28","20.490000"
"2015-04-29","20.000000"
"2015-04-30","19.469999"
"2015-05-01","20.430000"
"2015-05-04","20.160000"
"2015-05-05","19.709999"
"2015-05-06","22.459999"
"2015-05-07","23.520000"
"2015-05-08","23.750000"
"2015-05-11","23.510000"
"2015-05-12","23.600000"
"2015-05-13","23.840000"
"2015-05-14","23.860001"
"2015-05-15","23.559999"
"2015-05-18","23.850000"
"2015-05-19","24.650000"
"2015-05-20","25.389999"
"2015-05-21","25.230000"
"2015-05-22","24.920000"
"2015-05-26","24.280001"
"2015-05-27","25.000000"
"2015-05-28","24.950001"
"2015-05-29","24.910000"
"2015-06-01","24.879999"
"2015-06-02","24.950001"
"2015-06-03","25.080000"
"2015-06-04","24.879999"
"2015-06-05","24.980000"
"2015-06-08","24.879999"
"2015-06-09","24.770000"
"2015-06-10","24.920000"
"2015-06-11","24.389999"
"2015-06-12","24.500000"
"2015-06-15","23.629999"
"2015-06-16","24.469999"
"2015-06-17","24.080000"
"2015-06-18","24.700001"
"2015-06-19","24.559999"
"2015-06-22","24.610001"
"2015-06-23","24.660000"
"2015-06-24","24.219999"
"2015-06-25","24.559999"
"2015-06-26","24.049999"
"2015-06-29","23.260000"
"2015-06-30","23.620001"
"2015-07-01","23.580000"
"2015-07-02","23.280001"
"2015-07-06","23.160000"
"2015-07-07","23.600000"
"2015-07-08","23.190001"
"2015-07-09","23.270000"
"2015-07-10","23.879999"
"2015-07-13","23.910000"
"2015-07-14","24.830000"
"2015-07-15","25.850000"
"2015-07-16","25.230000"
"2015-07-17","25.610001"
"2015-07-20","27.010000"
"2015-07-21","27.139999"
"2015-07-22","27.000000"
"2015-07-23","27.389999"
"2015-07-24","27.059999"
"2015-07-27","27.200001"
"2015-07-28","27.030001"
"2015-07-29","27.010000"
"2015-07-30","27.750000"
"2015-07-31","28.000000"
"2015-08-03","27.840000"
"2015-08-04","27.400000"
"2015-08-05","22.870001"
"2015-08-06","21.709999"
"2015-08-07","21.549999"
"2015-08-10","22.450001"
"2015-08-11","22.250000"
"2015-08-12","21.740000"
"2015-08-13","21.920000"
"2015-08-14","22.160000"
"2015-08-17","22.820000"
"2015-08-18","22.320000"
"2015-08-19","22.410000"
"2015-08-20","22.070000"
"2015-08-21","21.950001"
"2015-08-24","20.980000"
"2015-08-25","20.459999"
"2015-08-26","20.340000"
"2015-08-27","20.139999"
"2015-08-28","20.549999"
"2015-08-31","19.750000"
"2015-09-01","18.900000"
"2015-09-02","19.719999"
"2015-09-03","19.809999"
"2015-09-04","19.770000"
"2015-09-08","19.820000"
"2015-09-09","19.680000"
"2015-09-10","19.900000"
"2015-09-11","19.770000"
"2015-09-14","19.620001"
"2015-09-15","19.650000"
"2015-09-16","19.500000"
"2015-09-17","19.920000"
"2015-09-18","20.270000"
"2015-09-21","19.830000"
"2015-09-22","19.059999"
"2015-09-23","19.209999"
"2015-09-24","18.870001"
"2015-09-25","18.139999"
"2015-09-28","17.510000"
"2015-09-29","17.280001"
"2015-09-30","17.420000"
"2015-10-01","17.500000"
"2015-10-02","18.950001"
"2015-10-05","19.620001"
"2015-10-06","19.910000"
"2015-10-07","20.000000"
"2015-10-08","20.129999"
"2015-10-09","20.240000"
"2015-10-12","20.070000"
"2015-10-13","19.980000"
"2015-10-14","20.030001"
"2015-10-15","20.879999"
"2015-10-16","21.299999"
"2015-10-19","21.260000"
"2015-10-20","21.549999"
"2015-10-21","21.430000"
"2015-10-22","21.740000"
"2015-10-23","21.830000"
"2015-10-26","22.180000"
"2015-10-27","21.709999"
"2015-10-28","22.170000"
"2015-10-29","22.020000"
"2015-10-30","22.120001"
"2015-11-02","23.080000"
"2015-11-03","21.670000"
"2015-11-04","22.629999"
"2015-11-05","22.740000"
"2015-11-06","23.180000"
"2015-11-09","23.139999"
"2015-11-10","22.920000"
"2015-11-11","23.059999"
"2015-11-12","22.950001"
"2015-11-13","22.730000"
"2015-11-16","22.969999"
"2015-11-17","23.090000"
"2015-11-18","23.870001"
"2015-11-19","24.469999"
"2015-11-20","24.520000"
"2015-11-23","24.670000"
