"date, price"
"2014-12-04","52.869564"
"2014-12-05","52.939129"
"2014-12-08","51.356522"
"2014-12-09","52.721741"
"2014-12-10","52.226086"
"2014-12-11","52.443478"
"2014-12-12","51.156521"
"2014-12-15","52.513042"
"2014-12-16","51.939129"
"2014-12-17","52.756523"
"2014-12-18","54.200001"
"2014-12-19","54.400002"
"2014-12-22","55.321739"
"2014-12-23","55.286957"
"2014-12-24","54.886955"
"2014-12-26","55.017391"
"2014-12-29","54.513042"
"2014-12-30","54.521740"
"2014-12-31","53.913044"
"2015-01-02","53.260872"
"2015-01-05","52.400002"
"2015-01-06","51.965218"
"2015-01-07","52.173912"
"2015-01-08","53.200001"
"2015-01-09","53.182610"
"2015-01-12","53.426086"
"2015-01-13","53.660870"
"2015-01-14","53.165218"
"2015-01-15","52.208694"
"2015-01-16","53.226086"
"2015-01-20","52.008698"
"2015-01-21","51.695652"
"2015-01-22","52.200001"
"2015-01-23","52.460869"
"2015-01-26","52.547825"
"2015-01-27","51.739128"
"2015-01-28","51.252174"
"2015-01-29","51.130436"
"2015-01-30","49.947826"
"2015-02-02","50.252174"
"2015-02-03","51.060871"
"2015-02-04","51.008698"
"2015-02-05","51.469566"
"2015-02-06","51.573914"
"2015-02-09","51.660870"
"2015-02-10","52.052174"
"2015-02-11","51.826088"
"2015-02-12","51.773914"
"2015-02-13","57.243477"
"2015-02-17","57.826088"
"2015-02-18","58.173912"
"2015-02-19","58.208694"
"2015-02-20","58.400002"
"2015-02-23","58.408695"
"2015-02-24","58.591305"
"2015-02-25","58.617390"
"2015-02-26","59.052174"
"2015-02-27","58.478260"
"2015-03-02","59.686958"
"2015-03-03","59.434784"
"2015-03-04","59.634785"
"2015-03-05","59.808697"
"2015-03-06","58.739128"
"2015-03-09","59.026089"
"2015-03-10","57.991302"
"2015-03-11","58.286957"
"2015-03-12","58.913044"
"2015-03-13","58.643478"
"2015-03-16","59.191303"
"2015-03-17","58.895653"
"2015-03-18","59.973911"
"2015-03-19","60.556522"
"2015-03-20","60.930435"
"2015-03-23","61.069565"
"2015-03-24","60.826088"
"2015-03-25","57.956524"
"2015-03-26","58.173912"
"2015-03-27","58.669563"
"2015-03-30","59.478260"
"2015-03-31","57.113045"
"2015-04-01","57.782608"
"2015-04-02","58.434784"
"2015-04-06","59.078262"
"2015-04-07","58.347824"
"2015-04-08","58.834782"
"2015-04-09","58.382610"
"2015-04-10","59.339130"
"2015-04-13","59.139130"
"2015-04-14","59.521740"
"2015-04-15","59.443478"
"2015-04-16","59.895653"
"2015-04-17","58.626087"
"2015-04-20","60.652176"
"2015-04-21","61.826088"
"2015-04-22","61.495651"
"2015-04-23","61.756523"
"2015-04-24","61.782608"
"2015-04-27","60.982609"
"2015-04-28","61.130436"
"2015-04-29","60.678261"
"2015-04-30","60.321739"
"2015-05-01","60.382610"
"2015-05-04","59.782608"
"2015-05-05","58.452175"
"2015-05-06","58.565216"
"2015-05-07","58.043476"
"2015-05-08","57.939129"
"2015-05-11","58.608696"
"2015-05-12","58.243477"
"2015-05-13","58.173912"
"2015-05-14","58.660870"
"2015-05-15","58.443478"
"2015-05-18","59.000000"
"2015-05-19","58.652176"
"2015-05-20","58.521740"
"2015-05-21","58.843479"
"2015-05-22","58.182610"
"2015-05-26","57.417393"
"2015-05-27","58.313042"
"2015-05-28","58.400002"
"2015-05-29","57.747826"
"2015-06-01","57.652176"
"2015-06-02","57.791306"
"2015-06-03","58.408695"
"2015-06-04","57.634785"
"2015-06-05","58.147827"
"2015-06-08","57.739128"
"2015-06-09","57.556522"
"2015-06-10","58.486958"
"2015-06-11","58.652176"
"2015-06-12","58.504349"
"2015-06-15","58.713043"
"2015-06-16","59.313042"
"2015-06-17","59.286957"
"2015-06-18","59.773914"
"2015-06-19","59.565216"
"2015-06-22","60.400002"
"2015-06-23","61.069565"
"2015-06-24","60.469566"
"2015-06-25","60.582607"
"2015-06-26","60.652176"
"2015-06-29","58.756523"
"2015-06-30","59.078262"
"2015-07-01","59.139130"
"2015-07-02","58.382610"
"2015-07-06","57.982609"
"2015-07-07","57.391304"
"2015-07-08","56.991302"
"2015-07-09","57.339130"
"2015-07-10","58.113045"
"2015-07-13","58.713043"
"2015-07-14","59.773914"
"2015-07-15","60.017391"
"2015-07-16","60.286957"
"2015-07-17","60.756523"
"2015-07-20","61.017391"
"2015-07-21","60.373913"
"2015-07-22","60.773914"
"2015-07-23","60.104347"
"2015-07-24","59.269566"
"2015-07-27","58.799999"
