"date, price"
"2018-03-16","33.000000"
"2018-03-19","27.900000"
"2018-03-20","30.379999"
"2018-03-21","31.080000"
"2018-03-22","29.830000"
"2018-03-23","29.430000"
"2018-03-26","27.830000"
"2018-03-27","27.750000"
"2018-03-28","27.530001"
"2018-03-29","28.070000"
"2018-04-02","27.059999"
"2018-04-03","26.799999"
"2018-04-04","27.969999"
"2018-04-05","28.530001"
"2018-04-06","28.219999"
"2018-04-09","26.540001"
"2018-04-10","28.070000"
"2018-04-11","27.709999"
"2018-04-12","27.959999"
"2018-04-13","27.480000"
"2018-04-16","28.990000"
"2018-04-17","28.750000"
"2018-04-18","28.650000"
"2018-04-19","28.030001"
"2018-04-20","27.219999"
"2018-04-23","26.860001"
"2018-04-24","27.139999"
"2018-04-25","28.110001"
"2018-04-26","28.650000"
"2018-04-27","28.709999"
"2018-04-30","29.889999"
"2018-05-01","29.129999"
"2018-05-02","29.950001"
"2018-05-03","27.570000"
"2018-05-04","27.860001"
"2018-05-07","27.650000"
"2018-05-08","27.530001"
"2018-05-09","27.850000"
"2018-05-10","28.180000"
"2018-05-11","29.320000"
"2018-05-14","28.469999"
"2018-05-15","27.410000"
"2018-05-16","27.090000"
"2018-05-17","27.389999"
"2018-05-18","27.280001"
"2018-05-21","27.420000"
"2018-05-22","27.090000"
"2018-05-23","26.559999"
"2018-05-24","26.549999"
"2018-05-25","24.950001"
"2018-05-29","25.629999"
"2018-05-30","25.500000"
"2018-05-31","26.260000"
"2018-06-01","28.180000"
"2018-06-04","29.209999"
"2018-06-05","30.129999"
"2018-06-06","30.650000"
"2018-06-07","37.790001"
"2018-06-08","40.529999"
"2018-06-11","41.250000"
"2018-06-12","38.930000"
"2018-06-13","38.830002"
"2018-06-14","39.389999"
"2018-06-15","41.000000"
"2018-06-18","40.400002"
"2018-06-19","39.160000"
"2018-06-20","37.884998"
"2018-06-21","35.209999"
"2018-06-22","36.630001"
"2018-06-25","36.360001"
"2018-06-26","35.869999"
"2018-06-27","34.610001"
"2018-06-28","35.310001"
"2018-06-29","35.750000"
"2018-07-02","37.080002"
"2018-07-03","36.430000"
"2018-07-05","36.669998"
"2018-07-06","38.009998"
"2018-07-09","39.869999"
"2018-07-10","38.540001"
"2018-07-11","39.119999"
"2018-07-12","40.540001"
"2018-07-13","39.740002"
"2018-07-16","41.119999"
"2018-07-17","41.880001"
"2018-07-18","41.680000"
"2018-07-19","40.380001"
"2018-07-20","39.790001"
"2018-07-23","41.380001"
"2018-07-24","39.810001"
"2018-07-25","41.220001"
"2018-07-26","39.669998"
"2018-07-27","37.380001"
"2018-07-30","36.220001"
"2018-07-31","35.310001"
"2018-08-01","36.060001"
"2018-08-02","37.029999"
"2018-08-03","37.330002"
"2018-08-06","36.590000"
"2018-08-07","37.250000"
"2018-08-08","37.040001"
"2018-08-09","38.290001"
"2018-08-10","38.189999"
"2018-08-13","38.060001"
"2018-08-14","37.520000"
"2018-08-15","36.349998"
"2018-08-16","39.099998"
"2018-08-17","40.290001"
"2018-08-20","39.820000"
"2018-08-21","39.430000"
"2018-08-22","41.720001"
"2018-08-23","42.549999"
"2018-08-24","44.430000"
"2018-08-27","47.259998"
"2018-08-28","47.000000"
"2018-08-29","47.160000"
"2018-08-30","43.900002"
"2018-08-31","42.790001"
"2018-09-04","44.259998"
"2018-09-05","44.070000"
"2018-09-06","41.869999"
"2018-09-07","46.049999"
"2018-09-10","45.759998"
"2018-09-11","42.950001"
"2018-09-12","42.680000"
"2018-09-13","42.439999"
"2018-09-14","42.639999"
"2018-09-17","40.259998"
"2018-09-18","39.750000"
"2018-09-19","37.830002"
"2018-09-20","38.820000"
"2018-09-21","40.130001"
"2018-09-24","41.430000"
"2018-09-25","42.639999"
"2018-09-26","41.970001"
"2018-09-27","41.610001"
"2018-09-28","40.779999"
"2018-10-01","39.930000"
"2018-10-02","37.029999"
"2018-10-03","38.209999"
"2018-10-04","37.810001"
"2018-10-05","37.040001"
"2018-10-08","36.349998"
"2018-10-09","35.730000"
