"date, price"
"2014-12-04","52.380951"
"2014-12-05","52.731327"
"2014-12-08","51.043159"
"2014-12-09","51.186497"
"2014-12-10","49.888515"
"2014-12-11","49.617775"
"2014-12-12","47.778309"
"2014-12-15","48.001274"
"2014-12-16","47.507565"
"2014-12-17","48.765728"
"2014-12-18","50.398151"
"2014-12-19","50.270744"
"2014-12-22","50.645008"
"2014-12-23","51.497055"
"2014-12-24","51.345757"
"2014-12-26","51.465202"
"2014-12-29","51.648354"
"2014-12-30","51.226311"
"2014-12-31","50.804268"
"2015-01-02","50.549450"
"2015-01-05","49.426659"
"2015-01-06","48.041088"
"2015-01-07","48.757763"
"2015-01-08","48.980728"
"2015-01-09","48.662209"
"2015-01-12","48.694061"
"2015-01-13","46.886448"
"2015-01-14","45.811436"
"2015-01-15","45.373466"
"2015-01-16","46.488293"
"2015-01-20","46.958115"
"2015-01-21","46.846630"
"2015-01-22","47.818123"
"2015-01-23","48.550724"
"2015-01-26","48.542763"
"2015-01-27","47.865902"
"2015-01-28","47.133301"
"2015-01-29","48.383499"
"2015-01-30","47.189041"
"2015-02-02","47.937569"
"2015-02-03","49.147953"
"2015-02-04","48.717949"
"2015-02-05","49.100174"
"2015-02-06","49.506290"
"2015-02-09","49.681477"
"2015-02-10","50.461857"
"2015-02-11","50.748528"
"2015-02-12","50.732601"
"2015-02-13","51.369644"
"2015-02-17","51.090939"
"2015-02-18","50.740562"
"2015-02-19","51.194458"
"2015-02-20","51.696129"
"2015-02-23","50.222965"
"2015-02-24","50.684822"
"2015-02-25","51.067047"
"2015-02-26","50.541489"
"2015-02-27","50.708714"
"2015-03-02","50.700748"
"2015-03-03","49.705368"
"2015-03-04","49.370918"
"2015-03-05","49.386845"
"2015-03-06","48.702023"
"2015-03-09","49.012581"
"2015-03-10","47.595158"
"2015-03-11","47.308491"
"2015-03-12","48.295906"
"2015-03-13","47.993313"
"2015-03-16","49.076286"
"2015-03-17","49.100174"
"2015-03-18","49.649628"
"2015-03-19","50.151299"
"2015-03-20","50.796307"
"2015-03-23","50.931679"
"2015-03-24","50.804268"
"2015-03-25","50.047779"
"2015-03-26","50.469818"
"2015-03-27","50.652969"
"2015-03-30","50.979454"
"2015-03-31","50.860008"
"2015-04-01","50.047779"
"2015-04-02","49.514256"
"2015-04-06","50.294632"
"2015-04-07","50.374264"
"2015-04-08","51.258163"
"2015-04-09","51.489090"
"2015-04-10","50.804268"
"2015-04-13","50.549450"
"2015-04-14","50.971493"
"2015-04-15","52.157986"
"2015-04-16","52.070393"
"2015-04-17","50.979454"
"2015-04-20","50.836121"
"2015-04-21","51.138718"
"2015-04-22","51.576683"
"2015-04-23","53.623188"
"2015-04-24","53.344482"
"2015-04-27","53.312630"
"2015-04-28","53.758560"
"2015-04-29","54.562828"
"2015-04-30","53.479855"
"2015-05-01","53.304665"
"2015-05-04","53.193184"
"2015-05-05","52.771141"
"2015-05-06","52.428730"
"2015-05-07","52.516323"
"2015-05-08","53.025959"
"2015-05-11","52.874660"
"2015-05-12","52.651695"
"2015-05-13","52.564102"
"2015-05-14","53.153370"
"2015-05-15","52.245583"
"2015-05-18","52.492435"
"2015-05-19","52.404842"
"2015-05-20","52.540215"
"2015-05-21","52.707436"
"2015-05-22","52.245583"
"2015-05-26","52.078358"
"2015-05-27","52.476509"
"2015-05-28","52.142059"
"2015-05-29","51.767796"
"2015-06-01","52.372990"
"2015-06-02","53.360409"
"2015-06-03","52.771141"
"2015-06-04","52.587994"
"2015-06-05","52.787067"
"2015-06-08","52.548176"
"2015-06-09","51.321869"
"2015-06-10","52.532249"
"2015-06-11","56.051918"
"2015-06-12","57.262302"
"2015-06-15","55.757286"
"2015-06-16","56.012104"
"2015-06-17","55.820992"
"2015-06-18","56.330627"
"2015-06-19","56.147476"
"2015-06-22","56.577480"
"2015-06-23","57.875458"
"2015-06-24","57.079151"
"2015-06-25","57.023411"
"2015-06-26","56.505814"
"2015-06-29","55.574135"
"2015-06-30","55.868771"
"2015-07-01","55.247650"
"2015-07-02","55.398949"
"2015-07-06","54.769867"
"2015-07-07","54.499123"
"2015-07-08","54.069118"
"2015-07-09","54.857460"
"2015-07-10","55.072464"
"2015-07-13","55.836918"
"2015-07-14","56.450073"
"2015-07-15","55.621914"
"2015-07-16","56.043957"
"2015-07-17","55.510433"
"2015-07-20","55.223763"
"2015-07-21","55.446728"
"2015-07-22","55.207836"
"2015-07-23","55.470615"
"2015-07-24","55.168018"
"2015-07-27","54.634495"
"2015-07-28","55.446728"
"2015-07-29","59.937889"
"2015-07-30","60.328079"
"2015-07-31","60.208633"
"2015-08-03","60.415672"
"2015-08-04","60.566971"
