"date, price"
"2014-12-04","40.599998"
"2014-12-05","41.099998"
"2014-12-08","38.150002"
"2014-12-09","40.910000"
"2014-12-10","39.130001"
"2014-12-11","37.849998"
"2014-12-12","37.980000"
"2014-12-15","37.439999"
"2014-12-16","37.270000"
"2014-12-17","38.619999"
"2014-12-18","40.630001"
"2014-12-19","41.950001"
"2014-12-22","42.669998"
"2014-12-23","41.009998"
"2014-12-24","41.599998"
"2014-12-26","41.830002"
"2014-12-29","41.220001"
"2014-12-30","39.849998"
"2014-12-31","39.650002"
"2015-01-02","38.880001"
"2015-01-05","39.049999"
"2015-01-06","37.150002"
"2015-01-07","37.950001"
"2015-01-08","38.549999"
"2015-01-09","37.060001"
"2015-01-12","38.369999"
"2015-01-13","37.450001"
"2015-01-14","37.750000"
"2015-01-15","35.709999"
"2015-01-16","36.650002"
"2015-01-20","36.849998"
"2015-01-21","36.224998"
"2015-01-22","36.119999"
"2015-01-23","36.990002"
"2015-01-26","36.060001"
"2015-01-27","35.799999"
"2015-01-28","34.650002"
"2015-01-29","33.779999"
"2015-01-30","33.869999"
"2015-02-02","34.000000"
"2015-02-03","34.930000"
"2015-02-04","34.049999"
"2015-02-05","36.820000"
"2015-02-06","37.070000"
"2015-02-09","36.090000"
"2015-02-10","40.900002"
"2015-02-11","41.790001"
"2015-02-12","45.689999"
"2015-02-13","52.520000"
"2015-02-17","58.860001"
"2015-02-18","60.320000"
"2015-02-19","64.279999"
"2015-02-20","70.349998"
"2015-02-23","58.419998"
"2015-02-24","60.110001"
"2015-02-25","60.310001"
"2015-02-26","62.459999"
"2015-02-27","59.270000"
"2015-03-02","57.740002"
"2015-03-03","58.020000"
"2015-03-04","59.310001"
"2015-03-05","62.869999"
"2015-03-06","59.779999"
"2015-03-09","57.790001"
"2015-03-10","54.700001"
"2015-03-11","55.599998"
"2015-03-12","51.720001"
"2015-03-13","50.040001"
"2015-03-16","50.500000"
"2015-03-17","53.060001"
"2015-03-18","51.570000"
"2015-03-19","50.410000"
"2015-03-20","48.689999"
"2015-03-23","54.889999"
"2015-03-24","53.049999"
"2015-03-25","50.139999"
"2015-03-26","52.869999"
"2015-03-27","52.230000"
"2015-03-30","54.820000"
"2015-03-31","55.570000"
"2015-04-01","55.410000"
"2015-04-02","53.810001"
"2015-04-06","54.980000"
"2015-04-07","59.450001"
"2015-04-08","58.730000"
"2015-04-09","59.099998"
"2015-04-10","58.790001"
"2015-04-13","58.090000"
"2015-04-14","58.709999"
"2015-04-15","61.660000"
"2015-04-16","61.119999"
"2015-04-17","60.700001"
"2015-04-20","62.639999"
"2015-04-21","66.370003"
"2015-04-22","65.529999"
"2015-04-23","66.620003"
"2015-04-24","66.779999"
"2015-04-27","66.620003"
"2015-04-28","64.930000"
"2015-04-29","66.500000"
"2015-04-30","62.950001"
"2015-05-01","66.919998"
"2015-05-04","66.809998"
"2015-05-05","63.090000"
"2015-05-06","62.680000"
"2015-05-07","61.470001"
"2015-05-08","66.129997"
"2015-05-11","64.320000"
"2015-05-12","60.770000"
"2015-05-13","61.299999"
"2015-05-14","61.500000"
"2015-05-15","60.230000"
"2015-05-18","63.220001"
"2015-05-19","63.160000"
"2015-05-20","63.200001"
"2015-05-21","64.830002"
"2015-05-22","63.540001"
"2015-05-26","62.500000"
"2015-05-27","64.269997"
"2015-05-28","64.260002"
"2015-05-29","62.189999"
"2015-06-01","60.720001"
"2015-06-02","62.110001"
"2015-06-03","62.279999"
"2015-06-04","61.669998"
"2015-06-05","66.239998"
