"date, price"
"2014-12-04","69.269997"
"2014-12-05","68.410004"
"2014-12-08","67.989998"
"2014-12-09","68.110001"
"2014-12-10","67.199997"
"2014-12-11","67.769997"
"2014-12-12","68.139999"
"2014-12-15","68.599998"
"2014-12-16","67.010002"
"2014-12-17","68.059998"
"2014-12-18","69.110001"
"2014-12-19","68.699997"
"2014-12-22","69.089996"
"2014-12-23","70.059998"
"2014-12-24","69.860001"
"2014-12-26","69.570000"
"2014-12-29","70.500000"
"2014-12-30","70.699997"
"2014-12-31","70.379997"
"2015-01-02","70.349998"
"2015-01-05","69.620003"
"2015-01-06","68.669998"
"2015-01-07","70.830002"
"2015-01-08","71.110001"
"2015-01-09","69.459999"
"2015-01-12","69.430000"
"2015-01-13","68.000000"
"2015-01-14","67.370003"
"2015-01-15","66.410004"
"2015-01-16","66.709999"
"2015-01-20","67.250000"
"2015-01-21","67.809998"
"2015-01-22","70.250000"
"2015-01-23","72.070000"
"2015-01-26","70.360001"
"2015-01-27","71.309998"
"2015-01-28","69.959999"
"2015-01-29","70.180000"
"2015-01-30","71.099998"
"2015-02-02","72.230003"
"2015-02-03","74.389999"
"2015-02-04","75.000000"
"2015-02-05","75.919998"
"2015-02-06","75.070000"
"2015-02-09","74.900002"
"2015-02-10","75.709999"
"2015-02-11","76.660004"
"2015-02-12","75.849998"
"2015-02-13","76.820000"
"2015-02-17","76.730003"
"2015-02-18","77.019997"
"2015-02-19","76.699997"
"2015-02-20","77.690002"
"2015-02-23","77.800003"
"2015-02-24","77.470001"
"2015-02-25","79.160004"
"2015-02-26","79.040001"
"2015-02-27","79.680000"
"2015-03-02","79.919998"
"2015-03-03","79.160004"
"2015-03-04","78.839996"
"2015-03-05","79.430000"
"2015-03-06","79.610001"
"2015-03-09","79.699997"
"2015-03-10","79.610001"
"2015-03-11","78.830002"
"2015-03-12","80.889999"
"2015-03-13","81.910004"
"2015-03-16","83.709999"
"2015-03-17","83.320000"
"2015-03-18","83.699997"
"2015-03-19","83.410004"
"2015-03-20","83.809998"
"2015-03-23","83.050003"
"2015-03-24","82.830002"
"2015-03-25","81.169998"
"2015-03-26","81.019997"
"2015-03-27","81.720001"
"2015-03-30","81.809998"
"2015-03-31","81.150002"
"2015-04-01","81.300003"
"2015-04-02","81.120003"
"2015-04-06","80.980003"
"2015-04-07","80.580002"
"2015-04-08","83.529999"
"2015-04-09","82.750000"
"2015-04-10","82.870003"
"2015-04-13","81.820000"
"2015-04-14","81.050003"
"2015-04-15","81.209999"
"2015-04-16","81.029999"
"2015-04-17","79.139999"
"2015-04-20","79.709999"
"2015-04-21","80.779999"
"2015-04-22","80.570000"
"2015-04-23","81.010002"
"2015-04-24","81.139999"
"2015-04-27","80.419998"
"2015-04-28","79.970001"
"2015-04-29","77.470001"
"2015-04-30","76.410004"
"2015-05-01","77.730003"
"2015-05-04","77.309998"
"2015-05-05","76.339996"
"2015-05-06","77.150002"
"2015-05-07","78.010002"
"2015-05-08","79.180000"
"2015-05-11","78.980003"
"2015-05-12","79.209999"
"2015-05-13","77.849998"
"2015-05-14","76.970001"
"2015-05-15","78.370003"
"2015-05-18","78.419998"
"2015-05-19","77.550003"
"2015-05-20","76.260002"
"2015-05-21","78.680000"
"2015-05-22","77.180000"
"2015-05-26","75.500000"
"2015-05-27","76.339996"
"2015-05-28","76.190002"
"2015-05-29","74.989998"
"2015-06-01","76.980003"
"2015-06-02","77.690002"
"2015-06-03","79.080002"
"2015-06-04","78.830002"
"2015-06-05","77.639999"
"2015-06-08","77.110001"
"2015-06-09","77.089996"
"2015-06-10","78.230003"
"2015-06-11","78.629997"
"2015-06-12","78.769997"
"2015-06-15","77.910004"
"2015-06-16","78.550003"
"2015-06-17","79.720001"
"2015-06-18","80.309998"
"2015-06-19","79.559998"
"2015-06-22","80.639999"
"2015-06-23","80.370003"
"2015-06-24","80.570000"
"2015-06-25","80.459999"
"2015-06-26","81.660004"
"2015-06-29","79.349998"
"2015-06-30","78.989998"
"2015-07-01","80.110001"
"2015-07-02","79.809998"
"2015-07-06","80.080002"
"2015-07-07","80.339996"
"2015-07-08","79.220001"
"2015-07-09","78.980003"
"2015-07-10","80.470001"
"2015-07-13","82.110001"
"2015-07-14","82.400002"
"2015-07-15","81.800003"
"2015-07-16","82.180000"
"2015-07-17","81.669998"
"2015-07-20","81.540001"
"2015-07-21","79.820000"
"2015-07-22","79.209999"
"2015-07-23","78.239998"
"2015-07-24","78.529999"
"2015-07-27","77.739998"
"2015-07-28","78.139999"
"2015-07-29","77.589996"
"2015-07-30","77.589996"
"2015-07-31","78.029999"
"2015-08-03","77.660004"
"2015-08-04","77.800003"
"2015-08-05","78.580002"
"2015-08-06","77.599998"
"2015-08-07","77.260002"
"2015-08-10","78.110001"
"2015-08-11","77.690002"
"2015-08-12","77.320000"
"2015-08-13","77.330002"
"2015-08-14","77.779999"
"2015-08-17","78.480003"
"2015-08-18","79.370003"
"2015-08-19","80.919998"
"2015-08-20","80.379997"
"2015-08-21","76.349998"
"2015-08-24","73.709999"
"2015-08-25","73.160004"
"2015-08-26","77.339996"
"2015-08-27","76.790001"
"2015-08-28","76.730003"
"2015-08-31","76.260002"
"2015-09-01","69.650002"
"2015-09-02","67.589996"
"2015-09-03","67.000000"
"2015-09-04","68.089996"
"2015-09-08","68.790001"
"2015-09-09","67.940002"
"2015-09-10","66.059998"
"2015-09-11","66.459999"
"2015-09-14","65.339996"
"2015-09-15","66.239998"
"2015-09-16","67.709999"
"2015-09-17","67.830002"
"2015-09-18","66.650002"
"2015-09-21","67.849998"
"2015-09-22","69.180000"
"2015-09-23","69.889999"
"2015-09-24","69.250000"
"2015-09-25","70.110001"
"2015-09-28","68.699997"
"2015-09-29","66.239998"
"2015-09-30","66.660004"
"2015-10-01","67.440002"
"2015-10-02","66.949997"
"2015-10-05","68.120003"
"2015-10-06","65.190002"
"2015-10-07","62.900002"
"2015-10-08","62.080002"
"2015-10-09","63.360001"
"2015-10-12","63.049999"
"2015-10-13","63.459999"
"2015-10-14","61.380001"
"2015-10-15","62.799999"
"2015-10-16","63.459999"
"2015-10-19","63.830002"
"2015-10-20","64.120003"
"2015-10-21","64.279999"
