"date, price"
"2018-04-27","39.730000"
"2018-04-30","38.630001"
"2018-05-01","39.450001"
"2018-05-02","39.320000"
"2018-05-03","41.959999"
"2018-05-04","41.090000"
"2018-05-07","41.310001"
"2018-05-08","43.220001"
"2018-05-09","44.099998"
"2018-05-10","44.009998"
"2018-05-11","44.369999"
"2018-05-14","44.189999"
"2018-05-15","45.459999"
"2018-05-16","45.230000"
"2018-05-17","44.900002"
"2018-05-18","44.779999"
"2018-05-21","42.980000"
"2018-05-22","43.049999"
"2018-05-23","45.419998"
"2018-05-24","46.799999"
"2018-05-25","46.369999"
"2018-05-29","48.430000"
"2018-05-30","49.990002"
"2018-05-31","49.810001"
"2018-06-01","50.119999"
"2018-06-04","53.650002"
"2018-06-05","54.590000"
"2018-06-06","57.360001"
"2018-06-07","55.990002"
"2018-06-08","57.919998"
"2018-06-11","59.540001"
"2018-06-12","61.820000"
"2018-06-13","63.770000"
"2018-06-14","63.529999"
"2018-06-15","63.950001"
"2018-06-18","63.900002"
"2018-06-19","63.869999"
"2018-06-20","62.459999"
"2018-06-21","57.590000"
"2018-06-22","57.549999"
"2018-06-25","55.000000"
"2018-06-26","56.470001"
"2018-06-27","51.770000"
"2018-06-28","53.040001"
"2018-06-29","52.950001"
"2018-07-02","52.340000"
"2018-07-03","51.970001"
"2018-07-05","54.619999"
"2018-07-06","54.950001"
"2018-07-09","55.349998"
"2018-07-10","52.369999"
"2018-07-11","51.980000"
"2018-07-12","55.369999"
"2018-07-13","55.330002"
"2018-07-16","55.049999"
"2018-07-17","54.090000"
"2018-07-18","53.049999"
"2018-07-19","52.360001"
"2018-07-20","52.209999"
"2018-07-23","55.529999"
"2018-07-24","53.790001"
"2018-07-25","54.689999"
"2018-07-26","55.509998"
"2018-07-27","54.820000"
"2018-07-30","51.709999"
"2018-07-31","53.900002"
"2018-08-01","55.750000"
"2018-08-02","58.910000"
"2018-08-03","57.009998"
"2018-08-06","60.000000"
"2018-08-07","59.889999"
"2018-08-08","61.349998"
"2018-08-09","60.450001"
"2018-08-10","58.200001"
"2018-08-13","56.139999"
"2018-08-14","57.849998"
"2018-08-15","56.150002"
"2018-08-16","57.689999"
"2018-08-17","58.680000"
"2018-08-20","61.220001"
"2018-08-21","62.500000"
"2018-08-22","61.840000"
"2018-08-23","63.900002"
"2018-08-24","65.540001"
"2018-08-27","65.529999"
"2018-08-28","66.300003"
"2018-08-29","67.870003"
"2018-08-30","65.000000"
"2018-08-31","62.439999"
"2018-09-04","64.849998"
"2018-09-05","63.099998"
"2018-09-06","57.849998"
"2018-09-07","56.939999"
"2018-09-10","53.930000"
"2018-09-11","53.959999"
"2018-09-12","57.180000"
"2018-09-13","55.369999"
"2018-09-14","53.790001"
"2018-09-17","52.180000"
"2018-09-18","53.029999"
"2018-09-19","51.730000"
"2018-09-20","52.230000"
"2018-09-21","52.540001"
"2018-09-24","51.830002"
"2018-09-25","53.400002"
"2018-09-26","52.540001"
"2018-09-27","52.820000"
"2018-09-28","52.570000"
"2018-10-01","48.849998"
"2018-10-02","46.400002"
"2018-10-03","47.110001"
"2018-10-04","45.799999"
"2018-10-05","45.270000"
"2018-10-08","43.230000"
"2018-10-09","41.509998"
"2018-10-10","40.599998"
"2018-10-11","40.250000"
"2018-10-12","44.639999"
"2018-10-15","43.830002"
"2018-10-16","47.720001"
"2018-10-17","47.520000"
"2018-10-18","46.240002"
"2018-10-19","42.005001"
"2018-10-22","42.459999"
"2018-10-23","41.330002"
"2018-10-24","39.169998"
"2018-10-25","40.320000"
"2018-10-26","41.180000"
"2018-10-29","40.349998"
"2018-10-30","41.740002"
"2018-10-31","41.939999"
"2018-11-01","41.849998"
"2018-11-02","42.820000"
"2018-11-05","42.410000"
"2018-11-06","42.549999"
"2018-11-07","43.880001"
"2018-11-08","44.820000"
"2018-11-09","44.430000"
"2018-11-12","41.340000"
"2018-11-13","42.590000"
"2018-11-14","39.860001"
"2018-11-15","40.369999"
"2018-11-16","39.000000"
"2018-11-19","37.410000"
"2018-11-20","38.330002"
"2018-11-21","40.759998"
"2018-11-23","40.820000"
"2018-11-26","41.110001"
"2018-11-27","40.639999"
"2018-11-28","41.820000"
"2018-11-29","41.770000"
"2018-11-30","41.759998"
"2018-12-03","42.520000"
"2018-12-04","41.470001"
"2018-12-06","41.770000"
"2018-12-07","39.660000"
"2018-12-10","40.689999"
"2018-12-11","41.660000"
"2018-12-12","42.400002"
"2018-12-13","43.150002"
"2018-12-14","42.889999"
"2018-12-17","41.750000"
"2018-12-18","41.869999"
"2018-12-19","41.110001"
"2018-12-20","39.910000"
"2018-12-21","37.990002"
"2018-12-24","37.480000"
"2018-12-26","39.650002"
"2018-12-27","40.990002"
"2018-12-28","40.500000"
"2018-12-31","40.080002"
"2019-01-02","40.820000"
"2019-01-03","38.830002"
"2019-01-04","40.900002"
"2019-01-07","41.689999"
"2019-01-08","42.080002"
"2019-01-09","42.669998"
"2019-01-10","44.029999"
"2019-01-11","43.480000"
"2019-01-14","43.220001"
"2019-01-15","44.990002"
"2019-01-16","43.060001"
"2019-01-17","44.900002"
"2019-01-18","47.000000"
"2019-01-22","45.849998"
"2019-01-23","45.400002"
"2019-01-24","46.709999"
"2019-01-25","48.570000"
"2019-01-28","48.820000"
"2019-01-29","48.299999"
"2019-01-30","49.369999"
"2019-01-31","49.450001"
"2019-02-01","49.959999"
"2019-02-04","51.040001"
"2019-02-05","52.450001"
"2019-02-06","51.299999"
"2019-02-07","50.709999"
"2019-02-08","51.770000"
"2019-02-11","51.630001"
"2019-02-12","52.660000"
"2019-02-13","53.650002"
"2019-02-14","53.330002"
"2019-02-15","53.630001"
"2019-02-19","54.330002"
"2019-02-20","54.110001"
"2019-02-21","53.830002"
"2019-02-22","53.990002"
"2019-02-25","54.740002"
"2019-02-26","55.009998"
"2019-02-27","55.540001"
"2019-02-28","55.150002"
"2019-03-01","56.290001"
"2019-03-04","55.560001"
"2019-03-05","55.740002"
"2019-03-06","55.220001"
"2019-03-07","55.500000"
"2019-03-08","55.990002"
"2019-03-11","57.150002"
"2019-03-12","57.270000"
"2019-03-13","57.660000"
"2019-03-14","58.849998"
"2019-03-15","56.470001"
"2019-03-18","57.750000"
"2019-03-19","56.660000"
"2019-03-20","55.380001"
"2019-03-21","57.080002"
"2019-03-22","53.340000"
"2019-03-25","52.590000"
"2019-03-26","53.740002"
"2019-03-27","51.880001"
"2019-03-28","51.779999"
"2019-03-29","51.840000"
"2019-04-01","52.139999"
"2019-04-02","53.720001"
"2019-04-03","54.139999"
"2019-04-04","53.340000"
"2019-04-05","53.840000"
"2019-04-08","53.810001"
"2019-04-09","53.580002"
"2019-04-10","55.910000"
"2019-04-11","55.349998"
"2019-04-12","55.250000"
"2019-04-15","55.419998"
"2019-04-16","55.209999"
"2019-04-17","53.180000"
"2019-04-18","52.790001"
"2019-04-22","54.130001"
"2019-04-23","55.240002"
"2019-04-24","55.840000"
"2019-04-25","57.009998"
"2019-04-26","57.259998"
"2019-04-29","57.660000"
"2019-04-30","56.669998"
"2019-05-01","55.820000"
