"date, price"
"2014-12-04","58.669998"
"2014-12-05","57.080002"
"2014-12-08","56.139999"
"2014-12-09","56.970001"
"2014-12-10","56.240002"
"2014-12-11","56.340000"
"2014-12-12","56.090000"
"2014-12-15","54.889999"
"2014-12-16","54.189999"
"2014-12-17","54.980000"
"2014-12-18","55.450001"
"2014-12-19","54.880001"
"2014-12-22","55.119999"
"2014-12-23","55.660000"
"2014-12-24","57.799999"
"2014-12-26","57.540001"
"2014-12-29","56.750000"
"2014-12-30","56.320000"
"2014-12-31","54.900002"
"2015-01-02","54.110001"
"2015-01-05","51.759998"
"2015-01-06","51.680000"
"2015-01-07","52.209999"
"2015-01-08","53.590000"
"2015-01-09","53.590000"
"2015-01-12","52.459999"
"2015-01-13","53.520000"
"2015-01-14","51.790001"
"2015-01-15","50.450001"
"2015-01-16","50.509998"
"2015-01-20","49.790001"
"2015-01-21","49.599998"
"2015-01-22","51.619999"
"2015-01-23","50.919998"
"2015-01-26","50.189999"
"2015-01-27","50.180000"
"2015-01-28","49.549999"
"2015-01-29","47.259998"
"2015-01-30","45.389999"
"2015-02-02","46.590000"
"2015-02-03","47.200001"
"2015-02-04","48.110001"
"2015-02-05","47.700001"
"2015-02-06","47.160000"
"2015-02-09","46.810001"
"2015-02-10","47.209999"
"2015-02-11","54.000000"
"2015-02-12","54.869999"
"2015-02-13","53.959999"
"2015-02-17","53.119999"
"2015-02-18","52.529999"
"2015-02-19","52.810001"
"2015-02-20","54.330002"
"2015-02-23","55.369999"
"2015-02-24","56.669998"
"2015-02-25","56.849998"
"2015-02-26","56.799999"
"2015-02-27","56.500000"
"2015-03-02","57.869999"
"2015-03-03","56.680000"
"2015-03-04","55.799999"
"2015-03-05","55.779999"
"2015-03-06","54.450001"
"2015-03-09","54.799999"
"2015-03-10","52.830002"
"2015-03-11","52.610001"
"2015-03-12","54.540001"
"2015-03-13","53.180000"
"2015-03-16","54.040001"
"2015-03-17","54.279999"
"2015-03-18","54.340000"
"2015-03-19","54.419998"
"2015-03-20","55.000000"
"2015-03-23","56.880001"
"2015-03-24","57.380001"
"2015-03-25","56.560001"
"2015-03-26","57.000000"
"2015-03-27","57.029999"
"2015-03-30","58.130001"
"2015-03-31","58.750000"
"2015-04-01","58.310001"
"2015-04-02","56.919998"
"2015-04-06","57.060001"
"2015-04-07","57.160000"
"2015-04-08","57.660000"
"2015-04-09","57.480000"
"2015-04-10","57.090000"
"2015-04-13","57.340000"
"2015-04-14","57.090000"
"2015-04-15","57.849998"
"2015-04-16","57.380001"
"2015-04-17","56.529999"
"2015-04-20","56.730000"
"2015-04-21","58.200001"
"2015-04-22","59.009998"
"2015-04-23","59.919998"
"2015-04-24","59.470001"
"2015-04-27","58.439999"
"2015-04-28","58.509998"
"2015-04-29","61.009998"
"2015-04-30","58.480000"
"2015-05-01","58.360001"
"2015-05-04","58.410000"
"2015-05-05","58.139999"
"2015-05-06","59.220001"
"2015-05-07","60.299999"
"2015-05-08","60.040001"
"2015-05-11","61.209999"
"2015-05-12","59.490002"
"2015-05-13","59.650002"
"2015-05-14","60.779999"
"2015-05-15","61.040001"
"2015-05-18","61.369999"
"2015-05-19","61.360001"
"2015-05-20","62.040001"
"2015-05-21","61.209999"
"2015-05-22","60.169998"
"2015-05-26","59.830002"
"2015-05-27","61.020000"
"2015-05-28","61.419998"
"2015-05-29","59.799999"
"2015-06-01","59.849998"
"2015-06-02","59.880001"
"2015-06-03","60.330002"
"2015-06-04","58.830002"
"2015-06-05","59.470001"
"2015-06-08","58.400002"
"2015-06-09","58.160000"
"2015-06-10","58.820000"
"2015-06-11","59.790001"
"2015-06-12","60.360001"
"2015-06-15","59.349998"
"2015-06-16","59.689999"
"2015-06-17","59.310001"
"2015-06-18","61.320000"
"2015-06-19","60.639999"
"2015-06-22","60.939999"
"2015-06-23","62.169998"
"2015-06-24","60.910000"
"2015-06-25","62.070000"
"2015-06-26","62.430000"
"2015-06-29","60.410000"
"2015-06-30","61.700001"
"2015-07-01","62.759998"
"2015-07-02","62.369999"
"2015-07-06","62.380001"
"2015-07-07","62.220001"
"2015-07-08","61.439999"
"2015-07-09","61.459999"
"2015-07-10","62.810001"
"2015-07-13","63.180000"
"2015-07-14","64.139999"
"2015-07-15","64.309998"
"2015-07-16","65.570000"
"2015-07-17","65.790001"
"2015-07-20","65.639999"
"2015-07-21","66.269997"
"2015-07-22","67.099998"
"2015-07-23","65.660004"
"2015-07-24","65.080002"
"2015-07-27","63.990002"
"2015-07-28","64.870003"
"2015-07-29","68.269997"
"2015-07-30","67.919998"
"2015-07-31","68.500000"
"2015-08-03","68.980003"
"2015-08-04","69.529999"
"2015-08-05","68.690002"
"2015-08-06","67.870003"
"2015-08-07","68.769997"
"2015-08-10","69.449997"
"2015-08-11","68.779999"
"2015-08-12","68.470001"
"2015-08-13","68.169998"
"2015-08-14","68.739998"
"2015-08-17","68.900002"
"2015-08-18","68.660004"
"2015-08-19","68.449997"
"2015-08-20","66.889999"
"2015-08-21","64.809998"
"2015-08-24","62.040001"
"2015-08-25","62.540001"
"2015-08-26","64.220001"
"2015-08-27","65.440002"
"2015-08-28","65.620003"
"2015-08-31","64.470001"
"2015-09-01","62.419998"
"2015-09-02","64.419998"
"2015-09-03","65.480003"
"2015-09-04","65.269997"
"2015-09-08","68.480003"
"2015-09-09","68.790001"
"2015-09-10","68.639999"
"2015-09-11","69.919998"
"2015-09-14","69.510002"
"2015-09-15","70.720001"
"2015-09-16","71.010002"
"2015-09-17","70.389999"
"2015-09-18","68.760002"
"2015-09-21","69.830002"
"2015-09-22","69.489998"
"2015-09-23","70.650002"
"2015-09-24","71.080002"
"2015-09-25","70.320000"
"2015-09-28","70.169998"
"2015-09-29","71.529999"
"2015-09-30","74.089996"
"2015-10-01","74.800003"
"2015-10-02","74.889999"
"2015-10-05","74.989998"
"2015-10-06","74.900002"
"2015-10-07","75.000000"
"2015-10-08","76.660004"
"2015-10-09","77.279999"
"2015-10-12","77.860001"
"2015-10-13","76.160004"
"2015-10-14","74.410004"
"2015-10-15","75.580002"
"2015-10-16","75.940002"
"2015-10-19","75.400002"
"2015-10-20","75.629997"
"2015-10-21","74.139999"
"2015-10-22","80.000000"
"2015-10-23","79.300003"
"2015-10-26","79.470001"
"2015-10-27","79.010002"
"2015-10-28","81.870003"
"2015-10-29","80.809998"
"2015-10-30","80.239998"
"2015-11-02","80.889999"
"2015-11-03","80.680000"
"2015-11-04","80.010002"
"2015-11-05","80.680000"
"2015-11-06","82.070000"
"2015-11-09","80.980003"
"2015-11-10","79.720001"
"2015-11-11","80.330002"
"2015-11-12","78.410004"
"2015-11-13","77.070000"
"2015-11-16","76.800003"
"2015-11-17","77.620003"
"2015-11-18","77.440002"
"2015-11-19","77.720001"
"2015-11-20","78.279999"
"2015-11-23","78.239998"
"2015-11-24","76.809998"
"2015-11-25","78.760002"
"2015-11-27","78.459999"
"2015-11-30","77.720001"
"2015-12-01","77.699997"
"2015-12-02","76.139999"
"2015-12-03","73.519997"
"2015-12-04","73.949997"
"2015-12-07","74.480003"
"2015-12-08","74.919998"
"2015-12-09","73.610001"
"2015-12-10","74.720001"
"2015-12-11","73.370003"
"2015-12-14","73.480003"
"2015-12-15","73.360001"
"2015-12-16","74.169998"
"2015-12-17","73.139999"
"2015-12-18","71.230003"
"2015-12-21","71.900002"
"2015-12-22","72.250000"
"2015-12-23","73.570000"
"2015-12-24","73.180000"
"2015-12-28","73.940002"
"2015-12-29","74.769997"
"2015-12-30","73.680000"
"2015-12-31","72.430000"
"2016-01-04","69.980003"
"2016-01-05","71.400002"
"2016-01-06","70.849998"
"2016-01-07","71.660004"
"2016-01-08","73.089996"
"2016-01-11","73.529999"
"2016-01-12","74.750000"
"2016-01-13","72.610001"
"2016-01-14","74.980003"
"2016-01-15","73.019997"
"2016-01-19","71.500000"
"2016-01-20","73.389999"
"2016-01-21","72.260002"
"2016-01-22","73.500000"
"2016-01-25","71.699997"
"2016-01-26","73.050003"
"2016-01-27","73.959999"
"2016-01-28","74.059998"
"2016-01-29","79.769997"
"2016-02-01","76.290001"
"2016-02-02","75.489998"
"2016-02-03","74.629997"
"2016-02-04","73.430000"
"2016-02-05","72.489998"
"2016-02-08","68.769997"
"2016-02-09","68.639999"
"2016-02-10","57.930000"
"2016-02-11","62.650002"
"2016-02-12","65.000000"
"2016-02-16","65.949997"
"2016-02-17","65.220001"
"2016-02-18","64.910004"
"2016-02-19","65.480003"
"2016-02-22","65.169998"
"2016-02-23","66.010002"
"2016-02-24","65.709999"
"2016-02-25","66.269997"
"2016-02-26","66.089996"
"2016-02-29","65.540001"
"2016-03-01","66.910004"
"2016-03-02","67.410004"
"2016-03-03","69.540001"
"2016-03-04","69.879997"
"2016-03-07","70.010002"
"2016-03-08","69.860001"
"2016-03-09","69.959999"
"2016-03-10","68.940002"
"2016-03-11","70.750000"
"2016-03-14","70.250000"
"2016-03-15","70.019997"
"2016-03-16","71.339996"
"2016-03-17","72.580002"
"2016-03-18","73.320000"
"2016-03-21","73.129997"
"2016-03-22","73.680000"
"2016-03-23","72.180000"
"2016-03-24","71.879997"
"2016-03-28","72.250000"
"2016-03-29","74.190002"
"2016-03-30","73.720001"
"2016-03-31","74.110001"
"2016-04-01","74.419998"
"2016-04-04","73.839996"
"2016-04-05","72.720001"
"2016-04-06","74.050003"
"2016-04-07","73.050003"
"2016-04-08","73.860001"
"2016-04-11","72.739998"
"2016-04-12","73.949997"
"2016-04-13","74.610001"
"2016-04-14","74.230003"
"2016-04-15","74.459999"
"2016-04-18","74.599998"
"2016-04-19","74.930000"
"2016-04-20","75.029999"
"2016-04-21","74.879997"
"2016-04-22","74.910004"
"2016-04-25","74.989998"
"2016-04-26","74.989998"
"2016-04-27","78.180000"
"2016-04-28","77.779999"
"2016-04-29","77.099998"
"2016-05-02","77.800003"
"2016-05-03","75.809998"
"2016-05-04","76.160004"
"2016-05-05","75.690002"
"2016-05-06","76.239998"
"2016-05-09","76.339996"
"2016-05-10","76.860001"
"2016-05-11","76.080002"
"2016-05-12","75.260002"
"2016-05-13","74.510002"
"2016-05-16","74.959999"
"2016-05-17","75.379997"
"2016-05-18","76.029999"
"2016-05-19","76.599998"
"2016-05-20","77.849998"
"2016-05-23","78.129997"
"2016-05-24","80.330002"
"2016-05-25","80.139999"
"2016-05-26","79.330002"
"2016-05-27","79.769997"
"2016-05-31","79.809998"
"2016-06-01","80.379997"
"2016-06-02","81.910004"
"2016-06-03","81.330002"
"2016-06-06","81.190002"
"2016-06-07","81.129997"
"2016-06-08","81.180000"
"2016-06-09","80.680000"
"2016-06-10","78.559998"
"2016-06-13","77.730003"
"2016-06-14","76.959999"
"2016-06-15","76.809998"
"2016-06-16","77.080002"
"2016-06-17","76.169998"
"2016-06-20","77.029999"
"2016-06-21","76.830002"
"2016-06-22","76.110001"
"2016-06-23","78.290001"
"2016-06-24","71.760002"
"2016-06-27","65.580002"
"2016-06-28","68.309998"
"2016-06-29","68.540001"
"2016-06-30","69.190002"
"2016-07-01","70.290001"
"2016-07-05","69.690002"
"2016-07-06","69.169998"
"2016-07-07","70.230003"
"2016-07-08","71.040001"
"2016-07-11","71.339996"
"2016-07-12","72.129997"
"2016-07-13","72.059998"
"2016-07-14","72.029999"
"2016-07-15","72.070000"
"2016-07-18","71.400002"
"2016-07-19","71.879997"
"2016-07-20","72.779999"
"2016-07-21","71.199997"
"2016-07-22","72.519997"
"2016-07-25","72.419998"
"2016-07-26","77.910004"
"2016-07-27","76.790001"
"2016-07-28","75.820000"
"2016-07-29","76.260002"
"2016-08-01","76.669998"
"2016-08-02","75.430000"
"2016-08-03","75.519997"
"2016-08-04","76.989998"
"2016-08-05","77.250000"
"2016-08-08","77.830002"
"2016-08-09","77.309998"
"2016-08-10","77.300003"
"2016-08-11","77.970001"
"2016-08-12","78.529999"
"2016-08-15","78.480003"
"2016-08-16","77.709999"
"2016-08-17","77.680000"
"2016-08-18","77.739998"
"2016-08-19","77.860001"
"2016-08-22","77.849998"
"2016-08-23","77.949997"
"2016-08-24","77.139999"
"2016-08-25","77.379997"
"2016-08-26","77.500000"
"2016-08-29","77.849998"
"2016-08-30","78.379997"
"2016-08-31","77.610001"
"2016-09-01","77.910004"
"2016-09-02","78.809998"
"2016-09-06","78.790001"
"2016-09-07","79.250000"
"2016-09-08","79.370003"
"2016-09-09","78.160004"
"2016-09-12","78.949997"
"2016-09-13","77.540001"
"2016-09-14","77.400002"
"2016-09-15","78.959999"
"2016-09-16","78.209999"
"2016-09-19","78.519997"
"2016-09-20","79.750000"
"2016-09-21","81.150002"
"2016-09-22","81.930000"
"2016-09-23","80.970001"
"2016-09-26","80.849998"
"2016-09-27","81.250000"
"2016-09-28","81.919998"
"2016-09-29","81.250000"
"2016-09-30","81.830002"
"2016-10-03","82.730003"
"2016-10-04","82.330002"
"2016-10-05","83.620003"
"2016-10-06","83.470001"
"2016-10-07","82.750000"
"2016-10-10","82.739998"
"2016-10-11","83.660004"
"2016-10-12","83.830002"
"2016-10-13","83.089996"
"2016-10-14","83.129997"
"2016-10-17","83.529999"
"2016-10-18","82.839996"
"2016-10-19","84.510002"
"2016-10-20","82.360001"
"2016-10-21","80.889999"
"2016-10-24","81.500000"
"2016-10-25","81.470001"
"2016-10-26","80.750000"
"2016-10-27","80.000000"
"2016-10-28","79.980003"
