"date, price"
"2014-12-04","145.470001"
"2014-12-05","145.289993"
"2014-12-08","147.000000"
"2014-12-09","149.809998"
"2014-12-10","145.710007"
"2014-12-11","147.009995"
"2014-12-12","146.789993"
"2014-12-15","148.089996"
"2014-12-16","146.600006"
"2014-12-17","150.690002"
"2014-12-18","151.410004"
"2014-12-19","152.699997"
"2014-12-22","153.410004"
"2014-12-23","153.380005"
"2014-12-24","154.000000"
"2014-12-26","152.720001"
"2014-12-29","153.559998"
"2014-12-30","154.500000"
"2014-12-31","152.889999"
"2015-01-02","149.190002"
"2015-01-05","145.399994"
"2015-01-06","144.149994"
"2015-01-07","143.520004"
"2015-01-08","147.490005"
"2015-01-09","142.320007"
"2015-01-12","142.139999"
"2015-01-13","140.529999"
"2015-01-14","137.539993"
"2015-01-15","137.880005"
"2015-01-16","139.990005"
"2015-01-20","140.720001"
"2015-01-21","139.960007"
"2015-01-22","142.000000"
"2015-01-23","140.649994"
"2015-01-26","140.889999"
"2015-01-27","140.500000"
"2015-01-28","135.949997"
"2015-01-29","136.449997"
"2015-01-30","134.970001"
"2015-02-02","135.479996"
"2015-02-03","136.360001"
"2015-02-04","137.850006"
"2015-02-05","140.460007"
"2015-02-06","140.229996"
"2015-02-09","139.220001"
"2015-02-10","136.270004"
"2015-02-11","134.949997"
"2015-02-12","136.889999"
"2015-02-13","137.820007"
"2015-02-17","137.750000"
"2015-02-18","135.649994"
"2015-02-19","137.259995"
"2015-02-20","136.880005"
"2015-02-23","136.800003"
"2015-02-24","138.399994"
"2015-02-25","138.600006"
"2015-02-26","138.800003"
"2015-02-27","139.100006"
"2015-03-02","141.000000"
"2015-03-03","140.169998"
"2015-03-04","138.970001"
"2015-03-05","139.000000"
"2015-03-06","137.740005"
"2015-03-09","138.070007"
"2015-03-10","136.509995"
"2015-03-11","136.550003"
"2015-03-12","139.970001"
"2015-03-13","139.960007"
"2015-03-16","140.490005"
"2015-03-17","140.990005"
"2015-03-18","140.740005"
"2015-03-19","140.559998"
"2015-03-20","141.770004"
"2015-03-23","143.440002"
"2015-03-24","144.350006"
"2015-03-25","141.729996"
"2015-03-26","140.509995"
"2015-03-27","142.550003"
"2015-03-30","142.960007"
"2015-03-31","141.860001"
"2015-04-01","142.699997"
"2015-04-02","142.899994"
"2015-04-06","142.600006"
"2015-04-07","142.110001"
"2015-04-08","142.399994"
"2015-04-09","142.000000"
"2015-04-10","142.250000"
"2015-04-13","142.300003"
"2015-04-14","141.570007"
"2015-04-15","142.080002"
"2015-04-16","142.270004"
"2015-04-17","142.000000"
"2015-04-20","142.880005"
"2015-04-21","140.990005"
"2015-04-22","140.169998"
"2015-04-23","140.750000"
"2015-04-24","141.940002"
"2015-04-27","141.720001"
"2015-04-28","142.649994"
"2015-04-29","142.899994"
"2015-04-30","142.039993"
"2015-05-01","142.399994"
"2015-05-04","143.309998"
"2015-05-05","143.119995"
"2015-05-06","145.289993"
"2015-05-07","146.570007"
"2015-05-08","148.479996"
"2015-05-11","148.369995"
"2015-05-12","149.500000"
"2015-05-13","149.720001"
"2015-05-14","150.000000"
"2015-05-15","148.059998"
"2015-05-18","148.949997"
"2015-05-19","150.750000"
"2015-05-20","152.610001"
"2015-05-21","152.190002"
"2015-05-22","149.639999"
"2015-05-26","148.500000"
"2015-05-27","151.000000"
"2015-05-28","151.669998"
"2015-05-29","151.619995"
"2015-06-01","153.589996"
"2015-06-02","155.500000"
"2015-06-03","158.990005"
"2015-06-04","156.149994"
"2015-06-05","154.899994"
"2015-06-08","157.259995"
"2015-06-09","157.429993"
"2015-06-10","158.649994"
"2015-06-11","159.979996"
"2015-06-12","157.899994"
"2015-06-15","154.710007"
"2015-06-16","158.789993"
"2015-06-17","155.940002"
"2015-06-18","157.110001"
"2015-06-19","155.259995"
"2015-06-22","157.250000"
"2015-06-23","159.970001"
"2015-06-24","157.580002"
"2015-06-25","156.949997"
"2015-06-26","156.100006"
"2015-06-29","154.199997"
"2015-06-30","154.949997"
"2015-07-01","154.080002"
"2015-07-02","155.470001"
"2015-07-06","156.800003"
"2015-07-07","156.559998"
"2015-07-08","154.279999"
"2015-07-09","155.649994"
"2015-07-10","159.110001"
"2015-07-13","158.830002"
"2015-07-14","162.570007"
"2015-07-15","162.699997"
"2015-07-16","163.309998"
"2015-07-17","163.000000"
"2015-07-20","161.259995"
"2015-07-21","162.240005"
"2015-07-22","164.100006"
"2015-07-23","161.119995"
"2015-07-24","160.929993"
"2015-07-27","160.330002"
"2015-07-28","161.000000"
"2015-07-29","161.789993"
"2015-07-30","160.399994"
"2015-07-31","159.990005"
"2015-08-03","159.949997"
"2015-08-04","161.149994"
"2015-08-05","159.860001"
"2015-08-06","158.550003"
"2015-08-07","159.350006"
"2015-08-10","158.369995"
"2015-08-11","159.190002"
"2015-08-12","158.289993"
"2015-08-13","160.509995"
"2015-08-14","161.160004"
"2015-08-17","161.839996"
"2015-08-18","156.600006"
"2015-08-19","153.839996"
"2015-08-20","151.750000"
"2015-08-21","151.000000"
"2015-08-24","148.059998"
"2015-08-25","145.960007"
"2015-08-26","146.940002"
"2015-08-27","145.850006"
"2015-08-28","146.020004"
"2015-08-31","146.110001"
"2015-09-01","147.070007"
"2015-09-02","149.410004"
"2015-09-03","149.899994"
"2015-09-04","150.000000"
"2015-09-08","151.020004"
"2015-09-09","150.009995"
"2015-09-10","151.309998"
"2015-09-11","150.559998"
"2015-09-14","151.369995"
"2015-09-15","150.199997"
"2015-09-16","150.270004"
"2015-09-17","150.429993"
"2015-09-18","151.080002"
"2015-09-21","150.009995"
"2015-09-22","150.000000"
"2015-09-23","150.899994"
"2015-09-24","150.029999"
"2015-09-25","149.910004"
"2015-09-28","149.020004"
"2015-09-29","148.279999"
"2015-09-30","150.000000"
"2015-10-01","148.029999"
"2015-10-02","147.630005"
"2015-10-05","150.529999"
"2015-10-06","148.610001"
"2015-10-07","152.880005"
"2015-10-08","153.350006"
"2015-10-09","153.039993"
"2015-10-12","153.220001"
"2015-10-13","152.990005"
"2015-10-14","153.589996"
"2015-10-15","156.789993"
"2015-10-16","155.880005"
"2015-10-19","153.929993"
"2015-10-20","156.800003"
"2015-10-21","155.899994"
"2015-10-22","157.330002"
"2015-10-23","156.919998"
"2015-10-26","158.330002"
"2015-10-27","156.110001"
"2015-10-28","159.919998"
"2015-10-29","161.210007"
"2015-10-30","157.800003"
"2015-11-02","156.550003"
"2015-11-03","156.059998"
"2015-11-04","157.809998"
"2015-11-05","158.919998"
"2015-11-06","159.000000"
"2015-11-09","157.639999"
"2015-11-10","158.850006"
"2015-11-11","160.490005"
"2015-11-12","154.710007"
"2015-11-13","155.210007"
"2015-11-16","156.729996"
"2015-11-17","155.710007"
"2015-11-18","156.130005"
"2015-11-19","155.850006"
"2015-11-20","156.339996"
"2015-11-23","156.529999"
"2015-11-24","152.990005"
"2015-11-25","150.690002"
"2015-11-27","154.350006"
"2015-11-30","154.110001"
"2015-12-01","154.259995"
"2015-12-02","151.940002"
"2015-12-03","151.899994"
"2015-12-04","152.809998"
"2015-12-07","152.100006"
"2015-12-08","150.779999"
"2015-12-09","149.750000"
"2015-12-10","149.880005"
"2015-12-11","149.820007"
"2015-12-14","150.059998"
"2015-12-15","150.289993"
"2015-12-16","150.179993"
"2015-12-17","150.160004"
"2015-12-18","149.990005"
"2015-12-21","150.770004"
"2015-12-22","152.699997"
"2015-12-23","154.520004"
"2015-12-24","153.500000"
"2015-12-28","151.500000"
"2015-12-29","153.279999"
"2015-12-30","154.080002"
"2015-12-31","150.039993"
"2016-01-04","150.210007"
"2016-01-05","150.210007"
"2016-01-06","151.360001"
"2016-01-07","149.899994"
"2016-01-08","150.070007"
"2016-01-11","150.750000"
"2016-01-12","150.119995"
"2016-01-13","150.240005"
"2016-01-14","151.169998"
"2016-01-15","151.529999"
"2016-01-19","150.369995"
"2016-01-20","149.949997"
"2016-01-21","150.130005"
"2016-01-22","150.289993"
"2016-01-25","150.029999"
"2016-01-26","151.740005"
"2016-01-27","149.880005"
"2016-01-28","151.429993"
"2016-01-29","159.550003"
"2016-02-01","155.190002"
"2016-02-02","151.520004"
"2016-02-03","150.059998"
"2016-02-04","148.419998"
"2016-02-05","145.460007"
"2016-02-08","144.130005"
"2016-02-09","145.550003"
"2016-02-10","148.080002"
"2016-02-11","145.649994"
"2016-02-12","151.350006"
"2016-02-16","152.119995"
"2016-02-17","153.729996"
"2016-02-18","153.559998"
"2016-02-19","153.850006"
"2016-02-22","154.630005"
"2016-02-23","154.460007"
"2016-02-24","155.720001"
"2016-02-25","159.000000"
"2016-02-26","157.490005"
"2016-02-29","158.050003"
"2016-03-01","161.210007"
"2016-03-02","160.100006"
"2016-03-03","158.229996"
"2016-03-04","159.100006"
"2016-03-07","159.990005"
"2016-03-08","160.710007"
"2016-03-09","161.110001"
"2016-03-10","161.229996"
"2016-03-11","162.770004"
