"date, price"
"2016-09-16","15.250000"
"2016-09-19","16.500000"
"2016-09-20","17.010000"
"2016-09-21","17.549999"
"2016-09-22","16.860001"
"2016-09-23","15.060000"
"2016-09-26","16.240000"
"2016-09-27","17.020000"
"2016-09-28","16.500000"
"2016-09-29","16.320000"
"2016-09-30","16.860001"
"2016-10-03","16.740000"
"2016-10-04","17.010000"
"2016-10-05","15.720000"
"2016-10-06","16.219999"
"2016-10-07","16.129999"
"2016-10-10","15.760000"
"2016-10-11","15.680000"
"2016-10-12","15.140000"
"2016-10-13","15.200000"
"2016-10-14","15.570000"
"2016-10-17","14.970000"
"2016-10-18","14.780000"
"2016-10-19","14.440000"
"2016-10-20","14.830000"
"2016-10-21","15.140000"
"2016-10-24","15.450000"
"2016-10-25","15.560000"
"2016-10-26","15.590000"
"2016-10-27","15.180000"
"2016-10-28","14.550000"
"2016-10-31","14.720000"
"2016-11-01","14.560000"
"2016-11-02","14.420000"
"2016-11-03","14.010000"
"2016-11-04","13.880000"
"2016-11-07","14.540000"
"2016-11-08","14.430000"
"2016-11-09","14.890000"
"2016-11-10","15.250000"
"2016-11-11","15.230000"
"2016-11-14","15.220000"
"2016-11-15","15.380000"
"2016-11-16","15.390000"
"2016-11-17","16.120001"
"2016-11-18","16.750000"
"2016-11-21","16.770000"
"2016-11-22","16.870001"
"2016-11-23","16.570000"
"2016-11-25","16.580000"
"2016-11-28","16.990000"
"2016-11-29","16.150000"
"2016-11-30","15.910000"
"2016-12-01","15.530000"
"2016-12-02","15.260000"
"2016-12-05","15.930000"
"2016-12-06","16.200001"
"2016-12-07","16.530001"
"2016-12-08","17.000000"
"2016-12-09","16.940001"
"2016-12-12","17.420000"
"2016-12-13","17.969999"
"2016-12-14","17.920000"
"2016-12-15","19.059999"
"2016-12-16","19.580000"
"2016-12-19","20.250000"
"2016-12-20","19.830000"
"2016-12-21","19.629999"
"2016-12-22","19.260000"
"2016-12-23","19.430000"
"2016-12-27","18.830000"
"2016-12-28","18.059999"
"2016-12-29","18.240000"
"2016-12-30","18.450001"
"2017-01-03","18.049999"
"2017-01-04","19.030001"
"2017-01-05","19.330000"
"2017-01-06","19.309999"
"2017-01-09","18.650000"
"2017-01-10","18.639999"
"2017-01-11","19.110001"
"2017-01-12","18.549999"
"2017-01-13","19.020000"
"2017-01-17","18.709999"
"2017-01-18","18.730000"
"2017-01-19","18.719999"
"2017-01-20","18.580000"
"2017-01-23","18.309999"
"2017-01-24","18.969999"
"2017-01-25","19.500000"
"2017-01-26","19.459999"
"2017-01-27","19.250000"
"2017-01-30","18.770000"
"2017-01-31","18.469999"
"2017-02-01","18.540001"
"2017-02-02","18.719999"
"2017-02-03","18.969999"
"2017-02-06","18.559999"
"2017-02-07","18.520000"
"2017-02-08","18.260000"
"2017-02-09","18.440001"
"2017-02-10","18.900000"
"2017-02-13","19.500000"
"2017-02-14","19.299999"
"2017-02-15","19.600000"
"2017-02-16","19.180000"
"2017-02-17","18.950001"
"2017-02-21","18.780001"
"2017-02-22","18.879999"
"2017-02-23","19.010000"
"2017-02-24","19.150000"
"2017-02-27","19.389999"
"2017-02-28","19.040001"
"2017-03-01","18.620001"
"2017-03-02","18.780001"
"2017-03-03","18.450001"
"2017-03-06","18.040001"
"2017-03-07","17.969999"
"2017-03-08","17.049999"
"2017-03-09","17.120001"
"2017-03-10","17.549999"
"2017-03-13","17.930000"
"2017-03-14","17.459999"
"2017-03-15","17.950001"
"2017-03-16","18.959999"
"2017-03-17","19.719999"
"2017-03-20","20.480000"
"2017-03-21","19.480000"
"2017-03-22","19.330000"
"2017-03-23","19.400000"
"2017-03-24","20.049999"
"2017-03-27","20.000000"
"2017-03-28","20.330000"
"2017-03-29","20.639999"
"2017-03-30","20.120001"
"2017-03-31","20.530001"
"2017-04-03","19.469999"
"2017-04-04","20.139999"
"2017-04-05","20.350000"
"2017-04-06","20.870001"
"2017-04-07","20.379999"
"2017-04-10","20.350000"
"2017-04-11","20.549999"
"2017-04-12","20.750000"
"2017-04-13","20.740000"
"2017-04-17","21.330000"
"2017-04-18","22.190001"
"2017-04-19","22.809999"
"2017-04-20","22.809999"
"2017-04-21","22.670000"
"2017-04-24","22.840000"
"2017-04-25","23.240000"
"2017-04-26","23.270000"
"2017-04-27","23.410000"
"2017-04-28","23.209999"
"2017-05-01","23.549999"
"2017-05-02","23.070000"
"2017-05-03","22.950001"
"2017-05-04","22.639999"
"2017-05-05","22.690001"
"2017-05-08","22.969999"
"2017-05-09","24.760000"
"2017-05-10","24.830000"
"2017-05-11","24.580000"
"2017-05-12","24.549999"
"2017-05-15","25.379999"
"2017-05-16","24.870001"
"2017-05-17","24.260000"
"2017-05-18","24.650000"
"2017-05-19","25.010000"
"2017-05-22","25.129999"
"2017-05-23","25.030001"
"2017-05-24","25.370001"
"2017-05-25","25.639999"
"2017-05-26","26.469999"
"2017-05-30","26.160000"
"2017-05-31","25.860001"
"2017-06-01","26.209999"
"2017-06-02","26.250000"
"2017-06-05","26.320000"
"2017-06-06","25.910000"
"2017-06-07","25.750000"
"2017-06-08","25.549999"
"2017-06-09","24.150000"
"2017-06-12","23.730000"
"2017-06-13","23.920000"
"2017-06-14","24.230000"
"2017-06-15","23.670000"
"2017-06-16","24.209999"
"2017-06-19","25.120001"
"2017-06-20","24.820000"
"2017-06-21","24.770000"
"2017-06-22","24.570000"
"2017-06-23","24.959999"
"2017-06-26","24.660000"
"2017-06-27","25.129999"
"2017-06-28","26.370001"
"2017-06-29","25.020000"
"2017-06-30","24.360001"
"2017-07-03","23.570000"
"2017-07-05","23.379999"
"2017-07-06","22.969999"
"2017-07-07","23.430000"
"2017-07-10","23.299999"
"2017-07-11","23.420000"
"2017-07-12","23.719999"
"2017-07-13","23.180000"
"2017-07-14","22.740000"
"2017-07-17","22.900000"
"2017-07-18","22.950001"
"2017-07-19","23.440001"
"2017-07-20","23.110001"
"2017-07-21","23.200001"
"2017-07-24","23.370001"
"2017-07-25","23.660000"
"2017-07-26","23.650000"
"2017-07-27","23.480000"
"2017-07-28","23.480000"
"2017-07-31","23.650000"
"2017-08-01","23.600000"
"2017-08-02","22.940001"
"2017-08-03","23.410000"
"2017-08-04","21.900000"
"2017-08-07","22.170000"
"2017-08-08","22.309999"
"2017-08-09","22.459999"
"2017-08-10","21.730000"
"2017-08-11","22.715000"
"2017-08-14","22.870001"
"2017-08-15","22.940001"
"2017-08-16","22.750000"
"2017-08-17","22.570000"
"2017-08-18","22.900000"
"2017-08-21","22.840000"
"2017-08-22","23.110001"
"2017-08-23","22.490000"
"2017-08-24","22.629999"
"2017-08-25","22.549999"
"2017-08-28","22.540001"
"2017-08-29","22.549999"
"2017-08-30","23.340000"
"2017-08-31","23.170000"
"2017-09-01","23.120001"
"2017-09-05","22.860001"
"2017-09-06","22.160000"
"2017-09-07","22.340000"
"2017-09-08","22.260000"
"2017-09-11","23.360001"
"2017-09-12","23.400000"
"2017-09-13","23.530001"
"2017-09-14","23.379999"
"2017-09-15","23.500000"
"2017-09-18","25.250000"
"2017-09-19","24.820000"
"2017-09-20","25.250000"
"2017-09-21","25.090000"
"2017-09-22","25.350000"
"2017-09-25","24.910000"
"2017-09-26","25.250000"
"2017-09-27","26.270000"
"2017-09-28","26.230000"
"2017-09-29","26.420000"
"2017-10-02","27.299999"
"2017-10-03","26.740000"
"2017-10-04","27.000000"
"2017-10-05","26.650000"
"2017-10-06","27.049999"
"2017-10-09","27.070000"
"2017-10-10","26.950001"
"2017-10-11","26.809999"
"2017-10-12","26.870001"
"2017-10-13","26.879999"
"2017-10-16","26.780001"
"2017-10-17","26.770000"
"2017-10-18","26.840000"
"2017-10-19","26.660000"
"2017-10-20","26.760000"
"2017-10-23","26.780001"
"2017-10-24","26.510000"
"2017-10-25","26.309999"
"2017-10-26","26.309999"
"2017-10-27","26.670000"
"2017-10-30","26.629999"
"2017-10-31","26.639999"
"2017-11-01","26.799999"
"2017-11-02","26.920000"
"2017-11-03","27.230000"
"2017-11-06","26.379999"
"2017-11-07","27.530001"
"2017-11-08","27.780001"
"2017-11-09","27.410000"
"2017-11-10","28.040001"
"2017-11-13","28.680000"
"2017-11-14","29.580000"
"2017-11-15","26.969999"
"2017-11-16","26.500000"
"2017-11-17","26.070000"
"2017-11-20","26.650000"
"2017-11-21","27.110001"
"2017-11-22","27.889999"
"2017-11-24","27.900000"
"2017-11-27","27.730000"
"2017-11-28","27.610001"
"2017-11-29","27.120001"
"2017-11-30","26.500000"
"2017-12-01","26.270000"
"2017-12-04","24.740000"
"2017-12-05","24.450001"
"2017-12-06","24.690001"
"2017-12-07","26.700001"
"2017-12-08","27.150000"
"2017-12-11","26.930000"
"2017-12-12","26.790001"
"2017-12-13","26.660000"
"2017-12-14","26.879999"
"2017-12-15","28.700001"
"2017-12-18","28.850000"
"2017-12-19","29.030001"
"2017-12-20","29.020000"
"2017-12-21","29.030001"
"2017-12-22","29.230000"
"2017-12-26","29.299999"
"2017-12-27","29.459999"
"2017-12-28","29.590000"
"2017-12-29","29.719999"
"2018-01-02","29.600000"
"2018-01-03","29.469999"
"2018-01-04","29.770000"
"2018-01-05","30.080000"
"2018-01-08","29.830000"
"2018-01-09","30.690001"
"2018-01-10","30.889999"
"2018-01-11","31.760000"
"2018-01-12","32.240002"
"2018-01-16","31.469999"
"2018-01-17","31.629999"
"2018-01-18","32.730000"
"2018-01-19","32.759998"
"2018-01-22","32.950001"
"2018-01-23","33.250000"
"2018-01-24","33.070000"
"2018-01-25","32.950001"
"2018-01-26","33.509998"
"2018-01-29","32.869999"
"2018-01-30","32.759998"
"2018-01-31","32.279999"
"2018-02-01","32.240002"
"2018-02-02","32.299999"
"2018-02-05","31.400000"
"2018-02-06","31.500000"
"2018-02-07","31.639999"
"2018-02-08","30.110001"
"2018-02-09","30.830000"
"2018-02-12","31.080000"
"2018-02-13","31.480000"
"2018-02-14","32.180000"
"2018-02-15","33.060001"
"2018-02-16","33.529999"
"2018-02-20","33.580002"
"2018-02-21","33.169998"
"2018-02-22","32.009998"
"2018-02-23","31.799999"
"2018-02-26","32.480000"
"2018-02-27","32.330002"
"2018-02-28","31.910000"
"2018-03-01","32.310001"
"2018-03-02","33.650002"
"2018-03-05","33.320000"
"2018-03-06","35.180000"
"2018-03-07","36.090000"
"2018-03-08","36.910000"
"2018-03-09","38.509998"
"2018-03-12","37.250000"
"2018-03-13","36.549999"
"2018-03-14","37.240002"
"2018-03-15","37.130001"
"2018-03-16","36.889999"
"2018-03-19","36.340000"
"2018-03-20","37.750000"
"2018-03-21","38.410000"
"2018-03-22","37.900002"
"2018-03-23","37.630001"
"2018-03-26","38.500000"
"2018-03-27","36.799999"
"2018-03-28","35.240002"
"2018-03-29","36.599998"
"2018-04-02","35.020000"
"2018-04-03","35.340000"
"2018-04-04","35.740002"
