"date, price"
"2014-12-04","37.470001"
"2014-12-05","38.840000"
"2014-12-08","38.700001"
"2014-12-09","38.740002"
"2014-12-10","37.360001"
"2014-12-11","37.709999"
"2014-12-12","37.439999"
"2014-12-15","37.220001"
"2014-12-16","37.090000"
"2014-12-17","37.840000"
"2014-12-18","38.799999"
"2014-12-19","38.060001"
"2014-12-22","38.160000"
"2014-12-23","38.799999"
"2014-12-24","38.889999"
"2014-12-26","38.779999"
"2014-12-29","39.290001"
"2014-12-30","39.310001"
"2014-12-31","38.709999"
"2015-01-02","38.410000"
"2015-01-05","37.529999"
"2015-01-06","36.759998"
"2015-01-07","37.200001"
"2015-01-08","38.330002"
"2015-01-09","37.220001"
"2015-01-12","36.830002"
"2015-01-13","37.310001"
"2015-01-14","36.419998"
"2015-01-15","35.939999"
"2015-01-16","36.680000"
"2015-01-20","35.939999"
"2015-01-21","35.959999"
"2015-01-22","38.080002"
"2015-01-23","37.740002"
"2015-01-26","38.090000"
"2015-01-27","37.520000"
"2015-01-28","36.080002"
"2015-01-29","36.720001"
"2015-01-30","36.180000"
"2015-02-02","37.529999"
"2015-02-03","38.349998"
"2015-02-04","38.230000"
"2015-02-05","38.810001"
"2015-02-06","39.459999"
"2015-02-09","39.009998"
"2015-02-10","39.380001"
"2015-02-11","39.540001"
"2015-02-12","40.230000"
"2015-02-13","40.599998"
"2015-02-17","40.880001"
"2015-02-18","40.090000"
"2015-02-19","40.049999"
"2015-02-20","40.529999"
"2015-02-23","40.189999"
"2015-02-24","40.240002"
"2015-02-25","40.320000"
"2015-02-26","40.419998"
"2015-02-27","39.950001"
"2015-03-02","40.509998"
"2015-03-03","40.160000"
"2015-03-04","40.090000"
"2015-03-05","40.259998"
"2015-03-06","40.490002"
"2015-03-09","40.419998"
"2015-03-10","39.910000"
"2015-03-11","40.439999"
"2015-03-12","40.980000"
"2015-03-13","40.700001"
"2015-03-16","40.709999"
"2015-03-17","40.980000"
"2015-03-18","40.919998"
"2015-03-19","40.799999"
"2015-03-20","41.130001"
"2015-03-23","40.889999"
"2015-03-24","40.689999"
"2015-03-25","39.990002"
"2015-03-26","40.119999"
"2015-03-27","40.029999"
"2015-03-30","40.880001"
"2015-03-31","40.459999"
"2015-04-01","40.419998"
"2015-04-02","40.730000"
"2015-04-06","40.880001"
"2015-04-07","40.840000"
"2015-04-08","41.080002"
"2015-04-09","41.029999"
"2015-04-10","41.299999"
"2015-04-13","41.759998"
"2015-04-14","41.509998"
"2015-04-15","41.810001"
"2015-04-16","41.930000"
"2015-04-17","41.410000"
"2015-04-20","41.740002"
"2015-04-21","41.990002"
"2015-04-22","41.970001"
"2015-04-23","41.650002"
"2015-04-24","41.110001"
"2015-04-27","40.450001"
"2015-04-28","40.939999"
"2015-04-29","41.360001"
"2015-04-30","40.590000"
"2015-05-01","40.360001"
"2015-05-04","40.820000"
"2015-05-05","40.799999"
"2015-05-06","41.040001"
"2015-05-07","41.020000"
"2015-05-08","41.369999"
"2015-05-11","41.740002"
"2015-05-12","42.750000"
"2015-05-13","43.020000"
"2015-05-14","43.320000"
"2015-05-15","42.570000"
"2015-05-18","43.450001"
"2015-05-19","43.570000"
"2015-05-20","43.470001"
"2015-05-21","43.389999"
"2015-05-22","43.320000"
"2015-05-26","42.750000"
"2015-05-27","43.200001"
"2015-05-28","43.020000"
"2015-05-29","42.900002"
"2015-06-01","42.849998"
"2015-06-02","43.310001"
"2015-06-03","43.950001"
"2015-06-04","43.669998"
"2015-06-05","44.540001"
"2015-06-08","44.250000"
"2015-06-09","44.950001"
"2015-06-10","45.020000"
"2015-06-11","45.009998"
"2015-06-12","45.259998"
"2015-06-15","44.990002"
"2015-06-16","45.419998"
"2015-06-17","44.450001"
"2015-06-18","44.650002"
"2015-06-19","44.500000"
"2015-06-22","45.389999"
"2015-06-23","45.880001"
"2015-06-24","45.480000"
"2015-06-25","45.619999"
"2015-06-26","45.770000"
"2015-06-29","44.639999"
"2015-06-30","44.820000"
"2015-07-01","44.990002"
"2015-07-02","44.450001"
"2015-07-06","44.650002"
"2015-07-07","44.049999"
"2015-07-08","43.669998"
"2015-07-09","44.320000"
"2015-07-10","44.970001"
"2015-07-13","45.230000"
"2015-07-14","45.490002"
"2015-07-15","45.730000"
"2015-07-16","44.619999"
"2015-07-17","44.330002"
"2015-07-20","44.610001"
"2015-07-21","44.650002"
"2015-07-22","45.340000"
"2015-07-23","45.090000"
"2015-07-24","44.599998"
"2015-07-27","44.009998"
"2015-07-28","44.150002"
"2015-07-29","44.389999"
"2015-07-30","44.590000"
"2015-07-31","44.759998"
"2015-08-03","44.730000"
"2015-08-04","44.680000"
"2015-08-05","45.330002"
"2015-08-06","44.830002"
"2015-08-07","44.880001"
"2015-08-10","45.610001"
"2015-08-11","45.189999"
"2015-08-12","43.930000"
"2015-08-13","44.349998"
"2015-08-14","45.139999"
"2015-08-17","45.200001"
"2015-08-18","45.060001"
"2015-08-19","44.250000"
"2015-08-20","42.400002"
"2015-08-21","41.410000"
"2015-08-24","38.439999"
"2015-08-25","37.500000"
"2015-08-26","38.580002"
"2015-08-27","40.150002"
"2015-08-28","40.360001"
"2015-08-31","40.410000"
"2015-09-01","38.619999"
"2015-09-02","39.029999"
"2015-09-03","39.250000"
"2015-09-04","38.849998"
"2015-09-08","39.939999"
"2015-09-09","39.410000"
"2015-09-10","39.840000"
"2015-09-11","39.820000"
"2015-09-14","39.919998"
"2015-09-15","40.270000"
"2015-09-16","40.610001"
"2015-09-17","39.389999"
"2015-09-18","38.230000"
"2015-09-21","38.650002"
"2015-09-22","38.369999"
"2015-09-23","38.400002"
"2015-09-24","38.770000"
"2015-09-25","38.720001"
"2015-09-28","37.660000"
"2015-09-29","37.590000"
"2015-09-30","38.419998"
"2015-10-01","38.520000"
"2015-10-02","37.529999"
"2015-10-05","38.279999"
"2015-10-06","37.770000"
"2015-10-07","38.779999"
"2015-10-08","39.080002"
"2015-10-09","38.790001"
"2015-10-12","39.130001"
"2015-10-13","38.810001"
"2015-10-14","38.000000"
"2015-10-15","38.720001"
"2015-10-16","38.750000"
"2015-10-19","39.020000"
"2015-10-20","39.549999"
"2015-10-21","38.849998"
"2015-10-22","39.000000"
"2015-10-23","40.389999"
"2015-10-26","40.230000"
"2015-10-27","39.770000"
"2015-10-28","41.590000"
"2015-10-29","41.349998"
"2015-10-30","40.389999"
"2015-11-02","41.070000"
"2015-11-03","40.869999"
"2015-11-04","41.009998"
"2015-11-05","41.680000"
"2015-11-06","43.490002"
"2015-11-09","43.250000"
"2015-11-10","41.770000"
"2015-11-11","41.799999"
"2015-11-12","40.849998"
"2015-11-13","40.599998"
"2015-11-16","40.980000"
"2015-11-17","41.230000"
"2015-11-18","42.169998"
"2015-11-19","42.209999"
"2015-11-20","42.540001"
"2015-11-23","42.730000"
"2015-11-24","43.200001"
"2015-11-25","43.299999"
"2015-11-27","43.349998"
"2015-11-30","43.380001"
"2015-12-01","43.619999"
"2015-12-02","43.080002"
"2015-12-03","42.480000"
"2015-12-04","43.570000"
"2015-12-07","42.730000"
"2015-12-08","42.340000"
"2015-12-09","41.840000"
"2015-12-10","42.290001"
"2015-12-11","41.529999"
"2015-12-14","41.099998"
"2015-12-15","42.070000"
"2015-12-16","42.820000"
"2015-12-17","42.290001"
"2015-12-18","41.029999"
"2015-12-21","41.360001"
"2015-12-22","41.480000"
"2015-12-23","42.020000"
"2015-12-24","42.250000"
"2015-12-28","42.119999"
"2015-12-29","42.450001"
"2015-12-30","41.930000"
"2015-12-31","41.560001"
"2016-01-04","40.570000"
"2016-01-05","40.389999"
"2016-01-06","39.950001"
"2016-01-07","38.270000"
"2016-01-08","37.520000"
"2016-01-11","37.209999"
"2016-01-12","37.490002"
"2016-01-13","35.580002"
"2016-01-14","36.220001"
"2016-01-15","35.650002"
"2016-01-19","34.980000"
"2016-01-20","34.590000"
"2016-01-21","33.720001"
"2016-01-22","34.450001"
"2016-01-25","32.950001"
"2016-01-26","33.830002"
"2016-01-27","34.000000"
"2016-01-28","31.870001"
"2016-01-29","32.419998"
"2016-02-01","32.759998"
"2016-02-02","31.600000"
"2016-02-03","31.340000"
"2016-02-04","32.070000"
"2016-02-05","30.940001"
"2016-02-08","29.730000"
"2016-02-09","29.150000"
"2016-02-10","28.930000"
"2016-02-11","27.520000"
"2016-02-12","28.889999"
"2016-02-16","30.059999"
"2016-02-17","29.830000"
"2016-02-18","29.059999"
"2016-02-19","29.170000"
"2016-02-22","29.870001"
"2016-02-23","29.059999"
"2016-02-24","29.360001"
"2016-02-25","30.040001"
"2016-02-26","30.490000"
"2016-02-29","29.969999"
"2016-03-01","31.209999"
"2016-03-02","31.600000"
"2016-03-03","31.680000"
"2016-03-04","32.139999"
"2016-03-07","32.070000"
"2016-03-08","31.330000"
"2016-03-09","31.170000"
"2016-03-10","31.430000"
"2016-03-11","32.610001"
"2016-03-14","32.330002"
"2016-03-15","32.000000"
"2016-03-16","32.070000"
"2016-03-17","32.250000"
"2016-03-18","33.320000"
"2016-03-21","33.410000"
"2016-03-22","33.259998"
"2016-03-23","32.560001"
"2016-03-24","32.490002"
"2016-03-28","32.549999"
"2016-03-29","32.520000"
"2016-03-30","32.570000"
"2016-03-31","32.480000"
"2016-04-01","32.970001"
"2016-04-04","32.799999"
"2016-04-05","32.180000"
"2016-04-06","32.619999"
"2016-04-07","31.620001"
"2016-04-08","31.740000"
"2016-04-11","32.060001"
"2016-04-12","32.810001"
"2016-04-13","34.520000"
"2016-04-14","35.130001"
"2016-04-15","34.939999"
"2016-04-18","35.029999"
"2016-04-19","35.619999"
"2016-04-20","36.240002"
"2016-04-21","37.419998"
"2016-04-22","38.299999"
"2016-04-25","37.990002"
"2016-04-26","38.480000"
"2016-04-27","38.490002"
"2016-04-28","37.910000"
"2016-04-29","37.490002"
"2016-05-02","37.860001"
"2016-05-03","36.820000"
"2016-05-04","36.080002"
"2016-05-05","35.990002"
"2016-05-06","36.060001"
"2016-05-09","35.970001"
"2016-05-10","36.619999"
"2016-05-11","36.369999"
"2016-05-12","36.070000"
"2016-05-13","35.560001"
"2016-05-16","36.099998"
"2016-05-17","35.830002"
"2016-05-18","37.820000"
"2016-05-19","37.230000"
"2016-05-20","37.540001"
"2016-05-23","37.209999"
"2016-05-24","37.970001"
"2016-05-25","38.610001"
"2016-05-26","38.180000"
"2016-05-27","38.750000"
"2016-05-31","38.599998"
"2016-06-01","38.840000"
"2016-06-02","39.340000"
"2016-06-03","37.689999"
"2016-06-06","38.509998"
"2016-06-07","38.490002"
"2016-06-08","38.470001"
"2016-06-09","37.730000"
"2016-06-10","36.889999"
"2016-06-13","36.400002"
"2016-06-14","35.410000"
"2016-06-15","35.939999"
"2016-06-16","35.380001"
"2016-06-17","35.509998"
"2016-06-20","36.029999"
"2016-06-21","35.970001"
"2016-06-22","35.790001"
"2016-06-23","37.330002"
"2016-06-24","33.860001"
"2016-06-27","31.559999"
"2016-06-28","32.680000"
"2016-06-29","33.480000"
"2016-06-30","34.180000"
"2016-07-01","33.570000"
"2016-07-05","32.200001"
"2016-07-06","32.200001"
"2016-07-07","33.110001"
"2016-07-08","33.540001"
"2016-07-11","34.200001"
"2016-07-12","35.150002"
"2016-07-13","35.020000"
"2016-07-14","35.639999"
"2016-07-15","35.900002"
"2016-07-18","36.009998"
"2016-07-19","35.860001"
"2016-07-20","35.910000"
"2016-07-21","34.400002"
"2016-07-22","35.029999"
"2016-07-25","34.529999"
"2016-07-26","34.900002"
"2016-07-27","34.619999"
"2016-07-28","34.439999"
"2016-07-29","34.220001"
"2016-08-01","33.669998"
"2016-08-02","33.209999"
"2016-08-03","33.590000"
"2016-08-04","33.509998"
"2016-08-05","35.220001"
"2016-08-08","35.060001"
