"date, price"
"2014-12-04","45.509998"
"2014-12-05","45.560001"
"2014-12-08","45.250000"
"2014-12-09","44.669998"
"2014-12-10","44.169998"
"2014-12-11","44.650002"
"2014-12-12","44.669998"
"2014-12-15","45.480000"
"2014-12-16","44.259998"
"2014-12-17","43.279999"
"2014-12-18","43.709999"
"2014-12-19","43.730000"
"2014-12-22","44.520000"
"2014-12-23","44.580002"
"2014-12-24","44.759998"
"2014-12-26","44.720001"
"2014-12-29","44.680000"
"2014-12-30","44.660000"
"2014-12-31","44.610001"
"2015-01-02","44.419998"
"2015-01-05","43.040001"
"2015-01-06","42.549999"
"2015-01-07","42.560001"
"2015-01-08","43.720001"
"2015-01-09","43.459999"
"2015-01-12","43.610001"
"2015-01-13","43.740002"
"2015-01-14","43.500000"
"2015-01-15","43.180000"
"2015-01-16","43.369999"
"2015-01-20","43.549999"
"2015-01-21","43.470001"
"2015-01-22","44.759998"
"2015-01-23","44.290001"
"2015-01-26","45.240002"
"2015-01-27","44.759998"
"2015-01-28","44.330002"
"2015-01-29","44.570000"
"2015-01-30","43.680000"
"2015-02-02","44.029999"
"2015-02-03","44.310001"
"2015-02-04","44.070000"
"2015-02-05","44.810001"
"2015-02-06","45.040001"
"2015-02-09","44.700001"
"2015-02-10","44.990002"
"2015-02-11","45.080002"
"2015-02-12","45.320000"
"2015-02-13","45.810001"
"2015-02-17","45.860001"
"2015-02-18","45.599998"
"2015-02-19","45.610001"
"2015-02-20","45.509998"
"2015-02-23","45.470001"
"2015-02-24","47.880001"
"2015-02-25","48.160000"
"2015-02-26","48.790001"
"2015-02-27","48.299999"
"2015-03-02","48.250000"
"2015-03-03","48.080002"
"2015-03-04","47.990002"
"2015-03-05","47.970001"
"2015-03-06","47.660000"
"2015-03-09","47.830002"
"2015-03-10","47.209999"
"2015-03-11","47.580002"
"2015-03-12","48.259998"
"2015-03-13","48.040001"
"2015-03-16","49.020000"
"2015-03-17","48.709999"
"2015-03-18","49.200001"
"2015-03-19","48.869999"
"2015-03-20","49.270000"
"2015-03-23","49.160000"
"2015-03-24","49.320000"
"2015-03-25","48.169998"
"2015-03-26","48.060001"
"2015-03-27","47.970001"
"2015-03-30","48.439999"
"2015-03-31","48.180000"
"2015-04-01","47.860001"
"2015-04-02","47.040001"
"2015-04-06","46.910000"
"2015-04-07","46.570000"
"2015-04-08","46.639999"
"2015-04-09","46.639999"
"2015-04-10","46.869999"
"2015-04-13","46.709999"
"2015-04-14","46.810001"
"2015-04-15","46.689999"
"2015-04-16","46.400002"
"2015-04-17","45.599998"
"2015-04-20","46.570000"
"2015-04-21","46.919998"
"2015-04-22","46.619999"
"2015-04-23","46.669998"
"2015-04-24","46.459999"
"2015-04-27","46.380001"
"2015-04-28","46.639999"
"2015-04-29","46.169998"
"2015-04-30","45.830002"
"2015-05-01","46.450001"
"2015-05-04","47.000000"
"2015-05-05","46.709999"
"2015-05-06","48.110001"
"2015-05-07","48.090000"
"2015-05-08","48.070000"
"2015-05-11","47.939999"
"2015-05-12","47.720001"
"2015-05-13","47.040001"
"2015-05-14","47.570000"
"2015-05-15","47.700001"
"2015-05-18","47.950001"
"2015-05-19","47.459999"
"2015-05-20","47.270000"
"2015-05-21","47.270000"
"2015-05-22","46.810001"
"2015-05-26","46.509998"
"2015-05-27","46.980000"
"2015-05-28","45.980000"
"2015-05-29","45.840000"
"2015-06-01","46.349998"
"2015-06-02","46.509998"
"2015-06-03","48.320000"
"2015-06-04","47.560001"
"2015-06-05","47.950001"
"2015-06-08","46.790001"
"2015-06-09","46.790001"
"2015-06-10","47.520000"
"2015-06-11","48.299999"
"2015-06-12","48.099998"
"2015-06-15","47.959999"
"2015-06-16","47.709999"
"2015-06-17","47.810001"
"2015-06-18","48.419998"
"2015-06-19","48.040001"
"2015-06-22","48.369999"
"2015-06-23","47.919998"
"2015-06-24","47.040001"
"2015-06-25","46.860001"
"2015-06-26","46.970001"
"2015-06-29","45.889999"
"2015-06-30","46.110001"
"2015-07-01","46.299999"
"2015-07-02","46.169998"
"2015-07-06","45.349998"
"2015-07-07","45.340000"
"2015-07-08","44.439999"
"2015-07-09","44.720001"
"2015-07-10","45.169998"
"2015-07-13","45.910000"
"2015-07-14","45.680000"
"2015-07-15","45.130001"
"2015-07-16","45.070000"
"2015-07-17","44.820000"
"2015-07-20","44.980000"
"2015-07-21","45.750000"
"2015-07-22","45.270000"
"2015-07-23","44.520000"
"2015-07-24","44.259998"
"2015-07-27","44.410000"
"2015-07-28","45.310001"
"2015-07-29","46.669998"
"2015-07-30","46.680000"
"2015-07-31","46.869999"
"2015-08-03","47.080002"
"2015-08-04","47.680000"
"2015-08-05","48.540001"
"2015-08-06","47.950001"
"2015-08-07","48.049999"
"2015-08-10","48.720001"
"2015-08-11","48.709999"
"2015-08-12","48.500000"
"2015-08-13","48.720001"
"2015-08-14","49.279999"
"2015-08-17","49.250000"
"2015-08-18","49.660000"
"2015-08-19","49.790001"
"2015-08-20","49.500000"
"2015-08-21","48.200001"
"2015-08-24","46.740002"
"2015-08-25","47.490002"
"2015-08-26","48.939999"
"2015-08-27","49.919998"
"2015-08-28","49.660000"
"2015-08-31","48.970001"
"2015-09-01","48.020000"
"2015-09-02","49.880001"
"2015-09-03","49.090000"
"2015-09-04","47.860001"
"2015-09-08","48.860001"
"2015-09-09","48.340000"
"2015-09-10","48.389999"
"2015-09-11","49.029999"
"2015-09-14","48.740002"
"2015-09-15","49.299999"
"2015-09-16","48.869999"
"2015-09-17","48.689999"
"2015-09-18","46.709999"
"2015-09-21","47.330002"
"2015-09-22","46.230000"
"2015-09-23","46.020000"
"2015-09-24","46.000000"
"2015-09-25","46.820000"
"2015-09-28","46.080002"
"2015-09-29","46.529999"
"2015-09-30","47.049999"
"2015-10-01","47.759998"
"2015-10-02","47.939999"
"2015-10-05","48.750000"
"2015-10-06","48.880001"
"2015-10-07","49.270000"
"2015-10-08","49.439999"
"2015-10-09","49.970001"
"2015-10-12","50.299999"
"2015-10-13","49.770000"
"2015-10-14","50.200001"
"2015-10-15","50.730000"
"2015-10-16","49.980000"
"2015-10-19","49.990002"
"2015-10-20","50.270000"
"2015-10-21","50.180000"
"2015-10-22","51.029999"
"2015-10-23","51.480000"
"2015-10-26","51.660000"
"2015-10-27","50.459999"
"2015-10-28","49.480000"
"2015-10-29","50.110001"
"2015-10-30","49.790001"
"2015-11-02","50.799999"
"2015-11-03","49.750000"
"2015-11-04","49.080002"
"2015-11-05","49.150002"
"2015-11-06","49.490002"
"2015-11-09","48.950001"
"2015-11-10","49.590000"
"2015-11-11","49.630001"
"2015-11-12","48.639999"
"2015-11-13","48.060001"
"2015-11-16","48.439999"
"2015-11-17","49.029999"
"2015-11-18","49.490002"
"2015-11-19","49.250000"
"2015-11-20","49.169998"
"2015-11-23","49.080002"
"2015-11-24","49.230000"
"2015-11-25","49.169998"
"2015-11-27","49.490002"
"2015-11-30","48.540001"
"2015-12-01","48.910000"
"2015-12-02","47.240002"
"2015-12-03","46.580002"
"2015-12-04","47.830002"
"2015-12-07","47.169998"
"2015-12-08","46.680000"
"2015-12-09","46.290001"
"2015-12-10","46.889999"
"2015-12-11","46.599998"
"2015-12-14","46.750000"
"2015-12-15","46.570000"
"2015-12-16","47.139999"
"2015-12-17","46.310001"
"2015-12-18","45.209999"
"2015-12-21","45.240002"
"2015-12-22","46.000000"
"2015-12-23","45.830002"
"2015-12-24","45.919998"
"2015-12-28","45.820000"
"2015-12-29","45.669998"
"2015-12-30","45.580002"
"2015-12-31","45.099998"
"2016-01-04","44.259998"
"2016-01-05","44.549999"
"2016-01-06","43.639999"
"2016-01-07","42.660000"
"2016-01-08","42.779999"
"2016-01-11","42.990002"
"2016-01-12","43.500000"
"2016-01-13","42.619999"
"2016-01-14","43.200001"
"2016-01-15","42.200001"
"2016-01-19","42.950001"
"2016-01-20","43.279999"
"2016-01-21","43.400002"
"2016-01-22","43.650002"
"2016-01-25","43.099998"
