"date, price"
"2018-02-07","5.880000"
"2018-02-08","6.085000"
"2018-02-09","6.075000"
"2018-02-12","6.225000"
"2018-02-13","6.185000"
"2018-02-14","6.140000"
"2018-02-15","6.050000"
"2018-02-16","6.150000"
"2018-02-20","6.425000"
"2018-02-21","6.260000"
"2018-02-22","6.400000"
"2018-02-23","6.400000"
"2018-02-26","6.375000"
"2018-02-27","6.350000"
"2018-02-28","6.445000"
"2018-03-01","6.395000"
"2018-03-02","6.440000"
"2018-03-05","6.402000"
"2018-03-06","6.380000"
"2018-03-07","6.400000"
"2018-03-08","6.400000"
"2018-03-09","6.420000"
"2018-03-12","6.325000"
"2018-03-13","6.090000"
"2018-03-14","6.100000"
"2018-03-15","6.050000"
"2018-03-16","6.072500"
"2018-03-19","5.910000"
"2018-03-20","5.600000"
"2018-03-21","5.300000"
"2018-03-22","5.135000"
"2018-03-23","5.040000"
"2018-03-26","5.200000"
"2018-03-27","5.875000"
"2018-03-28","5.710000"
"2018-03-29","5.520000"
"2018-04-02","5.610000"
"2018-04-03","5.635000"
"2018-04-04","6.075000"
"2018-04-05","6.340000"
"2018-04-06","6.500000"
"2018-04-09","6.510000"
"2018-04-10","6.510000"
"2018-04-11","6.500000"
"2018-04-12","6.440000"
"2018-04-13","6.055000"
"2018-04-16","5.925000"
"2018-04-17","5.875000"
"2018-04-18","6.495000"
"2018-04-19","7.000000"
"2018-04-20","6.900000"
"2018-04-23","6.805000"
"2018-04-24","6.690000"
"2018-04-25","6.865000"
"2018-04-26","7.000000"
"2018-04-27","6.975000"
"2018-04-30","6.845000"
"2018-05-01","6.880000"
"2018-05-02","6.850000"
"2018-05-03","6.750000"
"2018-05-04","6.725000"
"2018-05-07","6.650000"
"2018-05-08","6.515000"
"2018-05-09","6.375000"
"2018-05-10","6.505000"
"2018-05-11","6.700000"
"2018-05-14","6.600000"
"2018-05-15","7.380000"
"2018-05-16","8.545000"
"2018-05-17","8.680000"
"2018-05-18","9.000000"
"2018-05-21","9.275000"
"2018-05-22","7.695000"
"2018-05-23","8.850000"
"2018-05-24","8.770000"
"2018-05-25","8.615000"
"2018-05-29","7.975000"
"2018-05-30","8.340000"
"2018-05-31","8.480000"
"2018-06-01","8.470000"
"2018-06-04","7.885000"
"2018-06-05","7.800000"
"2018-06-06","7.875000"
"2018-06-07","7.882500"
"2018-06-08","7.665000"
"2018-06-11","7.110000"
"2018-06-12","7.280000"
"2018-06-13","7.240000"
"2018-06-14","7.095000"
"2018-06-15","7.187500"
"2018-06-18","6.585000"
"2018-06-19","6.580000"
"2018-06-20","6.570000"
"2018-06-21","6.305000"
"2018-06-22","6.395000"
"2018-06-25","6.305000"
"2018-06-26","6.285500"
"2018-06-27","6.085000"
"2018-06-28","5.800000"
"2018-06-29","5.660000"
"2018-07-02","5.765000"
"2018-07-03","5.890000"
"2018-07-05","5.760000"
"2018-07-06","5.485000"
"2018-07-09","5.450000"
"2018-07-10","5.490000"
"2018-07-11","5.450000"
"2018-07-12","5.555000"
"2018-07-13","5.558500"
"2018-07-16","5.570000"
"2018-07-17","5.575000"
"2018-07-18","6.075000"
"2018-07-19","6.550000"
"2018-07-20","6.945000"
"2018-07-23","7.320000"
"2018-07-24","7.140000"
"2018-07-25","7.275000"
"2018-07-26","7.295000"
"2018-07-27","7.375000"
"2018-07-30","6.655000"
"2018-07-31","7.085000"
"2018-08-01","7.150000"
"2018-08-02","7.175000"
"2018-08-03","7.220000"
"2018-08-06","7.500000"
"2018-08-07","7.950000"
"2018-08-08","8.065000"
"2018-08-09","8.325000"
"2018-08-10","8.530000"
"2018-08-13","8.535000"
"2018-08-14","8.500000"
"2018-08-15","8.025000"
"2018-08-16","8.145000"
"2018-08-17","7.950000"
"2018-08-20","7.900000"
"2018-08-21","7.825000"
"2018-08-22","7.975000"
"2018-08-23","7.990000"
"2018-08-24","7.925000"
"2018-08-27","8.040000"
"2018-08-28","7.790000"
"2018-08-29","7.740000"
"2018-08-30","7.980000"
"2018-08-31","8.110000"
"2018-09-04","7.805000"
