"date, price"
"2014-12-04","3.670000"
"2014-12-05","3.680000"
"2014-12-08","3.670000"
"2014-12-09","3.960000"
"2014-12-10","3.930000"
"2014-12-11","3.680000"
"2014-12-12","3.690000"
"2014-12-15","3.590000"
"2014-12-16","3.670000"
"2014-12-17","3.580000"
"2014-12-18","3.700000"
"2014-12-19","5.270000"
"2014-12-22","5.010000"
"2014-12-23","4.670000"
"2014-12-24","4.900000"
"2014-12-26","5.600000"
"2014-12-29","5.470000"
"2014-12-30","5.650000"
"2014-12-31","5.030000"
"2015-01-02","5.140000"
"2015-01-05","4.840000"
"2015-01-06","4.850000"
"2015-01-07","4.910000"
"2015-01-08","4.880000"
"2015-01-09","4.990000"
"2015-01-12","4.950000"
"2015-01-13","4.820000"
"2015-01-14","5.090000"
"2015-01-15","4.900000"
"2015-01-16","4.920000"
"2015-01-20","4.810000"
"2015-01-21","4.830000"
"2015-01-22","4.800000"
"2015-01-23","4.850000"
"2015-01-26","4.890000"
"2015-01-27","4.900000"
"2015-01-28","4.910000"
"2015-01-29","5.100000"
"2015-01-30","5.100000"
"2015-02-02","5.200000"
"2015-02-03","5.000000"
"2015-02-04","4.760000"
"2015-02-05","5.000000"
"2015-02-06","5.000000"
"2015-02-09","5.040000"
"2015-02-10","4.800000"
"2015-02-11","5.000000"
"2015-02-12","5.070000"
"2015-02-13","5.000000"
"2015-02-17","5.020000"
"2015-02-18","5.020000"
"2015-02-19","5.010000"
"2015-02-20","5.000000"
"2015-02-23","4.930000"
"2015-02-24","4.870000"
"2015-02-25","4.910000"
"2015-02-26","4.850000"
"2015-02-27","4.980000"
"2015-03-02","4.970000"
"2015-03-03","5.000000"
"2015-03-04","5.000000"
"2015-03-05","5.080000"
"2015-03-06","5.070000"
"2015-03-09","4.840000"
"2015-03-10","4.870000"
"2015-03-11","4.860000"
"2015-03-12","5.080000"
"2015-03-13","5.050000"
"2015-03-16","4.970000"
"2015-03-17","5.000000"
"2015-03-18","4.990000"
"2015-03-19","4.920000"
"2015-03-20","4.940000"
"2015-03-23","5.120000"
"2015-03-24","5.000000"
"2015-03-25","4.950000"
"2015-03-26","4.870000"
"2015-03-27","4.910000"
"2015-03-30","4.990000"
"2015-03-31","4.890000"
"2015-04-01","4.810000"
"2015-04-02","5.030000"
"2015-04-06","5.030000"
"2015-04-07","5.130000"
"2015-04-08","5.030000"
"2015-04-09","5.110000"
"2015-04-10","5.220000"
"2015-04-13","5.150000"
"2015-04-14","5.130000"
"2015-04-15","5.150000"
"2015-04-16","5.410000"
"2015-04-17","5.960000"
"2015-04-20","6.700000"
"2015-04-21","6.390000"
"2015-04-22","6.290000"
"2015-04-23","6.150000"
"2015-04-24","5.910000"
"2015-04-27","5.470000"
"2015-04-28","5.430000"
"2015-04-29","5.350000"
"2015-04-30","4.880000"
