"date, price"
"2014-12-04","259.019989"
"2014-12-05","261.329987"
"2014-12-08","264.630005"
"2014-12-09","267.500000"
"2014-12-10","264.000000"
"2014-12-11","263.799988"
"2014-12-12","254.710007"
"2014-12-15","253.399994"
"2014-12-16","251.000000"
"2014-12-17","257.239990"
"2014-12-18","254.990005"
"2014-12-19","251.960007"
"2014-12-22","255.000000"
"2014-12-23","254.589996"
"2014-12-24","254.720001"
"2014-12-26","254.889999"
"2014-12-29","255.009995"
"2014-12-30","254.990005"
"2014-12-31","252.789993"
"2015-01-02","250.649994"
"2015-01-05","241.360001"
"2015-01-06","237.479996"
"2015-01-07","242.250000"
"2015-01-08","241.830002"
"2015-01-09","235.500000"
"2015-01-12","229.350006"
"2015-01-13","229.089996"
"2015-01-14","226.169998"
"2015-01-15","223.309998"
"2015-01-16","225.330002"
"2015-01-20","225.800003"
"2015-01-21","225.460007"
"2015-01-22","235.789993"
"2015-01-23","234.020004"
"2015-01-26","236.880005"
"2015-01-27","232.009995"
"2015-01-28","239.089996"
"2015-01-29","244.520004"
"2015-01-30","244.050003"
"2015-02-02","244.850006"
"2015-02-03","245.240005"
"2015-02-04","245.009995"
"2015-02-05","251.770004"
"2015-02-06","255.009995"
"2015-02-09","250.529999"
"2015-02-10","251.250000"
"2015-02-11","249.710007"
"2015-02-12","253.770004"
"2015-02-13","255.000000"
"2015-02-17","252.559998"
"2015-02-18","253.490005"
"2015-02-19","255.649994"
"2015-02-20","253.820007"
"2015-02-23","252.399994"
"2015-02-24","253.770004"
"2015-02-25","250.199997"
"2015-02-26","254.500000"
"2015-02-27","252.250000"
"2015-03-02","252.869995"
"2015-03-03","249.860001"
"2015-03-04","250.529999"
"2015-03-05","250.529999"
"2015-03-06","251.070007"
"2015-03-09","250.000000"
"2015-03-10","245.440002"
"2015-03-11","246.479996"
"2015-03-12","251.089996"
"2015-03-13","251.250000"
"2015-03-16","256.000000"
"2015-03-17","258.170013"
"2015-03-18","258.929993"
"2015-03-19","254.339996"
"2015-03-20","263.959991"
"2015-03-23","261.200012"
"2015-03-24","259.040009"
"2015-03-25","253.529999"
"2015-03-26","255.210007"
"2015-03-27","253.860001"
"2015-03-30","259.140015"
"2015-03-31","259.690002"
"2015-04-01","259.000000"
"2015-04-02","258.720001"
"2015-04-06","257.200012"
"2015-04-07","257.339996"
"2015-04-08","257.320007"
"2015-04-09","256.290009"
"2015-04-10","256.429993"
"2015-04-13","255.300003"
"2015-04-14","255.149994"
"2015-04-15","254.789993"
"2015-04-16","254.570007"
"2015-04-17","249.110001"
"2015-04-20","251.479996"
"2015-04-21","253.919998"
"2015-04-22","251.160004"
"2015-04-23","250.020004"
"2015-04-24","250.050003"
"2015-04-27","249.500000"
"2015-04-28","252.880005"
"2015-04-29","248.679993"
"2015-04-30","240.339996"
"2015-05-01","239.360001"
"2015-05-04","240.919998"
"2015-05-05","236.940002"
"2015-05-06","240.320007"
"2015-05-07","240.960007"
"2015-05-08","240.740005"
"2015-05-11","242.009995"
"2015-05-12","240.169998"
"2015-05-13","244.910004"
"2015-05-14","245.029999"
"2015-05-15","242.970001"
"2015-05-18","248.100006"
"2015-05-19","251.809998"
"2015-05-20","251.470001"
"2015-05-21","247.300003"
"2015-05-22","244.270004"
"2015-05-26","243.240005"
"2015-05-27","245.149994"
"2015-05-28","243.800003"
"2015-05-29","241.100006"
"2015-06-01","239.539993"
"2015-06-02","241.119995"
"2015-06-03","244.610001"
"2015-06-04","241.669998"
"2015-06-05","243.990005"
"2015-06-08","241.539993"
"2015-06-09","244.139999"
"2015-06-10","248.500000"
"2015-06-11","249.250000"
"2015-06-12","247.869995"
"2015-06-15","243.199997"
"2015-06-16","247.500000"
"2015-06-17","238.330002"
"2015-06-18","239.270004"
"2015-06-19","247.119995"
"2015-06-22","252.919998"
"2015-06-23","258.779999"
"2015-06-24","257.700012"
"2015-06-25","260.929993"
"2015-06-26","263.160004"
"2015-06-29","261.649994"
"2015-06-30","263.040009"
"2015-07-01","263.450012"
"2015-07-02","261.250000"
"2015-07-06","261.690002"
"2015-07-07","258.600006"
"2015-07-08","254.940002"
"2015-07-09","257.750000"
"2015-07-10","264.459991"
"2015-07-13","267.929993"
"2015-07-14","268.890015"
"2015-07-15","266.070007"
"2015-07-16","266.829987"
