"date, price"
"2014-12-04","14.960000"
"2014-12-05","15.240000"
"2014-12-08","14.960000"
"2014-12-09","15.225000"
"2014-12-10","14.715000"
"2014-12-11","14.705000"
"2014-12-12","14.480000"
"2014-12-15","14.335000"
"2014-12-16","14.565000"
"2014-12-17","14.850000"
"2014-12-18","15.075000"
"2014-12-19","14.925000"
"2014-12-22","14.975000"
"2014-12-23","15.005000"
"2014-12-24","14.935000"
"2014-12-26","15.005000"
"2014-12-29","15.335000"
"2014-12-30","15.165000"
"2014-12-31","14.940000"
"2015-01-02","14.765000"
"2015-01-05","14.335000"
"2015-01-06","13.865000"
"2015-01-07","13.765000"
"2015-01-08","13.755000"
"2015-01-09","13.180000"
"2015-01-12","12.950000"
"2015-01-13","12.905000"
"2015-01-14","12.810000"
"2015-01-15","12.520000"
"2015-01-16","12.640000"
"2015-01-20","12.405000"
"2015-01-21","12.275000"
"2015-01-22","12.805000"
"2015-01-23","12.890000"
"2015-01-26","12.830000"
"2015-01-27","12.915000"
"2015-01-28","12.540000"
"2015-01-29","12.630000"
"2015-01-30","12.350000"
"2015-02-02","12.830000"
"2015-02-03","13.145000"
"2015-02-04","12.970000"
"2015-02-05","13.290000"
"2015-02-06","13.445000"
"2015-02-09","13.060000"
"2015-02-10","12.950000"
"2015-02-11","12.860000"
"2015-02-12","13.100000"
"2015-02-13","13.240000"
"2015-02-17","13.385000"
"2015-02-18","13.075000"
"2015-02-19","12.960000"
"2015-02-20","13.035000"
"2015-02-23","13.065000"
"2015-02-24","13.450000"
"2015-02-25","13.265000"
"2015-02-26","13.375000"
"2015-02-27","13.135000"
"2015-03-02","13.210000"
"2015-03-03","13.040000"
"2015-03-04","12.930000"
"2015-03-05","13.160000"
"2015-03-06","13.300000"
"2015-03-09","13.400000"
"2015-03-10","13.420000"
"2015-03-11","13.460000"
"2015-03-12","13.945000"
"2015-03-13","13.865000"
"2015-03-16","13.730000"
"2015-03-17","13.925000"
"2015-03-18","13.825000"
"2015-03-19","13.790000"
"2015-03-20","14.220000"
"2015-03-23","14.115000"
"2015-03-24","14.115000"
"2015-03-25","13.790000"
"2015-03-26","13.865000"
"2015-03-27","14.000000"
"2015-03-30","14.315000"
"2015-03-31","13.820000"
"2015-04-01","13.770000"
"2015-04-02","13.890000"
"2015-04-06","13.980000"
"2015-04-07","13.950000"
"2015-04-08","13.950000"
"2015-04-09","13.965000"
"2015-04-10","13.990000"
"2015-04-13","14.215000"
"2015-04-14","14.125000"
